,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,Hardcover Nonfiction,Paperback Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series
1,THE CHRISTMAS SWEATER;by Glenn Beck with Kevin Balfe and Jason Wright.;6 weeks on the list,THE SHACK;by William P. Young;31 weeks on the list,,OUTLIERS;by Malcolm Gladwell;5 weeks on the list,MARLEY AND ME;by John Grogan;41 weeks on the list,THE LAST LECTURE;by Randy Pausch with Jeffrey Zaslow;37 weeks on the list,TWILIGHT;by Mark Cotta Vaz;10 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;88 weeks on the list,THE TALE OF DESPEREAUX;by Kate DiCamillo. Illustrated by Timothy Basil Ering;47 weeks on the list,A VERY MARLEY CHRISTMAS;by John Grogan. Illustrated by Richard Cowdrey;5 weeks on the list,THE TWILIGHT SAGA;by Stephenie Meyer;72 weeks on the list
2,SCARPETTA;by Patricia Cornwell;3 weeks on the list,A THOUSAND SPLENDID SUNS;by Khaled Hosseini;4 weeks on the list,,DEWEY;by Vicki Myron with Bret Witter;14 weeks on the list,THE AUDACITY OF HOPE;by Barack Obama;52 weeks on the list,BAREFOOT CONTESSA BACK TO BASICS;by Ina Garten;8 weeks on the list,"DINERS, DRIVE-INS AND DIVES;by Guy Fieri with Ann Volkwein;5 weeks on the list",THE MAZE OF BONES;by Rick Riordan;15 weeks on the list,THE BOOK THIEF;by Markus Zusak;67 weeks on the list,THE NIGHT BEFORE CHRISTMAS;by Clement C. Moore. Various illustrators;19 weeks on the list,HARRY POTTER;by J.K. Rowling;203 weeks on the list
3,CROSS COUNTRY;by James Patterson;5 weeks on the list,THE APPEAL;by John Grisham;5 weeks on the list,,AMERICAN LION;by Jon Meacham;6 weeks on the list,DREAMS FROM MY FATHER;by Barack Obama;127 weeks on the list,THE PURPOSE OF CHRISTMAS;by Rick Warren;7 weeks on the list,I CAN HAS CHEEZBURGER?;by Professor Happy­cat and icanhascheezburger.com;11 weeks on the list,DIARY OF A WIMPY KID: RODRICK RULES;by Jeff Kinney;49 weeks on the list,THE MYSTERIOUS BENEDICT SOCIETY;by Trenton Lee Stewart. Illustrated by Carson Ellis;20 weeks on the list,BIG WORDS FOR LITTLE PEOPLE;by Jamie Lee Curtis. Illustrated by Laura Cornell;15 weeks on the list,INHERITANCE;by Christopher Paolini;14 weeks on the list
4,THE STORY OF EDGAR SAWTELLE;by David Wroblewski;28 weeks on the list,CHANGE OF HEART;by Jodi Picoult;3 weeks on the list,,A BOLD FRESH PIECE OF HUMANITY;by Bill O’Reilly;13 weeks on the list,TEAM OF RIVALS;by Doris Kearns Goodwin;21 weeks on the list,GUINNESS WORLD RECORDS 2009;edited by Craig Glenday;14 weeks on the list,RACHAEL RAY’S BIG ORANGE BOOK;by Rachael Ray;7 weeks on the list,ONE FALSE NOTE;by Gordon Korman;3 weeks on the list,NO ORDINARY MOUSE;;2 weeks on the list,GALLOP!;written and illustrated by Rufus Butler Seder;58 weeks on the list,HOUSE OF NIGHT;by P.C. Cast and Kristin Cast;17 weeks on the list
5,THE HOST;by Stephenie Meyer;32 weeks on the list,WORLD WITHOUT END;by Ken Follett;11 weeks on the list,,TOO FAT TO FISH;by Artie Lange with Anthony Bozza;6 weeks on the list,THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;99 weeks on the list,"YOU: THE OWNER’S MANUAL FOR TEENS;by Michael F. Roizen, Mehmet C. Oz and Ellen Rome;6 weeks on the list",THE LOVE DARE;by Stephen Kendrick and Alex Kendrick with Lawrence Kimbrough;13 weeks on the list,HOW TO TALK TO GIRLS;by Alec Greven. Illustrated by Kei Acedera;3 weeks on the list,SLAM;by Nick Hornby;11 weeks on the list,SWING!;written and illustrated by Rufus Butler Seder;10 weeks on the list,INKHEART;by Cornelia Funke;13 weeks on the list
6,JUST AFTER SUNSET;by Stephen King;6 weeks on the list,THE BRIEF WONDROUS LIFE OF OSCAR WAO;by Junot Díaz;16 weeks on the list,,"MULTIPLE BLESSINGS;by Jon Gosselin, Kate Gosselin and Beth Carson;9 weeks on the list","EAT, PRAY, LOVE;by Elizabeth Gilbert;100 weeks on the list",THE SECRET;by Rhonda Byrne;102 weeks on the list,THE BRO CODE;by Barney Stinson with Matt Kuhn;6 weeks on the list,"BURNING UP;by Joe, Kevin and Nick Jonas;5 weeks on the list","MARLEY: A DOG LIKE NO OTHER;, by John Grogan;2 weeks on the list",THE LUMP OF COAL;by Lemony Snicket. Illustrated by Brett Helquist;2 weeks on the list,IF YOU GIVE . . .;by Laura Numeroff. Illustrated by Felicia Bond;30 weeks on the list
7,THE LUCKY ONE;by Nicholas Sparks;12 weeks on the list,THE ALCHEMIST;by Paulo Coelho;67 weeks on the list,,"HOT, FLAT, AND CROWDED;by Thomas L. Friedman;15 weeks on the list",TIPPING POINT;by Malcolm Gladwell;220 weeks on the list,GIADA’S KITCHEN;by Giada De Laurentiis;12 weeks on the list,OUR DUMB WORLD;by The Onion;New this week,THE GRAVEYARD BOOK;by Neil Gaiman. Illustrated by Dave McKean;12 weeks on the list,THE BOY IN THE STRIPED PAJAMAS;by John Boyne;7 weeks on the list,ABC3D;by Marion Bataille;10 weeks on the list,FANCY NANCY;by Jane O’Connor. Illustrated by Robin Preiss Glasser;35 weeks on the list
8,ARCTIC DRIFT;by Clive Cussler and Dirk Cussler;4 weeks on the list,THE FRIDAY NIGHT KNITTING CLUB;by Kate Jacobs;44 weeks on the list,,WHY WE SUCK;by Denis Leary;5 weeks on the list,BLINK;by Malcolm Gladwell;62 weeks on the list,Ripley’s Believe It or Not!: PREPARE TO BE SHOCKED!;by Ripley Entertainment;4 weeks on the list,SKINNY BITCH;by Kim Barnouin;76 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;15 weeks on the list,THE PENDERWICKS;by Jeanne Birdsall;13 weeks on the list,TEN LITTLE FINGERS AND TEN LITTLE TOES;by Mem Fox. Illustrated by Helen Oxenbury;9 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;82 weeks on the list
9,A MERCY;by Toni Morrison;6 weeks on the list,Halo: THE COLE PROTOCOL;by Tobias S. Buckell;4 weeks on the list,,THE SNOWBALL;by Alice Schroeder;12 weeks on the list,90 MINUTES IN HEAVEN;by Don Piper with Cecil Murphey;113 weeks on the list,TOP CHEF: the COOKBOOK;with an introduction by Tom Colicchio;2 weeks on the list,A NEW EARTH;by Eckhart Tolle;47 weeks on the list,PAULA DEEN’S MY FIRST COOKBOOK;by Paula Deen with Martha Nesbit. Illustrated by Susan Mitchell;11 weeks on the list,BARACK OBAMA;by Roberta Edwards. Illustrated by Ken Call;20 weeks on the list,THE LATKE WHO COULDN’T STOP SCREAMING;by Lemony Snicket. Illustrated by Lisa Brown;New this week,WARRIORS;by Erin Hunter;66 weeks on the list
10,THE HOUR I FIRST BELIEVED;by Wally Lamb;6 weeks on the list,WATER FOR ELEPHANTS;by Sara Gruen;68 weeks on the list,,DO THE RIGHT THING;by Mike Huckabee;5 weeks on the list,I HOPE THEY SERVE BEER IN HELL;by Tucker Max;64 weeks on the list,MARTHA STEWART’S COOKING SCHOOL;by Martha Stewart with Sarah Carey. Photographs by Marcus Nilsson and Ditte Isager;5 weeks on the list,"HELLO, CUPCAKE!;by Karen Tack;16 weeks on the list",THE INVENTION OF HUGO CABRET;by Brian Selznick;88 weeks on the list,THE ASTONISHING LIFE OF OCTAVIAN NOTHING;by M. T. Anderson;3 weeks on the list,PETER PAN;adapted and illustrated by Robert Sabuda;3 weeks on the list,MAGIC TREE HOUSE;by Mary Pope Osborne. Illustrated by Sal Murdocca;202 weeks on the list
