,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Audio Fiction,Audio Nonfiction,Business,Graphic Books and Manga,Mass Market,Middle Grade Paperback,Young Adult Paperback
1,THE BOY FROM THE WOODS;by Harlan Coben;New this week,WHERE THE CRAWDADS SING;by Delia Owens;81 weeks on the list,LITTLE FIRES EVERYWHERE;by Celeste Ng;46 weeks on the list,THE SPLENDID AND THE VILE;by Erik Larson;4 weeks on the list,UNTAMED;by Glennon Doyle;2 weeks on the list,THE GREAT INFLUENZA;by John M. Barry;2 weeks on the list,"THE BOY, THE MOLE, THE FOX AND THE HORSE;by Charlie Mackesy;20 weeks on the list",WINGS OF FIRE: LEGENDS: DRAGONSLAYER;by Tui T. Sutherland;3 weeks on the list,PETE THE CAT: BIG EASTER ADVENTURE;by James Dean and Kimberly Dean;19 weeks on the list,DOG MAN;by Dav Pilkey;134 weeks on the list,CHAIN OF GOLD;by Cassandra Clare;3 weeks on the list,LITTLE FIRES EVERYWHERE;by Celeste Ng;,UNTAMED;by Glennon Doyle;,ATOMIC HABITS;by James Clear;,GUTS;by Raina Telgemeier;,WINDOW ON THE BAY;by Debbie Macomber;,THE ONE AND ONLY IVAN;by Katherine Applegate. Illustrated by Patricia Castelao;,ALL THE BRIGHT PLACES;by Jennifer Niven;
2,LITTLE FIRES EVERYWHERE;by Celeste Ng;58 weeks on the list,THE BOY FROM THE WOODS;by Harlan Coben;New this week,THE TATTOOIST OF AUSCHWITZ;by Heather Morris;81 weeks on the list,UNTAMED;by Glennon Doyle;2 weeks on the list,THE SPLENDID AND THE VILE;by Erik Larson;4 weeks on the list,SAPIENS;by Yuval Noah Harari;97 weeks on the list,THE ODD 1S OUT: THE FIRST SEQUEL;by James Rallison;New this week,DIARY OF AN AWESOME FRIENDLY KID;by Jeff Kinney;50 weeks on the list,HOW TO CATCH A UNICORN;by Adam Wallace. Illustrated by Andy Elkerton;10 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;575 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;113 weeks on the list,WHERE THE CRAWDADS SING;by Delia Owens;,TALKING TO STRANGERS;by Malcolm Gladwell;,THE ULTIMATE RETIREMENT GUIDE FOR 50+;by Suze Orman;,BABY-SITTERS LITTLE SISTER: KAREN'S WITCH;by Ann M. Martin. Illustrated by Katy Farina;,LONG ROAD TO MERCY;by David Baldacci;,PAX;Sara Pennypacker. Illustrated by Jon Klassen;,THE BOY IN THE STRIPED PAJAMAS;by John Boyne;
3,SMOKE BITTEN;by Patricia Briggs;New this week,AMERICAN DIRT;by Jeanine Cummins;9 weeks on the list,NORMAL PEOPLE;by Sally Rooney;5 weeks on the list,EDUCATED;by Tara Westover;109 weeks on the list,THE MAMBA MENTALITY;by Kobe Bryant;14 weeks on the list,SAY NOTHING;by Patrick Radden Keefe;4 weeks on the list,FIND YOUR PATH;by Carrie Underwood with Eve Adamson;3 weeks on the list,THE COMPLETE COOKBOOK FOR YOUNG CHEFS;by America's Test Kitchen Kids;49 weeks on the list,THE GOOD EGG PRESENTS: THE GREAT EGGSCAPE!;by Jory John. Illustrated by Pete Oswald;2 weeks on the list,HARRY POTTER;by J.K. Rowling;574 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;2 weeks on the list,AMERICAN DIRT;by Jeanine Cummins;,THE SPLENDID AND THE VILE;by Erik Larson;,DARE TO LEAD;by Brené Brown;,BEST FRIENDS;by Shannon Hale. Illustrated by LeUyen Pham;,LIAR LIAR;by James Patterson and Candice Fox;,THE GIRL WHO DRANK THE MOON;by Kelly Barnhill;,THE BOOK THIEF;by Markus Zusak;
4,WHERE THE CRAWDADS SING;by Delia Owens;80 weeks on the list,THE MIRROR & THE LIGHT;by Hilary Mantel;2 weeks on the list,THE HUNTING PARTY;by Lucy Foley;3 weeks on the list,OPEN BOOK;by Jessica Simpson with Kevin Carr O’Leary;7 weeks on the list,EDUCATED;by Tara Westover;109 weeks on the list,JUST MERCY;by Bryan Stevenson;197 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;171 weeks on the list,WONDER;by R.J. Palacio;240 weeks on the list,WAITING IS NOT EASY!;by Mo Willems;65 weeks on the list,THE BAD GUYS;by Aaron Blabey;70 weeks on the list,ONE OF US IS NEXT;by Karen M. McManus;11 weeks on the list,THE BOY FROM THE WOODS;by Harlan Coben;,BECOMING;by Michelle Obama;,OUTLIERS;by Malcolm Gladwell;,FGTEEV PRESENTS: INTO THE GAME!;by FGTeeV. Illustrated by Miguel Díaz Rivas;,CELTIC EMPIRE;by Clive Cussler and Dirk Cussler;,A LONG WALK TO WATER;by Linda Sue Park;,THE TWIN;by Natasha Preston;
5,HIT LIST;by Stuart Woods;New this week,STAR WARS: THE RISE OF SKYWALKER;by Rae Carson;New this week,THE OUTSIDER;by Stephen King;18 weeks on the list,THE GREAT INFLUENZA;by John M. Barry;2 weeks on the list,OPEN BOOK;by Jessica Simpson with Kevin Carr O’Leary;7 weeks on the list,THE BODY KEEPS THE SCORE;by Bessel van der Kolk;74 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;307 weeks on the list,REFUGEE;by Alan Gratz;90 weeks on the list,PETE THE CAT: THE GREAT LEPRECHAUN CHASE;by James Dean;4 weeks on the list,TO ALL THE BOYS I'VE LOVED BEFORE;by Jenny Han;54 weeks on the list,FIVE FEET APART;by Rachael Lippincott with Mikki Daughtry and Tobias Iaconis;68 weeks on the list,THE EYES OF DARKNESS;by Dean Koontz;,OPEN BOOK;by Jessica Simpson with Kevin Carr O’Leary;,DARK TOWERS;by David Enrich;,NEW KID;by Jerry Craft;,BLESSING IN DISGUISE;by Danielle Steel;,WISH;by Barbara O'Connor;,"FIVE NIGHTS AT FREDDY’S: FAZBEAR FRIGHTS: FETCH;by Scott Cawthon, Andrea Waggener and Carly Anne West;"
6,AMERICAN DIRT;by Jeanine Cummins;9 weeks on the list,SMOKE BITTEN;by Patricia Briggs;New this week,THEN SHE WAS GONE;by Lisa Jewell;36 weeks on the list,THE MAMBA MENTALITY;by Kobe Bryant;11 weeks on the list,THE GIFT OF FORGIVENESS;by Katherine Schwarzenegger Pratt;2 weeks on the list,BORN A CRIME;by Trevor Noah;58 weeks on the list,ATOMIC HABITS;by James Clear;20 weeks on the list,ALI CROSS;by James Patterson;17 weeks on the list,HOW TO CATCH A LEPRECHAUN;by Adam Wallace. Illustrated by Andy Elkerton;18 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;214 weeks on the list,A GOOD GIRL'S GUIDE TO MURDER;by Holly Jackson;7 weeks on the list,THE STAND;by Stephen King;,EDUCATED;by Tara Westover;,CAPITAL AND IDEOLOGY;by Thomas Piketty;,DRAMA;by Raina Telgemeier;,THE BIG KAHUNA;by Janet Evanovich and Peter Evanovich;,UNICORN ACADEMY #1: SOPHIA AND RAINBOW;by Julie Sykes. Illustrated by Lucy Truman;,LONG WAY DOWN;by Jason Reynolds;
7,IN FIVE YEARS;by Rebecca Serle;2 weeks on the list,IN FIVE YEARS;by Rebecca Serle;2 weeks on the list,THE WOMAN IN THE WINDOW;by A.J. Finn;48 weeks on the list,BECOMING;by Michelle Obama;68 weeks on the list,BECOMING;by Michelle Obama;67 weeks on the list,CHESAPEAKE REQUIEM;by Earl Swift;3 weeks on the list,GET OUT OF YOUR HEAD;by Jennie Allen;8 weeks on the list,A TALE OF MAGIC...;by Chris Colfer;20 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;227 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;524 weeks on the list,THE HATE U GIVE;by Angie Thomas;160 weeks on the list,THE DUTCH HOUSE;by Ann Patchett;,DEADLIEST ENEMY;by Michael T. Osterholm and Mark Olshaker;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",INVESTIGATORS;by John Patrick Green;,LONGING FOR YESTERDAY;by Debbie Macomber;,RESTART;by Gordon Korman;,DEAR MARTIN;by Nic Stone;
8,THE MIRROR & THE LIGHT;by Hilary Mantel;2 weeks on the list,BLINDSIDE;by James Patterson and James O. Born;4 weeks on the list,BEFORE WE WERE YOURS;by Lisa Wingate;44 weeks on the list,THE GIFT OF FORGIVENESS;by Katherine Schwarzenegger Pratt;2 weeks on the list,TALKING TO STRANGERS;by Malcolm Gladwell;28 weeks on the list,WHITE FRAGILITY;by Robin DiAngelo;85 weeks on the list,GET OUT OF YOUR OWN WAY;by Dave Hollis;2 weeks on the list,A WOLF CALLED WANDER;by Rosanne Parry. Illustrated by Mónica Armiño;28 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;299 weeks on the list,WHO WAS/IS . . . ?;by Jim Gigliotti and others; various illustrators;100 weeks on the list,CHILDREN OF VIRTUE AND VENGEANCE;by Tomi Adeyemi;16 weeks on the list,SMOKE BITTEN;by Patricia Briggs;,SAPIENS;by Yuval Noah Harari;,LEADERSHIP STRATEGY AND TACTICS;by Jocko Willink;,SMILE;by Raina Telgemeier;,AMBUSH;by James Patterson and James O. Born;,NEVERMOOR: THE TRIALS OF MORRIGAN CROW;by Jessica Townsend;,THE SUN IS ALSO A STAR;by Nicola Yoon;
9,STAR WARS: THE RISE OF SKYWALKER;by Rae Carson;New this week,JOURNEY OF THE PHARAOHS;by Clive Cussler and Graham Brown;2 weeks on the list,THE OVERSTORY;by Richard Powers;50 weeks on the list,SAPIENS;by Yuval Noah Harari;99 weeks on the list,JOHN ADAMS UNDER FIRE;by Dan Abrams and David Fisher;3 weeks on the list,OUTLIERS;by Malcolm Gladwell;318 weeks on the list,"GIRL, WASH YOUR FACE;by Rachel Hollis;86 weeks on the list",IF WE WERE GIANTS;by Dave Matthews and Clete Barrett Smith;3 weeks on the list,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;304 weeks on the list,DORK DIARIES;by Rachel Renée Russell;316 weeks on the list,CHILDREN OF BLOOD AND BONE;by Tomi Adeyemi;107 weeks on the list,THE GIVER OF STARS;by Jojo Moyes;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,THE RIDE OF A LIFETIME;by Robert Iger;,STRANGE PLANET;by Nathan W. Pyle;,THE NIGHT WINDOW;by Dean Koontz;,THE CROSSOVER;by Kwame Alexander;,I AM NOT YOUR PERFECT MEXICAN DAUGHTER;by Erika L. Sánchez;
10,A CONSPIRACY OF BONES;by Kathy Reichs;New this week,MY DARK VANESSA;by Kate Elizabeth Russell;2 weeks on the list,ELEANOR OLIPHANT IS COMPLETELY FINE;by Gail Honeyman;78 weeks on the list,MAYBE YOU SHOULD TALK TO SOMEONE;by Lori Gottlieb;28 weeks on the list,THE HOPE OF GLORY;by Jon Meacham;4 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;242 weeks on the list",YOU ARE A BADASS;by Jen Sincero;210 weeks on the list,LOOK BOTH WAYS;by Jason Reynolds;8 weeks on the list,THE BOOK WITH NO PICTURES;by B.J. Novak;170 weeks on the list,WINGS OF FIRE;by Tui T. Sutherland;83 weeks on the list,THE QUEEN'S ASSASSIN;by Melissa de la Cruz;5 weeks on the list,THE SILENT PATIENT;by Alex Michaelides;,BORN A CRIME;by Trevor Noah;,GRIT;by Angela Duckworth;,GHOSTS;by Raina Telgemeier;,CHASING CASSANDRA;by Lisa Kleypas;,INSIDE OUT AND BACK AGAIN;by Thanhha Lai;,LOVELY WAR;by Julie Berry;
