,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Audio Fiction,Audio Nonfiction,Business,Science,Sports and Fitness
1,THE RECKONING;by John Grisham;8 weeks on the list,THE RECKONING;by John Grisham;8 weeks on the list,THE TATTOOIST OF AUSCHWITZ;by Heather Morris;15 weeks on the list,BECOMING;by Michelle Obama;5 weeks on the list,BECOMING;by Michelle Obama;5 weeks on the list,SAPIENS;by Yuval Noah Harari;31 weeks on the list,HOMEBODY;by Joanna Gaines;6 weeks on the list,THE COMPLETE COOKBOOK FOR YOUNG CHEFS;by America's Test Kitchen Kids;9 weeks on the list,P IS FOR PTERODACTYL;by Raj Haldar and Chris Carpenter. Illustrated by Maria Tina Beddia;2 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;509 weeks on the list,THE HATE U GIVE;by Angie Thomas;94 weeks on the list,PAST TENSE;by Lee Child;,BECOMING;by Michelle Obama;,DARE TO LEAD;by Brené Brown;,SAPIENS;by Yuval Noah Harari;,THE MAMBA MENTALITY;by Kobe Bryant;
2,EVERY BREATH;by Nicholas Sparks;9 weeks on the list,FIRE AND BLOOD;by George R.R. Martin;4 weeks on the list,MILK AND HONEY;by Rupi Kaur;140 weeks on the list,"THE POINT OF IT ALL;by Charles Krauthammer, edited by Daniel Krauthammer;2 weeks on the list","THE POINT OF IT ALL;by Charles Krauthammer, edited by Daniel Krauthammer;2 weeks on the list",KILLERS OF THE FLOWER MOON;by David Grann;37 weeks on the list,"GIRL, WASH YOUR FACE;by Rachel Hollis;36 weeks on the list",WOMEN IN SCIENCE;by Rachel Ignotofsky;77 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;250 weeks on the list,HARRY POTTER;by J.K. Rowling;508 weeks on the list,"DEAR EVAN HANSEN: THE NOVEL;by Val Emmich with Steven Levenson, Benj Pasek & Justin Paul;10 weeks on the list",FIRE AND BLOOD;by George R.R. Martin;,EDUCATED;by Tara Westover;,LEADERSHIP;by Doris Kearns Goodwin;,BRIEF ANSWERS TO THE BIG QUESTIONS;by Stephen Hawking;,RACING TO THE FINISH;by Dale Earnhardt Jr. with Ryan McGee;
3,WHERE THE CRAWDADS SING;by Delia Owens;14 weeks on the list,EVERY BREATH;by Nicholas Sparks;9 weeks on the list,A DOG'S WAY HOME;by W. Bruce Cameron;3 weeks on the list,EDUCATED;by Tara Westover;43 weeks on the list,EDUCATED;by Tara Westover;43 weeks on the list,THE INNOCENT MAN;by John Grisham;40 weeks on the list,WHOSE BOAT IS THIS BOAT?;by The Staff of the Late Show With Stephen Colbert. Illustrated by Andro Buneta and John Henry;6 weeks on the list,WONDER;by R.J. Palacio;175 weeks on the list,CONSTRUCTION SITE ON CHRISTMAS NIGHT;by Sherri Duskey Rinker. Illustrated by A. G. Ford;9 weeks on the list,DOG MAN;by Dav Pilkey;68 weeks on the list,CHILDREN OF BLOOD AND BONE;by Tomi Adeyemi;41 weeks on the list,NINE PERFECT STRANGERS;by Liane Moriarty;,BORN A CRIME;by Trevor Noah;,ATOMIC HABITS;by James Clear;,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;,THE BIG FELLA;by Jane Leavy;
4,FIRE AND BLOOD;by George R.R. Martin;4 weeks on the list,WHERE THE CRAWDADS SING;by Delia Owens;15 weeks on the list,ELEANOR OLIPHANT IS COMPLETELY FINE;by Gail Honeyman;28 weeks on the list,KILLING THE SS;by Bill O'Reilly and Martin Dugard;10 weeks on the list,KILLING THE SS;by Bill O'Reilly and Martin Dugard;10 weeks on the list,DESTINY AND POWER;by Jon Meacham;2 weeks on the list,MAGNOLIA TABLE;by Joanna Gaines with Marah Stets;29 weeks on the list,THE GIRL WHO DRANK THE MOON;by Kelly Barnhill;50 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;163 weeks on the list,DARK ARTIFICES;by Cassandra Clare;2 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;69 weeks on the list,WHERE THE CRAWDADS SING;by Delia Owens;,"EVIL HAS A NAME;by Paul Holes, Jim Clemente and Peter McDonnell;",BAD BLOOD;by John Carreyrou;,21 LESSONS FOR THE 21ST CENTURY;by Yuval Noah Harari;,THIS IS THE DAY;by Tim Tebow with A.J. Gregory;
5,TARGET: ALEX CROSS;by James Patterson;4 weeks on the list,TARGET: ALEX CROSS;by James Patterson;4 weeks on the list,ONE DAY IN DECEMBER;by Josie Silver;2 weeks on the list,LEADERSHIP;by Doris Kearns Goodwin;13 weeks on the list,LEADERSHIP;by Doris Kearns Goodwin;13 weeks on the list,MY OWN WORDS;by Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams;5 weeks on the list,"GMORNING, GNIGHT!;by Lin-Manuel Miranda. Illustrated by Jonny Sun;9 weeks on the list",THE ATLAS OBSCURA EXPLORER'S GUIDE FOR THE WORLD'S MOST ADVENTUROUS KID;by Dylan Thuras and Rosemary Mosco. Illustrated by Joy Ang;6 weeks on the list,HOW TO CATCH AN ELF;by Adam Wallace. Illustrated by Andy Elkerton;12 weeks on the list,DORK DIARIES;by Rachel Renée Russell;270 weeks on the list,BRIDGE OF CLAY;by Markus Zusak;10 weeks on the list,LONG ROAD TO MERCY;by David Baldacci;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,THE LAWS OF HUMAN NATURE;by Robert Greene;,HOW TO BE A GOOD CREATURE;by Sy Montgomery. Illustrated by Rebecca Green;,SHOE DOG;by Phil Knight;
6,PAST TENSE;by Lee Child;6 weeks on the list,THE NEXT PERSON YOU MEET IN HEAVEN;by Mitch Albom;10 weeks on the list,THE SUN AND HER FLOWERS;by Rupi Kaur;63 weeks on the list,THE FIFTH RISK;by Michael Lewis;9 weeks on the list,BRIEF ANSWERS TO THE BIG QUESTIONS;by Stephen Hawking;9 weeks on the list,SHOE DOG;by Phil Knight;22 weeks on the list,COOK LIKE A PRO;by Ina Garten;8 weeks on the list,DOG DIARIES;by James Patterson with Steven Butler. Illustrated by Richard Watson;New this week,PETE THE CAT'S 12 GROOVY DAYS OF CHRISTMAS;by Kimberly and James Dean;6 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;149 weeks on the list,TURTLES ALL THE WAY DOWN;by John Green;60 weeks on the list,THE RECKONING;by John Grisham;,SAPIENS;by Yuval Noah Harari;,THIS IS MARKETING;by Seth Godin;,HOW TO CHANGE YOUR MIND;by Michael Pollan;,FLY GIRLS;by Keith O'Brien;
7,LONG ROAD TO MERCY;by David Baldacci;5 weeks on the list,PAST TENSE;by Lee Child;6 weeks on the list,CRAZY RICH ASIANS;by Kevin Kwan;34 weeks on the list,SAPIENS;by Yuval Noah Harari;51 weeks on the list,THE FIFTH RISK;by Michael Lewis;9 weeks on the list,WHITE FRAGILITY;by Robin DiAngelo;23 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;105 weeks on the list,WISHTREE;by Katherine Applegate. Illustrated by Charles Santoso;55 weeks on the list,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;254 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;490 weeks on the list,GIRLS OF PAPER AND FIRE;by Natasha Ngan;6 weeks on the list,LOOK ALIVE TWENTY-FIVE;by Janet Evanovich;,THE POWER OF HABIT;by Charles Duhigg;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,THE BODY KEEPS THE SCORE;by Bessel van der Kolk;,BOBBY: MY STORY IN PICTURES;by Bobby Orr;
8,OF BLOOD AND BONE;by Nora Roberts;2 weeks on the list,LONG ROAD TO MERCY;by David Baldacci;5 weeks on the list,THE NIGHTINGALE;by Kristin Hannah;26 weeks on the list,BRIEF ANSWERS TO THE BIG QUESTIONS;by Stephen Hawking;9 weeks on the list,SHADE;by Pete Souza;9 weeks on the list,ANDREW JACKSON AND THE MIRACLE OF NEW ORLEANS;by Brian Kilmeade and Don Yaeger;8 weeks on the list,SALT FAT ACID HEAT;by Samin Nosrat. Illustrated by Wendy MacNaughton;12 weeks on the list,MAX EINSTEIN: THE GENIUS EXPERIMENT;by James Patterson and Chris Grabenstein. Illustrated by Beverly Johnson;10 weeks on the list,GRUMPY MONKEY;by Suzanne Lang. Illustrated by Max Lang;New this week,TO ALL THE BOYS I'VE LOVED BEFORE;by Jenny Han;22 weeks on the list,WHAT IF IT'S US;by Becky Albertalli and Adam Silvera;10 weeks on the list,DARK SACRED NIGHT;by Michael Connelly;,A PEOPLE'S HISTORY OF THE UNITED STATES: 1492 TO PRESENT;by Howard Zinn;,PRINCIPLES;by Ray Dalio;,BEING MORTAL;by Atul Gawande;,BELICHICK;by Ian O'Connor;
9,NINE PERFECT STRANGERS;by Liane Moriarty;6 weeks on the list,NINE PERFECT STRANGERS;by Liane Moriarty;6 weeks on the list,ALL THE LIGHT WE CANNOT SEE;by Anthony Doerr;63 weeks on the list,SHADE;by Pete Souza;7 weeks on the list,BEASTIE BOYS BOOK;by Michael Diamond and Adam Horovitz;7 weeks on the list,HOMO DEUS;by Yuval Noah Harari;3 weeks on the list,YOU ARE A BADASS;by Jen Sincero;150 weeks on the list,LOUISIANA'S WAY HOME;by Kate DiCamillo;10 weeks on the list,"ROSIE REVERE, ENGINEER;by Andrea Beaty. Illustrated by David Roberts;145 weeks on the list",BABY-SITTERS CLUB GRAPHIX;by Ann M. Martin; various illustrators;14 weeks on the list,THE POET X;by Elizabeth Acevedo;6 weeks on the list,EVERY BREATH;by Nicholas Sparks;,THE DICHOTOMY OF LEADERSHIP;by Jocko Willink and Leif Babin;,GRIT;by Angela Duckworth;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",FOOTBALL FOR A BUCK;by Jeff Pearlman;
10,THE TATTOOIST OF AUSCHWITZ;by Heather Morris;14 weeks on the list,ELEVATION;by Stephen King;7 weeks on the list,LESS;by Andrew Sean Greer;30 weeks on the list,FEAR;by Bob Woodward;14 weeks on the list,FEAR;by Bob Woodward;14 weeks on the list,THE BODY KEEPS THE SCORE;by Bessel van der Kolk;8 weeks on the list,CRAVINGS: HUNGRY FOR MORE;by Chrissy Teigen and Adeena Sussman;7 weeks on the list,"MAC B., KID SPY: MAC UNDERCOVER;by Mac Barnett. Illustrated by Mike Lowery;4 weeks on the list",SANTA BRUCE;by Ryan T. Higgins;5 weeks on the list,THE LAST KIDS ON EARTH;by Max Brallier. Illustrated by Douglas Holgate;15 weeks on the list,DRY;by Neal Shusterman and Jarrod Shusterman;4 weeks on the list,KINGDOM OF THE BLIND;by Louise Penny;,21 LESSONS FOR THE 21ST CENTURY;by Yuval Noah Harari;,THE MAGNOLIA STORY;by Chip Gaines and Joanna Gaines with Mark Dagostino;,INFINITE WONDER;by Scott Kelly;,UNBROKEN;by Laura Hillenbrand;
