,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade E-Book,Children’s Middle Grade Hardcover,Children’s Middle Grade Paperback,Children’s Picture Books,Children’s Series,Young Adult E-Book,Young Adult Hardcover,Young Adult Paperback,Animals,Business,Celebrities,Crime and Punishment,Culture,Education,Espionage,Expeditions,"Fashion, Manners and Customs",Food and Diet,Games and Activities,Health,Humor,Love and Relationships,Parenthood and Family,Politics and American History,Race and Civil Rights,"Religion, Spirituality and Faith",Science,Sports and Fitness,Travel
1,THE WHISTLER;by John Grisham;6 weeks on the list,THE WHISTLER;by John Grisham;6 weeks on the list,A MAN CALLED OVE;by Fredrik Backman;49 weeks on the list,,,THE MAGNOLIA STORY;by Chip Gaines and Joanna Gaines with Mark Dagostino;7 weeks on the list,KILLING THE RISING SUN;by Bill O'Reilly and Martin Dugard;12 weeks on the list,ALEXANDER HAMILTON;by Ron Chernow;60 weeks on the list,THE MAGNOLIA STORY;by Chip Gaines and Joanna Gaines with Mark Dagostino;6 weeks on the list,COOKING FOR JEFFREY;by Ina Garten;6 weeks on the list,"DANTDM: TRAYAURUS AND THE ENCHANTED CRYSTAL;by Dan Middleton, Doreen Mulryan and Mike Love;6 weeks on the list",GHOSTS;by Raina Telgemeier;12 weeks on the list,"THE LEGEND OF ZELDA: LEGENDARY EDITION, VOL. 1;by Akira Himekawa;5 weeks on the list",THE GIRL WHO DRANK THE MOON;by Kelly Barnhill;New this week,THE HAMMER OF THOR;by Rick Riordan;9 weeks on the list,THE ONE AND ONLY IVAN;by Katherine Applegate. Illustrated by Patricia Castelao;69 weeks on the list,GIVE PLEASE A CHANCE;by Bill O'Reilly and James Patterson;3 weeks on the list,HARRY POTTER;by J.K. Rowling;402 weeks on the list,SIX OF CROWS;by Leigh Bardugo;6 weeks on the list,COURAGE TO SOAR;by Simone Biles with Michelle Burford;3 weeks on the list,FIVE NIGHTS AT FREDDY'S: THE SILVER EYES;by Scott Cawthon and Kira Breed-Wrisley;10 weeks on the list,LET ME TELL YOU ABOUT JASPER ...;by Dana Perino;,THE MAGNOLIA STORY;by Chip Gaines and Joanna Gaines with Mark Dagostino;,THE MAGNOLIA STORY;by Chip Gaines and Joanna Gaines with Mark Dagostino;,FILTHY RICH;by James Patterson and John Connolly with Tim Malloy;,BORN A CRIME;by Trevor Noah;,GRIT;by Angela Duckworth;,ROGUE HEROES;by Ben Macintyre;,"ATLAS OBSCURA;by Joshua Foer, Dylan Thuras and Ella Morton;",DOMINO;by the editors of domino;,COOKING FOR JEFFREY;by Ina Garten;,VOLO'S GUIDE TO MONSTERS;by Wizards RPG Team;,MEDICAL MEDIUM LIFE-CHANGING FOODS;by Anthony William;,SCRAPPY LITTLE NOBODY;by Anna Kendrick;,THE FIVE LOVE LANGUAGES;by Gary Chapman;,LOVE WARRIOR;by Glennon Doyle Melton;,KILLING THE RISING SUN;by Bill O'Reilly and Martin Dugard;,BORN A CRIME;by Trevor Noah;,SHAKEN;by Tim Tebow;,WHEN BREATH BECOMES AIR;by Paul Kalanithi;,SHAKEN;by Tim Tebow;,"ATLAS OBSCURA;by Joshua Foer, Dylan Thuras and Ella Morton;"
2,TWO BY TWO;by Nicholas Sparks;9 weeks on the list,CROSS THE LINE;by James Patterson;2 weeks on the list,THE GIRL ON THE TRAIN;by Paula Hawkins;21 weeks on the list,,,KILLING THE RISING SUN;by Bill O'Reilly and Martin Dugard;12 weeks on the list,THE MAGNOLIA STORY;by Chip Gaines and Joanna Gaines with Mark Dagostino;7 weeks on the list,THOMAS JEFFERSON AND THE TRIPOLI PIRATES;by Brian Kilmeade and Don Yaeger;7 weeks on the list,TALKING AS FAST AS I CAN;by Lauren Graham;New this week,APPETITES;by Anthony Bourdain with Laurie Woolever;6 weeks on the list,BATMAN: THE KILLING JOKE;by Alan Moore and Brian Bolland;233 weeks on the list,THE BABY-SITTERS CLUB: BOX SET;by Ann M. Martin and Raina Telgemeier;New this week,"ONE–PUNCH MAN, VOL. 9;by ONE and Yusuke Murata;5 weeks on the list",THE HAMMER OF THOR;by Rick Riordan;9 weeks on the list,GRAVITY FALLS: JOURNAL 3;by Rob Renzetti and Alex Hirsch. Illustrated by Andy Gonsalves and Stephanie Ramirez;19 weeks on the list,SERAFINA AND THE BLACK CLOAK;by Robert Beatty;21 weeks on the list,"TAKE HEART, MY CHILD;by Ainsley Earhardt with Kathryn Cristaldi. Illustrated by Jaime Kim;3 weeks on the list",DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;403 weeks on the list,I'LL GIVE YOU THE SUN;by Jandy Nelson;New this week,HEARTLESS;by Marissa Meyer;4 weeks on the list,THE BOOK THIEF;by Markus Zusak;69 weeks on the list,THE LION IN THE LIVING ROOM;by Abigail Tucker;,THANK YOU FOR BEING LATE;by Thomas L. Friedman;,SETTLE FOR MORE;by Megyn Kelly;,JUST MERCY;by Bryan Stevenson;,HAMILTON: THE REVOLUTION;by Lin-Manuel Miranda and Jeremy McCarter;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",DONOVAN;by William Stephenson and Richard Dunlop;,SULLY;by Chesley B. Sullenberger III with Jeffrey Zaslow;,PRIMATES OF PARK AVENUE;by Wednesday Martin;,APPETITES;by Anthony Bourdain with Laurie Woolever;,STRESS RELIEF COLORING BOOK;by the Adult Coloring Book Designs staff;,WHEN BREATH BECOMES AIR;by Paul Kalanithi;,SUPERFICIAL;by Andy Cohen;,UNINVITED;by Lysa TerKeurst;,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;,SETTLE FOR MORE;by Megyn Kelly;,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;,THE BOOK OF JOY;by the Dalai Lama and Desmond Tutu with Douglas Abrams;,THE HIDDEN LIFE OF TREES;by Peter Wohlleben;,A LIFE WELL PLAYED;by Arnold Palmer;,THE ROAD TO LITTLE DRIBBLING;by Bill Bryson;
3,CROSS THE LINE;by James Patterson;2 weeks on the list,TWO BY TWO;by Nicholas Sparks;9 weeks on the list,MILK AND HONEY;by Rupi Kaur;34 weeks on the list,,,TALKING AS FAST AS I CAN;by Lauren Graham;New this week,TALKING AS FAST AS I CAN;by Lauren Graham;New this week,THE BOYS IN THE BOAT;by Daniel James Brown;132 weeks on the list,HILLBILLY ELEGY;by J.D. Vance;19 weeks on the list,YOU ARE A BADASS;by Jen Sincero;47 weeks on the list,THE BEST AMERICAN COMICS 2016;edited by Roz Chast and Bill Kartalopoulos;9 weeks on the list,DRAMA;by Raina Telgemeier;173 weeks on the list,"TOKYO GHOUL, VOL. 1;by Sui Ishida;74 weeks on the list",THE SWORD OF SUMMER;by Rick Riordan;53 weeks on the list,WONDER;by R.J. Palacio;69 weeks on the list,A LONG WALK TO WATER;by Linda Sue Park;69 weeks on the list,THE NIGHT BEFORE CHRISTMAS;by Clement C. Moore. Various illustrators;68 weeks on the list,DORK DIARIES;by Rachel Renée Russell;184 weeks on the list,AN EMBER IN THE ASHES;by Sabaa Tahir;4 weeks on the list,DAN AND PHIL GO OUTSIDE;by Dan Howell and Phil Lester;5 weeks on the list,AN EMBER IN THE ASHES;by Sabaa Tahir;6 weeks on the list,DOUG THE PUG;by Leslie Mosier;,BUILDING THE INTERNET OF THINGS;by Maciej Kranz;,BORN TO RUN;by Bruce Springsteen;,THE DEVIL IN THE WHITE CITY;by Erik Larson;,THE DAILY SHOW (THE BOOK);by Chris Smith;,THING EXPLAINER;by Randall Munroe;,THE SECRET WAR;by Max Hastings;,INTO THE WILD;by Jon Krakauer;,TABLE MANNERS;by Jeremiah Tower. Illustrated by Libby VanderPloeg;,MEDICAL MEDIUM LIFE-CHANGING FOODS;by Anthony William;,HARRY POTTER COLORING BOOK;by various illustrators;,THE TRUTH ABOUT CANCER;by Ty M. Bollinger;,BORN A CRIME;by Trevor Noah;,LOVE WARRIOR;by Glennon Doyle Melton;,LUCKY BASTARD;by Joe Buck;,HILLBILLY ELEGY;by J.D. Vance;,THE NEW JIM CROW;by Michelle Alexander;,THE FOUR AGREEMENTS;by Don Miguel Ruiz;,SAPIENS;by Yuval Noah Harari;,COURAGE TO SOAR;by Simone Biles with Michelle Burford;,SULLY;by Chesley B. Sullenberger III with Jeffrey Zaslow;
4,NO MAN'S LAND;by David Baldacci;3 weeks on the list,TURBO TWENTY-THREE;by Janet Evanovich;3 weeks on the list,MY GRANDMOTHER ASKED ME TO TELL YOU SHE'S SORRY;by Fredrik Backman;33 weeks on the list,,,SETTLE FOR MORE;by Megyn Kelly;3 weeks on the list,SETTLE FOR MORE;by Megyn Kelly;3 weeks on the list,THE ROAD TO LITTLE DRIBBLING;by Bill Bryson;6 weeks on the list,KILLING THE RISING SUN;by Bill O'Reilly and Martin Dugard;12 weeks on the list,THE BROKEN WAY;by Ann Voskamp;2 weeks on the list,SNOW WHITE;by Matt Phelan;8 weeks on the list,"THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;182 weeks on the list","DRAGONS RIOTING, VOL. 5;by Tsuyoshi Watanabe;New this week",THE HIDDEN ORACLE;by Rick Riordan;31 weeks on the list,DOG MAN;by Dav Pilkey;14 weeks on the list,OUT OF MY MIND;by Sharon M. Draper;69 weeks on the list,THE BOOK WITH NO PICTURES;by B.J. Novak;113 weeks on the list,RUSH REVERE;by Rush Limbaugh with Kathryn Adams Limbaugh;22 weeks on the list,RUINED;by Amy Tintera;New this week,THE SUN IS ALSO A STAR;by Nicola Yoon;5 weeks on the list,A MONSTER CALLS;by Patrick Ness. Illustrated by Jim Kay;17 weeks on the list,SECRET SERVICE DOGS;by Maria Goodavage;,GRIT;by Angela Duckworth;,SCRAPPY LITTLE NOBODY;by Anna Kendrick;,MY OWN WORDS;by Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams;,SAPIENS;by Yuval Noah Harari;,I AM MALALA;by Malala Yousafzai with Christina Lamb;,THE GHOST ARMY OF WORLD WAR II;by Rick Beyer and Elizabeth Seyles;,DEAD WAKE;by Erik Larson;,THE RESIDENCE;by Kate Andersen Brower;,SKINNYTASTE FAST AND SLOW;by Gina Homolka with Heather K. Jones;,THE LEGO IDEAS BOOK;by Daniel Lipkowitz;,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;,THE GIRL WITH THE LOWER BACK TATTOO;by Amy Schumer;,DARING GREATLY;by Brené Brown;,GO THE -- TO SLEEP;by Adam Mansbach. Illustrated by Ricardo Cortés;,OUR REVOLUTION;by Bernie Sanders;,JUST MERCY;by Bryan Stevenson;,UNINVITED;by Lysa TerKeurst;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",THE BOYS IN THE BOAT;by Daniel James Brown;,HUMANS OF NEW YORK: STORIES;by Brandon Stanton;
5,NIGHT SCHOOL;by Lee Child;4 weeks on the list,NO MAN'S LAND;by David Baldacci;3 weeks on the list,15TH AFFAIR;by James Patterson and Maxine Paetro;4 weeks on the list,,,HILLBILLY ELEGY;by J.D. Vance;19 weeks on the list,BORN TO RUN;by Bruce Springsteen;10 weeks on the list,THE NEW JIM CROW;by Michelle Alexander;139 weeks on the list,YES PLEASE;by Amy Poehler;17 weeks on the list,SKINNYTASTE FAST AND SLOW;by Gina Homolka with Heather K. Jones;8 weeks on the list,MOEBIUS LIBRARY: THE WORLD OF EDENA;by Jean (Moebius) Giraud;4 weeks on the list,"THE WALKING DEAD COMPENDIUM, VOL. 3;by Robert Kirkman and Charlie Adlard;36 weeks on the list","ONE-PUNCH MAN, VOL. 1;by ONE and Yusuke Murata;65 weeks on the list",SERAFINA AND THE BLACK CLOAK;by Robert Beatty;21 weeks on the list,THE HIDDEN ORACLE;by Rick Riordan;31 weeks on the list,INSIDE OUT AND BACK AGAIN;by Thanhha Lai;19 weeks on the list,"ADA TWIST, SCIENTIST;by Andrea Beaty. Illustrated by David Roberts;13 weeks on the list",MISS PEREGRINE’S PECULIAR CHILDREN;by Ransom Riggs;63 weeks on the list,THE THOUSANDTH FLOOR;by Katharine McGee;2 weeks on the list,STAR WARS: AHSOKA;by E. K. Johnston;8 weeks on the list,THE CABIN;by Natasha Preston;12 weeks on the list,SUSIE'S SENIOR DOGS;by Erin Stanton;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",SUPERFICIAL;by Andy Cohen;,NOTORIOUS RBG;by Irin Carmon and Shana Knizhnik;,THE CASE OF BEASTS;by Mark Salisbury;,THE SIGNAL AND THE NOISE;by Nate Silver;,SECRET SERVICE DOGS;by Maria Goodavage;,PACIFIC;by Simon Winchester;,MODERN CIVILITY;by Cynthia W. Lett;,THE WHOLE30;by Melissa Hartwig and Dallas Hartwig;,PLAYER'S HANDBOOK;by Wizards RPG Team;,BEING MORTAL;by Atul Gawande;,THE DAILY SHOW (THE BOOK);by Chris Smith;,WHY NOT ME?;by Mindy Kaling;,THE GLASS CASTLE;by Jeannette Walls;,THANK YOU FOR BEING LATE;by Thomas L. Friedman;,MARCH TRILOGY;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;,"THINK BETTER, LIVE BETTER;by Joel Osteen;",THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,GUNSLINGER;by Jeff Pearlman;,THE HOTEL ON PLACE VENDOME;by Tilar J. Mazzeo;
6,A MAN CALLED OVE;by Fredrik Backman;28 weeks on the list,NIGHT SCHOOL;by Lee Child;4 weeks on the list,THE ALCHEMIST;by Paulo Coelho;417 weeks on the list,,,BORN TO RUN;by Bruce Springsteen;10 weeks on the list,HILLBILLY ELEGY;by J.D. Vance;19 weeks on the list,WE SHOULD ALL BE FEMINISTS;by Chimamanda Ngozi Adichie;7 weeks on the list,BORN A CRIME;by Trevor Noah;3 weeks on the list,THUG KITCHEN;by the staff of Thug Kitchen;53 weeks on the list,BRIEF HISTORIES OF EVERYDAY OBJECTS;by Andy Warner;New this week,"THE WALKING DEAD COMPENDIUM, VOL. 2;by Robert Kirkman and Charlie Adlard;105 weeks on the list","TOKYO GHOUL, VOL. 9;by Sui Ishida;7 weeks on the list",,THE SWORD OF SUMMER;by Rick Riordan;48 weeks on the list,ESCAPE FROM MR. LEMONCELLO’S LIBRARY;by Chris Grabenstein;65 weeks on the list,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;180 weeks on the list,MIDDLE SCHOOL;by James Patterson and others;27 weeks on the list,,MOON CHOSEN;by P. C. Cast;7 weeks on the list,"LET IT SNOW;by John Green, Maureen Johnson and Lauren Myracle;4 weeks on the list",BEING A DOG;by Alexandra Horowitz;,DESIGNING YOUR LIFE;by Bill Burnett and Dave Evans;,BORN A CRIME;by Trevor Noah;,SISTERS IN LAW;by Linda Hirshman;,SPQR;by Mary Beard;,THE GIFT OF FAILURE;by Jessica Lahey;,A MAN CALLED INTREPID;by William Stevenson;,THE INVENTION OF NATURE;by Andrea Wulf;,UNMENTIONABLE;by Therese Oneill;,THUG KITCHEN;by the staff of Thug Kitchen;,SECRET GARDEN;illustrated by Johanna Basford;,10-DAY GREEN SMOOTHIE CLEANSE;by J. J. Smith;,IN SUCH GOOD COMPANY;by Carol Burnett;,MODERN ROMANCE;by Aziz Ansari with Eric Klinenberg;,PRIMATES OF PARK AVENUE;by Wednesday Martin;,STRANGERS IN THEIR OWN LAND;by Arlie Russell Hochschild;,MARCH: BOOK ONE;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;,THE BROKEN WAY;by Ann Voskamp;,BEING MORTAL;by Atul Gawande;,LUCKY BASTARD;by Joe Buck;,HUMANS OF NEW YORK;by Brandon Stanton;
7,TURBO TWENTY-THREE;by Janet Evanovich;3 weeks on the list,PRINCE LESTAT AND THE REALMS OF ATLANTIS;by Anne Rice;New this week,THE SELLOUT;by Paul Beatty;6 weeks on the list,,,SHAKEN;by Tim Tebow;4 weeks on the list,SHAKEN;by Tim Tebow;6 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;113 weeks on the list",THE BOYS IN THE BOAT;by Daniel James Brown;112 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;182 weeks on the list,FIGHT CLUB 2;by Chuck Palahniuk and Cameron Stewart;23 weeks on the list,SMILE;by Raina Telgemeier;234 weeks on the list,"BLACK BUTLER, VOL. 23;by Yana Toboso;2 weeks on the list",,PAX;Sara Pennypacker. Illustrated by Jon Klassen;41 weeks on the list,COUNTING BY 7s;by Holly Goldberg Sloan;35 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;62 weeks on the list,THE MAZE RUNNER;by James Dashner;187 weeks on the list,,SCYTHE;by Neal Shusterman;2 weeks on the list,NERVE;by Jeanne Ryan;21 weeks on the list,THE SOUL OF AN OCTOPUS;by Sy Montgomery;,THE POWER OF HABIT;by Charles Duhigg;,THE GIRL WITH THE LOWER BACK TATTOO;by Amy Schumer;,DREAMLAND;by Sam Quinones;,THE GODFATHER NOTEBOOK;by Francis Ford Coppola;,HOW TO RAISE AN ADULT;by Julie Lythcott-Haims;,GEORGE WASHINGTON'S SECRET SIX;by Brian Kilmeade and Don Yaeger;,BARBARIAN DAYS;by William Finnegan;,STONED;by Aja Raden;,ALTON BROWN:  EVERYDAYCOOK;by Alton Brown;,MARVEL ENCYCLOPEDIA;by Matt Forbeck;,THE GRAIN BRAIN WHOLE LIFE PLAN;by David Perlmutter with Kristin Loberg;,KATHY GRIFFIN'S CELEBRITY RUN-INS;by Kathy Griffin;,PRIMATES OF PARK AVENUE;by Wednesday Martin;,HUNGRY HEART;by Jennifer Weiner;,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;,THEY CAN'T KILL US ALL;by Wesley Lowery;,THE POWER OF NOW;by Eckhart Tolle;,THE POWER OF HABIT;by Charles Duhigg;,SHOE DOG;by Phil Knight;,PACIFIC;by Simon Winchester;
8,THE GIRL ON THE TRAIN;by Paula Hawkins;93 weeks on the list,THE WRONG SIDE OF GOODBYE;by Michael Connelly;5 weeks on the list,ARRIVAL;by Ted Chiang;3 weeks on the list,,,HAMILTON: THE REVOLUTION;by Lin-Manuel Miranda and Jeremy McCarter;27 weeks on the list,HAMILTON: THE REVOLUTION;by Lin-Manuel Miranda and Jeremy McCarter;33 weeks on the list,JUST MERCY;by Bryan Stevenson;55 weeks on the list,SETTLE FOR MORE;by Megyn Kelly;3 weeks on the list,THE FOOD LAB;by J. Kenji Lopez-Alt;12 weeks on the list,NATHAN HALE’S HAZARDOUS TALES: ALAMO ALL–STARS;by Nathan Hale;29 weeks on the list,SISTERS;by Raina Telgemeier;111 weeks on the list,"TOKYO GHOUL, VOL. 2;by Sui Ishida;42 weeks on the list",,WOMEN IN SCIENCE;by Rachel Ignotofsky;9 weeks on the list,PERCY JACKSON'S GREEK GODS;by Rick Riordan. Illustrated by John Rocco;21 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;146 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;415 weeks on the list,,THIS IS WHERE IT ENDS;by Marieke Nijkamp;29 weeks on the list,THIRTEEN REASONS WHY;by Jay Asher;18 weeks on the list,H IS FOR HAWK;by Helen Macdonald;,SHOE DOG;by Phil Knight;,THE DAILY SHOW (THE BOOK);by Chris Smith;,AL CAPONE;by Deirdre Bair;,SPEAKING AMERICAN;by Josh Katz;,ON WRITING;by Stephen King;,THE LAST GOODNIGHT;by Howard Blum;,THE WRIGHT BROTHERS;by David McCullough;,HOW TO TIE A SCARF;by the staff of Potter Style;,THE FOOD LAB;by J. Kenji Lopez-Alt;,MONSTER MANUAL;by Wizards RPG Team;,BELLEVUE;by David Oshinsky;,YUGE!;by G. B. Trudeau;,HUNGRY HEART;by Jennifer Weiner;,H IS FOR HAWK;by Helen Macdonald;,THE NEW JIM CROW;by Michelle Alexander;,MARCH: BOOK THREE;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;,PRESENT OVER PERFECT;by Shauna Niequist;,WHAT IF?;by Randall Munroe;,WON FOR THE AGES;by the staff of the Chicago Tribune;,BARBARIAN DAYS;by William Finnegan;
9,THE WRONG SIDE OF GOODBYE;by Michael Connelly;5 weeks on the list,SMALL GREAT THINGS;by Jodi Picoult;8 weeks on the list,"IN A DARK, DARK WOOD;by Ruth Ware;28 weeks on the list",,,THANK YOU FOR BEING LATE;by Thomas L. Friedman;2 weeks on the list,OUR REVOLUTION;by Bernie Sanders;3 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;90 weeks on the list,SUPERFICIAL;by Andy Cohen;3 weeks on the list,CRAVINGS;by Chrissy Teigen with Adeena Sussman;24 weeks on the list,MUHAMMAD ALI;by Sybille Titeux de la Croix and Amazing Ameziane;New this week,MARCH TRILOGY;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;3 weeks on the list,"BLACK BUTLER, VOL. 1;by Yana Toboso;47 weeks on the list",,SERAFINA AND THE TWISTED STAFF;by Robert Beatty;5 weeks on the list,I AM MALALA;by Malala Yousafzai with Patricia McCormick;23 weeks on the list,WHAT DO YOU DO WITH AN IDEA?;by Kobi Yamada. Illustrated by Mae Besom;14 weeks on the list,RANGER’S APPRENTICE;by John Flanagan;79 weeks on the list,,LADY MIDNIGHT;by Cassandra Clare;32 weeks on the list,RED QUEEN;by Victoria Aveyard;26 weeks on the list,NO BETTER FRIEND;by Robert Weintraub;,OUTLIERS;by Malcolm Gladwell;,NOT DEAD YET;by Phil Collins;,THE COURT AND THE WORLD;by Stephen Breyer;,FRANTUMAGLIA;by Elena Ferrante;,MATHEMATICAL MINDSETS;by Jo Boaler;,THE SECRET HISTORY OF WORLD WAR II;by Neil Kagan and Stephen G. Hyslop;,WILD;by Cheryl Strayed;,JOHN DERIAN PICTURE BOOK;by John Derian;,DEEP RUN ROOTS;by Vivian Howard;,ENCHANTED FOREST;illustrated by Johanna Basford;,ON LIVING;by Kerry Egan;,WHY NOT ME?;by Mindy Kaling;,HEMINGWAY IN LOVE;by A. E. Hotchner;,"CARRY ON, WARRIOR;by Glennon Doyle Melton;",WHITE TRASH;by Nancy Isenberg;,THE WARMTH OF OTHER SUNS;by Isabel Wilkerson;,THE WITCHES;by Stacy Schiff;,QUIET;by Susan Cain;,THE AMERICAN FISHERMAN;by Willie Robertson and William Doyle;,THE WRIGHT BROTHERS;by David McCullough;
10,PRINCE LESTAT AND THE REALMS OF ATLANTIS;by Anne Rice;New this week,THE WHOLE TOWN'S TALKING;by Fannie Flagg;New this week,THE SYMPATHIZER;by Viet Thanh Nguyen;5 weeks on the list,,,OUR REVOLUTION;by Bernie Sanders;3 weeks on the list,THANK YOU FOR BEING LATE;by Thomas L. Friedman;2 weeks on the list,OUTLIERS;by Malcolm Gladwell;227 weeks on the list,THANK YOU FOR BEING LATE;by Thomas L. Friedman;2 weeks on the list,THE CASE OF BEASTS;by Mark Salisbury;2 weeks on the list,STAR WARS: THE ORIGINAL TRILOGY;by the staff of the Lucas Film Book Group;15 weeks on the list,THE BABY-SITTERS CLUB GRAPHIX: KRISTY'S GREAT IDEA;by Ann M. Martin and Raina Telgemeier;72 weeks on the list,"FAIRY TAIL, VOL. 57;by Hiro Mashima;New this week",,THE WILD ROBOT;by Peter Brown;8 weeks on the list,THE WAR THAT SAVED MY LIFE;by Kimberly Brubaker Bradley;18 weeks on the list,WAITING IS NOT EASY!;by Mo Willems;41 weeks on the list,WHATEVER AFTER;by Sarah Mlynowski;4 weeks on the list,,CHILDREN OF EDEN;by Joey Graceffa;8 weeks on the list,THE CELLAR;by Natasha Preston;16 weeks on the list,INSIDE OF A DOG;by Alexandra Horowitz;,TOGETHER IS BETTER;by Simon Sinek;,TESTIMONY;by Robbie Robertson;,AMERICAN HEIRESS;by Jeffrey Toobin;,ABSOLUTELY ON MUSIC;by Haruki Murakami and Seiji Ozawa;,WEAPONS OF MATH DESTRUCTION;by Cathy O'Neil;,THE PIGEON TUNNEL;by John le Carré;,THE OREGON TRAIL;by Rinker Buck;,AMERICAN DREAMER;by Tommy Hilfiger with Peter Knobler;,CRAVINGS;by Chrissy Teigen with Adeena Sussman;,THE WILD UNKNOWN TAROT DECK AND GUIDEBOOK;by Kim Krans;,"GET WHAT'S YOURS;by Laurence J. Kotlikoff, Philip Moeller and Paul Solman;",MODERN ROMANCE;by Aziz Ansari with Eric Klinenberg;,H IS FOR HAWK;by Helen Macdonald;,HOW TO LOVE;by Thich Nhat Hanh. Illustrated by Jason DeAntonis;,JUST MERCY;by Bryan Stevenson;,HIDDEN FIGURES;by Margot Lee Shetterly;,ON LIVING;by Kerry Egan;,"WELCOME TO THE UNIVERSE;by Neil deGrasse Tyson, Michael A. Strauss and J. Richard Gott;",RUN FAST. EAT SLOW;by Shalane Flanagan and Elyse Kopecky;,LION;by Saroo Brierley;
