,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Hardcover & Paperback Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Combined Hardcover & Paperback Nonfiction,Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series,Hardcover Business Books,Paperback Business Books,Politics and American History
1,FIFTY SHADES OF GREY;by E. L. James;18 weeks on the list,GONE GIRL;by Gillian Flynn;4 weeks on the list,FIFTY SHADES OF GREY;by E. L. James;16 weeks on the list,,,FIFTY SHADES OF GREY;by E. L. James;,"BECOMING SISTER WIVES;by Kody, Meri, Janelle, Christine and Robyn Brown;New this week",WILD;by Cheryl Strayed;11 weeks on the list,IN THE GARDEN OF BEASTS;by Erik Larson;9 weeks on the list,"BECOMING SISTER WIVES;by Kody, Meri, Janelle, Christine and Robyn Brown;New this week",THE SKINNY RULES;by Bob Harper with Greg Critser;7 weeks on the list,TO HEAVEN AND BACK;by Mary C. Neal;5 weeks on the list,WILD;by Cheryl Strayed;,A GAME OF THRONES;by George R.R. Martin;9 weeks on the list,"AVATAR: THE LAST AIRBENDER, PART 2;by Gene Luen Yang and others;5 weeks on the list","BAKUMAN, VOL. 11;by Tsugumi Ohba;New this week",BETWEEN THE LINES;by Jodi Picoult and Samantha van Leer;New this week,DIVERGENT;by Veronica Roth;18 weeks on the list,THE FANTASTIC FLYING BOOKS OF MR. MORRIS LESSMORE;by William Joyce. Illustrated by William Joyce and Joe Bluhm;2 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;97 weeks on the list,STEVE JOBS;by Walter Isaacson;,OUTLIERS;by Malcolm Gladwell;,AMATEUR;by Edward Klein;
2,FIFTY SHADES DARKER;by E. L. James;18 weeks on the list,WICKED BUSINESS;by Janet Evanovich;2 weeks on the list,FIFTY SHADES DARKER;by E. L. James;13 weeks on the list,,,FIFTY SHADES DARKER;by E. L. James;,WILD;by Cheryl Strayed;11 weeks on the list,AMATEUR;by Edward Klein;7 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;69 weeks on the list,WILD;by Cheryl Strayed;15 weeks on the list,WHEAT BELLY;by William Davis;12 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;568 weeks on the list,AMATEUR;by Edward Klein;,"BATMAN: THE BLACK GLOVE, DELUXE EDITION;by Grant Morrison and others;New this week","THE WALKING DEAD, RISE OF THE GOVERNOR;by Robert Kirkman and Jay Bonansinga;2 weeks on the list",ALICE IN THE COUNTRY OF CLOVER: BLOODY TWINS;by  QuinRose and Mamenosuke Fujimaru;2 weeks on the list,INSURGENT;by Veronica Roth;9 weeks on the list,ONE DIRECTION: DARE TO DREAM;by the members of One Direction;6 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;39 weeks on the list",DORK DIARIES;by Rachel Renée Russell;39 weeks on the list,IMAGINE;by Jonah Lehrer;,TIPPING POINT;by Malcolm Gladwell;,UNBROKEN;by Laura Hillenbrand;
3,FIFTY SHADES FREED;by E. L. James;17 weeks on the list,BLOODLINE;by James Rollins;New this week,FIFTY SHADES FREED;by E. L. James;13 weeks on the list,,,FIFTY SHADES FREED;by E. L. James;,UNBROKEN;by Laura Hillenbrand;75 weeks on the list,UNBROKEN;by Laura Hillenbrand;85 weeks on the list,OUTLIERS;by Malcolm Gladwell;56 weeks on the list,UNBROKEN;by Laura Hillenbrand;75 weeks on the list,THE 17 DAY DIET;by Mike Moreno;59 weeks on the list,EAT TO LIVE;by Joel Fuhrman;51 weeks on the list,UNBROKEN;by Laura Hillenbrand;,BATMAN: THE COURT OF OWLS;by Scott Snyder and Greg Capullo;7 weeks on the list,SMILE;by Raina Telgemeier;23 weeks on the list,"THE DROPS OF GOD, VOL. 4;by Tadashi Agi;New this week",THE FAULT IN OUR STARS;by John Green;25 weeks on the list,THE PERKS OF BEING A WALLFLOWER;by Stephen Chbosky;4 weeks on the list,PETE THE CAT AND HIS FOUR GROOVY BUTTONS;by Eric Litwin. Illustrated by James Dean;9 weeks on the list,KANE CHRONICLES;by Rick Riordan;9 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;,IT WORKED FOR ME;by Colin Powell with Tony Koltz;
4,GONE GIRL;by Gillian Flynn;4 weeks on the list,SUMMERLAND;by Elin Hilderbrand;New this week,BARED TO YOU;by Sylvia Day;3 weeks on the list,,,THE LITIGATORS;by John Grisham;,AMATEUR;by Edward Klein;7 weeks on the list,AMERICAN SON;by Marco Rubio;2 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;277 weeks on the list,WHAT REALLY HAPPENED;by Rielle Hunter;New this week,AMERICAN GROWN;by Michelle Obama;5 weeks on the list,VISION;by Gordon D'Angelo;New this week,AMERICAN SON;by Marco Rubio;,JOURNALISM;by Joe Sacco;2 weeks on the list,"AVATAR: THE LAST AIRBENDER, PART 1;by Gene Luen Yang and others;16 weeks on the list","BLEACH, VOL. 40;by Tite Kubo;4 weeks on the list",MIDDLE SCHOOL: GET ME OUT OF HERE!;by James Patterson and Chris Tebbetts;8 weeks on the list,THE BOOK THIEF;by Markus Zusak;251 weeks on the list,PRESS HERE;by Hervé Tullet;54 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;181 weeks on the list,UNINTENDED CONSEQUENCES;by Edward Conard;,DRIVE;by Daniel H. Pink;,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;
5,BARED TO YOU;by Sylvia Day;4 weeks on the list,MISSION TO PARIS;by Alan Furst;3 weeks on the list,COMING HOME;by Karen Kingsbury;New this week,,,GONE GIRL;by Gillian Flynn;,WHAT REALLY HAPPENED;by Rielle Hunter;New this week,COWARDS;by Glenn Beck and Kevin Balfe;3 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;85 weeks on the list,AMATEUR;by Edward Klein;7 weeks on the list,THE BLOOD SUGAR SOLUTION;by Mark Hyman;15 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;257 weeks on the list,COWARDS;by Glenn Beck and Kevin Balfe;,ARE YOU MY MOTHER?;by Alison Bechdel;9 weeks on the list,"THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;51 weeks on the list","ATTACK ON TITAN, VOL. 1;by Hajime Isayama;New this week",MISS PEREGRINE'S HOME FOR PECULIAR CHILDREN;by Ransom Riggs and Cassandra Jean;56 weeks on the list,BRAVE: THE JUNIOR NOVELIZATION;adapted by Irene Trimble;4 weeks on the list,PETE THE CAT: I LOVE MY WHITE SHOES;by Eric Litwin. Illustrated by James Dean;23 weeks on the list,FALLEN;by Lauren Kate;13 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;","HOW TO BE RICHER, SMARTER, AND BETTER-LOOKING THAN YOUR PARENTS;by Zac Bissonnette;",COWARDS;by Glenn Beck and Kevin Balfe;
6,BLOODLINE;by James Rollins;New this week,THE AGE OF MIRACLES;by Karen Thompson Walker;New this week,ABRAHAM LINCOLN: VAMPIRE HUNTER;by Seth Grahame-Smith;18 weeks on the list,,,BARED TO YOU;by Sylvia Day;,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;39 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;40 weeks on the list,BOSSYPANTS;by Tina Fey;26 weeks on the list,I FEEL BAD ABOUT MY NECK;by Nora Ephron;New this week,THE TOOLS;by Phil Stutz and Barry Michels;5 weeks on the list,THE HAPPINESS PROJECT;by Gretchen Rubin;69 weeks on the list,IN THE GARDEN OF BEASTS;by Erik Larson;,"DETECTIVE COMICS, VOL. 1;by Tony S. Daniel;3 weeks on the list",NINJAGO: RISE OF THE SERPENTINE;by Greg Farshtey and Paul Lee;6 weeks on the list,"YU-GI-OH! ZEXAL, VOL. 1;by Kazuki Takahashi, Shin Yoshida and Naohito Miyoshi;4 weeks on the list",THE GOLDEN LILY;by Richelle Mead;3 weeks on the list,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;133 weeks on the list,THE LORAX;by Dr. Seuss;20 weeks on the list,PRETTY LITTLE LIARS;by Sara Shepard;66 weeks on the list,CHARGE;by Brendon Burchard;,THE CHECKLIST MANIFESTO;by Atul Gawande;,THE GREAT DESTROYER;by David Limbaugh;
7,SUMMERLAND;by Elin Hilderbrand;New this week,CALICO JOE;by John Grisham;12 weeks on the list,THE LITIGATORS;by John Grisham;New this week,,,ABRAHAM LINCOLN: VAMPIRE HUNTER;by Seth Grahame-Smith;,IN THE GARDEN OF BEASTS;by Erik Larson;44 weeks on the list,"YES, CHEF;by Marcus Samuelsson;New this week",THE EIGHTY-DOLLAR CHAMPION;by Elizabeth Letts;5 weeks on the list,LET'S PRETEND THIS NEVER HAPPENED;by Jenny Lawson;11 weeks on the list,THE LAST LECTURE;by Randy Pausch with Jeffrey Zaslow;115 weeks on the list,THE BOOK OF BURGER;by Rachael Ray;4 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;,KICK-ASS 2;by Mark Millar and John Romita Jr.;3 weeks on the list,"THE WALKING DEAD, VOL. 1;by Robert Kirkman and Tony Moore;124 weeks on the list","TENJO TENGE, VOL. 7;by Oh! Great Staff;2 weeks on the list",THE SON OF NEPTUNE;by Rick Riordan;39 weeks on the list,THE LOST HERO;by Rick Riordan;13 weeks on the list,THE DUCKLING GETS A COOKIE!?;by Mo Willems;13 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;254 weeks on the list,THE PRICE OF INEQUALITY;by Joseph E. Stiglitz;,RICH AND THE REST OF US;by Tavis Smiley and Cornel West;,THE PASSAGE OF POWER;by Robert A. Caro;
8,FIFTY SHADES TRILOGY;by E. L. James;11 weeks on the list,A DANCE WITH DRAGONS;by George R. R. Martin;47 weeks on the list,RULES OF CIVILITY;by Amor Towles;New this week,,,WICKED BUSINESS;by Janet Evanovich;,"YES, CHEF;by Marcus Samuelsson;New this week","BECOMING SISTER WIVES;by Kody, Meri, Janelle, Christine and Robyn Brown;New this week",THE DEVIL IN THE WHITE CITY;by Erik Larson;223 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;40 weeks on the list,DARTH VADER AND SON;by Jeffrey Brown;4 weeks on the list,FORKS OVER KNIVES;edited by Gene Stone;38 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,BATMAN: DEATH BY DESIGN;by Chip Kidd and Dave Taylor;4 weeks on the list,"THE BOYS, VOL. 11;by Russ Braun;New this week","BLEACH, VOL. 41;by Tite Kubo;3 weeks on the list",WONDER;by R.J. Palacio;15 weeks on the list,MATCHED;by Ally Condie;41 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;2 weeks on the list,THE MAZE RUNNER;by James Dashner;29 weeks on the list,SCREWED!;by Dick Morris and Eileen McGann;,MONEYBALL;by Michael Lewis;,CRONKITE;by Douglas Brinkley;
9,COMING HOME;by Karen Kingsbury;New this week,CANADA;by Richard Ford;6 weeks on the list,THE ALCHEMIST;by Paulo Coelho;225 weeks on the list,,,BLOODLINE;by James Rollins;,AMERICAN SON;by Marco Rubio;2 weeks on the list,WHAT REALLY HAPPENED;by Rielle Hunter;New this week,BORN TO RUN;by Christopher McDougall;66 weeks on the list,STEVE JOBS;by Walter Isaacson;36 weeks on the list,THE PIONEER WOMAN COOKS;by Ree Drummond;16 weeks on the list,CRAZY LOVE;by Francis Chan with Danae Yankoski;83 weeks on the list,"YES, CHEF;by Marcus Samuelsson;","BATWOMAN, VOL. 1;by J. H. Williams III and W. Haden Blackman;2 weeks on the list",NINJAGO: MASK OF THE SENSEI;by Greg Farshtey and Paulo Herique;11 weeks on the list,"NEON GENESIS EVANGELION, VOL. 11;by Osamu Takahashi;2 weeks on the list","NANCY CLANCY, SECRET ADMIRER;by Jane O'Connor. Illustrated by Robin Preiss Glasser;13 weeks on the list",THIRTEEN REASONS WHY;by Jay Asher;52 weeks on the list,I WANT MY HAT BACK;by Jon Klassen;29 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;62 weeks on the list,"HOW WILL YOU MEASURE YOUR LIFE?;by Clayton M. Christensen, James Allworth and Karen Dillon;",THE BIG SHORT;by Michael Lewis;,THE PRESIDENTS CLUB;by Nancy Gibbs and Michael Duffy;
10,ONCE BURNED;by Jeaniene Frost;New this week,THE THIRD GATE;by Lincoln Child;3 weeks on the list,MAINE;by J. Courtney Sullivan;5 weeks on the list,,,COMING HOME;by Karen Kingsbury;,COWARDS;by Glenn Beck and Kevin Balfe;3 weeks on the list,IT WORKED FOR ME;by Colin Powell with Tony Koltz;6 weeks on the list,I FEEL BAD ABOUT MY NECK;by Nora Ephron;6 weeks on the list,"YES, CHEF;by Marcus Samuelsson;New this week",THE DUKAN DIET;by Pierre Dukan;28 weeks on the list,"ACT LIKE A LADY, THINK LIKE A MAN;by Steve Harvey with Denene Millner;20 weeks on the list","BECOMING SISTER WIVES;by Kody, Meri, Janelle, Christine and Robyn Brown;",DARK TOWER: THE GUNSLINGER — THE WAY STATION;by Robin Furth and Peter David;New this week,"DMZ, VOL. 12;by Brian Wood and Riccardo Burchielli;2 weeks on the list","NARUTO, VOL. 56;by Masashi Kishimoto;6 weeks on the list",CHOMP;by Carl Hiaasen;12 weeks on the list,OUT OF MY MIND;by Sharon M. Draper;8 weeks on the list,LADYBUG GIRL AND BINGO;by David Soman and Jacky Davis;9 weeks on the list,WARRIORS;by Erin Hunter;113 weeks on the list,END THIS DEPRESSION NOW!;by Paul Krugman;,"I, STEVE;edited by George Beahm;",FEARLESS;by Eric Blehm;
