,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Audio Fiction,Audio Nonfiction,Business,Science,Sports and Fitness
1,UNDER CURRENTS;by Nora Roberts;New this week,WHERE THE CRAWDADS SING;by Delia Owens;45 weeks on the list,BEFORE WE WERE YOURS;by Lisa Wingate;8 weeks on the list,THREE WOMEN;by Lisa Taddeo;New this week,EDUCATED;by Tara Westover;73 weeks on the list,THE MUELLER REPORT;with related materials by The Washington Post;12 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;135 weeks on the list,DIARY OF AN AWESOME FRIENDLY KID;by Jeff Kinney;14 weeks on the list,THE PIGEON HAS TO GO TO SCHOOL!;by Mo Willems;2 weeks on the list,DOG MAN;by Dav Pilkey;98 weeks on the list,THE HATE U GIVE;by Angie Thomas;124 weeks on the list,WHERE THE CRAWDADS SING;by Delia Owens;,BECOMING;by Michelle Obama;,DARE TO LEAD;by Brené Brown;,SAPIENS;by Yuval Noah Harari;,RANGE;by David Epstein;
2,WHERE THE CRAWDADS SING;by Delia Owens;44 weeks on the list,UNDER CURRENTS;by Nora Roberts;New this week,THE TATTOOIST OF AUSCHWITZ;by Heather Morris;45 weeks on the list,EDUCATED;by Tara Westover;73 weeks on the list,THREE WOMEN;by Lisa Taddeo;New this week,BORN A CRIME;by Trevor Noah;22 weeks on the list,"GIRL, WASH YOUR FACE;by Rachel Hollis;66 weeks on the list",WONDER;by R.J. Palacio;205 weeks on the list,MOON'S FIRST FRIENDS;by Susanna Leonard Hill. Illustrated by Elisa Paganelli;2 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;539 weeks on the list,WILDER GIRLS;by Rory Power;New this week,CITY OF GIRLS;by Elizabeth Gilbert;,EDUCATED;by Tara Westover;,RANGE;by David Epstein;,THE BODY KEEPS THE SCORE;by Bessel van der Kolk;,THE SIXTH MAN;by Andre Iguodala with Carvell Wallace;
3,SUMMER OF '69;by Elin Hilderbrand;4 weeks on the list,SUMMER OF '69;by Elin Hilderbrand;4 weeks on the list,LITTLE FIRES EVERYWHERE;by Celeste Ng;10 weeks on the list,JUSTICE ON TRIAL;by Mollie Hemingway and Carrie Severino;New this week,THE PIONEERS;by David McCullough;10 weeks on the list,SAPIENS;by Yuval Noah Harari;61 weeks on the list,"GIRL, STOP APOLOGIZING;by Rachel Hollis;19 weeks on the list",POPULARMMOS PRESENTS ENTER THE MINE;by Pat and Jen from PopularMMOs. Illustrated by Dani Jones;6 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;193 weeks on the list,HARRY POTTER;by J.K. Rowling;538 weeks on the list,FIVE FEET APART;by Rachael Lippincott with Mikki Daughtry and Tobias Iaconis;32 weeks on the list,GOOD OMENS;by Neil Gaiman and Terry Pratchett;,MAYBE YOU SHOULD TALK TO SOMEONE;by Lori Gottlieb;,BAD BLOOD;by John Carreyrou;,HOW TO CHANGE YOUR MIND;by Michael Pollan;,WOLFPACK;by Abby Wambach;
4,THE RECKONING;by John Grisham;22 weeks on the list,CITY OF GIRLS;by Elizabeth Gilbert;6 weeks on the list,THE OVERSTORY;by Richard Powers;14 weeks on the list,THE PIONEERS;by David McCullough;10 weeks on the list,BECOMING;by Michelle Obama;35 weeks on the list,WHITE FRAGILITY;by Robin DiAngelo;53 weeks on the list,DARE TO LEAD;by Brené Brown;25 weeks on the list,REFUGEE;by Alan Gratz;63 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;280 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;179 weeks on the list,"GHOSTS OF THE SHADOW MARKET;by Cassandra Clare, Sarah Rees Brennan, Maureen Johnson, Kelly Link and Robin Wasserman;6 weeks on the list",THE SILENT PATIENT;by Alex Michaelides;,BORN A CRIME;by Trevor Noah;,"I WILL TEACH YOU TO BE RICH, SECOND EDITION;by Ramit Sethi;",ONE GIANT LEAP;by Charles Fishman;,THE MVP MACHINE;by Ben Lindbergh and Travis Sawchik;
5,KNIFE;by Jo Nesbo;New this week,BACKLASH;by Brad Thor;3 weeks on the list,THE RECKONING;by John Grisham;4 weeks on the list,BECOMING;by Michelle Obama;35 weeks on the list,UNFREEDOM OF THE PRESS;by Mark R. Levin;8 weeks on the list,OUTLIERS;by Malcolm Gladwell;282 weeks on the list,YOU ARE A BADASS;by Jen Sincero;180 weeks on the list,WISHTREE;by Katherine Applegate. Illustrated by Charles Santoso;74 weeks on the list,WAITING IS NOT EASY!;by Mo Willems;58 weeks on the list,THE BAD GUYS;by Aaron Blabey;39 weeks on the list,THE REST OF THE STORY;by Sarah Dessen;6 weeks on the list,FALL; OR DODGE IN HELL;by Neal Stephenson;,SAPIENS;by Yuval Noah Harari;,ATOMIC HABITS;by James Clear;,UNDERLAND;by Robert Macfarlane;,K;by Tyler Kepner;
6,BEFORE WE WERE YOURS;by Lisa Wingate;44 weeks on the list,KNIFE;by Jo Nesbo;New this week,THE WOMAN IN THE WINDOW;by A.J. Finn;19 weeks on the list,UNFREEDOM OF THE PRESS;by Mark R. Levin;8 weeks on the list,JUSTICE ON TRIAL;by Mollie Hemingway and Carrie Severino;New this week,THE BODY KEEPS THE SCORE;by Bessel van der Kolk;38 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;278 weeks on the list,KATT VS. DOGG;by James Patterson and Chris Grabenstein. Illustrated by Anuki Lopez;15 weeks on the list,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;278 weeks on the list,SERAFINA;by Robert Beatty;3 weeks on the list,ON THE COME UP;by Angie Thomas;23 weeks on the list,A CLASH OF KINGS;by George R.R. Martin;,SIEGE;by Michael Wolff;,OUTLIERS;by Malcolm Gladwell;,BEING MORTAL;by Atul Gawande;,PLAY HUNGRY;by Pete Rose;
7,CITY OF GIRLS;by Elizabeth Gilbert;6 weeks on the list,THE CHAIN;by Adrian McKinty;New this week,ELEANOR OLIPHANT IS COMPLETELY FINE;by Gail Honeyman;58 weeks on the list,AMERICA'S RELUCTANT PRINCE;by Steven M. Gillon;New this week,AMERICA'S RELUCTANT PRINCE;by Steven M. Gillon;New this week,CALYPSO;by David Sedaris;6 weeks on the list,EVERYTHING IS F*CKED;by Mark Manson;9 weeks on the list,A WOLF CALLED WANDER;by Rosanne Parry. Illustrated by Mónica Armiño;9 weeks on the list,WE DON'T EAT OUR CLASSMATES!;by Ryan T. Higgins;13 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;510 weeks on the list,CHILDREN OF BLOOD AND BONE;by Tomi Adeyemi;71 weeks on the list,A GAME OF THRONES;by George R.R. Martin;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",BALLPARK;by Paul Goldberger;
8,BACKLASH;by Brad Thor;3 weeks on the list,LOST AND FOUND;by Danielle Steel;3 weeks on the list,GOOD OMENS;by Neil Gaiman and Terry Pratchett;6 weeks on the list,THE MUELLER REPORT;with related materials by The Washington Post;12 weeks on the list,SONGS OF AMERICA;by Jon Meacham and Tim McGraw;5 weeks on the list,HOW TO CHANGE YOUR MIND;by Michael Pollan;9 weeks on the list,MAKE YOUR BED;by William H. McRaven;70 weeks on the list,A BEAUTIFUL DAY IN THE NEIGHBORHOOD;by Fred Rogers. Illustrated by Luke Flowers;13 weeks on the list,"ROSIE REVERE, ENGINEER;by Andrea Beaty. Illustrated by David Roberts;161 weeks on the list",WHO WAS/IS . . . ?;by Jim Gigliotti and others; various illustrators;83 weeks on the list,WITH THE FIRE ON HIGH;by Elizabeth Acevedo;10 weeks on the list,HEADS WILL ROLL;by Kate McKinnon and Emily Lynne;,RANGE;by David Epstein;,GRIT;by Angela Duckworth;,ELDERHOOD;by Louise Aronson;,ALL THE WAY;by Joe Namath with Sean Mortimer and Don Yaeger;
9,THE TATTOOIST OF AUSCHWITZ;by Heather Morris;44 weeks on the list,EVVIE DRAKE STARTS OVER;by Linda Holmes;3 weeks on the list,A GENTLEMAN IN MOSCOW;by Amor Towles;16 weeks on the list,BORN A CRIME;by Trevor Noah;52 weeks on the list,THE SECOND MOUNTAIN;by David Brooks;13 weeks on the list,JUST MERCY;by Bryan Stevenson;161 weeks on the list,STAY SEXY AND DON'T GET MURDERED;by Karen Kilgariff and Georgia Hardstark;7 weeks on the list,ARU SHAH AND THE SONG OF DEATH;by Roshani Chokshi;11 weeks on the list,THE BOOK WITH NO PICTURES;by B.J. Novak;163 weeks on the list,DORK DIARIES;by Rachel Renée Russell;293 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;82 weeks on the list,SUMMER OF '69;by Elin Hilderbrand;,MIDNIGHT IN CHERNOBYL;by Adam Higginbotham;,WOLFPACK;by Abby Wambach;,WHY WE SLEEP;by Matthew Walker;,UNBROKEN;by Laura Hillenbrand;
10,LITTLE FIRES EVERYWHERE;by Celeste Ng;42 weeks on the list,MRS. EVERYTHING;by Jennifer Weiner;5 weeks on the list,THE HANDMAID'S TALE;by Margaret Atwood;94 weeks on the list,SAPIENS;by Yuval Noah Harari;77 weeks on the list,THE BRITISH ARE COMING;by Rick Atkinson;9 weeks on the list,GRIT;by Angela Duckworth;46 weeks on the list,ATOMIC HABITS;by James Clear;3 weeks on the list,BLENDED;by Sharon M. Draper;14 weeks on the list,I WISH YOU MORE;by Amy Krouse Rosenthal. Illustrated by Tom Lichtenheld;53 weeks on the list,DESCENDANTS;by Melissa de la Cruz;23 weeks on the list,"DEAR EVAN HANSEN: THE NOVEL;by Val Emmich with Steven Levenson, Benj Pasek & Justin Paul;32 weeks on the list",UNSOLVED;by James Patterson and David Ellis;,UNFREEDOM OF THE PRESS;by Mark R. Levin;,PRINCIPLES;by Ray Dalio;,CONSCIOUS;by Annaka Harris;,DARKNESS TO LIGHT;by Lamar Odom and Chris Palmer;
