,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Animals,Business,Celebrities,Food and Diet,Humor,Love and Relationships,Parenthood and Family,Politics and American History,"Religion, Spirituality and Faith",Science,Sports and Fitness,Travel
1,PERSONAL;by Lee Child;New this week,PERSONAL;by Lee Child;New this week,GONE GIRL;by Gillian Flynn;20 weeks on the list,,,WHAT IF?;by Randall Munroe;New this week,WHAT IF?;by Randall Munroe;New this week,UNBROKEN;by Laura Hillenbrand;6 weeks on the list,THE BOYS IN THE BOAT;by Daniel James Brown;33 weeks on the list,WHAT I KNOW FOR SURE;by Oprah Winfrey;New this week,KILL MY MOTHER;by Jules Feiffer;3 weeks on the list,SISTERS;by Raina Telgemeier;3 weeks on the list,"YU-GI-OH! 5D'S, VOL. 6;by Masahiro Hikokubo and Masashi Sato;New this week",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;63 weeks on the list,THE MAZE RUNNER;by James Dashner;100 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,THE GRUMPY GUIDE TO LIFE;by Grumpy Cat staff;,OUTLIERS;by Malcolm Gladwell;,IS EVERYONE HANGING OUT WITHOUT ME?;by Mindy Kaling;,10-DAY GREEN SMOOTHIE CLEANSE;by J. J. Smith;,IS EVERYONE HANGING OUT WITHOUT ME?;by Mindy Kaling;,THE FIVE LOVE LANGUAGES;by Gary Chapman;,THE GLASS CASTLE;by Jeannette Walls;,UNBROKEN;by Laura Hillenbrand;,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;,IN THE KINGDOM OF ICE;by Hampton Sides;,UNBROKEN;by Laura Hillenbrand;,WILD;by Cheryl Strayed;
2,SOMEWHERE SAFE WITH SOMEBODY GOOD;by Jan Karon;New this week,SOMEWHERE SAFE WITH SOMEBODY GOOD;by Jan Karon;New this week,ORPHAN TRAIN;by Christina Baker Kline;55 weeks on the list,,,UNBROKEN;by Laura Hillenbrand;169 weeks on the list,UNPHILTERED;by Phil Robertson with Mark Schlabach;New this week,THE BOYS IN THE BOAT;by Daniel James Brown;15 weeks on the list,UNBROKEN;by Laura Hillenbrand;188 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;74 weeks on the list,SECONDS;by Bryan Lee O'Malley;8 weeks on the list,"FABLES, VOL. 20;by Bill Willingham and Mark Buckingham;New this week","ONE PIECE, VOL. 72;by Eiichiro Oda;New this week",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;153 weeks on the list",DIVERGENT;by Veronica Roth;46 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,A FRIEND LIKE HENRY;by Nuala Gardner;,THE PATH BETWEEN THE SEAS;by David McCullough;,TAKING THE LEAD;by Derek Hough;,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;,LET'S EXPLORE DIABETES WITH OWLS;by David Sedaris;,DARING GREATLY;by Brené Brown;,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;,AMERICA;by Dinesh D'Souza;,THE POWER OF NOW;by Eckhart Tolle;,QUIET;by Susan Cain;,THE BOYS IN THE BOAT;by Daniel James Brown;,HUMANS OF NEW YORK;by Brandon Stanton;
3,THE EYE OF HEAVEN;by Clive Cussler and Russell Blake;New this week,THE BONE CLOCKS;by David Mitchell;New this week,THE ALCHEMIST;by Paulo Coelho;320 weeks on the list,,,THE BOYS IN THE BOAT;by Daniel James Brown;16 weeks on the list,ONE NATION;by Ben Carson with Candy Carson;16 weeks on the list,OUTLIERS;by Malcolm Gladwell;170 weeks on the list,WHAT IF?;by Randall Munroe;New this week,100 DAYS OF REAL FOOD;by Lisa Leake;2 weeks on the list,CAN'T WE TALK ABOUT SOMETHING MORE PLEASANT?;by Roz Chast;18 weeks on the list,"AMULET, VOL. 6;by Kazu Kibuishi;3 weeks on the list","ATTACK ON TITAN, VOL. 13;by Hajime Isayama;2 weeks on the list",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,PRESS HERE;by Hervé Tullet;156 weeks on the list,GIVER QUARTET;by Lois Lowry;55 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,NEVER TURN YOUR BACK ON AN ANGUS COW;by Jan Pol with David Fisher;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",DEAR CARY;by Dyan Cannon;,IT STARTS WITH FOOD;by Dallas and Melissa Hartwig;,THE GRUMPY GUIDE TO LIFE;by Grumpy Cat staff;,LOVE DOES;by Bob Goff;,ETCHED IN SAND;by Regina Calcaterra;,A SPY AMONG FRIENDS;by Ben Macintyre;,KILLING JESUS;by Bill O'Reilly and Martin Dugard;,THE HOT ZONE;by Richard Preston;,THE CLOSER;by Mariano Rivera with Wayne Coffey;,CARSICK;by John Waters;
4,GONE GIRL;by Gillian Flynn;93 weeks on the list,THE SECRET PLACE;by Tana French;New this week,SYCAMORE ROW;by John Grisham;3 weeks on the list,,,UNPHILTERED;by Phil Robertson with Mark Schlabach;New this week,DIARY OF A MAD DIVA;by Joan Rivers;4 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;199 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;154 weeks on the list,IT STARTS WITH FOOD;by Dallas and Melissa Hartwig;17 weeks on the list,THE TRUTH IS A CAVE IN THE BLACK MOUNTAINS;by Neil Gaiman and Eddie Campbell;12 weeks on the list,PERSEPOLIS;by Marjane Satrapi;37 weeks on the list,"NISEKOI: FALSE LOVE, VOL. 5;by Naoshi Komi;New this week",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;38 weeks on the list,THRONE OF GLASS;by Sarah J. Maas;New this week,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,ELEPHANT COMPANY;by Vicki Constantine Croke;,THE POWER OF HABIT;by Charles Duhigg;,BOSSYPANTS;by Tina Fey;,WHEAT BELLY;by William Davis;,MY DRUNK KITCHEN;by Hannah Hart;,"I'VE NEVER BEEN TO VEGAS, BUT MY LUGGAGE HAS;by Mandy Hale;",HOW TO TALK SO KIDS WILL LISTEN AND LISTEN SO KIDS WILL TALK;by Adele Faber and Elaine Mazlish;,ONE NATION;by Ben Carson with Candy Carson;,JESUS > RELIGION;by Jefferson Bethke;,DAVID AND GOLIATH;by Malcolm Gladwell;,BECOMING A SUPPLE LEOPARD;by Kelly Starrett and Glen Cordoza;,UGANDA BE KIDDING ME;by Chelsea Handler;
5,THE SECRET PLACE;by Tana French;New this week,THE EYE OF HEAVEN;by Clive Cussler and Russell Blake;New this week,THE BEST OF ME;by Nicholas Sparks;28 weeks on the list,,,DIARY OF A MAD DIVA;by Joan Rivers;2 weeks on the list,IN THE KINGDOM OF ICE;by Hampton Sides;5 weeks on the list,WILD;by Cheryl Strayed;76 weeks on the list,DIARY OF A MAD DIVA;by Joan Rivers;2 weeks on the list,THE BEST YES;by Lysa TerKeurst;4 weeks on the list,BATMAN: THE KILLING JOKE;by Alan Moore and Brian Bolland;131 weeks on the list,"MAUS: A SURVIVOR’S TALE, VOL. 1;by Art Spiegelman;49 weeks on the list","POKEMON ADVENTURES, VOL. 24;by Hidenori Kusaka and Satoshi Yamamoto;New this week",THE ICKABOG;by J.K. Rowling;26 weeks on the list,PETE THE CAT: I LOVE MY WHITE SHOES;by Eric Litwin. Illustrated by James Dean;107 weeks on the list,I AM NUMBER FOUR;by Pittacus Lore;21 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,FROM BAGHDAD TO AMERICA;by Jay Kopelman;,#GIRLBOSS;by Sophia Amoruso;,THE CLOSER;by Mariano Rivera with Wayne Coffey;,MY DRUNK KITCHEN;by Hannah Hart;,BOSSYPANTS;by Tina Fey;,TATTOOS ON THE HEART;by Gregory Boyle;,HOW CHILDREN SUCCEED;by Paul Tough;,THE PATH BETWEEN THE SEAS;by David McCullough;,PROOF OF HEAVEN;by Eben Alexander;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",BEN HOGAN;by James Dodson;,TRAVELS WITH CASEY;by Benoit Denizet-Lewis;
6,OUTLANDER;by Diana Gabaldon;6 weeks on the list,COLORLESS TSUKURU TAZAKI AND HIS YEARS OF PILGRIMAGE;by Haruki Murakami;4 weeks on the list,FIFTY SHADES OF GREY;by E. L. James;123 weeks on the list,,,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;132 weeks on the list,AMERICA;by Dinesh D'Souza;9 weeks on the list,THE NEW JIM CROW;by Michelle Alexander;87 weeks on the list,UNPHILTERED;by Phil Robertson with Mark Schlabach;New this week,THE MYSTERY OF THE SHEMITAH;by Jonathan Cahn;New this week,SHOPLIFTER;by Michael Cho;New this week,THE COMPLETE PERSEPOLIS;by Marjane Satrapi;23 weeks on the list,TIME KILLERS: KAZUE KATO SHORT STORY COLLECTION;by Kazue Kato;New this week,WONDER;by R.J. Palacio;295 weeks on the list,"ROSIE REVERE, ENGINEER;by Andrea Beaty. Illustrated by David Roberts;26 weeks on the list",CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;51 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,THE STOLEN DOG;by Tricia O'Malley;,THE ORGANIZED MIND;by Daniel J. Levitin;,I'LL BE BACK RIGHT AFTER THIS;by Pat O'Brien;,100 DAYS OF REAL FOOD;by Lisa Leake;,HYPERBOLE AND A HALF;by Allie Brosh;,THE JOURNAL OF BEST PRACTICES;by David Finch;,ENRIQUE'S JOURNEY;by Sonia Nazario;,THE FIRST FAMILY DETAIL;by Ronald Kessler;,THE UNTETHERED SOUL;by Michael A. Singer;,THE POWER OF HABIT;by Charles Duhigg;,MY CONFERENCE CAN BEAT YOUR CONFERENCE;by Paul Finebaum and Gene Wojciechowski;,A WALK IN THE WOODS;by Bill Bryson;
7,MEAN STREAK;by Sandra Brown;3 weeks on the list,THE LONG WAY HOME;by Louise Penny;2 weeks on the list,DARK PLACES;by Gillian Flynn;58 weeks on the list,,,WILD;by Cheryl Strayed;77 weeks on the list,THE ORGANIZED MIND;by Daniel J. Levitin;3 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;35 weeks on the list,WILD;by Cheryl Strayed;111 weeks on the list,THE WISDOM OF OZ;by Roger Connors and Tom Smith;New this week,"THE GRAVEYARD BOOK, VOL. 1;by Neil Gaiman, P. Craig Russell and others;6 weeks on the list",FUN HOME;by Alison Bechdel;24 weeks on the list,"MONSTER MUSUME, VOL. 4;by Okayado;3 weeks on the list",REFUGEE;by Alan Gratz;129 weeks on the list,OTIS AND THE SCARECROW;by Loren Long;New this week,THE MORTAL INSTRUMENTS;by Cassandra Clare;156 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,HAATCHI AND LITTLE B;by Wendy Holden;,CAPITAL IN THE TWENTY-FIRST CENTURY;by Thomas Piketty;,TIBETAN PEACH PIE;by Tom Robbins;,THE DOCTOR'S DIET;by Travis Stork;,DIARY OF A MAD DIVA;by Joan Rivers;,THE LOVE DARE;by Stephen Kendrick and Alex Kendrick with Lawrence Kimbrough;,THE WHOLE-BRAIN CHILD;by Daniel J. Siegel and Tina Payne Bryson;,HARD CHOICES;by Hillary Rodham Clinton;,I DARED TO CALL HIM FATHER;by Bilquis Sheikh with Richard H. Schneider;,THE ORGANIZED MIND;by Daniel J. Levitin;,I'LL BE BACK RIGHT AFTER THIS;by Pat O'Brien;,COCKPIT CONFIDENTIAL;by Patrick Smith;
8,DARK BLOOD;by Christine Feehan;New this week,THE GOLDFINCH;by Donna Tartt;46 weeks on the list,OUTLANDER;by Diana Gabaldon;5 weeks on the list,,,IN THE KINGDOM OF ICE;by Hampton Sides;5 weeks on the list,THE TEACHER WARS;by Dana Goldstein;New this week,ORANGE IS THE NEW BLACK;by Piper Kerman;57 weeks on the list,ORANGE IS THE NEW BLACK;by Piper Kerman;58 weeks on the list,10-DAY GREEN SMOOTHIE CLEANSE;by J. J. Smith;9 weeks on the list,"INJUSTICE: GODS AMONG US, VOL. 2;by Tom Taylor, Mike S. Miller, Tom Derenick;9 weeks on the list",THE WRENCHIES;by Farel Dalrymple;New this week,"SKIP BEAT!, VOL. 33;by Yoshiki Nakamura;New this week",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,PETE THE CAT AND THE NEW GUY;by Kimberly Dean and James Dean;5 weeks on the list,THE SELECTION;by Kiera Cass;17 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,INSIDE OF A DOG;by Alexandra Horowitz;,THINK LIKE A FREAK;by Steven D. Levitt and Stephen J. Dubner;,THE GARNER FILES;by James Garner and Jon Winokur;,THE BILLIONAIRE'S VINEGAR;by Benjamin Wallace;,CAN'T WE TALK ABOUT SOMETHING MORE PLEASANT?;by Roz Chast;,THE SWEET POTATO QUEENS' BOOK OF LOVE;by Jill Conner Browne;,GO THE -- TO SLEEP;by Adam Mansbach. Illustrated by Ricardo Cortés;,BLOOD FEUD;by Edward Klein;,WAKING UP IN HEAVEN;by Crystal McVea;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,WHEN THE GAME STANDS TALL;by Neil Hayes;,NYC BASIC TIPS AND ETIQUETTE;by Nathan W. Pyle;
9,BIG LITTLE LIES;by Liane Moriarty;6 weeks on the list,BIG LITTLE LIES;by Liane Moriarty;6 weeks on the list,THIS IS WHERE I LEAVE YOU;by Jonathan Tropper;6 weeks on the list,,,ORANGE IS THE NEW BLACK;by Piper Kerman;36 weeks on the list,UNBROKEN;by Laura Hillenbrand;185 weeks on the list,QUIET;by Susan Cain;84 weeks on the list,ELVIS AND GINGER;by Ginger Alden;New this week,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;70 weeks on the list,"SCOTT PILGRIM, VOL.5;by Bryan Lee O'Malley;4 weeks on the list",MARCH: BOOK ONE;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;37 weeks on the list,"ATTACK ON TITAN, VOL. 1;by Hajime Isayama;65 weeks on the list",GROUND ZERO;by Alan Gratz;10 weeks on the list,LADYBUG GIRL AND THE DRESS-UP DILEMMA;by Jacky Davis. Illustrated by David Soman;2 weeks on the list,EVER AFTER HIGH;by Shannon Hale;2 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,TRAVELS WITH CASEY;by Benoit Denizet-Lewis;,BUSINESS ADVENTURES;by John Brooks;,I DIDN'T COME HERE TO MAKE FRIENDS;by Courtney Robertson with Deb Baer;,PRACTICAL PALEO;by Diane Sanfilippo;,HOW TO SURVIVE A SHARKNADO;by Andrew Shaffer;,"ACT LIKE A LADY, THINK LIKE A MAN;by Steve Harvey with Denene Millner;",CAN'T WE TALK ABOUT SOMETHING MORE PLEASANT?;by Roz Chast;,THE NAZI OFFICER'S WIFE;by Edith H. Beer with Susan Dworkin;,ABSOLUTE MONARCHS;by John Julius Norwich;,THE SMARTEST KIDS IN THE WORLD;by Amanda Ripley;,LUCKIEST MAN;by Jonathan Eig;,THE ULTIMATE SURVIVAL MANUAL;by Rich Johnson and the editors of Outdoor Life;
10,THE BONE CLOCKS;by David Mitchell;New this week,MEAN STREAK;by Sandra Brown;3 weeks on the list,AMERICANAH;by Chimamanda Ngozi Adichie;27 weeks on the list,,,ONE NATION;by Ben Carson with Candy Carson;16 weeks on the list,THINK LIKE A FREAK;by Steven D. Levitt and Stephen J. Dubner;16 weeks on the list,THE HEART OF EVERYTHING THAT IS;by Bob Drury and Tom Clavin;New this week,THE PATH BETWEEN THE SEAS;by David McCullough;5 weeks on the list,EVERYTHING I NEED TO KNOW I LEARNED FROM A LITTLE GOLDEN BOOK;by Diane Muldrow;27 weeks on the list,HOW TO BE HAPPY;by Eleanor Davis;5 weeks on the list,SMILE;by Raina Telgemeier;117 weeks on the list,"HIGH SCHOOL DXD, VOL. 2;by Ichiei Ishibumi and Hiroji Mishima;2 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,UNI THE UNICORN;by Amy Krouse Rosenthal. Illustrated by Brigette Barrager;New this week,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;343 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,GRUMPY CAT;by Grumpy Cat staff;,LEAN IN;by Sheryl Sandberg with Nell Scovell;,JUST KIDS;by Patti Smith;,EAT TO LIVE COOKBOOK;by Joel Fuhrman;,UGANDA BE KIDDING ME;by Chelsea Handler;,TINY BEAUTIFUL THINGS;by Cheryl Strayed;,THE CONSCIOUS PARENT;by Shefali Tsabary;,I AM MALALA;by Malala Yousafzai with Christina Lamb;,A YEAR OF BIBLICAL WOMANHOOD;by Rachel Held Evans;,WORKING STIFF;by Judy Melinek and T. J. Mitchell;,DEVIL AT MY HEELS;by Louis Zamperini and David Rensin;,THE EMERALD MILE;by Kevin Fedarko;
