,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Audio Fiction,Audio Nonfiction,Business,Graphic Books and Manga,Mass Market,Middle Grade Paperback,Young Adult Paperback
1,TROUBLES IN PARADISE;by Elin Hilderbrand;New this week,THE RETURN;by Nicholas Sparks;2 weeks on the list,WALK THE WIRE;by David Baldacci;New this week,HUMANS;by Brandon Stanton;New this week,HUMANS;by Brandon Stanton;New this week,WHITE FRAGILITY;by Robin DiAngelo;110 weeks on the list,MODERN COMFORT FOOD;by Ina Garten;New this week,ROWLEY JEFFERSON'S AWESOME FRIENDLY ADVENTURE;by Jeff Kinney;10 weeks on the list,THE OFFICE: A DAY AT DUNDER MIFFLIN ELEMENTARY;by Robb Pearlman. Illustrated by Melanie Demmer;2 weeks on the list,THE TRIALS OF APOLLO;by Rick Riordan;26 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;29 weeks on the list,BATTLE GROUND;by Jim Butcher;,RAGE;by Bob Woodward;,ATOMIC HABITS;by James Clear;,NEW KID;by Jerry Craft;,THE FAMILY LAWYER;by James Patterson;,THE ONE AND ONLY IVAN;by Katherine Applegate. Illustrated by Patricia Castelao;,WE WERE LIARS;by E. Lockhart;
2,THE SEARCHER;by Tana French;New this week,TROUBLES IN PARADISE;by Elin Hilderbrand;New this week,THE INSTITUTE;by Stephen King;6 weeks on the list,IS THIS ANYTHING?;by Jerry Seinfeld;New this week,IS THIS ANYTHING?;by Jerry Seinfeld;New this week,MY OWN WORDS;by Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams;12 weeks on the list,THE HAPPY IN A HURRY COOKBOOK;by Steve and Kathy Doocy;2 weeks on the list,THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;23 weeks on the list,I PROMISE;by LeBron James. Illustrated by Nina Mata;9 weeks on the list,DOG MAN;by Dav Pilkey;163 weeks on the list,THE HATE U GIVE;by Angie Thomas;189 weeks on the list,DUNE;by Frank Herbert;,DISLOYAL;by Michael Cohen;,DOESN'T HURT TO ASK;by Trey Gowdy;,GUTS;by Raina Telgemeier;,TWISTED TWENTY-SIX;by Janet Evanovich;,A LONG WALK TO WATER;by Linda Sue Park;,DEAR MARTIN;by Nic Stone;
3,THE RETURN;by Nicholas Sparks;2 weeks on the list,LEAVE THE WORLD BEHIND;by Rumaan Alam;New this week,THEN SHE WAS GONE;by Lisa Jewell;65 weeks on the list,THE 99% INVISIBLE CITY;by Roman Mars and Kurt Kohlstedt;New this week,THE 99% INVISIBLE CITY;by Roman Mars and Kurt Kohlstedt;New this week,THE BODY KEEPS THE SCORE;by Bessel van der Kolk;103 weeks on the list,DIDN'T SEE THAT COMING;by Rachel Hollis;2 weeks on the list,A TALE OF WITCHCRAFT...;by Chris Colfer;2 weeks on the list,I DISSENT;by Debbie Levy. Illustrated by Elizabeth Baddeley;6 weeks on the list,THE TWILIGHT SAGA;by Stephenie Meyer;236 weeks on the list,THE LIVES OF SAINTS;by Leigh Bardugo. Illustrated by Daniel J. Zollinger;New this week,THE EVENING AND THE MORNING;by Ken Follett;,THE AUTOBIOGRAPHY OF MALCOLM X;as told to Alex Haley;,THE DYNASTY;by Jeff Benedict;,TEEN TITANS: BEAST BOY;by Kami Garcia. Illustrated by Gabriel Picolo;,BLOODY GENIUS;by John Sandford;,THE GIRL WHO DRANK THE MOON;by Kelly Barnhill;,THE BOOK THIEF;by Markus Zusak;
4,LEAVE THE WORLD BEHIND;by Rumaan Alam;New this week,THE INVISIBLE LIFE OF ADDIE LARUE;by V.E. Schwab;New this week,THE RISE OF MAGICKS;by Nora Roberts;New this week,RAGE;by Bob Woodward;4 weeks on the list,RAGE;by Bob Woodward;4 weeks on the list,SO YOU WANT TO TALK ABOUT RACE;by Ijeoma Oluo;21 weeks on the list,SOLUTIONS AND OTHER PROBLEMS;by Allie Brosh;3 weeks on the list,WOLFPACK;by Abby Wambach;New this week,ALL BECAUSE YOU MATTER;by Tami Charles. Illustrated by Bryan Collier;New this week,SPY SCHOOL;by Stuart Gibbs;10 weeks on the list,ALL THIS TIME;by Mikki Daughtry and Rachael Lippincott;2 weeks on the list,TROUBLED BLOOD;by Robert Galbraith;,BLACKOUT;by Candace Owens;,HOW TO LEAD;by David M. Rubenstein;,BABY-SITTERS LITTLE SISTER: KAREN'S ROLLER SKATES;by Ann M. Martin. Illustrated by Katy Farina;,ONE GOOD DEED;by David Baldacci;,PAX;Sara Pennypacker. Illustrated by Jon Klassen;,ALL AMERICAN BOYS;by Jason Reynolds and Brendan Kiely;
5,THE INVISIBLE LIFE OF ADDIE LARUE;by V.E. Schwab;New this week,THE SEARCHER;by Tana French;New this week,CILKA'S JOURNEY;by Heather Morris;5 weeks on the list,CASTE;by Isabel Wilkerson;10 weeks on the list,CASTE;by Isabel Wilkerson;10 weeks on the list,JUST MERCY;by Bryan Stevenson;226 weeks on the list,THE HOME EDIT;by Clea Shearer and Joanna Teplin;6 weeks on the list,TRISTAN STRONG DESTROYS THE WORLD;by Kwame Mbalia;New this week,UNLIMITED SQUIRRELS: I WANT TO SLEEP UNDER THE STARS!;by Mo Willems;New this week,HARRY POTTER;by J.K. Rowling;603 weeks on the list,A GOOD GIRL'S GUIDE TO MURDER;by Holly Jackson;18 weeks on the list,HEAVEN'S RIVER;by Dennis E. Taylor;,CASTE;by Isabel Wilkerson;,NO RULES RULES;by Reed Hastings and Erin Meyer;,FANGS;by Sarah Andersen;,TRUTH AND JUSTICE;by Fern Michaels;,OUT OF MY MIND;by Sharon M. Draper;,LONG WAY DOWN;by Jason Reynolds;
6,THE EVENING AND THE MORNING;by Ken Follett;4 weeks on the list,MAGIC LESSONS;by Alice Hoffman;New this week,THE HANDMAID'S TALE;by Margaret Atwood;133 weeks on the list,KILLING CRAZY HORSE;by Bill O'Reilly and Martin Dugard;5 weeks on the list,BLACKOUT;by Candace Owens;4 weeks on the list,STAMPED FROM THE BEGINNING;by Ibram X. Kendi;21 weeks on the list,THINK LIKE A MONK;by Jay Shetty;5 weeks on the list,WONDER;by R.J. Palacio;269 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;251 weeks on the list,THE LAST KIDS ON EARTH;by Max Brallier. Illustrated by Douglas Holgate;48 weeks on the list,HOCUS POCUS AND THE ALL-NEW SEQUEL;by A.W. Jantha;23 weeks on the list,THE GUEST LIST;by Lucy Foley;,MELANIA AND ME;by Stephanie Winston Wolkoff;,DARE TO LEAD;by Brené Brown;,"MY HERO ACADEMIA, VOL. 1;by Kohei Horikoshi;",VINCE FLYNN: LETHAL AGENT;by Kyle Mills;,FISH IN A TREE;by Lynda Mullaly Hunt;,THIS BOOK IS ANTI-RACIST;by Tiffany Jewell. Illustrated by Aurélia Durand;
7,MAGIC LESSONS;by Alice Hoffman;New this week,THE EVENING AND THE MORNING;by Ken Follett;4 weeks on the list,LITTLE FIRES EVERYWHERE;by Celeste Ng;75 weeks on the list,BLACKOUT;by Candace Owens;4 weeks on the list,KILLING CRAZY HORSE;by Bill O'Reilly and Martin Dugard;5 weeks on the list,THE TRUTHS WE HOLD;by Kamala Harris;5 weeks on the list,TRUE COMFORT;by Kristin Cavallari;2 weeks on the list,BECOMING MUHAMMAD ALI;by James Patterson and Kwame Alexander;New this week,I AM ENOUGH;by Grace Byers. Illustrated by Keturah A. Bobo;24 weeks on the list,BABY-SITTERS CLUB GRAPHIX;by Ann M. Martin; various illustrators;44 weeks on the list,THE LOST BOOK OF THE WHITE;by Cassandra Clare and Wesley Chu;5 weeks on the list,VINCE FLYNN: TOTAL POWER;by Kyle Mills;,UNTAMED;by Glennon Doyle;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,THE HORRIFYINGLY HAUNTED HACK-A-WEEN;by Meredith Rusu;,OUTFOX;by Sandra Brown;,RESTART;by Gordon Korman;,SADIE;by Courtney Summers;
8,ANXIOUS PEOPLE;by Fredrik Backman;5 weeks on the list,THE BOOK OF TWO WAYS;by Jodi Picoult;3 weeks on the list,THE OVERSTORY;by Richard Powers;64 weeks on the list,UNDAUNTED;by John O. Brennan;New this week,THE MEANING OF MARIAH CAREY;by Mariah Carey with Michaela Angela Davis;2 weeks on the list,THE COLOR OF LAW;by Richard Rothstein;24 weeks on the list,JACQUES PÉPIN QUICK & SIMPLE;by Jacques Pépin;New this week,THE COMPLETE COOKBOOK FOR YOUNG CHEFS;by America's Test Kitchen Kids;78 weeks on the list,WHAT WE'LL BUILD;by Oliver Jeffers;New this week,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;604 weeks on the list,CRUSH;by Tracy Wolff;2 weeks on the list,ALL THE DEVILS ARE HERE;by Louise Penny;,MY OWN WORDS;by Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams;,"THINKING, FAST AND SLOW;by Daniel Kahneman;","MY HERO ACADEMIA, VOL. 2;by Kohei Horikoshi;",WILDFLOWER RIDGE;by Sherryl Woods;,GHOST BOYS;by Jewell Parker Rhodes;,THE BOY IN THE STRIPED PAJAMAS;by John Boyne;
9,THE BOOK OF TWO WAYS;by Jodi Picoult;3 weeks on the list,ANXIOUS PEOPLE;by Fredrik Backman;5 weeks on the list,THIS TENDER LAND;by William Kent Krueger;15 weeks on the list,THE MEANING OF MARIAH CAREY;by Mariah Carey with Michaela Angela Davis;2 weeks on the list,UNTAMED;by Glennon Doyle;31 weeks on the list,THE WARMTH OF OTHER SUNS;by Isabel Wilkerson;41 weeks on the list,ATOMIC HABITS;by James Clear;47 weeks on the list,DIARY OF AN AWESOME FRIENDLY KID;by Jeff Kinney;78 weeks on the list,BUNHEADS;by Misty Copeland. Illustrated by Setor Fiadzigbey;2 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;251 weeks on the list,PUNCHING THE AIR;by Ibi Zoboi and Yusef Salaam;5 weeks on the list,SHADOWS IN DEATH;by J.D. Robb;,MYTHOS;by Stephen Fry;,LIVES OF THE STOICS;by Ryan Holiday and Stephen Hanselman;,"DEMON SLAYER: KIMETSU NO YAIBA, VOL. 1;by Koyoharu Gotouge;",CHILD'S PLAY;by Danielle Steel;,THE WILD ROBOT;by Peter Brown;,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;
10,WALK THE WIRE;by David Baldacci;10 weeks on the list,THE VANISHING HALF;by Brit Bennett;19 weeks on the list,LOVECRAFT COUNTRY;by Matt Ruff;7 weeks on the list,UNTAMED;by Glennon Doyle;31 weeks on the list,UNDAUNTED;by John O. Brennan;New this week,BRAIDING SWEETGRASS;by Robin Wall Kimmerer;26 weeks on the list,"THE BOY, THE MOLE, THE FOX AND THE HORSE;by Charlie Mackesy;47 weeks on the list",THE COMPLETE BAKING BOOK FOR YOUNG CHEFS;by America's Test Kitchen Kids;25 weeks on the list,THE WORLD NEEDS MORE PURPLE PEOPLE;by Kristen Bell and Benjamin Hart. Illustrated by Daniel Wiseman;17 weeks on the list,WHO WAS/IS . . . ?;by Jim Gigliotti and others; various illustrators;103 weeks on the list,DEAR JUSTYCE;by Nic Stone;2 weeks on the list,THRAWN ASCENDANCY: CHAOS RISING;by Timothy Zahn;,KILLING CRAZY HORSE;by Bill O'Reilly and Martin Dugard;,HOW I BUILT THIS;by Guy Raz;,INVESTIGATORS: TAKE THE PLUNGE;by John Patrick Green;,FINDING YOU AGAIN;by Debbie Macomber;,FRONT DESK;by Kelly Yang;,I AM NOT YOUR PERFECT MEXICAN DAUGHTER;by Erika L. Sánchez;
