,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade E-Book,Children’s Middle Grade Hardcover,Children’s Middle Grade Paperback,Children’s Picture Books,Children’s Series,Young Adult E-Book,Young Adult Hardcover,Young Adult Paperback,Animals,Business,Celebrities,Crime and Punishment,Culture,Education,Espionage,Expeditions,"Fashion, Manners and Customs",Food and Diet,Games and Activities,Health,Humor,Indigenous Americans,Love and Relationships,Parenthood and Family,Politics and American History,Race and Civil Rights,"Religion, Spirituality and Faith",Science,Sports and Fitness,Travel
1,MAKE ME;by Lee Child;New this week,MAKE ME;by Lee Child;New this week,THE MARTIAN;by Andy Weir;46 weeks on the list,,,A WALK IN THE WOODS;by Bill Bryson;4 weeks on the list,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;9 weeks on the list,A WALK IN THE WOODS;by Bill Bryson;98 weeks on the list,UNSINKABLE;by Debbie Reynolds and Dorian Hannaway;5 weeks on the list,THE LIFE-CHANGING MAGIC OF TIDYING UP;by Marie Kondo;46 weeks on the list,BATMAN: THE KILLING JOKE;by Alan Moore and Brian Bolland;170 weeks on the list,DRAMA;by Raina Telgemeier;111 weeks on the list,"ONE-PUNCH MAN, VOL. 1;by ONE and Yusuke Murata;2 weeks on the list",THE KEEPER;by David Baldacci;New this week,WONDER;by R.J. Palacio;5 weeks on the list,MAX;by Boaz Yakin and Sheldon Lettich;5 weeks on the list,THE DAY THE CRAYONS CAME HOME;by Drew Daywalt. Illustrated by Oliver Jeffers;4 weeks on the list,THE MAZE RUNNER;by James Dashner;153 weeks on the list,UNNATURAL CREATURES;edited by Neil Gaiman and Maria Dahvana Headley;New this week,"EVERYTHING, EVERYTHING;by Nicola Yoon;2 weeks on the list",PAPER TOWNS;by John Green;5 weeks on the list,VOICES IN THE OCEAN;by Susan Casey;,OUTLIERS;by Malcolm Gladwell;,DOWN THE RABBIT HOLE;by Holly Madison;,THE DEVIL IN THE WHITE CITY;by Erik Larson;,PRIMATES OF PARK AVENUE;by Wednesday Martin;,I AM MALALA;by Malala Yousafzai with Christina Lamb;,THE BILLION DOLLAR SPY;by David E. Hoffman;,THE WRIGHT BROTHERS;by David McCullough;,PRIMATES OF PARK AVENUE;by Wednesday Martin;,THE WHOLE30;by Melissa Hartwig and Dallas Hartwig;,SECRET GARDEN;illustrated by Johanna Basford;,BEING MORTAL;by Atul Gawande;,MODERN ROMANCE;by Aziz Ansari with Eric Klinenberg;,THE HEART OF EVERYTHING THAT IS;by Bob Drury and Tom Clavin;,MODERN ROMANCE;by Aziz Ansari with Eric Klinenberg;,THE GLASS CASTLE;by Jeannette Walls;,PLUNDER AND DECEIT;by Mark R. Levin;,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;,IT IS ABOUT ISLAM;by Glenn Beck;,THE WRIGHT BROTHERS;by David McCullough;,THE BOYS IN THE BOAT;by Daniel James Brown;,WILD;by Cheryl Strayed;
2,THE GIRL IN THE SPIDER'S WEB;by David Lagercrantz;2 weeks on the list,THE GIRL IN THE SPIDER'S WEB;by David Lagercrantz;2 weeks on the list,GREY;by E. L. James;13 weeks on the list,,,IT IS ABOUT ISLAM;by Glenn Beck;4 weeks on the list,PLUNDER AND DECEIT;by Mark R. Levin;6 weeks on the list,IT IS ABOUT ISLAM;by Glenn Beck;4 weeks on the list,THE BOYS IN THE BOAT;by Daniel James Brown;86 weeks on the list,I CAN SEE CLEARLY NOW;by Wayne W. Dyer;7 weeks on the list,CAN'T WE TALK ABOUT SOMETHING MORE PLEASANT?;by Roz Chast;71 weeks on the list,"THE WALKING DEAD, VOL. 24;by Robert Kirkman and Charlie Adlard;2 weeks on the list","ONE-PUNCH MAN, VOL. 2;by ONE and Yusuke Murata;2 weeks on the list",THE FINISHER;by David Baldacci;4 weeks on the list,THE ISLE OF THE LOST;by Melissa de la Cruz;4 weeks on the list,A LONG WALK TO WATER;by Linda Sue Park;5 weeks on the list,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;116 weeks on the list,THRONE OF GLASS;by Sarah J. Maas;5 weeks on the list,PAPER TOWNS;by John Green;5 weeks on the list,RED QUEEN;by Victoria Aveyard;5 weeks on the list,MISS PEREGRINE'S HOME FOR PECULIAR CHILDREN;by Ransom Riggs and Cassandra Jean;5 weeks on the list,H IS FOR HAWK;by Helen Macdonald;,"GET WHAT'S YOURS;by Laurence J. Kotlikoff, Philip Moeller and Paul Solman;",YOU'RE NEVER WEIRD ON THE INTERNET (ALMOST);by Felicia Day;,JUST MERCY;by Bryan Stevenson;,BAD FEMINIST;by Roxane Gay;,HOW TO READ LITERATURE LIKE A PROFESSOR;by Thomas C. Foster;,BLACK MASS;by Dick Lehr and Gerald O'Neill;,DEAD WAKE;by Erik Larson;,THE FRENCH BEAUTY SOLUTION;by Mathilde Thomas;,THUG KITCHEN;by the staff of Thug Kitchen;,ENCHANTED FOREST;illustrated by Johanna Basford;,10-DAY GREEN SMOOTHIE CLEANSE;by J. J. Smith;,SELP-HELF;by Miranda Sings;,EMPIRE OF THE SUMMER MOON;by S.C. Gwynne;,THE FIVE LOVE LANGUAGES;by Gary Chapman;,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;,JUST MERCY;by Bryan Stevenson;,FOR THE LOVE;by Jen Hatmaker;,BEING MORTAL;by Atul Gawande;,UNBROKEN;by Laura Hillenbrand;,A WALK IN THE WOODS;by Bill Bryson;
3,THE MARTIAN;by Andy Weir;16 weeks on the list,GO SET A WATCHMAN;by Harper Lee;9 weeks on the list,BIG LITTLE LIES;by Liane Moriarty;5 weeks on the list,,,THE BOYS IN THE BOAT;by Daniel James Brown;69 weeks on the list,EXCEPTIONAL;by Dick Cheney and Liz Cheney;2 weeks on the list,THE BOYS IN THE BOAT;by Daniel James Brown;68 weeks on the list,I MUST SAY;by Martin Short with David Kamp;New this week,RISING STRONG;by Brené Brown;3 weeks on the list,IN SEARCH OF LOST TIME: SWANN'S WAY;by Marcel Proust. Adapted and illustrated by Stéphane Heuet. Translated by Arthur Goldhammer;10 weeks on the list,FUN HOME;by Alison Bechdel;39 weeks on the list,"TOKYO GHOUL, VOL. 2;by Sui Ishida;4 weeks on the list",SERAFINA AND THE BLACK CLOAK;by Robert Beatty;5 weeks on the list,AUGGIE & ME;by R.J. Palacio;4 weeks on the list,THE ONE AND ONLY IVAN;by Katherine Applegate. Illustrated by Patricia Castelao;5 weeks on the list,WHAT PET SHOULD I GET?;by Dr. Seuss;7 weeks on the list,I AM NUMBER FOUR;by Pittacus Lore;28 weeks on the list,MIDNIGHT THIEF;by Livia Blackburne;New this week,ELEANOR AND PARK;by Rainbow Rowell;5 weeks on the list,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;5 weeks on the list,BEYOND WORDS;by Carl Safina;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",MY FIGHT / YOUR FIGHT;by Ronda Rousey with Maria Burns Ortiz;,THE SHORT AND TRAGIC LIFE OF ROBERT PEACE;by Jeff Hobbs;,THE LAST LOVE SONG;by Tracy Daugherty;,THEY SAY / I SAY;by Gerald Graff and Cathy Birkenstein;,AVENUE OF SPIES;by Alex Kershaw;,INTO THE WILD;by Jon Krakauer;,THE RESIDENCE;by Kate Andersen Brower;,BRAIN MAKER;by David Perlmutter with Kristin Loberg;,CREATIVE HAVEN CREATIVE CATS COLORING BOOK;Illustrated by Marjorie Sarnat;,BLACKOUT;by Sarah Hepola;,YOU'RE NEVER WEIRD ON THE INTERNET (ALMOST);by Felicia Day;,BORN TO RUN;by Christopher McDougall;,DARING GREATLY;by Brené Brown;,HOW TO TALK SO KIDS WILL LISTEN AND LISTEN SO KIDS WILL TALK;by Adele Faber and Elaine Mazlish;,IT IS ABOUT ISLAM;by Glenn Beck;,THE NEW JIM CROW;by Michelle Alexander;,THE FOUR AGREEMENTS;by Don Miguel Ruiz;,QUIET;by Susan Cain;,MY FIGHT / YOUR FIGHT;by Ronda Rousey with Maria Burns Ortiz;,THE OREGON TRAIL;by Rinker Buck;
4,THE GIRL ON THE TRAIN;by Paula Hawkins;35 weeks on the list,THE GIRL ON THE TRAIN;by Paula Hawkins;35 weeks on the list,THE ALCHEMIST;by Paulo Coelho;371 weeks on the list,,,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;9 weeks on the list,THE WRIGHT BROTHERS;by David McCullough;19 weeks on the list,I AM MALALA;by Malala Yousafzai with Christina Lamb;15 weeks on the list,BETWEEN HEAVEN AND GROUND ZERO;by Leslie Haskin;2 weeks on the list,CHANGE YOUR THOUGHTS - CHANGE YOUR LIFE;by Wayne W. Dyer;2 weeks on the list,BABA YAGA’S ASSISTANT;by Marika McCoola and Emily Carroll;5 weeks on the list,SMILE;by Raina Telgemeier;170 weeks on the list,"TOKYO GHOUL, VOL. 1;by Sui Ishida;13 weeks on the list",WONDER;by R.J. Palacio;5 weeks on the list,THE KEEPER;by David Baldacci;New this week,OUT OF MY MIND;by Sharon M. Draper;5 weeks on the list,PETE THE CAT: FIVE LITTLE PUMPKINS;by James Dean;2 weeks on the list,DESCENDANTS;by various authors;4 weeks on the list,UNTIL FRIDAY NIGHT;by Abbi Glines;3 weeks on the list,FANGIRL;by Rainbow Rowell;5 weeks on the list,LOOKING FOR ALASKA;by John Green;5 weeks on the list,TELL ME WHERE IT HURTS;by Nick Trout;,ELON MUSK;by Ashlee Vance;,SICK IN THE HEAD;by Judd Apatow;,ORANGE IS THE NEW BLACK;by Piper Kerman;,MARK TWAIN: MAN IN WHITE;by Michael Shelden;,"EVERYTHING'S AN ARGUMENT;by Andrea A. Lunsford, John J. Ruszkiewicz and Keith Walters;",OUR MAN IN CHARLESTON;by Christopher Dickey;,BARBARIAN DAYS;by William Finnegan;,"HOW TO BE PARISIAN WHEREVER YOU ARE;by Anne Berest, Audrey Diwan, Caroline de Maigret and Sophie Mas;",THE FAST METABOLISM DIET;by Haylie Pomroy with Eve Adamson;,CREATIVE HAVEN ART NOUVEAU ANIMAL DESIGNS COLORING BOOK;Illustrated by Marty Noble;,THE BLUE ZONES SOLUTION;by Dan Buettner;,SICK IN THE HEAD;by Judd Apatow;,SHORT NIGHTS OF THE SHADOW CATCHER;by Timothy Egan;,LOVE DOES;by Bob Goff;,ETCHED IN SAND;by Regina Calcaterra;,I AM MALALA;by Malala Yousafzai with Christina Lamb;,THE OTHER WES MOORE;by Wes Moore;,JESUS CALLING;by Sarah Young;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",BARBARIAN DAYS;by William Finnegan;,BARBARIAN DAYS;by William Finnegan;
5,GO SET A WATCHMAN;by Harper Lee;9 weeks on the list,STAR WARS: AFTERMATH;by Chuck Wendig;2 weeks on the list,GRAY MOUNTAIN;by John Grisham;4 weeks on the list,,,THE WRIGHT BROTHERS;by David McCullough;19 weeks on the list,BEING MORTAL;by Atul Gawande;49 weeks on the list,ONE NATION;by Ben Carson with Candy Carson;2 weeks on the list,WE WERE THERE;by Allen Childs;New this week,FOR THE LOVE;by Jen Hatmaker;4 weeks on the list,SECONDS;by Bryan Lee O'Malley;56 weeks on the list,PERSEPOLIS;by Marjane Satrapi;58 weeks on the list,"THE ANCIENT MAGUS’ BRIDE, VOL. 2;by Kore Yamazaki;New this week",THE COPPER GAUNTLET;by Holly Black and Cassandra Clare;2 weeks on the list,PERCY JACKSON'S GREEK HEROES;by Rick Riordan. Illustrated by John Rocco;4 weeks on the list,COUNTING BY 7s;by Holly Goldberg Sloan;5 weeks on the list,THE BOOK WITH NO PICTURES;by B.J. Novak;50 weeks on the list,JOURNEY TO STAR WARS: THE FORCE AWAKENS;by the Lucasfilm Press staff;2 weeks on the list,MISS PEREGRINE'S HOME FOR PECULIAR CHILDREN;by Ransom Riggs and Cassandra Jean;2 weeks on the list,ALL THE BRIGHT PLACES;by Jennifer Niven;5 weeks on the list,ME AND EARL AND THE DYING GIRL;by Jesse Andrews;5 weeks on the list,INSIDE OF A DOG;by Alexandra Horowitz;,THE POWER OF HABIT;by Charles Duhigg;,BOSSYPANTS;by Tina Fey;,BLACK MASS;by Dick Lehr and Gerald O'Neill;,THE SECRET HISTORY OF WONDER WOMAN;by Jill Lepore;,HOW TO RAISE AN ADULT;by Julie Lythcott-Haims;,A SPY AMONG FRIENDS;by Ben Macintyre;,THE ASTRONAUT WIVES CLUB;by Lily Koppel;,HOW TO TIE A SCARF;by the staff of Potter Style;,10-DAY GREEN SMOOTHIE CLEANSE;by J. J. Smith;,MONSTER MANUAL;by Wizards RPG Team;,MY LOBOTOMY;by Howard Dully and Charles Fleming;,BOSSYPANTS;by Tina Fey;,INDEPENDENCE LOST;by Kathleen DuVal;,H IS FOR HAWK;by Helen Macdonald;,GO THE -- TO SLEEP;by Adam Mansbach. Illustrated by Ricardo Cortés;,UNBROKEN;by Laura Hillenbrand;,THE SHORT AND TRAGIC LIFE OF ROBERT PEACE;by Jeff Hobbs;,THE ROAD TO CHARACTER;by David Brooks;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,YES!;by Daniel Bryan and Craig Tello;,NINE LIVES;by Dan Baum;
6,X;by Sue Grafton;3 weeks on the list,PURITY;by Jonathan Franzen;2 weeks on the list,MY BRILLIANT FRIEND;by Elena Ferrante;2 weeks on the list,,,PLUNDER AND DECEIT;by Mark R. Levin;6 weeks on the list,MODERN ROMANCE;by Aziz Ansari with Eric Klinenberg;13 weeks on the list,YES PLEASE;by Amy Poehler;2 weeks on the list,THE WRIGHT BROTHERS;by David McCullough;17 weeks on the list,FERVENT;by Priscilla Shirer;New this week,THE THRILLING ADVENTURES OF LOVELACE AND BABBAGE;by Sydney Padua;21 weeks on the list,THE BABY-SITTERS CLUB GRAPHIX: KRISTY'S GREAT IDEA;by Ann M. Martin and Raina Telgemeier;19 weeks on the list,"MONSTER MUSUME, VOL. 7;by Okayado;5 weeks on the list",,THE COPPER GAUNTLET;by Holly Black and Cassandra Clare;2 weeks on the list,THE CARE AND KEEPING OF YOU;by Valorie Schaefer. Illustrated by Josee Masse;5 weeks on the list,PRESS HERE;by Hervé Tullet;209 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;58 weeks on the list,,WE ALL LOOKED UP;by Tommy Wallach;5 weeks on the list,THE BOOK THIEF;by Markus Zusak;5 weeks on the list,WHAT THE DOG KNOWS;by Cat Warren;,MONEY: MASTER THE GAME;by Tony Robbins;,YES PLEASE;by Amy Poehler;,BRINGING ADAM HOME;by Les Standiford with Joe Matthews;,THE LIVES OF THE MUSES;by Francine Prose;,THE OPPOSITE OF LONELINESS;by Marina Keegan;,GEORGE WASHINGTON'S SECRET SIX;by Brian Kilmeade and Don Yaeger;,THE STORM OF THE CENTURY;by Al Roker;,RED;by Jacky Colliss Harvey;,THE BLUE ZONES SOLUTION;by Dan Buettner;,PLAYER'S HANDBOOK;by Wizards RPG Team;,THE SPIRIT CATCHES YOU AND YOU FALL DOWN;by Anne Fadiman;,YES PLEASE;by Amy Poehler;,,THE SEVEN PRINCIPLES FOR MAKING MARRIAGE WORK;by John Gottman and Nan Silver;,THE ASTRONAUT WIVES CLUB;by Lily Koppel;,JUST MERCY;by Bryan Stevenson;,CITIZEN;by Claudia Rankine;,DESTINY;by T. D. Jakes;,ELON MUSK;by Ashlee Vance;,SABAN;by Monte Burke;,THE LOST ART OF READING NATURE'S SIGNS;by Tristan Gooley;
7,GRAY MOUNTAIN;by John Grisham;20 weeks on the list,ALL THE LIGHT WE CANNOT SEE;by Anthony Doerr;71 weeks on the list,THE STORY OF THE LOST CHILD;by Elena Ferrante;2 weeks on the list,,,EXCEPTIONAL;by Dick Cheney and Liz Cheney;2 weeks on the list,RECKLESS;by Chrissie Hynde;New this week,OUTLIERS;by Malcolm Gladwell;204 weeks on the list,DEAD WAKE;by Erik Larson;27 weeks on the list,THE POWER OF INTENTION;by Wayne W. Dyer;2 weeks on the list,NATHAN HALE’S HAZARDOUS TALES: THE UNDERGROUND ABDUCTOR;by Nathan Hale;19 weeks on the list,MAD MAX: FURY ROAD;by George Miller and others;New this week,"ATTACK ON TITAN, VOL. 16;by Hajime Isayama;3 weeks on the list",,I AM MALALA;by Malala Yousafzai with Patricia McCormick;4 weeks on the list,INSIDE OUT AND BACK AGAIN;by Thanhha Lai;5 weeks on the list,MAX THE BRAVE;by Ed Vere;New this week,GIVER QUARTET;by Lois Lowry;94 weeks on the list,,P. S. I STILL LOVE YOU;by Jenny Han;5 weeks on the list,THE FAULT IN OUR STARS;by John Green;5 weeks on the list,WAR OF THE WHALES;by Joshua Horwitz;,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;,IS EVERYONE HANGING OUT WITHOUT ME?;by Mindy Kaling;,TINSELTOWN;by William J. Mann;,DYLAN GOES ELECTRIC!;by Elijah Wald;,HOW NOT TO BE WRONG;by Jordan Ellenberg;,THE GOOD SPY;by Kai Bird;,ASTORIA;by Peter Stark;,AUDREY AT HOME;by Luca Dotti;,IT STARTS WITH FOOD;by Dallas and Melissa Hartwig;,HACKS FOR MINECRAFTERS;by Megan Miller;,EAT TO LIVE;by Joel Fuhrman;,IS EVERYONE HANGING OUT WITHOUT ME?;by Mindy Kaling;,,CITIZEN;by Claudia Rankine;,H IS FOR HAWK;by Helen Macdonald;,THE NEW JIM CROW;by Michelle Alexander;,WARRIORS DON'T CRY;by Melba Pattillo Beals;,THE POWER OF NOW;by Eckhart Tolle;,DAVID AND GOLIATH;by Malcolm Gladwell;,FRIDAY NIGHT LIGHTS;by H. G. Bissinger;,PIRATE HUNTERS;by Robert Kurson;
8,HOLLYWOOD DIRT;by Alessandra Torre;New this week,X;by Sue Grafton;3 weeks on the list,EVERYTHING I NEVER TOLD YOU;by Celeste Ng;15 weeks on the list,,,MODERN ROMANCE;by Aziz Ansari with Eric Klinenberg;13 weeks on the list,ACCIDENTAL SAINTS;by Nadia Bolz-Weber;New this week,THE DEVIL IN THE WHITE CITY;by Erik Larson;300 weeks on the list,MODERN ROMANCE;by Aziz Ansari with Eric Klinenberg;11 weeks on the list,WISHES FULFILLED;by Wayne W. Dyer;2 weeks on the list,ROBERT MOSES: THE MASTER BUILDER OF NEW YORK CITY;by Pierre Christin and Olivier Balez;14 weeks on the list,SISTERS;by Raina Telgemeier;55 weeks on the list,"YU-GI-OH! ZEXAL, VOL. 7;by Shin Yoshida and Naohito Miyoshi;2 weeks on the list",,FISH IN A TREE;by Lynda Mullaly Hunt;5 weeks on the list,THE FINISHER;by David Baldacci;5 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;2 weeks on the list,HARRY POTTER;by J.K. Rowling;338 weeks on the list,,ANOTHER DAY;by David Levithan;2 weeks on the list,THE 5TH WAVE;by Rick Yancey;4 weeks on the list,THE SECOND-CHANCE DOG;by Jon Katz;,THINK LIKE A FREAK;by Steven D. Levitt and Stephen J. Dubner;,A WORK IN PROGRESS;by Connor Franta;,LYING IN WAIT;by Ann Rule;,THE MOCKINGBIRD NEXT DOOR;by Marja Mills;,THE GIFT OF FAILURE;by Jessica Lahey;,"LIAR, TEMPTRESS, SOLDIER, SPY;by Karen Abbott;",IN THE KINGDOM OF ICE;by Hampton Sides;,THE REASON FOR FLOWERS;by Stephen Buchmann;,FRANKLIN BARBECUE;by Aaron Franklin and Jordan Mackay;,MINECRAFT: CONSTRUCTION HANDBOOK;by Matthew Needler and Phil Southam;,THE HORMONE RESET DIET;by Sara Gottfried;,GO THE -- TO SLEEP;by Adam Mansbach. Illustrated by Ricardo Cortés;,,PRIMATES OF PARK AVENUE;by Wednesday Martin;,HOW TO RAISE AN ADULT;by Julie Lythcott-Haims;,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;,MARCH: BOOK ONE;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;,BOUNDARIES;by Henry Cloud and John Townsend;,MY LOBOTOMY;by Howard Dully and Charles Fleming;,THE BEST TEAM MONEY CAN BUY;by Molly Knight;,THE HUNTING AND GATHERING SURVIVAL MANUAL;by Tim MacWelch;
9,ALL THE LIGHT WE CANNOT SEE;by Anthony Doerr;52 weeks on the list,TWO YEARS EIGHT MONTHS AND TWENTY-EIGHT NIGHTS;by Salman Rushdie;New this week,THE GOLDFINCH;by Donna Tartt;22 weeks on the list,,,I AM MALALA;by Malala Yousafzai with Christina Lamb;29 weeks on the list,MY FIGHT / YOUR FIGHT;by Ronda Rousey with Maria Burns Ortiz;4 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;New this week,THE MISSING KENNEDY;by Elizabeth Koelher-Pentacoff;New this week,THE FIVE LOVE LANGUAGES;by Gary Chapman;120 weeks on the list,ANN TENNA;by Marisa Acocella Marchetto;2 weeks on the list,THE BABY-SITTERS CLUB GRAPHIX: THE TRUTH ABOUT STACEY;by Ann M. Martin and Raina Telgemeier;5 weeks on the list,"NISEKOI: FALSE LOVE, VOL. 11;by Naoshi Komi;New this week",,HITLER'S LAST DAYS;by Bill O'Reilly;5 weeks on the list,THE PRINCESS IN BLACK;by Shannon Hale and Dean Hale. Illustrated by LeUyen Pham;5 weeks on the list,WAITING;by Kevin Henkes;2 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;374 weeks on the list,,TO ALL THE BOYS I'VE LOVED BEFORE;by Jenny Han;3 weeks on the list,AN ABUNDANCE OF KATHERINES;by John Green;4 weeks on the list,A WOLF CALLED ROMEO;by Nick Jans;,"TEAM OF TEAMS;by Stanley McChrystal with Tantum Collins, David Silverman and Chris Fussell;",DEAN & ME (A LOVE STORY);by Jerry Lewis and James Kaplan;,MISSOULA;by Jon Krakauer;,ON WRITING;by Stephen King;,THANK YOU FOR ARGUING;by Jay Heinrichs;,RED NOTICE;by Bill Browder;,SHADOW DIVERS;by Robert Kurson;,MADEMOISELLE;by Rhonda K. Garelick;,GOOD AND CHEAP;by Leanne Brown;,"MINECRAFT: COMBAT HANDBOOK;by Stephanie Milton with Paul Soares, Jr.;",AGING BACKWARDS;by Miranda Esmonde-White;,DEAN & ME (A LOVE STORY);by Jerry Lewis and James Kaplan;,,BAD FEMINIST;by Roxane Gay;,THE SEVEN PRINCIPLES FOR MAKING MARRIAGE WORK;by John Gottman and Nan Silver;,THE BILLION DOLLAR SPY;by David E. Hoffman;,MARCH: BOOK TWO;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;,THE SPIRIT CATCHES YOU AND YOU FALL DOWN;by Anne Fadiman;,VOICES IN THE OCEAN;by Susan Casey;,"IT'S GOOD TO BE GRONK;by Rob ""Gronk"" Gronkowski with Jason Rosenhaus;",UGANDA BE KIDDING ME;by Chelsea Handler;
10,FRICTION;by Sandra Brown;4 weeks on the list,UNDERCOVER;by Danielle Steel;2 weeks on the list,READY PLAYER ONE;by Ernest Cline;12 weeks on the list,,,UNSINKABLE;by Debbie Reynolds and Dorian Hannaway;4 weeks on the list,NEUROTRIBES;by Steve Silberman;3 weeks on the list,WILD;by Cheryl Strayed;126 weeks on the list,COCO CHANEL;by Justine Picardie;New this week,PAULA DEEN CUTS THE FAT;by Paula Deen;New this week,THE SCULPTOR;by Scott McCloud;28 weeks on the list,"MAUS: A SURVIVOR’S TALE, VOL. 1;by Art Spiegelman;58 weeks on the list","SERAPH OF THE END, VOL. 6;by Takaya Kagami and Yamato Yamamoto;New this week",,THE BOYS IN THE BOAT;by Daniel James Brown; adapted by Gregory Mone;New this week,ESCAPE FROM MR. LEMONCELLO’S LIBRARY;by Chris Grabenstein;4 weeks on the list,LLAMA LLAMA GRAM AND GRANDPA;by Anna Dewdney;2 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;339 weeks on the list,,THE INFINITE SEA;by Rick Yancey;3 weeks on the list,HOLLOW CITY;by Ransom Riggs;4 weeks on the list,ELEPHANT COMPANY;by Vicki Constantine Croke;,THIS CHANGES EVERYTHING;by Naomi Klein;,IT'S A LONG STORY;by Willie Nelson with David Ritz;,HOPE;by Amanda Berry and Gina DeJesus with Mary Jordan and Kevin Sullivan;,HOLD STILL;by Sally Mann;,BRAINSTORM;by Daniel J. Siegel;,OPERATION PAPERCLIP;by Annie Jacobsen;,PIRATE HUNTERS;by Robert Kurson;,MY PARIS DREAM;by Kate Betts;,THE SKINNYTASTE COOKBOOK;by Gina Homolka with Heather K. Jones;,"MINECRAFT: ESSENTIAL HANDBOOK;Stephanie Milton with Paul Soares, Jr. and Jordan Maron;",GUT;by Giulia Enders. Illustrations by Jill Enders;,HYPERBOLE AND A HALF;by Allie Brosh;,,HOW TO LOVE;by Thich Nhat Hanh. Illustrated by Jason DeAntonis;,THE GIFT OF FAILURE;by Jessica Lahey;,A FULL LIFE;by Jimmy Carter;,THE WARMTH OF OTHER SUNS;by Isabel Wilkerson;,THE GRATITUDE DIARIES;by Janice Kaplan;,THE SPIRIT CATCHES YOU AND YOU FALL DOWN;by Anne Fadiman;,"WHEN THE GAME WAS OURS;by Larry Bird, Earvin ""Magic"" Johnson and Jackie MacMullan;",THE ULTIMATE SURVIVAL MANUAL;by Rich Johnson and the editors of Outdoor Life;
