,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Hardcover & Paperback Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Combined Hardcover & Paperback Nonfiction,Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series
1,FIFTY SHADES OF GREY;by E. L. James;14 weeks on the list,THE STORM;by Clive Cussler and Graham Brown;New this week,FIFTY SHADES OF GREY;by E. L. James;12 weeks on the list,,,FIFTY SHADES OF GREY;by E. L. James;,AMATEUR;by Edward Klein;3 weeks on the list,AMATEUR;by Edward Klein;3 weeks on the list,IN THE GARDEN OF BEASTS;by Erik Larson;5 weeks on the list,AMATEUR;by Edward Klein;3 weeks on the list,AMERICAN GROWN;by Michelle Obama;New this week,"ACT LIKE A LADY, THINK LIKE A MAN;by Steve Harvey with Denene Millner;16 weeks on the list",AMATEUR;by Edward Klein;,BATMAN: THE COURT OF OWLS;by Scott Snyder and Greg Capullo;3 weeks on the list,BATMAN: NIGHT OF THE OWLS;by Scott Snyder and others;4 weeks on the list,"SOUL EATER, VOL. 9;by Atsushi Ohkubo;New this week",MIDDLE SCHOOL: GET ME OUT OF HERE!;by James Patterson and Chris Tebbetts;4 weeks on the list,ONE DIRECTION: DARE TO DREAM;by the members of One Direction;2 weeks on the list,PETE THE CAT AND HIS FOUR GROOVY BUTTONS;by Eric Litwin. Illustrated by James Dean;5 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;93 weeks on the list
2,FIFTY SHADES DARKER;by E. L. James;14 weeks on the list,11TH HOUR;by James Patterson and Maxine Paetro;4 weeks on the list,FIFTY SHADES DARKER;by E. L. James;9 weeks on the list,,,FIFTY SHADES DARKER;by E. L. James;,UNBROKEN;by Laura Hillenbrand;71 weeks on the list,IT WORKED FOR ME;by Colin Powell with Tony Koltz;2 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;65 weeks on the list,UNBROKEN;by Laura Hillenbrand;71 weeks on the list,THE SKINNY RULES;by Bob Harper with Greg Critser;3 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;253 weeks on the list,IT WORKED FOR ME;by Colin Powell with Tony Koltz;,ARE YOU MY MOTHER?;by Alison Bechdel;5 weeks on the list,"AVATAR: THE LAST AIRBENDER, PART 2;by Gene Luen Yang and others;New this week","PUELLA MAGI MADOKA MAGICA, VOL. 1;by Magica Quartet;New this week",INSURGENT;by Veronica Roth;5 weeks on the list,DIVERGENT;by Veronica Roth;14 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;35 weeks on the list",KANE CHRONICLES;by Rick Riordan;5 weeks on the list
3,FIFTY SHADES FREED;by E. L. James;13 weeks on the list,STOLEN PREY;by John Sandford;3 weeks on the list,FIFTY SHADES FREED;by E. L. James;9 weeks on the list,,,FIFTY SHADES FREED;by E. L. James;,IN THE GARDEN OF BEASTS;by Erik Larson;40 weeks on the list,UNBROKEN;by Laura Hillenbrand;81 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;81 weeks on the list,WILD;by Cheryl Strayed;11 weeks on the list,YOU'RE SO INVITED;by Cheryl Najafi;New this week,TO HEAVEN AND BACK;by Mary C. Neal;New this week,IN THE GARDEN OF BEASTS;by Erik Larson;,"THE WALKING DEAD, BOOK 4;by Robert Kirkman and Charlie Adlard;6 weeks on the list",NINJAGO: RISE OF THE SERPENTINE;by Greg Farshtey and Paul Lee;2 weeks on the list,"PANDORA HEARTS, VOL. 10;by Jun Mochizuki;New this week",THE FAULT IN OUR STARS;by John Green;21 weeks on the list,THE BOOK THIEF;by Markus Zusak;247 weeks on the list,DINOSAUR PET;lyrics by Marc Sedaka. Illustrated by Tim Bowers;4 weeks on the list,THE SECRETS OF THE IMMORTAL NICHOLAS FLAMEL;by Michael Scott;16 weeks on the list
4,THE STORM;by Clive Cussler and Graham Brown;New this week,CALICO JOE;by John Grisham;8 weeks on the list,THE LAST BOYFRIEND;by Nora Roberts;5 weeks on the list,,,THE STORM;by Clive Cussler and Graham Brown;,IT WORKED FOR ME;by Colin Powell with Tony Koltz;2 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;36 weeks on the list,OUTLIERS;by Malcolm Gladwell;52 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;71 weeks on the list,CHARGE;by Brendon Burchard;3 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;564 weeks on the list,UNBROKEN;by Laura Hillenbrand;,THE AMORY WARS: ULTIMATE EDITION;by Peter David and Claudio Sanchez;New this week,"AVATAR: THE LAST AIRBENDER, PART 1;by Gene Luen Yang and others;12 weeks on the list","SAILOR MOON, VOL. 5;by Naoko Takeuchi;4 weeks on the list",MISS PEREGRINE'S HOME FOR PECULIAR CHILDREN;by Ransom Riggs and Cassandra Jean;52 weeks on the list,THE LOST HERO;by Rick Riordan;9 weeks on the list,THE LORAX;by Dr. Seuss;16 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;177 weeks on the list
5,FIFTY SHADES TRILOGY;by E. L. James;7 weeks on the list,DEADLOCKED;by Charlaine Harris;5 weeks on the list,STATE OF WONDER;by Ann Patchett;4 weeks on the list,,,A GAME OF THRONES;by George R.R. Martin;,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;35 weeks on the list,THE PASSAGE OF POWER;by Robert A. Caro;5 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;273 weeks on the list,STEVE JOBS;by Walter Isaacson;32 weeks on the list,THE TOOLS;by Phil Stutz and Barry Michels;New this week,"THANK YOU NOTES 2;by Jimmy Fallon with the writers of ""Late Night"";2 weeks on the list",KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;,GREEN LANTERN: SINESTRO;by Geoff Johns and Doug Mahnke;2 weeks on the list,"THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;47 weeks on the list","THE TYRANT FALLS IN LOVE, VOL. 6;by Hinako Takanaga;New this week",THE SON OF NEPTUNE;by Rick Riordan;35 weeks on the list,THIRTEEN REASONS WHY;by Jay Asher;48 weeks on the list,PETE THE CAT: I LOVE MY WHITE SHOES;by Eric Litwin. Illustrated by James Dean;19 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;58 weeks on the list
6,11TH HOUR;by James Patterson and Maxine Paetro;4 weeks on the list,BRING UP THE BODIES;by Hilary Mantel;4 weeks on the list,ABRAHAM LINCOLN: VAMPIRE HUNTER;by Seth Grahame-Smith;14 weeks on the list,,,BIG SKY COUNTRY;by Linda Lael Miller;,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;71 weeks on the list,CRONKITE;by Douglas Brinkley;New this week,THE DEVIL IN THE WHITE CITY;by Erik Larson;219 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;36 weeks on the list,THE PIONEER WOMAN COOKS;by Ree Drummond;12 weeks on the list,THE HAPPINESS PROJECT;by Gretchen Rubin;65 weeks on the list,THE PASSAGE OF POWER;by Robert A. Caro;,"JUSTICE LEAGUE, VOL. 1;by Geoff Johns and Jim Lee;4 weeks on the list",FABLES VOL. 1: LEGENDS IN EXILE;by Bill Willingham and others;New this week,"THE MELANCHOLY OF HARUHI SUZUMIYA, VOL. 12;by Nagaru Tanigawa;New this week","NANCY CLANCY, SECRET ADMIRER;by Jane O'Connor. Illustrated by Robin Preiss Glasser;9 weeks on the list",MATCHED;by Ally Condie;37 weeks on the list,THE DUCKLING GETS A COOKIE!?;by Mo Willems;9 weeks on the list,BIG NATE;written and illustrated by Lincoln Peirce;61 weeks on the list
7,ON THE ISLAND;by Tracey Garvis-Graves;8 weeks on the list,A BLAZE OF GLORY;by Jeff Shaara;New this week,KILL ALEX CROSS;by James Patterson;2 weeks on the list,,,11TH HOUR;by James Patterson and Maxine Paetro;,WILD;by Cheryl Strayed;7 weeks on the list,FEARLESS;by Eric Blehm;New this week,THE GREATER JOURNEY;by David McCullough;3 weeks on the list,BLOOD FEUD;by Lisa Alther;New this week,I AM A POLE (AND SO CAN YOU!);by Stephen Colbert. Illustrated by Paul Hildebrand;4 weeks on the list,EAT TO LIVE;by Joel Fuhrman;47 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,A GAME OF THRONES;by George R.R. Martin;8 weeks on the list,CATWOMAN: THE GAME;by Judd Winick and Guillem March;2 weeks on the list,"THE WALLFLOWER, VOL. 28;by Tomoko Hayakawa;New this week","MIDDLE SCHOOL, THE WORST YEARS OF MY LIFE;by James Patterson and Chris Tebbetts;17 weeks on the list",THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;131 weeks on the list,PRESS HERE;by Hervé Tullet;50 weeks on the list,THEODORE BOONE;by John Grisham;3 weeks on the list
8,A NIGHT LIKE THIS;by Julia Quinn;New this week,THE INNOCENT;by David Baldacci;7 weeks on the list,THE SENSE OF AN ENDING;by Julian Barnes;New this week,,,EXPLOSIVE EIGHTEEN;by Janet Evanovich;,THE PASSAGE OF POWER;by Robert A. Caro;5 weeks on the list,MY CROSS TO BEAR;by Gregg Allman;5 weeks on the list,BOSSYPANTS;by Tina Fey;22 weeks on the list,LET'S PRETEND THIS NEVER HAPPENED;by Jenny Lawson;7 weeks on the list,WHEAT BELLY;by William Davis;9 weeks on the list,FORKS OVER KNIVES;edited by Gene Stone;35 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;,ABSOLUTE BATMAN: DARK VICTORY;by Jeph Loeb and Tim Sale;New this week,SMILE;by Raina Telgemeier;19 weeks on the list,"GENSHIKEN, OMNIBUS 1;by Shimoku Kio;New this week",THE INVENTION OF HUGO CABRET;by Brian Selznick;114 weeks on the list,OUT OF MY MIND;by Sharon M. Draper;5 weeks on the list,LADYBUG GIRL AND BINGO;by David Soman and Jacky Davis;5 weeks on the list,DORK DIARIES;by Rachel Renée Russell;35 weeks on the list
9,STOLEN PREY;by John Sandford;3 weeks on the list,A DANCE WITH DRAGONS;by George R. R. Martin;43 weeks on the list,THE ALCHEMIST;by Paulo Coelho;221 weeks on the list,,,ABRAHAM LINCOLN: VAMPIRE HUNTER;by Seth Grahame-Smith;,FEARLESS;by Eric Blehm;2 weeks on the list,IMAGINE;by Jonah Lehrer;11 weeks on the list,THE VOW;by Kim and Krickitt Carpenter with Dana Wilkerson;17 weeks on the list,FEARLESS;by Eric Blehm;2 weeks on the list,$100 STARTUP;by Chris Guillebeau;2 weeks on the list,THE MAGIC;by Rhonda Byrne;13 weeks on the list,CRONKITE;by Douglas Brinkley;,SPIDER-MAN: SEASON ONE;by Cullen Bunn and Neil Edwards;4 weeks on the list,"THE WALKING DEAD, VOL. 1;by Robert Kirkman and Tony Moore;121 weeks on the list","OMAMORI HIMARI, VOL. 7;by Milan Matra;New this week",WONDER;by R.J. Palacio;11 weeks on the list,BETWEEN SHADES OF GRAY;by Ruta Sepetys;9 weeks on the list,FANCY NANCY AND THE MERMAID BALLET;by Jane O'Connor. Illustrated by Robin Preiss Glasser;15 weeks on the list,THE MAZE RUNNER;by James Dashner;25 weeks on the list
10,RESCUE ME;by Rachel Gibson;New this week,IN ONE PERSON;by John Irving;4 weeks on the list,THE HARBINGER;by Jonathan Cahn;22 weeks on the list,,,STOLEN PREY;by John Sandford;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;59 weeks on the list,THE PRESIDENTS CLUB;by Nancy Gibbs and Michael Duffy;7 weeks on the list,BORN TO RUN;by Christopher McDougall;62 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;14 weeks on the list,"HOW WILL YOU MEASURE YOUR LIFE?;by Clayton M. Christensen, James Allworth and Karen Dillon;3 weeks on the list",STEAL LIKE AN ARTIST;by Austin Kleon;3 weeks on the list,FEARLESS;by Eric Blehm;,SILVER SURFER: PARABLE;by Stan Lee and Moebius;2 weeks on the list,"ROGUE TROOPER: TALES OF NU EARTH, VOL. 1;by various;New this week","NARUTO, VOL. 56;by Masashi Kishimoto;4 weeks on the list",THE INVADERS;by John Flanagan;5 weeks on the list,TURTLE IN PARADISE;by Jennifer L. Holm;3 weeks on the list,I WANT MY HAT BACK;by Jon Klassen;25 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;252 weeks on the list
