,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Business,Science,Sports and Fitness
1,CAMINO ISLAND;by John Grisham;5 weeks on the list,CAMINO ISLAND;by John Grisham;5 weeks on the list,THE WOMAN IN CABIN 10;by Ruth Ware;13 weeks on the list,REDISCOVERING AMERICANISM;by Mark R. Levin;2 weeks on the list,REDISCOVERING AMERICANISM;by Mark R. Levin;2 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;381 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;30 weeks on the list,WONDER;by R.J. Palacio;100 weeks on the list,SHE PERSISTED;by Chelsea Clinton. Illustrated by Alexandra Boiger;6 weeks on the list,HARRY POTTER;by J.K. Rowling;433 weeks on the list,THE HATE U GIVE;by Angie Thomas;19 weeks on the list,THE MAGNOLIA STORY;by Chip Gaines and Joanna Gaines with Mark Dagostino;,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;,PAPI;by David Ortiz with Michael Holley;
2,WIRED;by Julie Garwood;New this week,MURDER GAMES;by James Patterson and Howard Roughan;2 weeks on the list,THE HANDMAID'S TALE;by Margaret Atwood;22 weeks on the list,DANGEROUS;by Milo Yiannopoulos;New this week,HILLBILLY ELEGY;by J.D. Vance;50 weeks on the list,ON TYRANNY;by Timothy Snyder;19 weeks on the list,YOU ARE A BADASS;by Jen Sincero;78 weeks on the list,THE DARK PROPHECY;by Rick Riordan;10 weeks on the list,DRAGONS LOVE TACOS 2;by Adam Rubin and Daniel Salmieri;10 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;74 weeks on the list,LORD OF SHADOWS;by Cassandra Clare;7 weeks on the list,OUTLIERS;by Malcolm Gladwell;,HIDDEN FIGURES;by Margot Lee Shetterly;,THE BOYS IN THE BOAT;by Daniel James Brown;
3,THE WOMAN IN CABIN 10;by Ruth Ware;24 weeks on the list,USE OF FORCE;by Brad Thor;2 weeks on the list,MILK AND HONEY;by Rupi Kaur;65 weeks on the list,HILLBILLY ELEGY;by J.D. Vance;50 weeks on the list,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;10 weeks on the list,THE ZOOKEEPER’S WIFE;by Diane Ackerman;49 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;208 weeks on the list,DOG MAN UNLEASHED;by Dav Pilkey;28 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;93 weeks on the list,SERAFINA;by Robert Beatty;New this week,ONE OF US IS LYING;by Karen M. McManus;3 weeks on the list,GRIT;by Angela Duckworth;,SAPIENS;by Yuval Noah Harari;,COACH WOODEN AND ME;by Kareem Abdul-Jabbar;
4,MURDER GAMES;by James Patterson and Howard Roughan;2 weeks on the list,INTO THE WATER;by Paula Hawkins;10 weeks on the list,ALL THE LIGHT WE CANNOT SEE;by Anthony Doerr;14 weeks on the list,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;10 weeks on the list,DANGEROUS;by Milo Yiannopoulos;New this week,NO IS NOT ENOUGH;by Naomi Klein;4 weeks on the list,MAKE YOUR BED;by William H. McRaven;14 weeks on the list,GOOD NIGHT STORIES FOR REBEL GIRLS;by Elena Favilli and Francesca Cavallo;2 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;177 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;434 weeks on the list,ONCE AND FOR ALL;by Sarah Dessen;5 weeks on the list,TOOLS OF TITANS;by Tim Ferriss;,WHEN BREATH BECOMES AIR;by Paul Kalanithi;,SHOE DOG;by Phil Knight;
5,THE IDENTICALS;by Elin Hilderbrand;4 weeks on the list,THE DUCHESS;by Danielle Steel;2 weeks on the list,LILAC GIRLS;by Martha Hall Kelly;19 weeks on the list,"AL FRANKEN, GIANT OF THE SENATE;by Al Franken;6 weeks on the list","AL FRANKEN, GIANT OF THE SENATE;by Al Franken;6 weeks on the list",DUNKIRK;by Joshua Levine;New this week,THE WHOLE30;by Melissa Hartwig and Dallas Hartwig;91 weeks on the list,THE MISADVENTURES OF MAX CRUMBLY: MIDDLE SCHOOL MAYHEM;by Rachel Renée Russell;5 weeks on the list,WAITING IS NOT EASY!;by Mo Willems;50 weeks on the list,DESCENDANTS;by Melissa de la Cruz;7 weeks on the list,CRAZY HOUSE;by James Patterson and Gabrielle Charbonnet;7 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;",THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,TEAMMATE;by David Ross with Don Yaeger;
6,THE HANDMAID'S TALE;by Margaret Atwood;16 weeks on the list,THE IDENTICALS;by Elin Hilderbrand;4 weeks on the list,A MAN CALLED OVE;by Fredrik Backman;80 weeks on the list,THE SWAMP;by Eric Bolling;2 weeks on the list,THE SWAMP;by Eric Bolling;2 weeks on the list,THE DEVIL IN THE WHITE CITY;by Erik Larson;343 weeks on the list,THE LOSE YOUR BELLY DIET;by Travis Stork;13 weeks on the list,DOG MAN;by Dav Pilkey;45 weeks on the list,PRESS HERE;by Hervé Tullet;251 weeks on the list,MERCY WATSON;by Kate DiCamillo. Illustrated by Chris Van Dusen;4 weeks on the list,ALEX AND ELIZA;by Melissa de la Cruz;13 weeks on the list,SHOE DOG;by Phil Knight;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",UNBROKEN;by Laura Hillenbrand;
7,USE OF FORCE;by Brad Thor;2 weeks on the list,WIRED;by Julie Garwood;New this week,THE COUPLE NEXT DOOR;by Shari Lapena;6 weeks on the list,UNDERSTANDING TRUMP;by Newt Gingrich;4 weeks on the list,UNDERSTANDING TRUMP;by Newt Gingrich;4 weeks on the list,HIDDEN FIGURES;by Margot Lee Shetterly;31 weeks on the list,THE LIFE-CHANGING MAGIC OF TIDYING UP;by Marie Kondo;134 weeks on the list,GRAVITY FALLS: JOURNAL 3;by Rob Renzetti and Alex Hirsch. Illustrated by Andy Gonsalves and Stephanie Ramirez;45 weeks on the list,WE ARE IN A BOOK!;written and illustrated by Mo Willems;15 weeks on the list,WHO WAS/IS . . . ?;by Jim Gigliotti and others; various illustrators;16 weeks on the list,LADY MIDNIGHT;by Cassandra Clare;50 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;,HOMO DEUS;by Yuval Noah Harari;,THE SECRETS OF MY LIFE;by Caitlyn Jenner with Buzz Bissinger;
8,THE HARD WAY;by Lee Child;New this week,A GENTLEMAN IN MOSCOW;by Amor Towles;33 weeks on the list,BEHIND CLOSED DOORS;by B. A. Paris;New this week,HOMO DEUS;by Yuval Noah Harari;4 weeks on the list,OPTION B;by Sheryl Sandberg and Adam Grant;11 weeks on the list,ALEXANDER HAMILTON;by Ron Chernow;82 weeks on the list,UNINVITED;by Lysa TerKeurst;29 weeks on the list,POTTYMOUTH AND STOOPID;by James Patterson and Chris Grabenstein. Illustrated by Stephen Gilpin;4 weeks on the list,"ROSIE REVERE, ENGINEER;by Andrea Beaty. Illustrated by David Roberts;105 weeks on the list",PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;436 weeks on the list,THE SUN IS ALSO A STAR;by Nicola Yoon;34 weeks on the list,ORIGINALS;by Adam Grant;,THE HIDDEN LIFE OF TREES;by Peter Wohlleben;,A LIFE WELL PLAYED;by Arnold Palmer;
9,THE DUCHESS;by Danielle Steel;2 weeks on the list,THE SILENT CORNER;by Dean Koontz;3 weeks on the list,BEHOLD THE DREAMERS;by ﻿Imbolo Mbue;2 weeks on the list,OPTION B;by Sheryl Sandberg and Adam Grant;11 weeks on the list,I CAN'T MAKE THIS UP;by Kevin Hart with Neil Strauss;5 weeks on the list,JUST MERCY;by Bryan Stevenson;68 weeks on the list,THUG KITCHEN;by the staff of Thug Kitchen;59 weeks on the list,THE HIDDEN ORACLE;by Rick Riordan;46 weeks on the list,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;211 weeks on the list,DORK DIARIES;by Rachel Renée Russell;214 weeks on the list,MIDNIGHT JEWEL;by Richelle Mead;2 weeks on the list,LEADERS EAT LAST;by Simon Sinek;,THE POWER OF HABIT;by Charles Duhigg;,BUT SERIOUSLY;by John McEnroe;
10,INTO THE WATER;by Paula Hawkins;10 weeks on the list,THE FORCE;by Don Winslow;2 weeks on the list,ALL THE MISSING GIRLS;by Megan Miranda;15 weeks on the list,EVERYBODY LIES;by Seth Stephens-Davidowitz;New this week,THEFT BY FINDING;by David Sedaris;6 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;200 weeks on the list,DARING GREATLY;by Brené Brown;68 weeks on the list,THE GIRL WHO DRANK THE MOON;by Kelly Barnhill;27 weeks on the list,"ADA TWIST, SCIENTIST;by Andrea Beaty. Illustrated by David Roberts;40 weeks on the list",MISS PEREGRINE’S PECULIAR CHILDREN;by Ransom Riggs;94 weeks on the list,GENERATION ONE;by Pittacus Lore;2 weeks on the list,GET YOUR ------ TOGETHER;by Sarah Knight;,QUIET;by Susan Cain;,SHAKEN;by Tim Tebow;
