,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Hardcover & Paperback Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Combined Hardcover & Paperback Nonfiction,Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Hardcover Business Books,Paperback Business Books,Politics and American History
1,SAFE HAVEN;by Nicholas Sparks;9 weeks on the list,PRIVATE BERLIN;by James Patterson and Mark Sullivan;New this week,FIFTY SHADES OF GREY;by E. L. James;46 weeks on the list,,,PRIVATE BERLIN;by James Patterson and Mark Sullivan;,PROOF OF HEAVEN;by Eben Alexander;14 weeks on the list,MY BELOVED WORLD;by Sonia Sotomayor;2 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;14 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;14 weeks on the list,SHRED: THE REVOLUTIONARY DIET;by Ian K. Smith;4 weeks on the list,EAT TO LIVE;by Joel Fuhrman;80 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;,BUILDING STORIES;by Chris Ware;17 weeks on the list,"FABLES, VOL. 18;by Bill Willingham and Mark Buckingham;New this week","BLACK BUTLER, VOL. 12;by Yana Toboso;New this week",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;69 weeks on the list",THE HUNGER GAMES;by Suzanne Collins;127 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,TO SELL IS HUMAN;by Daniel H. Pink;,OUTLIERS;by Malcolm Gladwell;,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;
2,PRIVATE BERLIN;by James Patterson and Mark Sullivan;New this week,A MEMORY OF LIGHT;by Robert Jordan and Brandon Sanderson;3 weeks on the list,FIFTY SHADES DARKER;by E. L. James;43 weeks on the list,,,A MEMORY OF LIGHT;by Robert Jordan and Brandon Sanderson;,FRANCONA;by Terry Francona and Dan Shaughnessy;New this week,FRANCONA;by Terry Francona and Dan Shaughnessy;New this week,LADY ALMINA AND THE REAL DOWNTON ABBEY;by The Countess of Carnarvon;27 weeks on the list,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;17 weeks on the list,THE PLAN;by Lyn-Genet Recitas;3 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;287 weeks on the list,MY BELOVED WORLD;by Sonia Sotomayor;,"BATWOMAN, VOL. 2;by J. H. Williams III and W. Haden Blackman;New this week",DRAMA;by Raina Telgemeier;19 weeks on the list,"SOUL EATER, VOL. 12;by Atsushi Ohkubo;New this week",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,THE VERY FAIRY PRINCESS FOLLOWS HER HEART;by Julie Andrews and Emma Walton Hamilton. Illustrated by Christine Davenier;2 weeks on the list,BEAUTIFUL CREATURES;by Kami Garcia and Margaret Stohl;6 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,FRANCONA;by Terry Francona and Dan Shaughnessy;,MONEY CODE;by Joe John Duran;,MY BELOVED WORLD;by Sonia Sotomayor;
3,GONE GIRL;by Gillian Flynn;34 weeks on the list,SUSPECT;by Robert Crais;New this week,FIFTY SHADES FREED;by E. L. James;43 weeks on the list,,,SUSPECT;by Robert Crais;,MY BELOVED WORLD;by Sonia Sotomayor;2 weeks on the list,GOING CLEAR;by Lawrence Wright;2 weeks on the list,TEAM OF RIVALS;by Doris Kearns Goodwin;51 weeks on the list,CRY SILENT TEARS;by Joe Peters;New this week,WHEAT BELLY;by William Davis;40 weeks on the list,MONEY CODE;by Joe John Duran;New this week,FRANCONA;by Terry Francona and Dan Shaughnessy;,"THE WALKING DEAD, BOOK 1;by Robert Kirkman, Tony Moore and Charlie Adlard;79 weeks on the list","THE WALKING DEAD COMPENDIUM, VOL. 2;by Robert Kirkman and Charlie Adlard;16 weeks on the list","A BRIDE'S STORY, VOL. 4;by Kaoru Mori;New this week",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,PRESS HERE;by Hervé Tullet;76 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;211 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,NINJA INNOVATION;by Gary Shapiro;,TIPPING POINT;by Malcolm Gladwell;,NO EASY DAY;by Mark Owen with Kevin Maurer;
4,HOPELESS;by Colleen Hoover;5 weeks on the list,GONE GIRL;by Gillian Flynn;34 weeks on the list,LIFE OF PI;by Yann Martel;17 weeks on the list,,,GONE GIRL;by Gillian Flynn;,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;17 weeks on the list,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;17 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;99 weeks on the list,FRANCONA;by Terry Francona and Dan Shaughnessy;New this week,THE END OF DIABETES;by Joel Fuhrman;3 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;597 weeks on the list,GOING CLEAR;by Lawrence Wright;,GREEN LANTERN: REVENGE OF THE BLACK HAND;by Geoff Johns and Doug Mahnke;3 weeks on the list,"LEGO NINJAGO #6, WARRIORS OF STONE;by Greg Farshtey and Jolyton Yates;New this week","MAXIMUM RIDE, VOL. 6;by James Patterson;7 weeks on the list",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,PETE THE CAT AND HIS FOUR GROOVY BUTTONS;by Eric Litwin. Illustrated by James Dean;38 weeks on the list,HEROES OF OLYMPUS;by Rick Riordan;17 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;,DRIVE;by Daniel H. Pink;,THOMAS JEFFERSON;by Jon Meacham;
5,FIFTY SHADES OF GREY;by E. L. James;48 weeks on the list,EVER AFTER;by Kim Harrison;New this week,THE PARIS WIFE;by Paula McLain;9 weeks on the list,,,FIFTY SHADES OF GREY;by E. L. James;,GOING CLEAR;by Lawrence Wright;2 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;70 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;115 weeks on the list,GOING CLEAR;by Lawrence Wright;2 weeks on the list,WHEAT BELLY COOKBOOK;by William Davis;5 weeks on the list,HOW TO TELL IF YOUR CAT IS PLOTTING TO KILL YOU;by Matthew Inman;16 weeks on the list,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;,MADELEINE L'ENGLE'S A WRINKLE IN TIME;by Hope Larson;17 weeks on the list,PERSEPOLIS;by Marjane Satrapi;2 weeks on the list,"MISSIONS OF LOVE, VOL. 2;by Ema Toyama;2 weeks on the list",THE ICKABOG;by J.K. Rowling;26 weeks on the list,PETE THE CAT: I LOVE MY WHITE SHOES;by Eric Litwin. Illustrated by James Dean;44 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;44 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,ANTIFRAGILE;by Nassim Nicholas Taleb;,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;
6,SUSPECT;by Robert Crais;New this week,TENTH OF DECEMBER;by George Saunders;3 weeks on the list,SAFE HAVEN;by Nicholas Sparks;19 weeks on the list,,,SAFE HAVEN;by Nicholas Sparks;,NO EASY DAY;by Mark Owen with Kevin Maurer;21 weeks on the list,THOMAS JEFFERSON;by Jon Meacham;11 weeks on the list,OUTLIERS;by Malcolm Gladwell;86 weeks on the list,NO EASY DAY;by Mark Owen with Kevin Maurer;21 weeks on the list,BAREFOOT CONTESSA FOOLPROOF;by Ina Garten;13 weeks on the list,PRACTICAL PALEO;by Diane Sanfilippo;11 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;,"WONDER WOMAN, VOL. 2;by Brian Azzarello and Cliff Chiang;2 weeks on the list","MAUS: A SURVIVOR’S TALE, VOL. 1;by Art Spiegelman;30 weeks on the list","NARUTO, VOL. 59;by Masashi Kishimoto;12 weeks on the list",WONDER;by R.J. Palacio;295 weeks on the list,THIS IS NOT MY HAT;by Jon Klassen;14 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;279 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,TOTAL MONEY MAKEOVER;by Dave Ramsey;,BOOMERANG;by Michael Lewis;,THE WORLD UNTIL YESTERDAY;by Jared Diamond;
7,EVER AFTER;by Kim Harrison;New this week,THE FIFTH ASSASSIN;by Brad Meltzer;2 weeks on the list,DEATH COMES TO PEMBERLEY;by P. D. James;4 weeks on the list,,,EVER AFTER;by Kim Harrison;,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;69 weeks on the list,NO EASY DAY;by Mark Owen with Kevin Maurer;21 weeks on the list,THE NEW JIM CROW;by Michelle Alexander;46 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;70 weeks on the list,THE VIRGIN DIET;by J. J. Virgin;6 weeks on the list,FORKS OVER KNIVES: THE COOKBOOK;by Del Sroufe;12 weeks on the list,THOMAS JEFFERSON;by Jon Meacham;,ARE YOU MY MOTHER?;by Alison Bechdel;34 weeks on the list,FUN HOME;by Alison Bechdel;13 weeks on the list,"NARUTO, VOL. 58;by Masashi Kishimoto;11 weeks on the list",REFUGEE;by Alan Gratz;129 weeks on the list,OLIVIA AND THE FAIRY PRINCESSES;by Ian Falconer;16 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;73 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,GREAT BY CHOICE;by Jim Collins and Morten T. Hansen;,THE CHECKLIST MANIFESTO;by Atul Gawande;,MY SHARE OF THE TASK;by Stanley McChrystal;
8,FIFTY SHADES DARKER;by E. L. James;48 weeks on the list,THE THIRD BULLET;by Stephen Hunter;2 weeks on the list,PRIVATE: #1 SUSPECT;by James Patterson and Maxine Paetro;2 weeks on the list,,,FIFTY SHADES DARKER;by E. L. James;,THOMAS JEFFERSON;by Jon Meacham;11 weeks on the list,TO SELL IS HUMAN;by Daniel H. Pink;2 weeks on the list,AN INVISIBLE THREAD;by Laura L. Schroff;4 weeks on the list,MY BELOVED WORLD;by Sonia Sotomayor;2 weeks on the list,"HELP, THANKS, WOW;by Anne Lamott;10 weeks on the list",THE HAPPINESS PROJECT;by Gretchen Rubin;98 weeks on the list,NO EASY DAY;by Mark Owen with Kevin Maurer;,ABSOLUTE BATMAN & ROBIN: BATMAN REBORN;by Grant Morrison and others;2 weeks on the list,"SAGA, VOL. 1;by Brian K. Vaughan and Fiona Staples;9 weeks on the list","BLEACH, VOL. 54;by Tite Kubo;4 weeks on the list",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,GOLDILOCKS AND THE THREE DINOSAURS;by Mo Willems;8 weeks on the list,DORK DIARIES;by Rachel Renée Russell;69 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,"THINKING, FAST AND SLOW;by Daniel Kahneman;",THE BIG SHORT;by Michael Lewis;,A HIGHER CALL;by Adam Makos with Larry Alexander;
9,FIFTY SHADES FREED;by E. L. James;46 weeks on the list,THE RACKETEER;by John Grisham;14 weeks on the list,WORLD WAR Z;by Max Brooks;31 weeks on the list,,,FIFTY SHADES FREED;by E. L. James;,CRY SILENT TEARS;by Joe Peters;New this week,A HIGHER CALL;by Adam Makos with Larry Alexander;5 weeks on the list,IN THE GARDEN OF BEASTS;by Erik Larson;39 weeks on the list,TEAM OF RIVALS;by Doris Kearns Goodwin;4 weeks on the list,FAT CHANCE;by Robert H. Lustig;3 weeks on the list,CRAZY LOVE;by Francis Chan with Danae Yankoski;92 weeks on the list,TO SELL IS HUMAN;by Daniel H. Pink;,DARK TOWER: THE GUNSLINGER - THE MAN IN BLACK;by Peter David and Robin Furth;2 weeks on the list,THE COMPLETE PERSEPOLIS;by Marjane Satrapi;17 weeks on the list,"ALICE IN THE COUNTRY OF HEARTS: MY FANATIC RABBIT, VOL. 1;by Quinrose;6 weeks on the list",GROUND ZERO;by Alan Gratz;10 weeks on the list,THIS MOOSE BELONGS TO ME;by Oliver Jeffers;5 weeks on the list,MATCHED TRILOGY;by Ally Condie;11 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,STRENGTHS-BASED LEADERSHIP;by Tom Rath and Barry Conchie;,MONEYBALL;by Michael Lewis;,UNBROKEN;by Laura Hillenbrand;
10,THE FORGOTTEN;by David Baldacci;10 weeks on the list,THE TWELVE TRIBES OF HATTIE;by Ayana Mathis;7 weeks on the list,THE HARBINGER;by Jonathan Cahn;56 weeks on the list,,,TENTH OF DECEMBER;by George Saunders;,TEAM OF RIVALS;by Doris Kearns Goodwin;12 weeks on the list,THE WORLD UNTIL YESTERDAY;by Jared Diamond;4 weeks on the list,HALF THE SKY;by Nicholas D. Kristof and Sheryl WuDunn;41 weeks on the list,UNBROKEN;by Laura Hillenbrand;105 weeks on the list,7 YEARS YOUNGER;by the editors of Good Housekeeping;4 weeks on the list,TO HEAVEN AND BACK;by Mary C. Neal;35 weeks on the list,LADY ALMINA AND THE REAL DOWNTON ABBEY;by The Countess of Carnarvon;,BATMAN: THE KILLING JOKE;by Alan Moore and Brian Bolland;95 weeks on the list,"THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;76 weeks on the list","LOVELESS: 2-IN-1, VOL. 2;by Yun Kouga;2 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,LLAMA LLAMA TIME TO SHARE;by Anna Dewdney;18 weeks on the list,BIG NATE;written and illustrated by Lincoln Peirce;69 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,STEVE JOBS;by Walter Isaacson;,THAT USED TO BE US;by Thomas L. Friedman and Michael Mandelbaum;,BEHIND THE BEAUTIFUL FOREVERS;by Katherine Boo;
