,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Hardcover & Paperback Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Combined Hardcover & Paperback Nonfiction,Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series
1,FIFTY SHADES OF GREY;by E. L. James;9 weeks on the list,THE WIND THROUGH THE KEYHOLE;by Stephen King;New this week,FIFTY SHADES OF GREY;by E. L. James;7 weeks on the list,,,FIFTY SHADES OF GREY;by E. L. James;,"LOTS OF CANDLES, PLENTY OF CAKE;by Anna Quindlen;New this week",DRIFT;by Rachel Maddow;5 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;76 weeks on the list,LIFEBOAT NO. 8;by Elizabeth Kaye;3 weeks on the list,THE PIONEER WOMAN COOKS;by Ree Drummond;7 weeks on the list,"ACT LIKE A LADY, THINK LIKE A MAN;by Steve Harvey with Denene Millner;11 weeks on the list",DRIFT;by Rachel Maddow;,JERUSALEM: CHRONICLES FROM THE HOLY CITY;by Guy Delisle;New this week,CINDERELLA: FABLES ARE FOREVER;by Chris Roberson and Bill Willingham;New this week,"NEGIMA! MAGISTER NEGI MAGI, VOL. 34;by Ken Akamatsu;New this week",MISS PEREGRINE'S HOME FOR PECULIAR CHILDREN;by Ransom Riggs and Cassandra Jean;47 weeks on the list,DIVERGENT;by Veronica Roth;9 weeks on the list,THE DUCKLING GETS A COOKIE!?;by Mo Willems;4 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;88 weeks on the list
2,FIFTY SHADES DARKER;by E. L. James;9 weeks on the list,THE INNOCENT;by David Baldacci;2 weeks on the list,FIFTY SHADES DARKER;by E. L. James;4 weeks on the list,,,FIFTY SHADES DARKER;by E. L. James;,LET'S PRETEND THIS NEVER HAPPENED;by Jenny Lawson;2 weeks on the list,"LOTS OF CANDLES, PLENTY OF CAKE;by Anna Quindlen;New this week",BOSSYPANTS;by Tina Fey;17 weeks on the list,LET'S PRETEND THIS NEVER HAPPENED;by Jenny Lawson;2 weeks on the list,THE BLOOD SUGAR SOLUTION;by Mark Hyman;9 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;248 weeks on the list,"LOTS OF CANDLES, PLENTY OF CAKE;by Anna Quindlen;",FLEX MENTALLO: MAN OF MUSCLE MYSTERY;by Grant Morrison and Frank Quitely;3 weeks on the list,"THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;42 weeks on the list","AIR GEAR, VOL. 23;by Oh!Great;New this week",THE FAULT IN OUR STARS;by John Green;16 weeks on the list,THE LOST HERO;by Rick Riordan;4 weeks on the list,THE LORAX;by Dr. Seuss;11 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;172 weeks on the list
3,FIFTY SHADES FREED;by E. L. James;8 weeks on the list,CALICO JOE;by John Grisham;3 weeks on the list,FIFTY SHADES FREED;by E. L. James;4 weeks on the list,,,FIFTY SHADES FREED;by E. L. James;,DRIFT;by Rachel Maddow;5 weeks on the list,PRAGUE WINTER;by Madeleine Albright with Bill Woodward;New this week,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;60 weeks on the list,"LOTS OF CANDLES, PLENTY OF CAKE;by Anna Quindlen;New this week",WEEKNIGHTS WITH GIADA;by Giada De Laurentiis;5 weeks on the list,THE MAGIC;by Rhonda Byrne;8 weeks on the list,PRAGUE WINTER;by Madeleine Albright with Bill Woodward;,"THE WALKING DEAD, RISE OF THE GOVERNOR;by Robert Kirkman and Jay Bonansinga;15 weeks on the list","AVATAR: THE LAST AIRBENDER, PART 1;by Gene Luen Yang and others;7 weeks on the list","GTO: THE EARLY YEARS, VOL. 12;by Tohru Fujisawa;New this week","NANCY CLANCY, SECRET ADMIRER;by Jane O'Connor. Illustrated by Robin Preiss Glasser;4 weeks on the list",THE BOOK THIEF;by Markus Zusak;242 weeks on the list,THE VERY FAIRY PRINCESS: HERE COMES THE FLOWER GIRL!;by Julie Andrews and Emma Walton Hamilton. Illustrated by Christine Davenier;2 weeks on the list,TRYLLE TRILOGY;by Amanda Hocking;New this week
4,THE WIND THROUGH THE KEYHOLE;by Stephen King;New this week,THE WITNESS;by Nora Roberts;2 weeks on the list,THE LUCKY ONE;by Nicholas Sparks;22 weeks on the list,,,THE WIND THROUGH THE KEYHOLE;by Stephen King;,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;66 weeks on the list,IMAGINE;by Jonah Lehrer;6 weeks on the list,THE NEW JIM CROW;by Michelle Alexander;15 weeks on the list,MRS. KENNEDY AND ME;by Clint Hill;4 weeks on the list,WORTH EVERY PENNY;by Sarah Petty and Erin Verbeck;New this week,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;559 weeks on the list,IMAGINE;by Jonah Lehrer;,"THE NEW TEEN TITANS OMNIBUS, VOL. 2;by Marv Wolfman and George Perez;New this week","THE WALKING DEAD, VOL. 15;by Robert Kirkman and Charlie Adlard;18 weeks on the list","BLACK BUTLER, VOL. 9;by Yana Toboso;New this week",CHOMP;by Carl Hiaasen;5 weeks on the list,THEODORE BOONE: THE ABDUCTION;by John Grisham;New this week,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;30 weeks on the list",BIG NATE;written and illustrated by Lincoln Peirce;56 weeks on the list
5,THE LUCKY ONE;by Nicholas Sparks;11 weeks on the list,CRYSTAL GARDENS;by Amanda Quick;New this week,ABRAHAM LINCOLN: VAMPIRE HUNTER;by Seth Grahame-Smith;9 weeks on the list,,,THE LUCKY ONE;by Nicholas Sparks;,PRAGUE WINTER;by Madeleine Albright with Bill Woodward;New this week,THE PRESIDENTS CLUB;by Nancy Gibbs and Michael Duffy;2 weeks on the list,MOONWALKING WITH EINSTEIN;by Joshua Foer;9 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;9 weeks on the list,THE 17 DAY DIET;by Mike Moreno;53 weeks on the list,THE HUNGER GAMES TRIBUTE GUIDE;by Emily Seife;12 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;,"BATMAN INCORPORATED DELUXE, VOL. 1;by Grant Morrison and Yanick Paquette;2 weeks on the list",NINJAGO: MASK OF THE SENSEI;by Greg Farshtey and Paulo Herique;9 weeks on the list,"DURARARA!!, VOL. 2;by Ryohgo Narita;New this week",THE SON OF NEPTUNE;by Rick Riordan;30 weeks on the list,BETWEEN SHADES OF GRAY;by Ruta Sepetys;4 weeks on the list,PRESS HERE;by Hervé Tullet;45 weeks on the list,THE MYSTERIOUS BENEDICT SOCIETY;by Trenton Lee Stewart;13 weeks on the list
6,SUNRISE POINT;by Robyn Carr;New this week,GUILTY WIVES;by James Patterson and David Ellis;5 weeks on the list,THE GIRL WHO KICKED THE HORNET’S NEST;by Stieg Larsson;10 weeks on the list,,,THE INNOCENT;by David Baldacci;,IMAGINE;by Jonah Lehrer;6 weeks on the list,LET'S PRETEND THIS NEVER HAPPENED;by Jenny Lawson;2 weeks on the list,THE VOW;by Kim and Krickitt Carpenter with Dana Wilkerson;12 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;66 weeks on the list,THE LAPTOP MILLIONAIRE;by Mark Anastasi;New this week,THE HAPPINESS PROJECT;by Gretchen Rubin;60 weeks on the list,THE PRESIDENTS CLUB;by Nancy Gibbs and Michael Duffy;,"TEENAGE MUTANT NINJA TURTLES: THE ULTIMATE COLLECTION, VOL. 2;by  Kevin B. Eastman and others;New this week","THE WALKING DEAD, VOL. 1;by Robert Kirkman and Tony Moore;116 weeks on the list","NARUTO, VOL. 55;by Masashi Kishimoto;6 weeks on the list",THE LEGO IDEAS BOOK;by Daniel Lipkowitz;25 weeks on the list,MATCHED;by Ally Condie;32 weeks on the list,PETE THE CAT: I LOVE MY WHITE SHOES;by Eric Litwin. Illustrated by James Dean;14 weeks on the list,THE SISTERS GRIMM SERIES;by Michael Buckley;New this week
7,THE INNOCENT;by David Baldacci;2 weeks on the list,THE LOST YEARS;by Mary Higgins Clark;4 weeks on the list,ZERO DAY;by David Baldacci;5 weeks on the list,,,CALICO JOE;by John Grisham;,THE POWER OF HABIT;by Charles Duhigg;9 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;31 weeks on the list,OUTLIERS;by Malcolm Gladwell;47 weeks on the list,STEVE JOBS;by Walter Isaacson;27 weeks on the list,LET IT GO;by T. D. Jakes;6 weeks on the list,CRAZY LOVE;by Francis Chan with Danae Yankoski;75 weeks on the list,LET'S PRETEND THIS NEVER HAPPENED;by Jenny Lawson;,A GAME OF THRONES;by George R.R. Martin;4 weeks on the list,NINJAGO: THE CHALLENGE OF SAMUKAI;by Greg Farshtey and Paulo Herique;8 weeks on the list,"ROSARIO+VAMPIRE, SEASON II, VOL. 8;by Akihisa Ikeda;4 weeks on the list",THE INVENTION OF HUGO CABRET;by Brian Selznick;111 weeks on the list,"THE RED PYRAMID: THE KANE CHRONICLES, BOOK ONE;by Rick Riordan and Orpheus Collar;37 weeks on the list",FANCY NANCY AND THE MERMAID BALLET;by Jane O'Connor. Illustrated by Robin Preiss Glasser;12 weeks on the list,WARRIORS;by Erin Hunter;112 weeks on the list
8,THE WITNESS;by Nora Roberts;2 weeks on the list,UNNATURAL ACTS;by Stuart Woods;2 weeks on the list,CALEB'S CROSSING;by Geraldine Brooks;New this week,,,SUNRISE POINT;by Robyn Carr;,MRS. KENNEDY AND ME;by Clint Hill;4 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;9 weeks on the list,BORN TO RUN;by Christopher McDougall;57 weeks on the list,UNBROKEN;by Laura Hillenbrand;66 weeks on the list,VEGAN COOKING FOR CARNIVORES;by Roberto Martin;New this week,EAT TO LIVE;by Joel Fuhrman;42 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;,DAREDEVIL: SEASON ONE;by Antony Johnston and Wellinton Alves;New this week,AVENGERS VS. X-MEN: IT'S COMING;by various;New this week,"HIGHSCHOOL OF THE DEAD, VOL. 6;by Daisuke Sato;New this week",WONDER;by R.J. Palacio;6 weeks on the list,IF I STAY;by Gayle Forman;16 weeks on the list,I WANT MY HAT BACK;by Jon Klassen;21 weeks on the list,THE MAZE RUNNER;by James Dashner;20 weeks on the list
9,FIFTY SHADES TRILOGY;by E. L. James;2 weeks on the list,THE SHOEMAKER’S WIFE;by Adriana Trigiani;4 weeks on the list,THE HELP;by Kathryn Stockett;56 weeks on the list,,,A GAME OF THRONES;by George R.R. Martin;,LIFEBOAT NO. 8;by Elizabeth Kaye;3 weeks on the list,MRS. KENNEDY AND ME;by Clint Hill;4 weeks on the list,THE ZOMBIE SURVIVAL GUIDE;by Max Brooks;50 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;31 weeks on the list,MARTHA STEWART'S AMERICAN FOOD;by Martha Stewart;New this week,I BRAKE FOR YARD SALES;by Lara Spencer;New this week,THE POWER OF HABIT;by Charles Duhigg;,"THE WALKING DEAD, BOOK 1;by Robert Kirkman, Tony Moore and Charlie Adlard;55 weeks on the list",SMILE;by Raina Telgemeier;16 weeks on the list,"SAILOR MOON, VOL. 4;by Naoko Takeuchi;5 weeks on the list",THE SELECTION;by Kiera Cass;New this week,WHERE SHE WENT;by Gayle Forman;New this week,THE ART OF MISS CHEW;by Patricia Polacco;New this week,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;247 weeks on the list
10,CALICO JOE;by John Grisham;3 weeks on the list,SACRÉ BLEU;by Christopher Moore;4 weeks on the list,NOW YOU SEE HER;by James Patterson and Michael Ledwidge;4 weeks on the list,,,THE WITNESS;by Nora Roberts;,STEVE JOBS;by Walter Isaacson;27 weeks on the list,THE BIG MISS;by Hank Haney;5 weeks on the list,LOST IN SHANGRI-LA;by Mitchell Zuckoff;New this week,INSANELY SIMPLE;by Ken Segall;New this week,30 THINGS EVERY WOMAN SHOULD HAVE AND SHOULD KNOW BY THE TIME SHE'S 30;by the editors of Glamour and Pamela Redmond Satran;New this week,FORKS OVER KNIVES;edited by Gene Stone;32 weeks on the list,MRS. KENNEDY AND ME;by Clint Hill;,"THE WALKING DEAD, BOOK 2;by Robert Kirkman and Charlie Adlard;11 weeks on the list","THE SIXTH GUN, VOL. 3;by Cullen Bunn and Brian Hurtt;New this week","BLEACH, VOL. 39;by Tite Kubo;3 weeks on the list",DEAD END IN NORVELT;by Jack Gantos;7 weeks on the list,CLOCKWORK ANGEL;by Cassandra Clare;24 weeks on the list,ME ... JANE;by Patrick McDonnell;15 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;53 weeks on the list
