,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Food and Diet,Hardcover Business Books,Paperback Business Books,Politics and American History,Science
1,THE CUCKOO'S CALLING;by Robert Galbraith;6 weeks on the list,THE CUCKOO'S CALLING;by Robert Galbraith;6 weeks on the list,THE CASUAL VACANCY;by J. K. Rowling;5 weeks on the list,,,THE LIBERTY AMENDMENTS;by Mark R. Levin;2 weeks on the list,THE LIBERTY AMENDMENTS;by Mark R. Levin;2 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;44 weeks on the list,THE LIBERTY AMENDMENTS;by Mark R. Levin;2 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;20 weeks on the list,PACIFIC RIM: TALES FROM YEAR ZERO;by Travis Beacham and Sean Chen;10 weeks on the list,PERSEPOLIS;by Marjane Satrapi;14 weeks on the list,"NARUTO, VOL. 62;by Masashi Kishimoto;3 weeks on the list",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,PETE THE CAT: THE WHEELS ON THE BUS;by James Dean;9 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;102 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,WHEAT BELLY;by William Davis;,LEAN IN;by Sheryl Sandberg with Nell Scovell;,OUTLIERS;by Malcolm Gladwell;,THE LIBERTY AMENDMENTS;by Mark R. Levin;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;
2,THE HUSBAND'S SECRET;by Liane Moriarty;3 weeks on the list,INFERNO;by Dan Brown;15 weeks on the list,FIFTY SHADES OF GREY;by E. L. James;76 weeks on the list,,,ZEALOT;by Reza Aslan;6 weeks on the list,ZEALOT;by Reza Aslan;6 weeks on the list,ORANGE IS THE NEW BLACK;by Piper Kerman;6 weeks on the list,BONHOEFFER;by Eric Metaxas;4 weeks on the list,THE UNTETHERED SOUL;by Michael A. Singer;3 weeks on the list,"THE FLASH, VOL. 2;by Francis Manapul, Brian Buccellato and Marcus To;New this week","MAUS: A SURVIVOR’S TALE, VOL. 1;by Art Spiegelman;37 weeks on the list","POKEMON ADVENTURES, HEARTGOLD & SOULSILVER, VOL. 1;by Hidenori Kusaka;2 weeks on the list",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;9 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;303 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,JERUSALEM;by Yotam Ottolenghi and Sami Tamimi;,INFILTRATED;by Jay W. Richards;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",THIS TOWN;by Mark Leibovich;,QUIET;by Susan Cain;
3,WICKED FIRSTS;by Elisabeth Naughton and others;New this week,MISTRESS;by James Patterson and David Ellis;3 weeks on the list,THE SILENT WIFE;by A. S. A. Harrison;5 weeks on the list,,,ORANGE IS THE NEW BLACK;by Piper Kerman;6 weeks on the list,LEAN IN;by Sheryl Sandberg with Nell Scovell;24 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;129 weeks on the list,ORANGE IS THE NEW BLACK;by Piper Kerman;7 weeks on the list,E-SQUARED;by Pam Grout;6 weeks on the list,A GAME OF THRONES;by George R.R. Martin;19 weeks on the list,MARCH: BOOK ONE;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;2 weeks on the list,"NO. 6, VOL. 2;by Atsuko Asano and  Hinoki Kino;New this week",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,PETE THE CAT: I LOVE MY WHITE SHOES;by Eric Litwin. Illustrated by James Dean;72 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;157 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,"CHOOSE MORE, LOSE MORE FOR LIFE;by Chris Powell with Heidi Powell;",DUCK COMMANDERS;by Willie and Korie Robertson with Mark Schlabach;,TIPPING POINT;by Malcolm Gladwell;,UNBROKEN;by Laura Hillenbrand;,THE SPORTS GENE;by David Epstein;
4,MISTRESS;by James Patterson and David Ellis;3 weeks on the list,AND THE MOUNTAINS ECHOED;by Khaled Hosseini;14 weeks on the list,BEAUTIFUL RUINS;by Jess Walter;21 weeks on the list,,,EXPOSED;by Jane Velez-Mitchell;New this week,"HAPPY, HAPPY, HAPPY;by Phil Robertson with Mark Schlabach;16 weeks on the list",OUTLIERS;by Malcolm Gladwell;116 weeks on the list,EXPOSED;by Jane Velez-Mitchell;New this week,SURVIVE THE UNTHINKABLE;by Tim Larkin;New this week,BATMAN: THE KILLING JOKE;by Alan Moore and Brian Bolland;99 weeks on the list,"THE FLASH, VOL. 1;by Francis Manapul and Brian Buccellato;New this week","SPICE AND WOLF, VOL. 9;by Isuna Hasekura;New this week",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;99 weeks on the list",GIVER QUARTET;by Lois Lowry;21 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,EAT TO LIVE;by Joel Fuhrman;,THE LEADERSHIP CONTRACT;by Vince Molinaro;,DRIVE;by Daniel H. Pink;,LAWRENCE IN ARABIA;by Scott Anderson;,"THINKING, FAST AND SLOW;by Daniel Kahneman;"
5,HIGH HEAT;by Lee Child;3 weeks on the list,THE THIRD KINGDOM;by Terry Goodkind;New this week,THE ALCHEMIST;by Paulo Coelho;267 weeks on the list,,,"HAPPY, HAPPY, HAPPY;by Phil Robertson with Mark Schlabach;16 weeks on the list",EXPOSED;by Jane Velez-Mitchell;New this week,QUIET;by Susan Cain;30 weeks on the list,ZEALOT;by Reza Aslan;6 weeks on the list,"CHOOSE MORE, LOSE MORE FOR LIFE;by Chris Powell with Heidi Powell;7 weeks on the list",KICK-ASS 2 PRELUDE: HIT-GIRL;by Mark Millar and John Romita Jr.;5 weeks on the list,SMILE;by Raina Telgemeier;68 weeks on the list,"MAGI: THE LABYRINTH OF MAGIC, VOL. 1;by Shinobu Otaka;New this week",THE ICKABOG;by J.K. Rowling;26 weeks on the list,LLAMA LLAMA AND THE BULLY GOAT;by Anna Dewdney;3 weeks on the list,ORIGAMI YODA;by Tom Angleberger. Illustrated;15 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,IT'S ALL GOOD;by Gwyneth Paltrow and Julia Turshen;,STEVE JOBS;by Walter Isaacson;,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;,COLLISION 2012;by Dan Balz;,THE HAPPINESS PROJECT;by Gretchen Rubin;
6,THE SILENT WIFE;by A. S. A. Harrison;5 weeks on the list,NIGHT FILM;by Marisha Pessl;New this week,JOYLAND;by Stephen King;12 weeks on the list,,,PROOF OF HEAVEN;by Eben Alexander;44 weeks on the list,LAWRENCE IN ARABIA;by Scott Anderson;3 weeks on the list,WILD;by Cheryl Strayed;22 weeks on the list,BUTLER;by Wil Haygood;4 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;20 weeks on the list,KICK-ASS;by Mark Millar and John Romita Jr.;34 weeks on the list,WATCHMEN;by Alan Moore and Dave Gibbons;117 weeks on the list,"ATTACK ON TITAN, VOL. 3;by Hajime Isayama;3 weeks on the list",WONDER;by R.J. Palacio;295 weeks on the list,"STEAM TRAIN, DREAM TRAIN;by Sherri Duskey Rinker and Tom Lichtenheld;19 weeks on the list","BANE CHRONICLES;by Cassandra Clare, Maureen Johnson and Sarah Rees Brennan;2 weeks on the list",STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,THE FAST METABOLISM DIET;by Haylie Pomroy with Eve Adamson;,THE POWER OF HABIT;by Charles Duhigg;,THE CHECKLIST MANIFESTO;by Atul Gawande;,BUTLER;by Wil Haygood;,THE POWER OF HABIT;by Charles Duhigg;
7,INFERNO;by Dan Brown;15 weeks on the list,THE BONE SEASON;by Samantha Shannon;New this week,"ALEX CROSS, RUN;by James Patterson;4 weeks on the list",,,LEAN IN;by Sheryl Sandberg with Nell Scovell;24 weeks on the list,THIS TOWN;by Mark Leibovich;6 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;326 weeks on the list,"HAPPY, HAPPY, HAPPY;by Phil Robertson with Mark Schlabach;16 weeks on the list",F FOR EFFORT!;by  Richard Benson;New this week,"GREEN LANTERN: NEW GUARDIANS, VOL. 2;by Tony Bedard and Tyler Kirkham;New this week",DRAMA;by Raina Telgemeier;41 weeks on the list,"ATTACK ON TITAN, VOL. 1;by Hajime Isayama;11 weeks on the list",REFUGEE;by Alan Gratz;129 weeks on the list,PRESS HERE;by Hervé Tullet;106 weeks on the list,HEROES OF OLYMPUS;by Rick Riordan;40 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,THE FASTDIET;by Michael Mosley and Mimi Spencer;,TOTAL MONEY MAKEOVER;by Dave Ramsey;,"NOTHING TO LOSE, EVERYTHING TO GAIN;by Ryan Blair;",THE GUNS AT LAST LIGHT;by Rick Atkinson;,THE SMARTEST KIDS IN THE WORLD;by Amanda Ripley;
8,NIGHT FILM;by Marisha Pessl;New this week,GONE GIRL;by Gillian Flynn;64 weeks on the list,LIFE OF PI;by Yann Martel;44 weeks on the list,,,LAWRENCE IN ARABIA;by Scott Anderson;3 weeks on the list,INFILTRATED;by Jay W. Richards;3 weeks on the list,BRAIN ON FIRE;by Susannah Cahalan;3 weeks on the list,LAWRENCE IN ARABIA;by Scott Anderson;3 weeks on the list,THE SYNCHRONICITY KEY;by David Wilcock;New this week,THE ANIMAL MAN OMNIBUS;by Grant Morrison and Chas Trouog;3 weeks on the list,"SAGA, VOL. 2;by Brian K. Vaughan and Fiona Staples;10 weeks on the list","ATTACK ON TITAN, VOL. 4;by Hajime Isayama;New this week",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,JOURNEY;by Aaron Becker;3 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;241 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,SHRED: THE REVOLUTIONARY DIET;by Ian K. Smith;,ELEVEN RINGS;by Phil Jackson and Hugh Delehanty;,PREDICTABLY IRRATIONAL;by Dan Ariely;,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;,THE REASON I JUMP;by Naoki Higashida;
9,THE BONE SEASON;by Samantha Shannon;New this week,THE KILL LIST;by Frederick Forsyth;New this week,"WHERE'D YOU GO, BERNADETTE;by Maria Semple;21 weeks on the list",,,BONHOEFFER;by Eric Metaxas;3 weeks on the list,UNBROKEN;by Laura Hillenbrand;143 weeks on the list,HOW CHILDREN SUCCEED;by Paul Tough;8 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;44 weeks on the list,WHEAT BELLY;by William Davis;20 weeks on the list,IN THE DAYS OF THE MOB;by Jack Kirby;New this week,FUN HOME;by Alison Bechdel;15 weeks on the list,"ATTACK ON TITAN, VOL. 5;by Hajime Isayama;7 weeks on the list",GROUND ZERO;by Alan Gratz;10 weeks on the list,PETE THE CAT: ROCKING IN MY SCHOOL SHOES;by Eric Litwin. Illustrated by James Dean;24 weeks on the list,DORK DIARIES;by Rachel Renée Russell;85 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,PRACTICAL PALEO;by Diane Sanfilippo;,STRENGTHS-BASED LEADERSHIP;by Tom Rath and Barry Conchie;,MONEY CODE;by Joe John Duran;,KEEP IT PITHY;by Bill O'Reilly;,THE CHECKLIST MANIFESTO;by Atul Gawande;
10,UNLOCKED;by Maya Cross;New this week,THE HUSBAND'S SECRET;by Liane Moriarty;3 weeks on the list,FIFTY SHADES DARKER;by E. L. James;73 weeks on the list,,,BUTLER;by Wil Haygood;2 weeks on the list,LET'S EXPLORE DIABETES WITH OWLS;by David Sedaris;18 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;21 weeks on the list",LEAN IN;by Sheryl Sandberg with Nell Scovell;24 weeks on the list,EAT TO LIVE;by Joel Fuhrman;16 weeks on the list,HARK! A VAGRANT;by Kate Beaton;25 weeks on the list,"SAGA, VOL. 1;by Brian K. Vaughan and Fiona Staples;36 weeks on the list","BAKUMAN, VOL. 20;by Tsugumi Ohba;3 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,THIS IS NOT MY HAT;by Jon Klassen;43 weeks on the list,THE MAZE RUNNER;by James Dashner;60 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,EATING ON THE WILD SIDE;by Jo Robinson;,CRAZY RICH;by Jerry Oppenheimer;,BOOMERANG;by Michael Lewis;,AMERICAN GUN;by Chris Kyle with William Doyle;,INSIDE OF A DOG;by Alexandra Horowitz;
