,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Audio Fiction,Audio Nonfiction,Business,Graphic Books and Manga,Mass Market,Middle Grade Paperback,Young Adult Paperback
1,WHERE THE CRAWDADS SING;by Delia Owens;70 weeks on the list,WHERE THE CRAWDADS SING;by Delia Owens;71 weeks on the list,BEFORE WE WERE YOURS;by Lisa Wingate;34 weeks on the list,EDUCATED;by Tara Westover;99 weeks on the list,EDUCATED;by Tara Westover;99 weeks on the list,JUST MERCY;by Bryan Stevenson;187 weeks on the list,"THE BOY, THE MOLE, THE FOX AND THE HORSE;by Charlie Mackesy;10 weeks on the list",WONDER;by R.J. Palacio;230 weeks on the list,GRUMPY MONKEY;by Suzanne Lang. Illustrated by Max Lang;20 weeks on the list,DOG MAN;by Dav Pilkey;124 weeks on the list,ONE OF US IS NEXT;by Karen M. McManus;New this week,THE GUARDIANS;by John Grisham;,TALKING TO STRANGERS;by Malcolm Gladwell;,THE RIDE OF A LIFETIME;by Robert Iger;,GUTS;by Raina Telgemeier;,SILENT NIGHT;by Danielle Steel;,THE ONE AND ONLY IVAN;by Katherine Applegate. Illustrated by Patricia Castelao;,LOOKING FOR ALASKA;by John Green;
2,MORAL COMPASS;by Danielle Steel;New this week,DEAR EDWARD;by Ann Napolitano;New this week,THE TATTOOIST OF AUSCHWITZ;by Heather Morris;71 weeks on the list,JUST MERCY;by Bryan Stevenson;20 weeks on the list,TALKING TO STRANGERS;by Malcolm Gladwell;18 weeks on the list,THE BODY KEEPS THE SCORE;by Bessel van der Kolk;64 weeks on the list,ATOMIC HABITS;by James Clear;10 weeks on the list,REFUGEE;by Alan Gratz;81 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;217 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;565 weeks on the list,CHILDREN OF VIRTUE AND VENGEANCE;by Tomi Adeyemi;6 weeks on the list,THE GIVER OF STARS;by Jojo Moyes;,EMPIRE OF THE SUMMER MOON;by S.C. Gwynne;,ATOMIC HABITS;by James Clear;,STRANGE PLANET;by Nathan W. Pyle;,THE 13-MINUTE MURDER;by James Patterson;,WISH;by Barbara O'Connor;,"LET IT SNOW;by John Green, Maureen Johnson and Lauren Myracle;"
3,DEAR EDWARD;by Ann Napolitano;New this week,MORAL COMPASS;by Danielle Steel;New this week,LITTLE FIRES EVERYWHERE;by Celeste Ng;36 weeks on the list,TALKING TO STRANGERS;by Malcolm Gladwell;18 weeks on the list,BECOMING;by Michelle Obama;57 weeks on the list,WHY WE SLEEP;by Matthew Walker;38 weeks on the list,7-DAY APPLE CIDER VINEGAR CLEANSE;by J.J. Smith;3 weeks on the list,ALI CROSS;by James Patterson;7 weeks on the list,THE SERIOUS GOOSE;by Jimmy Kimmel;6 weeks on the list,THE BAD GUYS;by Aaron Blabey;60 weeks on the list,THE HATE U GIVE;by Angie Thomas;150 weeks on the list,WHERE THE CRAWDADS SING;by Delia Owens;,MAYBE YOU SHOULD TALK TO SOMEONE;by Lori Gottlieb;,DARE TO LEAD;by Brené Brown;,BEST FRIENDS;by Shannon Hale. Illustrated by LeUyen Pham;,THE HOUSE NEXT DOOR;by James Patterson;,A LONG WALK TO WATER;by Linda Sue Park;,GIRL IN THE BLUE COAT;by Monica Hesse;
4,THE LAST WISH;by Andrzej Sapkowski;3 weeks on the list,SUCH A FUN AGE;by Kiley Reid;2 weeks on the list,THE LAST WISH;by Andrzej Sapkowski;New this week,BECOMING;by Michelle Obama;58 weeks on the list,MAYBE YOU SHOULD TALK TO SOMEONE;by Lori Gottlieb;18 weeks on the list,SAPIENS;by Yuval Noah Harari;87 weeks on the list,THE BLUE ZONES KITCHEN;by Dan Buettner;5 weeks on the list,A TALE OF MAGIC...;by Chris Colfer;15 weeks on the list,"GOOD NIGHT, LITTLE BLUE TRUCK;by Alice Schertle and Jill McElmurry;13 weeks on the list",HARRY POTTER;by J.K. Rowling;564 weeks on the list,CHILDREN OF BLOOD AND BONE;by Tomi Adeyemi;97 weeks on the list,THE DUTCH HOUSE;by Ann Patchett;,EDUCATED;by Tara Westover;,PRINCIPLES;by Ray Dalio;,DRAMA;by Raina Telgemeier;,RUNNING SCARED;by Lisa Jackson;,THE GIRL WHO DRANK THE MOON;by Kelly Barnhill;,THE SUN IS ALSO A STAR;by Nicola Yoon;
5,TREASON;by Stuart Woods;New this week,THE GUARDIANS;by John Grisham;13 weeks on the list,YOU;by Caroline Kepnes;New this week,MAYBE YOU SHOULD TALK TO SOMEONE;by Lori Gottlieb;22 weeks on the list,ME;by Elton John;13 weeks on the list,BORN A CRIME;by Trevor Noah;48 weeks on the list,YOU ARE A BADASS;by Jen Sincero;202 weeks on the list,CLEAN GETAWAY;by Nic Stone;New this week,SULWE;by Lupita Nyong'o. Illustrated by Vashti Harrison;8 weeks on the list,DORK DIARIES;by Rachel Renée Russell;308 weeks on the list,THE NIGHT COUNTRY;by Melissa Albert;New this week,THE LAST WISH;by Andrzej Sapkowski;,BECOMING;by Michelle Obama;,THE INFINITE GAME;by Simon Sinek;,SMILE;by Raina Telgemeier;,TOM CLANCY: OATH OF OFFICE;by Marc Cameron;,PAX;Sara Pennypacker. Illustrated by Jon Klassen;,TURTLES ALL THE WAY DOWN;by John Green;
6,THE VANISHING;by Jayne Ann Krentz;New this week,LONG BRIGHT RIVER;by Liz Moore;New this week,THE OVERSTORY;by Richard Powers;40 weeks on the list,THE BODY KEEPS THE SCORE;by Bessel van der Kolk;6 weeks on the list,CATCH AND KILL;by Ronan Farrow;8 weeks on the list,NO ONE IS TOO SMALL TO MAKE A DIFFERENCE;by Greta Thunberg;9 weeks on the list,THE DEFINED DISH;by Alex Snodgrass;2 weeks on the list,DIARY OF AN AWESOME FRIENDLY KID;by Jeff Kinney;40 weeks on the list,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;297 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;204 weeks on the list,A HEART SO FIERCE AND BROKEN;by Brigid Kemmerer;New this week,THE SILENT PATIENT;by Alex Michaelides;,CATCH AND KILL;by Ronan Farrow;,OUTLIERS;by Malcolm Gladwell;,WATCHMEN;by Alan Moore. Illustrated by Dave Gibbons;,CHRISTMAS WITH YOU;by Nora Roberts;,UNICORN ACADEMY #1: SOPHIA AND RAINBOW;by Julie Sykes. Illustrated by Lucy Truman;,I AM NOT YOUR PERFECT MEXICAN DAUGHTER;by Erika L. Sánchez;
7,THE GUARDIANS;by John Grisham;13 weeks on the list,THE SILENT PATIENT;by Alex Michaelides;32 weeks on the list,THE WOMAN IN THE WINDOW;by A.J. Finn;38 weeks on the list,CATCH AND KILL;by Ronan Farrow;8 weeks on the list,BOYS & SEX;by Peggy Orenstein;New this week,WHITE FRAGILITY;by Robin DiAngelo;75 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;161 weeks on the list,THE COMPLETE COOKBOOK FOR YOUNG CHEFS;by America's Test Kitchen Kids;39 weeks on the list,"SOFIA VALDEZ, FUTURE PREZ;by Andrea Beaty. Illustrated by David Roberts;9 weeks on the list",WINGS OF FIRE;by Tui T. Sutherland;73 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;103 weeks on the list,CONVICTION;by Denise Mina;,BORN A CRIME;by Trevor Noah;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,SISTERS;by Raina Telgemeier;,BLOODY TRAIL OF THE MOUNTAIN MAN;by William W. Johnstone and J.A. Johnstone;,MALALA: MY STORY OF STANDING UP FOR GIRLS' RIGHTS;by Malala Yousafzai with Patricia McCormick. Adapted by Sarah J. Robbins;,THE LIBRARIAN OF AUSCHWITZ;by Antonio Iturbe;
8,HUNTER KILLER;by Brad Taylor;New this week,THE DUTCH HOUSE;by Ann Patchett;16 weeks on the list,THE RIVER MURDERS;by James Patterson and James O. Born;New this week,SAPIENS;by Yuval Noah Harari;89 weeks on the list,RANGE;by David Epstein;11 weeks on the list,OUTLIERS;by Malcolm Gladwell;308 weeks on the list,YOU WERE BORN FOR THIS;by Chani Nicholas;New this week,LITTLE LEGENDS: EXCEPTIONAL MEN IN BLACK HISTORY;by Vashti Harrison with Kwesi Johnson;3 weeks on the list,LOVE FROM THE CRAYONS;by Drew Daywalt and Oliver Jeffers;New this week,WHO WAS/IS . . . ?;by Jim Gigliotti and others; various illustrators;90 weeks on the list,FIVE FEET APART;by Rachael Lippincott with Mikki Daughtry and Tobias Iaconis;58 weeks on the list,BLOOD OF ELVES;by Andrzej Sapkowski;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,THE MAN WHO SOLVED THE MARKET;by Gregory Zuckerman;,"MY HERO ACADEMIA, VOL. 1;by Kohei Horikoshi;",THE FIRST LADY;by James Patterson and Brendan DuBois;,MAX EINSTEIN: THE GENIUS EXPERIMENT;by James Patterson and Chris Grabenstein. Illustrated by Beverly Johnson;,THE FAULT IN OUR STARS;by John Green;
9,SUCH A FUN AGE;by Kiley Reid;2 weeks on the list,THE GIVER OF STARS;by Jojo Moyes;14 weeks on the list,THE WIVES;by Tarryn Fisher;2 weeks on the list,WHY WE SLEEP;by Matthew Walker;2 weeks on the list,THE BODY;by Bill Bryson;13 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;232 weeks on the list",ULTIMATE VEG;by Jamie Oliver;New this week,LITTLE LEADERS;by Vashti Harrison;25 weeks on the list,LOVE FROM THE VERY HUNGRY CATERPILLAR;by Eric Carle;25 weeks on the list,TO ALL THE BOYS I'VE LOVED BEFORE;by Jenny Han;47 weeks on the list,"LOVEBOAT, TAIPEI;by Abigail Hing Wen;New this week",THE WATER DANCER;by Ta-Nehisi Coates;,SAPIENS;by Yuval Noah Harari;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",NATHAN HALE'S HAZARDOUS TALES: MAJOR IMPOSSIBLE;by Nathan Hale;,WINTER'S PROPOSAL;by Sherryl Woods;,INSIDE OUT AND BACK AGAIN;by Thanhha Lai;,GIRLS OF PAPER AND FIRE;by Natasha Ngan;
10,LONG BRIGHT RIVER;by Liz Moore;New this week,TREASON;by Stuart Woods;New this week,THE HANDMAID'S TALE;by Margaret Atwood;119 weeks on the list,RANGE;by David Epstein;6 weeks on the list,SUCCESSFUL AGING;by Daniel J. Levitin;New this week,GRIT;by Angela Duckworth;62 weeks on the list,"GIRL, STOP APOLOGIZING;by Rachel Hollis;33 weeks on the list","BEVERLY, RIGHT HERE;by Kate DiCamillo;6 weeks on the list","ROSIE REVERE, ENGINEER;by Andrea Beaty. Illustrated by David Roberts;169 weeks on the list",MAGIC TREE HOUSE;by Mary Pope Osborne. Illustrated by Sal Murdocca;292 weeks on the list,WAYWARD SON;by Rainbow Rowell;15 weeks on the list,A MINUTE TO MIDNIGHT;by David Baldacci;,A WARNING;by Anonymous;,RANGE;by David Epstein;,"MY HERO ACADEMIA, VOL. 22;by Kohei Horikoshi;",SEA OF GREED;by Clive Cussler and Graham Brown;,THE BOY WHO HARNESSED THE WIND;William Kamkwamba and Bryan Mealer. Illustrated by Anna Hymas;,JUST MERCY;by Bryan Stevenson;
