,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Audio Fiction,Audio Nonfiction,Business,Graphic Books and Manga,Mass Market,Middle Grade Paperback,Young Adult Paperback
1,ALL THE DEVILS ARE HERE;by Louise Penny;New this week,ALL THE DEVILS ARE HERE;by Louise Penny;New this week,THEN SHE WAS GONE;by Lisa Jewell;60 weeks on the list,MELANIA AND ME;by Stephanie Winston Wolkoff;New this week,MELANIA AND ME;by Stephanie Winston Wolkoff;New this week,WHITE FRAGILITY;by Robin DiAngelo;105 weeks on the list,THE BLUE ZONES KITCHEN;by Dan Buettner;10 weeks on the list,ROWLEY JEFFERSON'S AWESOME FRIENDLY ADVENTURE;by Jeff Kinney;5 weeks on the list,I PROMISE;by LeBron James. Illustrated by Nina Mata;4 weeks on the list,DOG MAN;by Dav Pilkey;158 weeks on the list,THE LOST BOOK OF THE WHITE;by Cassandra Clare and Wesley Chu;New this week,THE SANDMAN;by Neil Gaiman and Dirk Maggs;,CASTE;by Isabel Wilkerson;,ATOMIC HABITS;by James Clear;,NEW KID;by Jerry Craft;,CHILD'S PLAY;by Danielle Steel;,THE ONE AND ONLY IVAN;by Katherine Applegate. Illustrated by Patricia Castelao;,WE WERE LIARS;by E. Lockhart;
2,THE LYING LIFE OF ADULTS;by Elena Ferrante;New this week,THE LYING LIFE OF ADULTS;by Elena Ferrante;New this week,THE TESTAMENTS;by Margaret Atwood;New this week,CASTE;by Isabel Wilkerson;5 weeks on the list,CASTE;by Isabel Wilkerson;5 weeks on the list,JUST MERCY;by Bryan Stevenson;221 weeks on the list,ATOMIC HABITS;by James Clear;43 weeks on the list,THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;18 weeks on the list,THE PIGEON HAS TO GO TO SCHOOL!;by Mo Willems;28 weeks on the list,THE TWILIGHT SAGA;by Stephenie Meyer;231 weeks on the list,BLOOD & HONEY;by Shelby Mahurin;New this week,THE GUEST LIST;by Lucy Foley;,TOO MUCH AND NEVER ENOUGH;by Mary L. Trump;,EVIL GENIUSES;by Kurt Andersen;,GUTS;by Raina Telgemeier;,PARANOID;by Lisa Jackson;,A LONG WALK TO WATER;by Linda Sue Park;,DEAR MARTIN;by Nic Stone;
3,DARK SONG;by Christine Feehan;New this week,TRANSCENDENT KINGDOM;by Yaa Gyasi;New this week,LITTLE FIRES EVERYWHERE;by Celeste Ng;70 weeks on the list,DONALD TRUMP V. THE UNITED STATES;by Michael S. Schmidt;New this week,UNTAMED;by Glennon Doyle;26 weeks on the list,SO YOU WANT TO TALK ABOUT RACE;by Ijeoma Oluo;16 weeks on the list,HOW TO LEAD;by David M. Rubenstein;New this week,WONDER;by R.J. Palacio;264 weeks on the list,THE DAY YOU BEGIN;by Jacqueline Woodson. Illustrated by Rafael López;26 weeks on the list,BABY-SITTERS CLUB GRAPHIX;by Ann M. Martin; various illustrators;39 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;24 weeks on the list,WHERE THE CRAWDADS SING;by Delia Owens;,UNTAMED;by Glennon Doyle;,DOESN'T HURT TO ASK;by Trey Gowdy;,BABY-SITTERS LITTLE SISTER: KAREN'S ROLLER SKATES;by Ann M. Martin. Illustrated by Katy Farina;,GOLDEN IN DEATH;by J.D. Robb;,THE GIRL WHO DRANK THE MOON;by Kelly Barnhill;,THE BOOK THIEF;by Markus Zusak;
4,THE HARBINGER II;by Jonathan Cahn;New this week,THE VANISHING HALF;by Brit Bennett;14 weeks on the list,THE MIDWIFE MURDERS;by James Patterson and Richard DiLallo;4 weeks on the list,UNTAMED;by Glennon Doyle;26 weeks on the list,DONALD TRUMP V. THE UNITED STATES;by Michael S. Schmidt;New this week,BORN A CRIME;by Trevor Noah;82 weeks on the list,"THE BOY, THE MOLE, THE FOX AND THE HORSE;by Charlie Mackesy;44 weeks on the list",LITTLE LEADERS;by Vashti Harrison;45 weeks on the list,WILD SYMPHONY;by Dan Brown. Illustrated by Susan Batori;New this week,HARRY POTTER;by J.K. Rowling;598 weeks on the list,THE HATE U GIVE;by Angie Thomas;184 weeks on the list,THE VANISHING HALF;by Brit Bennett;,LIVE FREE OR DIE;by Sean Hannity;,DARE TO LEAD;by Brené Brown;,MARCH: BOOK ONE;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;,OUTFOX;by Sandra Brown;,BROWN GIRL DREAMING;by Jacqueline Woodson;,LONG WAY DOWN;by Jason Reynolds;
5,THE VANISHING HALF;by Brit Bennett;14 weeks on the list,THE HARBINGER II;by Jonathan Cahn;New this week,HOMEGOING;by Yaa Gyasi;5 weeks on the list,TOO MUCH AND NEVER ENOUGH;by Mary L. Trump;8 weeks on the list,TOO MUCH AND NEVER ENOUGH;by Mary L. Trump;8 weeks on the list,THE NEW JIM CROW;by Michelle Alexander;202 weeks on the list,DOESN'T HURT TO ASK;by Trey Gowdy;3 weeks on the list,REFUGEE;by Alan Gratz;110 weeks on the list,I AM EVERY GOOD THING;by Derrick Barnes. Illustrated by Gordon C. James;New this week,THE HUNGER GAMES;by Suzanne Collins;246 weeks on the list,AMERICAN ROYALS II: MAJESTY;by Katharine McGee;New this week,CRITICAL MASS;by Craig Alanson;,BECOMING;by Michelle Obama;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,THE UMBRELLA ACADEMY: APOCALYPSE SUITE;by Gerard Way. Illustrated by Gabriel Bá;,THE GUARDIANS;by John Grisham;,GHOST BOYS;by Jewell Parker Rhodes;,ALL AMERICAN BOYS;by Jason Reynolds and Brendan Kiely;
6,TRANSCENDENT KINGDOM;by Yaa Gyasi;New this week,WHERE THE CRAWDADS SING;by Delia Owens;105 weeks on the list,THE INSTITUTE;by Stephen King;New this week,HOW TO BE AN ANTIRACIST;by Ibram X. Kendi;19 weeks on the list,HOW TO BE AN ANTIRACIST;by Ibram X. Kendi;27 weeks on the list,THE WARMTH OF OTHER SUNS;by Isabel Wilkerson;36 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;323 weeks on the list,DIARY OF AN AWESOME FRIENDLY KID;by Jeff Kinney;73 weeks on the list,THE WORLD NEEDS MORE PURPLE PEOPLE;by Kristen Bell and Benjamin Hart. Illustrated by Daniel Wiseman;14 weeks on the list,THE BAD GUYS;by Aaron Blabey;94 weeks on the list,PUNCHING THE AIR;by Ibi Zoboi and Yusef Salaam;New this week,THE SILENT WIFE;by Karin Slaughter;,HOW TO BE AN ANTIRACIST;by Ibram X. Kendi;,OUTLIERS;by Malcolm Gladwell;,THE UMBRELLA ACADEMY: HOTEL OBLIVION;by Gerard Way. Illustrated by Gabriel Bá;,THE COWBOY'S LADY;by Debbie Macomber;,PAX;Sara Pennypacker. Illustrated by Jon Klassen;,THIS BOOK IS ANTI-RACIST;by Tiffany Jewell. Illustrated by Aurélia Durand;
7,WHERE THE CRAWDADS SING;by Delia Owens;104 weeks on the list,SQUEEZE ME;by Carl Hiaasen;2 weeks on the list,THE NIGHTINGALE;by Kristin Hannah;55 weeks on the list,WHITE FRAGILITY;by Robin DiAngelo;24 weeks on the list,LIVE FREE OR DIE;by Sean Hannity;5 weeks on the list,THE COLOR OF LAW;by Richard Rothstein;19 weeks on the list,"MAGNOLIA TABLE, VOL. 2;by Joanna Gaines;22 weeks on the list",THE COMPLETE COOKBOOK FOR YOUNG CHEFS;by America's Test Kitchen Kids;73 weeks on the list,I AM ENOUGH;by Grace Byers. Illustrated by Keturah A. Bobo;20 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;599 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;137 weeks on the list,PRETTY THINGS;by Janelle Brown;,BREATH;by James Nestor;,THE LAZY GENIUS WAY;by Kendra Adachi;,"MY HERO ACADEMIA, VOL. 1;by Kohei Horikoshi;",REDEMPTION;by David Baldacci;,THE CROSSOVER;by Kwame Alexander;,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;
8,SQUEEZE ME;by Carl Hiaasen;2 weeks on the list,THE GUEST LIST;by Lucy Foley;14 weeks on the list,WHEN NO ONE IS WATCHING;by Alyssa Cole;New this week,LIVE FREE OR DIE;by Sean Hannity;5 weeks on the list,HIS TRUTH IS MARCHING ON;by Jon Meacham;2 weeks on the list,STAMPED FROM THE BEGINNING;by Ibram X. Kendi;16 weeks on the list,GET OUT OF YOUR HEAD;by Jennie Allen;29 weeks on the list,THE COMPLETE BAKING BOOK FOR YOUNG CHEFS;by America's Test Kitchen Kids;21 weeks on the list,HAIR LOVE;by Matthew A. Cherry. Illustrated by Vashti Harrison;18 weeks on the list,BIG NATE;written and illustrated by Lincoln Peirce;154 weeks on the list,CEMETERY BOYS;by Aiden Thomas;New this week,AMERICAN DIRT;by Jeanine Cummins;,WHITE FRAGILITY;by Robin DiAngelo;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",PERSEPOLIS;by Marjane Satrapi;,THE TITANIC SECRET;by Clive Cussler and Jack Du Brul;,FISH IN A TREE;by Lynda Mullaly Hunt;,THEY BOTH DIE AT THE END;by Adam Silvera;
9,THE GUEST LIST;by Lucy Foley;14 weeks on the list,THRAWN ASCENDANCY: CHAOS RISING;by Timothy Zahn;New this week,THE NICKEL BOYS;by Colson Whitehead;10 weeks on the list,TWILIGHT OF THE GODS;by Ian W. Toll;New this week,HOAX;by Brian Stelter;2 weeks on the list,THE BODY KEEPS THE SCORE;by Bessel van der Kolk;98 weeks on the list,CAN'T HURT ME;by David Goggins;13 weeks on the list,A WOLF CALLED WANDER;by Rosanne Parry. Illustrated by Mónica Armiño;44 weeks on the list,ALL ARE WELCOME;by Alexandra Penfold and Suzanne Kaufman;23 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;547 weeks on the list,THE INHERITANCE GAMES;by Jennifer Lynn Barnes;New this week,THE SILENT PATIENT;by Alex Michaelides;,TALKING TO STRANGERS;by Malcolm Gladwell;,GRIT;by Angela Duckworth;,BECOMING BRIANNA;by Terri Libenson;,THE CORNWALLS VANISH;by James Patterson and Brendan DuBois;,OUT OF MY MIND;by Sharon M. Draper;,THE BOY IN THE STRIPED PAJAMAS;by John Boyne;
10,THICK AS THIEVES;by Sandra Brown;2 weeks on the list,THICK AS THIEVES;by Sandra Brown;2 weeks on the list,THIS TENDER LAND;by William Kent Krueger;11 weeks on the list,HIS TRUTH IS MARCHING ON;by Jon Meacham;2 weeks on the list,THE DYNASTY;by Jeff Benedict;New this week,ALEXANDER HAMILTON;by Ron Chernow;118 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;195 weeks on the list,WINGS OF FIRE: LEGENDS: DRAGONSLAYER;by Tui T. Sutherland;26 weeks on the list,EVERY NIGHT IS PIZZA NIGHT;by J. Kenji López-Alt. Illustrated by Gianna Ruggiero;New this week,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;238 weeks on the list,HAWK;by James Patterson;9 weeks on the list,THE DUTCH HOUSE;by Ann Patchett;,FINDING FREEDOM;by Omid Scobie and Carolyn Durand;,THE BIGGEST BLUFF;by Maria Konnikova;,THE UMBRELLA ACADEMY: DALLAS;by Gerard Way. Illustrated by Gabriel Bá;,LABYRINTH;by Catherine Coulter;,THE WILD ROBOT;by Peter Brown;,I AM NOT YOUR PERFECT MEXICAN DAUGHTER;by Erika L. Sánchez;
