,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,Hardcover Nonfiction,Paperback Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series
1,TRIBUTE;by Nora Roberts;2 weeks on the list,THE SHACK;by William P. Young;9 weeks on the list,,WHEN YOU ARE ENGULFED IN FLAMES;by David Sedaris;7 weeks on the list,THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;77 weeks on the list,THE LAST LECTURE;by Randy Pausch with Jeffrey Zaslow;15 weeks on the list,A NEW EARTH;by Eckhart Tolle;25 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;66 weeks on the list,KRISTEN;by Lisi Harrison;3 weeks on the list,GALLOP!;written and illustrated by Rufus Butler Seder;36 weeks on the list,THE TWILIGHT SAGA;by Stephenie Meyer;50 weeks on the list
2,THE STORY OF EDGAR SAWTELLE;by David Wroblewski;6 weeks on the list,WATER FOR ELEPHANTS;by Sara Gruen;46 weeks on the list,,LIFE WITH MY SISTER MADONNA;by Christopher Ciccone with Wendy Leigh;New this week,"EAT, PRAY, LOVE;by Elizabeth Gilbert;78 weeks on the list",DECEPTIVELY DELICIOUS;by Jessica Seinfeld;21 weeks on the list,SKINNY BITCH;by Kim Barnouin;54 weeks on the list,DIARY OF A WIMPY KID: RODRICK RULES;by Jeff Kinney;27 weeks on the list,THE TALE OF DESPEREAUX;by Kate DiCamillo. Illustrated by Timothy Basil Ering;25 weeks on the list,ALPHABET;by Matthew Van Fleet;15 weeks on the list,ARTEMIS FOWL;by Eoin Colfer;100 weeks on the list
3,RULES OF DECEPTION;by Christopher Reich;New this week,BAREFOOT;by Elin Hilderbrand;6 weeks on the list,,"ARE YOU THERE, VODKA? IT’S ME, CHELSEA;by Chelsea Handler;13 weeks on the list",BIG RUSS AND ME;by Tim Russert;13 weeks on the list,THE WINNERS MANUAL;by Jim Tressel with Chris Fabry;New this week,THE POWER OF NOW;by Eckhart Tolle;40 weeks on the list,WARRIORS: CATS OF THE CLANS;by Erin Hunter. Illustrated by Wayne McLoughlin;4 weeks on the list,THE BOOK THIEF;by Markus Zusak;45 weeks on the list,YOU CAN DO IT!;by Tony Dungy. Illustrated by Amy June Bates;2 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;64 weeks on the list
4,THE HOST;by Stephenie Meyer;11 weeks on the list,THE KITE RUNNER;by Khaled Hosseini;46 weeks on the list,,THE DARK SIDE;by Jane Mayer;New this week,WISDOM OF OUR FATHERS;by Tim Russert;10 weeks on the list,THE SECRET;by Rhonda Byrne;80 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;370 weeks on the list,LOCK AND KEY;by Sarah Dessen;13 weeks on the list,ALICIA;by Lisi Harrison.;7 weeks on the list,A VISITOR FOR BEAR;by Bonny Becker. Illustrated by Kady MacDonald Denton;6 weeks on the list,BOOKS OF EMBER;by Jeanne DuPrau;19 weeks on the list
5,THE LAST PATRIOT;by Brad Thor;3 weeks on the list,THE ALCHEMIST;by Paulo Coelho;45 weeks on the list,,STORI TELLING;by Tori Spelling with Hilary Liftin;8 weeks on the list,THE AUDACITY OF HOPE;by Barack Obama;30 weeks on the list,GOODNIGHT BUSH;by Erich Origen and Gan Golan;3 weeks on the list,YOU CAN HEAL YOUR LIFE;by Louise L. Hay;30 weeks on the list,THE INVENTION OF HUGO CABRET;by Brian Selznick;68 weeks on the list,CHOSEN;by P. C. Cast and Kristin Cast;12 weeks on the list,KNUFFLE BUNNY TOO;written and illustrated by Mo Willems;34 weeks on the list,HARRY POTTER;by J.K. Rowling;192 weeks on the list
6,SAIL;by James Patterson and Howard Roughan;6 weeks on the list,NINETEEN MINUTES;by Jodi Picoult;24 weeks on the list,,FLEECED;by Dick Morris and Eileen McGann;4 weeks on the list,DREAMS FROM MY FATHER;by Barack Obama;105 weeks on the list,THE 4-HOUR WORKWEEK;by Timothy Ferriss;34 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;56 weeks on the list,THE MAGICIAN;by Michael Scott;4 weeks on the list,MASSIE;by Lisi Harrison;16 weeks on the list,"SMASH! CRASH!;by Jon Scieszka. Illustrated by David Shannon, Loren Long and David Gordon;26 weeks on the list",THE SISTERHOOD OF THE TRAVELING PANTS;by Ann Brashares;131 weeks on the list
7,FEARLESS FOURTEEN;by Janet Evanovich;5 weeks on the list,THE ROAD;by Cormac McCarthy;46 weeks on the list,,WHAT HAPPENED;by Scott McClellan;8 weeks on the list,I HOPE THEY SERVE BEER IN HELL;by Tucker Max;42 weeks on the list,THE SOUTH BEACH DIET SUPERCHARGED;by Arthur Agatston with Joseph Signorile;11 weeks on the list,SOUL WISDOM;by Zhi Gang Sha;3 weeks on the list,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;35 weeks on the list,CAMP ROCK;by Lucy Ruggles;8 weeks on the list,READ ALL ABOUT IT!;by Laura Bush and Jenna Bush;13 weeks on the list,FANCY NANCY;by Jane O’Connor. Illustrated by Robin Preiss Glasser;24 weeks on the list
8,JUST TOO GOOD TO BE TRUE;by E. Lynn Harris;New this week,IN THE WOODS;by Tana French;8 weeks on the list,,THE MONSTER OF FLORENCE;by Douglas Preston with Mario Spezi;6 weeks on the list,90 MINUTES IN HEAVEN;by Don Piper with Cecil Murphey;91 weeks on the list,THE SMARTEST 401(K)* BOOK YOU’LL EVER READ;by Daniel R. Solin;New this week,"HELLO, CUPCAKE!;by Karen Tack;10 weeks on the list",THE PENDERWICKS ON GARDAM STREET;by Jeanne Birdsall;10 weeks on the list,DYLAN;by Lisi Harrison;11 weeks on the list,LADYBUG GIRL;by Jacky Davis and David Soman. Illustrated by David Soman;17 weeks on the list,PENDRAGON;by D. J. MacHale;68 weeks on the list
9,SWAN PEAK;by James Lee Burke;2 weeks on the list,LOVING FRANK;by Nancy Horan;14 weeks on the list,,THE POST-AMERICAN WORLD: RELEASE 2.0;by Fareed Zakaria;12 weeks on the list,"ANIMAL, VEGETABLE, MIRACLE;by Barbara Kingsolver and Camille Kingsolver;12 weeks on the list",WOMEN AND MONEY;by Suze Orman;23 weeks on the list,HUNGRY GIRL;by Lisa Lillien;12 weeks on the list,THE WILLOUGHBYS;by Lois Lowry;2 weeks on the list,TEMPTED;by Cecily von Ziegesar;7 weeks on the list,DON’T BUMP THE GLUMP!;written and illustrated by Shel Silverstein;15 weeks on the list,MAGIC TREE HOUSE;by Mary Pope Osborne. Illustrated by Sal Murdocca;187 weeks on the list
10,CHASING HARRY WINSTON;by Lauren Weisberger;8 weeks on the list,MY SISTER’S KEEPER;by Jodi Picoult;24 weeks on the list,,THE PROSECUTION OF GEORGE W. BUSH FOR MURDER;by Vincent Bugliosi;6 weeks on the list,MARLEY AND ME;by John Grogan;19 weeks on the list,TOTAL MONEY MAKEOVER;by Dave Ramsey;4 weeks on the list,THE WISDOM OF MENOPAUSE;by Christiane Northrup;14 weeks on the list,THE SUMMONING;by Kelley Armstrong;New this week,night world;by L. J. Smith;2 weeks on the list,ZEN TIES;written and illustrated by Jon J. Muth;27 weeks on the list,KEYS TO THE KINGDOM;by Garth Nix;6 weeks on the list
11,TAILSPIN;by Catherine Coulter;4 weeks on the list,THE LAST SUMMER (OF YOU AND ME);by Ann Brashares;11 weeks on the list,,AUDITION;by Barbara Walters;11 weeks on the list,MY HORIZONTAL LIFE;by Chelsea Handler;2 weeks on the list,END OF DAYS;by Sylvia Browne;,THE SPEED OF TRUST;by Stephen M. R. Covey;,,,,
12,SAY GOODBYE;by Lisa Gardner;New this week,THE FRIDAY NIGHT KNITTING CLUB;by Kate Jacobs;29 weeks on the list,,MY STROKE OF INSIGHT;by Jill Bolte Taylor;7 weeks on the list,THE OMNIVORE’S DILEMMA;by Michael Pollan;47 weeks on the list,WHEN MARKETS COLLIDE;by Mohamed A. El-Erian;,"WOMEN'S BODIES, WOMEN'S WISDOM;by Christiane Northrup;",,,,
