,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Business,Food and Diet,Politics and American History,Science,Sports and Fitness
1,UNLUCKY 13;by James Patterson and Maxine Paetro;2 weeks on the list,UNLUCKY 13;by James Patterson and Maxine Paetro;2 weeks on the list,GONE GIRL;by Gillian Flynn;4 weeks on the list,,,CAPITAL IN THE TWENTY-FIRST CENTURY;by Thomas Piketty;4 weeks on the list,CAPITAL IN THE TWENTY-FIRST CENTURY;by Thomas Piketty;6 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;183 weeks on the list,FINDING ME;by Michelle Knight with Michelle Burford Weinstein;2 weeks on the list,INSTINCT;by T. D. Jakes;2 weeks on the list,CAN'T WE TALK ABOUT SOMETHING MORE PLEASANT?;by Roz Chast;2 weeks on the list,THE RETURN OF ZITA THE SPACEGIRL;by Ben Hatke;New this week,"MONSTER MUSUME, VOL. 3;by Okayado;2 weeks on the list",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;47 weeks on the list,DIVERGENT;by Veronica Roth;30 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,CAPITAL IN THE TWENTY-FIRST CENTURY;by Thomas Piketty;,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;,CAPITAL IN THE TWENTY-FIRST CENTURY;by Thomas Piketty;,QUIET;by Susan Cain;,THE CLOSER;by Mariano Rivera with Wayne Coffey;
2,FIELD OF PREY;by John Sandford;2 weeks on the list,THE GOLDFINCH;by Donna Tartt;30 weeks on the list,THE LONGEST RIDE;by Nicholas Sparks;2 weeks on the list,,,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;116 weeks on the list,THINK LIKE A FREAK;by Steven D. Levitt and Stephen J. Dubner;New this week,"CONFORM;by Glenn Beck, Kevin Balfe and Kyle Olson;2 weeks on the list",THE LIFE OF ELIZABETH I;by Alison Weir;New this week,SPARTAN UP!;by Joe De Sena with Jeff O'Connell;New this week,"GODZILLA: AWAKENING;by Max Borenstein, Greg Borenstein and Eric Battle;New this week","BATMAN, VOL. 3;by Scott Snyder and Greg Capullo;New this week","FAIRY TAIL, VOL. 38;by Hiro Mashima;New this week",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,THE PIGEON NEEDS A BATH!;by Mo Willems;7 weeks on the list,THE SELECTION;by Kiera Cass;2 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,FLASH BOYS;by Michael Lewis;,THE DOCTOR'S DIET;by Travis Stork;,"CONFORM;by Glenn Beck, Kevin Balfe and Kyle Olson;","THINKING, FAST AND SLOW;by Daniel Kahneman;",BECOMING A SUPPLE LEOPARD;by Kelly Starrett and Glen Cordoza;
3,THE TARGET;by David Baldacci;4 weeks on the list,FIELD OF PREY;by John Sandford;2 weeks on the list,ORPHAN TRAIN;by Christina Baker Kline;39 weeks on the list,,,FINDING ME;by Michelle Knight with Michelle Burford Weinstein;2 weeks on the list,FINDING ME;by Michelle Knight with Michelle Burford Weinstein;2 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;82 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;138 weeks on the list,THE DOCTOR'S DIET;by Travis Stork;16 weeks on the list,"BATMAN, VOL. 4;by Scott Snyder and Greg Capullo;New this week","SAGA, VOL. 3;by Brian K. Vaughan and Fiona Staples;8 weeks on the list","MONSTER SOUL, VOL. 1;by Hiro Mashima;New this week",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,NELLY GNU AND DADDY TOO;by Anna Dewdney;2 weeks on the list,THE MAZE RUNNER;by James Dashner;84 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,THINK LIKE A FREAK;by Steven D. Levitt and Stephen J. Dubner;,IT STARTS WITH FOOD;by Dallas and Melissa Hartwig;,A FIGHTING CHANCE;by Elizabeth Warren;,DAVID AND GOLIATH;by Malcolm Gladwell;,THE LOYAL LIEUTENANT: MY STORY;by George Hincapie and Craig Hummer;
4,THE GOLDFINCH;by Donna Tartt;30 weeks on the list,THE TARGET;by David Baldacci;4 weeks on the list,INFERNO;by Dan Brown;2 weeks on the list,,,THINK LIKE A FREAK;by Steven D. Levitt and Stephen J. Dubner;New this week,STRESS TEST;by Timothy F. Geithner;New this week,BEHIND THE BEAUTIFUL FOREVERS;by Katherine Boo;6 weeks on the list,THINK LIKE A FREAK;by Steven D. Levitt and Stephen J. Dubner;New this week,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;34 weeks on the list,"NATHAN HALE'S HAZARDOUS TALES: TREATIES, TRENCHES, MUD, AND BLOOD;by Nathan Hale;New this week","SEX CRIMINALS, VOL. 1;by Matt Fraction and Chip Zdarsky;3 weeks on the list","ATTACK ON TITAN, VOL. 12;by Hajime Isayama;3 weeks on the list",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;137 weeks on the list",THE MORTAL INSTRUMENTS;by Cassandra Clare;140 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,STRESS TEST;by Timothy F. Geithner;,THE BLOOD SUGAR SOLUTION 10-DAY DETOX DIET;by Mark Hyman;,ONE NATION;by Ben Carson with Candy Carson;,THE POWER OF HABIT;by Charles Duhigg;,PLAYERS FIRST;by John Calipari and Michael Sokolove;
5,GONE GIRL;by Gillian Flynn;77 weeks on the list,NATCHEZ BURNING;by Greg Iles;3 weeks on the list,THE ALCHEMIST;by Paulo Coelho;304 weeks on the list,,,NO PLACE TO HIDE;by Glenn Greenwald;New this week,NO PLACE TO HIDE;by Glenn Greenwald;New this week,OUTLIERS;by Malcolm Gladwell;154 weeks on the list,NO PLACE TO HIDE;by Glenn Greenwald;New this week,THE FIVE LOVE LANGUAGES;by Gary Chapman;58 weeks on the list,X-MEN: NO MORE HUMANS;by Mike Carey and Salvador Larroca;2 weeks on the list,"THE WALKING DEAD, VOL. 20;by Robert Kirkman and Charlie Adlard;10 weeks on the list",WOLF CHILDREN: AME AND YUKI;by Mamoru Hosoda and Yu;7 weeks on the list,THE ICKABOG;by J.K. Rowling;26 weeks on the list,JOURNEY;by Aaron Becker;27 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;195 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,#GIRLBOSS;by Sophia Amoruso;,WHEAT BELLY;by William Davis;,UNBROKEN;by Laura Hillenbrand;,WHERE DOES IT HURT?;by Jonathan Bush with Stephen Baker;,MICHAEL JORDAN: THE LIFE;by Roland Lazenby;
6,THE SKIN COLLECTOR;by Jeffery Deaver;New this week,ANY OTHER NAME;by Craig Johnson;New this week,THE GODS OF GUILT;by Michael Connelly;2 weeks on the list,,,STRESS TEST;by Timothy F. Geithner;New this week,WHERE DOES IT HURT?;by Jonathan Bush with Stephen Baker;New this week,THE GUNS AT LAST LIGHT;by Rick Atkinson;New this week,STRESS TEST;by Timothy F. Geithner;New this week,#GIRLBOSS;by Sophia Amoruso;2 weeks on the list,OVER EASY;by Mimi Pond;4 weeks on the list,"THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;132 weeks on the list","ATTACK ON TITAN, VOL. 1;by Hajime Isayama;49 weeks on the list",WONDER;by R.J. Palacio;295 weeks on the list,LOCOMOTIVE;by Brian Floca;16 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;278 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,LEAN IN;by Sheryl Sandberg with Nell Scovell;,PRACTICAL PALEO;by Diane Sanfilippo;,STRESS TEST;by Timothy F. Geithner;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,A NICE LITTLE PLACE ON THE NORTH SIDE;by George Will;
7,INFERNO;by Dan Brown;25 weeks on the list,THE SON;by Jo Nesbo;New this week,AMERICANAH;by Chimamanda Ngozi Adichie;11 weeks on the list,,,"CONFORM;by Glenn Beck, Kevin Balfe and Kyle Olson;2 weeks on the list",THE CLOSER;by Mariano Rivera with Wayne Coffey;2 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;19 weeks on the list,THE NAZI OFFICER'S WIFE;by Edith H. Beer with Susan Dworkin;9 weeks on the list,EVERYTHING I NEED TO KNOW I LEARNED FROM A LITTLE GOLDEN BOOK;by Diane Muldrow;11 weeks on the list,"BATMAN/SUPERMAN, VOL. 1;by Greg Pak and Jae Lee;2 weeks on the list",THIS ONE SUMMER;by Mariko Tamaki and Jillian Tamaki;2 weeks on the list,"SEVEN DEADLY SINS, VOL. 2;by Nakaba Suzuki;New this week",REFUGEE;by Alan Gratz;129 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;22 weeks on the list,GIVER QUARTET;by Lois Lowry;39 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,THRIVE;by Arianna Huffington;,GUY ON FIRE;by Guy Fieri with Ann Volkwein;,NO PLACE TO HIDE;by Glenn Greenwald;,A TROUBLESOME INHERITANCE;by Nicholas Wade;,ELEVEN RINGS;by Phil Jackson and Hugh Delehanty;
8,NATCHEZ BURNING;by Greg Iles;3 weeks on the list,THE SKIN COLLECTOR;by Jeffery Deaver;New this week,A GAME OF THRONES;by George R.R. Martin;61 weeks on the list,,,FLASH BOYS;by Michael Lewis;7 weeks on the list,EVERYBODY'S GOT SOMETHING;by Robin Roberts with Veronica Chambers;4 weeks on the list,QUIET;by Susan Cain;68 weeks on the list,ETCHED IN SAND;by Regina Calcaterra;5 weeks on the list,"CONGRATULATIONS, BY THE WAY;by George Saunders;4 weeks on the list","THE UNCANNY X-MEN OMNIBUS, VOL. 2;by Chris Claremont, John Byrne and others;3 weeks on the list","PRETTY DEADLY, VOL. 1;by Kelly Sue DeConnick and Emma Rios;New this week","NISEKOI: FALSE LOVE, VOL. 3;by Naoshi Komi;2 weeks on the list",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,PRESS HERE;by Hervé Tullet;141 weeks on the list,SEVEN WONDERS;by Peter Lerangis;New this week,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,SMART MONEY SMART KIDS;by Dave Ramsey and Rachel Cruze;,CLEAN EATS;by Alejandro Junger;,BEHIND THE BEAUTIFUL FOREVERS;by Katherine Boo;,THE GIRLS OF ATOMIC CITY;by Denise Kiernan;,THE PRICE OF SILENCE;by William D. Cohan;
9,ANY OTHER NAME;by Craig Johnson;New this week,WALKING ON WATER;by Richard Paul Evans;2 weeks on the list,FIFTY SHADES OF GREY;by E. L. James;114 weeks on the list,,,THE LIFE OF ELIZABETH I;by Alison Weir;New this week,FLASH BOYS;by Michael Lewis;7 weeks on the list,IS EVERYONE HANGING OUT WITHOUT ME?;by Mindy Kaling;59 weeks on the list,UNBROKEN;by Laura Hillenbrand;172 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;54 weeks on the list,THE LOVE BUNGLERS;by Jaime Hernandez;3 weeks on the list,ANDRE THE GIANT: LIFE AND LEGEND;by Box Brown;New this week,ALICE IN THE COUNTRY OF HEARTS: LOVE LABYRINTH OF THORNS;by QuinRose and Aoi Kurihara;New this week,GROUND ZERO;by Alan Gratz;10 weeks on the list,PETE THE CAT: I LOVE MY WHITE SHOES;by Eric Litwin. Illustrated by James Dean;96 weeks on the list,BIG NATE;written and illustrated by Lincoln Peirce;95 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,OUTLIERS;by Malcolm Gladwell;,HOW CAN IT BE GLUTEN FREE COOKBOOK;by The Editors at America's Test Kitchen;,JAMES MADISON;by Lynne Cheney;,MADNESS;by Marya Hornbacher;,STRONGER;by Jeff Bauman with Bret Witter;
10,THE COLLECTOR;by Nora Roberts;5 weeks on the list,THE KILL SWITCH;by James Rollins and Grant Blackwood;New this week,DARK PLACES;by Gillian Flynn;42 weeks on the list,,,THE CLOSER;by Mariano Rivera with Wayne Coffey;2 weeks on the list,A FIGHTING CHANCE;by Elizabeth Warren;4 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;59 weeks on the list",FLASH BOYS;by Michael Lewis;7 weeks on the list,IT STARTS WITH FOOD;by Dallas and Melissa Hartwig;2 weeks on the list,"THE WALKING DEAD, BOOK 1;by Robert Kirkman, Tony Moore and Charlie Adlard;112 weeks on the list",SMILE;by Raina Telgemeier;103 weeks on the list,"ATTACK ON TITAN, VOL. 10;by Hajime Isayama;11 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,"ROSIE REVERE, ENGINEER;by Andrea Beaty. Illustrated by David Roberts;14 weeks on the list",HEROES OF OLYMPUS;by Rick Riordan;72 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;","THE DANIEL PLAN;by Rick Warren, Daniel Amen, Mark Hyman and others;",TWELVE YEARS A SLAVE;by Solomon Northup;,"LIFE, ANIMATED;by Ron Suskind;","MOOKIE: LIFE, BASEBALL, AND THE '86 METS;by Mookie Wilson with Erik Sherman;"
