,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Audio Fiction,Audio Nonfiction,Business,Science,Sports and Fitness
1,HOLY GHOST;by John Sandford;New this week,THE NEXT PERSON YOU MEET IN HEAVEN;by Mitch Albom;New this week,CRAZY RICH ASIANS;by Kevin Kwan;25 weeks on the list,KILLING THE SS;by Bill O'Reilly and Martin Dugard;New this week,KILLING THE SS;by Bill O'Reilly and Martin Dugard;New this week,SAPIENS;by Yuval Noah Harari;22 weeks on the list,DARE TO LEAD;by Brené Brown;New this week,WONDER;by R.J. Palacio;166 weeks on the list,ELBOW GREASE;by John Cena. Illustrated by Howard McWilliam;New this week,DOG MAN;by Dav Pilkey;59 weeks on the list,THE HATE U GIVE;by Angie Thomas;85 weeks on the list,WHERE THE CRAWDADS SING;by Delia Owens;,FEAR;by Bob Woodward;,LEADERSHIP;by Doris Kearns Goodwin;,SAPIENS;by Yuval Noah Harari;,THIS IS THE DAY;by Tim Tebow with A.J. Gregory;
2,AMBUSH;by James Patterson and James O. Born;New this week,HOLY GHOST;by John Sandford;New this week,THE TATTOOIST OF AUSCHWITZ;by Heather Morris;6 weeks on the list,SHIP OF FOOLS;by Tucker Carlson;2 weeks on the list,SHIP OF FOOLS;by Tucker Carlson;2 weeks on the list,BEAUTIFUL BOY;by David Sheff;5 weeks on the list,"GIRL, WASH YOUR FACE;by Rachel Hollis;27 weeks on the list",MAX EINSTEIN: THE GENIUS EXPERIMENT;by James Patterson and Chris Grabenstein. Illustrated by Beverly Johnson;New this week,PETE THE CAT: FIVE LITTLE PUMPKINS;by James Dean;25 weeks on the list,HARRY POTTER;by J.K. Rowling;499 weeks on the list,"DEAR EVAN HANSEN: THE NOVEL;by Val Emmich with Steven Levenson, Benj Pasek & Justin Paul;New this week",MAVERICKS;by Craig Alanson;,21 LESSONS FOR THE 21ST CENTURY;by Yuval Noah Harari;,THE DICHOTOMY OF LEADERSHIP;by Jocko Willink and Leif Babin;,21 LESSONS FOR THE 21ST CENTURY;by Yuval Noah Harari;,BIG GAME;by Mark Leibovich;
3,THE NEXT PERSON YOU MEET IN HEAVEN;by Mitch Albom;New this week,THE CLOCKMAKER'S DAUGHTER;by Kate Morton;New this week,ELEANOR OLIPHANT IS COMPLETELY FINE;by Gail Honeyman;19 weeks on the list,PRESIDENTS OF WAR;by Michael Beschloss;New this week,PRESIDENTS OF WAR;by Michael Beschloss;New this week,ON TYRANNY;by Timothy Snyder;54 weeks on the list,SKINNYTASTE ONE AND DONE;by Gina Homolka with Heather K. Jones;New this week,GRENADE;by Alan Gratz;New this week,I LOST MY TOOTH!;by Mo Willems;2 weeks on the list,TO ALL THE BOYS I'VE LOVED BEFORE;by Jenny Han;13 weeks on the list,TURTLES ALL THE WAY DOWN;by John Green;53 weeks on the list,LETHAL WHITE;by Robert Galbraith;,EDUCATED;by Tara Westover;,BAD BLOOD;by John Carreyrou;,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;,SHOE DOG;by Phil Knight;
4,THE WITCH ELM;by Tana French;New this week,AMBUSH;by James Patterson and James O. Born;New this week,CHINA RICH GIRLFRIEND;by Kevin Kwan;12 weeks on the list,FEAR;by Bob Woodward;5 weeks on the list,FEAR;by Bob Woodward;5 weeks on the list,LEONARDO DA VINCI;by Walter Isaacson;2 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;96 weeks on the list,THE MAGIC MISFITS: THE SECOND STORY;by Neil Patrick Harris and Alec Azam;3 weeks on the list,I AM HUMAN;by Susan Verde. Illustrated by Peter H. Reynolds;2 weeks on the list,MISS PEREGRINE’S PECULIAR CHILDREN;by Ransom Riggs;99 weeks on the list,BRIDGE OF CLAY;by Markus Zusak;New this week,LEVERAGE IN DEATH;by J.D. Robb;,THE DICHOTOMY OF LEADERSHIP;by Jocko Willink and Leif Babin;,GRIT;by Angela Duckworth;,ACCESSORY TO WAR;by Neil deGrasse Tyson and Avis Lang;,THE MAN I NEVER MET;by Adam Schefter;
5,THE CLOCKMAKER'S DAUGHTER;by Kate Morton;New this week,WINTER IN PARADISE;by Elin Hilderbrand;New this week,LESS;by Andrew Sean Greer;21 weeks on the list,THE FIFTH RISK;by Michael Lewis;2 weeks on the list,THE FIFTH RISK;by Michael Lewis;2 weeks on the list,WHITE FRAGILITY;by Robin DiAngelo;14 weeks on the list,WHISKEY IN A TEACUP;by Reese Witherspoon;4 weeks on the list,REFUGEE;by Alan Gratz;34 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;242 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;500 weeks on the list,WHAT IF IT'S US;by Becky Albertalli and Adam Silvera;New this week,VINCE FLYNN: RED WAR;by Kyle Mills;,IN PIECES;by Sally Field;,PRINCIPLES;by Ray Dalio;,QUIET;by Susan Cain;,ALL-AMERICAN MURDER;by James Patterson and Alex Abramovich with Mike Harvkey;
6,WINTER IN PARADISE;by Elin Hilderbrand;New this week,A SPARK OF LIGHT;by Jodi Picoult;2 weeks on the list,MILK AND HONEY;by Rupi Kaur;131 weeks on the list,EDUCATED;by Tara Westover;34 weeks on the list,LEADERSHIP;by Doris Kearns Goodwin;4 weeks on the list,KITCHEN CONFIDENTIAL;by Anthony Bourdain;54 weeks on the list,CRAVINGS: HUNGRY FOR MORE;by Chrissy Teigen and Adeena Sussman;4 weeks on the list,LOUISIANA'S WAY HOME;by Kate DiCamillo;2 weeks on the list,A DAY IN THE LIFE OF MARLON BUNDO;by Marlon Bundo with Jill Twiss. Illustrated by E.G. Keller;27 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;140 weeks on the list,CHILDREN OF BLOOD AND BONE;by Tomi Adeyemi;32 weeks on the list,CRAZY RICH ASIANS;by Kevin Kwan;,SAPIENS;by Yuval Noah Harari;,AI SUPERPOWERS;by Kai-Fu Lee;,HOW TO CHANGE YOUR MIND;by Michael Pollan;,BELICHICK;by Ian O'Connor;
7,A SPARK OF LIGHT;by Jodi Picoult;2 weeks on the list,THE WITCH ELM;by Tana French;New this week,THE FALLEN;by David Baldacci;5 weeks on the list,KILLERS OF THE FLOWER MOON;by David Grann;63 weeks on the list,IN PIECES;by Sally Field;4 weeks on the list,GRIT;by Angela Duckworth;8 weeks on the list,YOU ARE A BADASS;by Jen Sincero;144 weeks on the list,WISHTREE;by Katherine Applegate. Illustrated by Charles Santoso;46 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;154 weeks on the list,BABY-SITTERS CLUB GRAPHIX;by Ann M. Martin; various illustrators;7 weeks on the list,LONG WAY DOWN;by Jason Reynolds;29 weeks on the list,SHARP OBJECTS;by Gillian Flynn;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,DOPESICK;by Beth Macy;,FOOTBALL FOR A BUCK;by Jeff Pearlman;
8,KILLING COMMENDATORE;by Haruki Murakami;New this week,KILLING COMMENDATORE;by Haruki Murakami;New this week,THE HANDMAID'S TALE;by Margaret Atwood;85 weeks on the list,IN PIECES;by Sally Field;4 weeks on the list,THIRST;by Scott Harrison with Lisa Sweetingham;2 weeks on the list,CODE GIRLS;by Liza Mundy;2 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;264 weeks on the list,THE CONFIDENCE CODE FOR GIRLS;by Katty Kay and Claire Shipman with Jillellyn Riley. Illustrated by Nan Lawson;24 weeks on the list,SHE'S GOT THIS;by Laurie Hernandez. Illustrated by Nina Mata;New this week,AMULET;by Kazu Kibuishi;3 weeks on the list,HOCUS POCUS AND THE ALL-NEW SEQUEL;by A.W. Jantha;12 weeks on the list,DOWN THE RIVER UNTO THE SEA;by Walter Mosley;,BORN A CRIME;by Trevor Noah;,WINNERS TAKE ALL;by Anand Giridharadas;,BEING MORTAL;by Atul Gawande;,UNBROKEN;by Laura Hillenbrand;
9,VINCE FLYNN: RED WAR;by Kyle Mills;3 weeks on the list,VINCE FLYNN: RED WAR;by Kyle Mills;3 weeks on the list,RICH PEOPLE PROBLEMS;by Kevin Kwan;10 weeks on the list,LEADERSHIP;by Doris Kearns Goodwin;4 weeks on the list,EDUCATED;by Tara Westover;34 weeks on the list,KILLERS OF THE FLOWER MOON;by David Grann;28 weeks on the list,THE HAPPY COOKBOOK;by Steve Doocy and Kathy Doocy;2 weeks on the list,WOMEN IN SCIENCE;by Rachel Ignotofsky;69 weeks on the list,QUIET;by Tomie dePaola;New this week,THE LAST KIDS ON EARTH;by Max Brallier. Illustrated by Douglas Holgate;9 weeks on the list,MUSE OF NIGHTMARES;by Laini Taylor;2 weeks on the list,HEART-SHAPED BOX;by Joe Hill;,THE POWER OF HABIT;by Charles Duhigg;,SHOE DOG;by Phil Knight;,"THINKING, FAST AND SLOW;by Daniel Kahneman;","BASKETBALL: A LOVE STORY;by Jackie MacMullan, Rafe Bartholomew and Dan Klores;"
10,WHERE THE CRAWDADS SING;by Delia Owens;5 weeks on the list,WHERE THE CRAWDADS SING;by Delia Owens;6 weeks on the list,THE SUN AND HER FLOWERS;by Rupi Kaur;54 weeks on the list,THIRST;by Scott Harrison with Lisa Sweetingham;2 weeks on the list,GOOD AND MAD;by Rebecca Traister;2 weeks on the list,JUST MERCY;by Bryan Stevenson;125 weeks on the list,MATTY MATHESON: A COOKBOOK;by Matty Matheson;New this week,GOOD NIGHT STORIES FOR REBEL GIRLS;by Elena Favilli and Francesca Cavallo;42 weeks on the list,CARMELA FULL OF WISHES;by Matt de la Peña. Illustrated by Christian Robinson;New this week,I SURVIVED;by Lauren Tarshis;46 weeks on the list,DRY;by Neal Shusterman and Jarrod Shusterman;2 weeks on the list,THE EXTRAORDINARY LIFE OF SAM HELL;by Robert Dugoni;,A LITTLE HISTORY OF ECONOMICS;by Niall Kishtainy;,BILLION DOLLAR WHALE;by Tom Wright and Bradley Hope;,HOW TO BE A GOOD CREATURE;by Sy Montgomery. Illustrated by Rebecca Green;,FLY GIRLS;by Keith O'Brien;
