,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Hardcover & Paperback Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Combined Hardcover & Paperback Nonfiction,Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series,Hardcover Business Books,Paperback Business Books,Politics and American History
1,RED MIST;by Patricia Cornwell;New this week,11/22/63;by Stephen King;5 weeks on the list,THE HELP;by Kathryn Stockett;36 weeks on the list,,,11/22/63;by Stephen King;,STEVE JOBS;by Walter Isaacson;7 weeks on the list,STEVE JOBS;by Walter Isaacson;7 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;56 weeks on the list,STEVE JOBS;by Walter Isaacson;7 weeks on the list,GUINNESS WORLD RECORDS 2012;edited by Craig Glenday;13 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;228 weeks on the list,STEVE JOBS;by Walter Isaacson;,"THE WALKING DEAD, BOOK 1;by Robert Kirkman, Tony Moore and Charlie Adlard;41 weeks on the list","THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;27 weeks on the list","NARUTO, VOL. 53;by Masashi Kishimoto;New this week",CLOCKWORK PRINCE;by Cassandra Clare;New this week,WAR HORSE;by Michael Morpurgo;5 weeks on the list,THE NIGHT BEFORE CHRISTMAS;by Clement C. Moore. Various illustrators;34 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;152 weeks on the list,,,
2,THE HELP;by Kathryn Stockett;43 weeks on the list,RED MIST;by Patricia Cornwell;New this week,THE GIRL WITH THE DRAGON TATTOO;by Stieg Larsson;129 weeks on the list,,,THE HELP;by Kathryn Stockett;,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;11 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;11 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;40 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;46 weeks on the list,GO THE -- TO SLEEP;by Adam Mansbach. Illustrated by Ricardo Cortés;27 weeks on the list,THE HAPPINESS PROJECT;by Gretchen Rubin;40 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;,BATMAN: NOEL;by Lee Bermejo;5 weeks on the list,"THE WALKING DEAD, VOL. 1;by Robert Kirkman and Tony Moore;99 weeks on the list","BLEACH, VOL. 37;by Tite Kubo;New this week",THE SON OF NEPTUNE;by Rick Riordan;10 weeks on the list,"THE RED PYRAMID: THE KANE CHRONICLES, BOOK ONE;by Rick Riordan and Orpheus Collar;17 weeks on the list",IF YOU GIVE A DOG A DONUT;by Laura Numeroff. Illustrated by Felicia Bond;10 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;68 weeks on the list,,,
3,11/22/63;by Stephen King;5 weeks on the list,THE LITIGATORS;by John Grisham;7 weeks on the list,THE NEXT ALWAYS;by Nora Roberts;6 weeks on the list,,,RED MIST;by Patricia Cornwell;,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;46 weeks on the list,UNBROKEN;by Laura Hillenbrand;56 weeks on the list,UNLIKELY FRIENDSHIPS;by Jennifer Holland;23 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;11 weeks on the list,COOK’S ILLUSTRATED COOKBOOK;by the editors at Cook’s Illustrated Magazine;New this week,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;541 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;,HABIBI;by Craig Thompson;11 weeks on the list,"THE ADVENTURES OF OOK AND GLUK, KUNG-FU CAVEMEN FROM THE FUTURE;by Dav Pilkey;18 weeks on the list","ONE PIECE, VOL. 59;by Eiichiro Oda;New this week",EVERY THING ON IT;by Shel Silverstein;12 weeks on the list,THE BOOK THIEF;by Markus Zusak;222 weeks on the list,PRESS HERE;by Hervé Tullet;33 weeks on the list,INHERITANCE;by Christopher Paolini;26 weeks on the list,,,
4,THE LITIGATORS;by John Grisham;7 weeks on the list,DEATH COMES TO PEMBERLEY;by P. D. James;New this week,THE TIGER'S WIFE;by Téa Obreht;6 weeks on the list,,,THE LITIGATORS;by John Grisham;,UNBROKEN;by Laura Hillenbrand;46 weeks on the list,BEING GEORGE WASHINGTON;by Glenn Beck and Kevin Balfe;3 weeks on the list,THE ZOMBIE SURVIVAL GUIDE;by Max Brooks;37 weeks on the list,CATHERINE THE GREAT;by Robert K. Massie;5 weeks on the list,PAULA DEEN’S SOUTHERN COOKING BIBLE;by Paula Deen with Melissa Clark;9 weeks on the list,EAT TO LIVE;by Joel Fuhrman;25 weeks on the list,UNBROKEN;by Laura Hillenbrand;,"THE ADVENTURES OF TINTIN, VOL. 1;by Hergé;2 weeks on the list","THE WALKING DEAD, VOL. 2;by Robert Kirkman and Charlie Adlard;20 weeks on the list","BAKUMAN, VOL. 8;by Tsugumi Ohba;New this week",THE INVENTION OF HUGO CABRET;by Brian Selznick;93 weeks on the list,CLOCKWORK ANGEL;by Cassandra Clare;10 weeks on the list,HEAVEN IS FOR REAL FOR KIDS;by Todd and Sonja Burpo. Illustrated by Wilson Ong;7 weeks on the list,WITCH AND WIZARD;by James Patterson and others;New this week,,,
5,THE DROP;by Michael Connelly;2 weeks on the list,KILL ALEX CROSS;by James Patterson;4 weeks on the list,THE ART OF RACING IN THE RAIN;by Garth Stein;131 weeks on the list,,,DEATH COMES TO PEMBERLEY;by P. D. James;,BEING GEORGE WASHINGTON;by Glenn Beck and Kevin Balfe;3 weeks on the list,JACK KENNEDY;by Chris Matthews;6 weeks on the list,OUTLIERS;by Malcolm Gladwell;27 weeks on the list,UNBROKEN;by Laura Hillenbrand;46 weeks on the list,NEARING HOME;by Billy Graham;8 weeks on the list,CRAZY LOVE;by Francis Chan with Danae Yankoski;60 weeks on the list,BEING GEORGE WASHINGTON;by Glenn Beck and Kevin Balfe;,HARK! A VAGRANT;by Kate Beaton;11 weeks on the list,V FOR VENDETTA;by Alan Moore and David Lloyd;69 weeks on the list,"BLUE EXORCIST, VOL. 5;by Kazue Kato;New this week",THE LEGO IDEAS BOOK;by Daniel Lipkowitz;6 weeks on the list,MATCHED;by Ally Condie;12 weeks on the list,I WANT MY HAT BACK;by Jon Klassen;3 weeks on the list,PRETTY LITTLE LIARS;by Sara Shepard;56 weeks on the list,,,
6,KILL ALEX CROSS;by James Patterson;4 weeks on the list,EXPLOSIVE EIGHTEEN;by Janet Evanovich;3 weeks on the list,SING YOU HOME;by Jodi Picoult;8 weeks on the list,,,KILL ALEX CROSS;by James Patterson;,CATHERINE THE GREAT;by Robert K. Massie;5 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;7 weeks on the list",BORN TO RUN;by Christopher McDougall;37 weeks on the list,THE DEVIL IN PEW NUMBER SEVEN;by Rebecca Nichols Alonzo with Bob DeMoss;2 weeks on the list,HARRY POTTER PAGE TO SCREEN-THE COMPLETE FILMMAKING JOURNEY;by Bob McCabe;6 weeks on the list,F IN EXAMS;by Richard Benson;5 weeks on the list,JACK KENNEDY;by Chris Matthews;,BATMAN: THE BLACK MIRROR;by Scott Snyder and Jock;2 weeks on the list,BATMAN: A DEATH IN THE FAMILY;by various;New this week,"OURAN HIGH SCHOOL HOST CLUB, VOL. 17;by Bisco Hatori;New this week",WONDERSTRUCK;by Brian Selznick;13 weeks on the list,THIRTEEN REASONS WHY;by Jay Asher;26 weeks on the list,LLAMA LLAMA HOLIDAY DRAMA;by Anna Dewdney;18 weeks on the list,HARRY POTTER;by J.K. Rowling;279 weeks on the list,,,
7,DEATH COMES TO PEMBERLEY;by P. D. James;New this week,THE DROP;by Michael Connelly;2 weeks on the list,CUTTING FOR STONE;by Abraham Verghese;98 weeks on the list,,,THE GIRL WITH THE DRAGON TATTOO;by Stieg Larsson;,JACK KENNEDY;by Chris Matthews;6 weeks on the list,CATHERINE THE GREAT;by Robert K. Massie;4 weeks on the list,MONEYBALL;by Michael Lewis;33 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;7 weeks on the list",EVERY DAY A FRIDAY;by Joel Osteen;13 weeks on the list,AWKWARD FAMILY PET PHOTOS;by Mike Bender and Doug Chernack;6 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;","TWILIGHT: THE GRAPHIC NOVEL, VOL. 2;by Stephenie Meyer and Young C. Kim;9 weeks on the list","SCALPED, VOL. 8;by Jason Aaron and others;3 weeks on the list","GHOST IN THE SHELL: STAND ALONE COMPLEX, VOL. 2;by Yu Kinutani;New this week",LEGO STAR WARS CHARACTER ENCYCLOPEDIA;by Hannah Dolan and others;11 weeks on the list,THEODORE BOONE: KID LAWYER;by John Grisham;31 weeks on the list,THE ARTIST WHO PAINTED A BLUE HORSE;by Eric Carle;10 weeks on the list,THE TWILIGHT SAGA;by Stephenie Meyer;198 weeks on the list,,,
8,EXPLOSIVE EIGHTEEN;by Janet Evanovich;3 weeks on the list,THE BEST OF ME;by Nicholas Sparks;9 weeks on the list,SARAH’S KEY;by Tatiana de Rosnay;145 weeks on the list,,,EXPLOSIVE EIGHTEEN;by Janet Evanovich;,"THINKING, FAST AND SLOW;by Daniel Kahneman;5 weeks on the list",THROUGH MY EYES;by Tim Tebow with Nathan Whitaker;14 weeks on the list,DON'T LOOK BEHIND YOU;by Ann Rule;2 weeks on the list,DECEMBER 1941;by Craig Shirley;New this week,GOODNIGHT IPAD;by Ann Droyd;3 weeks on the list,AWKWARD FAMILY PHOTOS;by Mike Bender and Doug Chernack;13 weeks on the list,CATHERINE THE GREAT;by Robert K. Massie;,"THE WALKING DEAD, BOOK 2;by Robert Kirkman and Charlie Adlard;3 weeks on the list",SMILE;by Raina Telgemeier;11 weeks on the list,"BLACK JACK, VOL. 17;by Osamu Tezuka;New this week",MISS PEREGRINE'S HOME FOR PECULIAR CHILDREN;by Ransom Riggs and Cassandra Jean;27 weeks on the list,I AM NUMBER FOUR;by Pittacus Lore;16 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;10 weeks on the list",THE 39 CLUES;by various authors;93 weeks on the list,,,
9,THE GIRL WITH THE DRAGON TATTOO;by Stieg Larsson;17 weeks on the list,V IS FOR VENGEANCE;by Sue Grafton;4 weeks on the list,WATER FOR ELEPHANTS;by Sara Gruen;149 weeks on the list,,,THE DROP;by Michael Connelly;,IN THE GARDEN OF BEASTS;by Erik Larson;27 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;2 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;249 weeks on the list,IN THE GARDEN OF BEASTS;by Erik Larson;31 weeks on the list,SPONTANEOUS HAPPINESS;by Andrew Weil;4 weeks on the list,FORKS OVER KNIVES;edited by Gene Stone;17 weeks on the list,THROUGH MY EYES;by Tim Tebow with Nathan Whitaker;,"THE WALKING DEAD, BOOK 7;by Robert Kirkman and Charlie Adlard;7 weeks on the list","BATMAN AND ROBIN, VOL.2;by Grant Morrison and others;3 weeks on the list","DAWN OF THE ARCANA, VOL. 1;by Rei Toma;New this week",THE LOST HERO;by Rick Riordan;58 weeks on the list,THE MAGICIAN’S ELEPHANT;by Kate DiCamillo. Illustrated by Yoko Tanaka;3 weeks on the list,A BAD KITTY CHRISTMAS;by Nick Bruel;5 weeks on the list,DORK DIARIES;by Rachel Renée Russell;26 weeks on the list,,,
10,THE BEST OF ME;by Nicholas Sparks;9 weeks on the list,MICRO;by Michael Crichton and Richard Preston;3 weeks on the list,THE GIRL WHO PLAYED WITH FIRE;by Stieg Larsson;79 weeks on the list,,,THE BEST OF ME;by Nicholas Sparks;,BOOMERANG;by Michael Lewis;10 weeks on the list,THEN AGAIN;by Diane Keaton;4 weeks on the list,____ FINISH FIRST;by Tucker Max;8 weeks on the list,BOOMERANG;by Michael Lewis;10 weeks on the list,COOK LIKE A ROCK STAR;by Anne Burrell with Suzanne Lenzer;2 weeks on the list,CLARK HOWARD'S LIVING LARGE IN LEAN TIMES;by Clark Howard;13 weeks on the list,THEN AGAIN;by Diane Keaton;,GREEN LANTERN: WAR OF THE GREEN LANTERNS;by various;3 weeks on the list,"AMULET: THE LAST COUNCIL, VOL. 4;by Kazu Kibuishi;14 weeks on the list","SHUGO CHARA CHAN, VOL. 1;by Peach-Pit;New this week",THE THRONE OF FIRE;by Rick Riordan;25 weeks on the list,THE CANDYMAKERS;by Wendy Mass;New this week,HOME FOR CHRISTMAS;by Jan Brett;6 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;230 weeks on the list,,,
