,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Hardcover & Paperback Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Combined Hardcover & Paperback Nonfiction,Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series
1,WATER FOR ELEPHANTS;by Sara Gruen;8 weeks on the list,TOYS;by James Patterson and Neil McMahon;New this week,WATER FOR ELEPHANTS;by Sara Gruen;112 weeks on the list,,,WATER FOR ELEPHANTS;by Sara Gruen;,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;8 weeks on the list,RED;by Sammy Hagar with Joel Selvin;New this week,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;18 weeks on the list,UNBROKEN;by Laura Hillenbrand;8 weeks on the list,THE 17 DAY DIET;by Mike Moreno;New this week,THE MILLIONAIRE MESSENGER;by Brendon Burchard;2 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;,"GOTHAM CENTRAL, VOL. 4: CORRIGAN;by Greg Rucka and Ed Brubaker;New this week","THE WALKING DEAD, VOL. 1;by Robert Kirkman and Tony Moore;70 weeks on the list","NARUTO, VOL. 50;by Masashi Kishimoto;7 weeks on the list",A WORLD WITHOUT HEROES;by Brandon Mull;New this week,BEASTLY;by Alex Flinn;6 weeks on the list,SILVERLICIOUS;written and illustrated by Victoria Kann;7 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;114 weeks on the list
2,TOYS;by James Patterson and Neil McMahon;New this week,SING YOU HOME;by Jodi Picoult;3 weeks on the list,CUTTING FOR STONE;by Abraham Verghese;60 weeks on the list,,,TOYS;by James Patterson and Neil McMahon;,UNBROKEN;by Laura Hillenbrand;8 weeks on the list,UNBROKEN;by Laura Hillenbrand;18 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;2 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;8 weeks on the list,LOVE WINS;by Rob Bell;New this week,THE FIVE LOVE LANGUAGES;by Gary Chapman;190 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,BATMAN: THE RETURN OF BRUCE WAYNE;by Grant Morrison and various;6 weeks on the list,SCOTT PILGRIM: PRECIOUS LITTLE LIFE;by Bryan Lee O’Malley;54 weeks on the list,"YU-GI-OH! GX, VOL. 6;by Naoyuki Kageyama;3 weeks on the list",I AM NUMBER FOUR;by Pittacus Lore;15 weeks on the list,WITCH AND WIZARD;by James Patterson and Gabrielle Charbonnet;20 weeks on the list,"DREAM BIG, LITTLE PIG!;by Kristi Yamaguchi. Illustrated by Tim Bowers;New this week",THE HUNGER GAMES;by Suzanne Collins;30 weeks on the list
3,THE LINCOLN LAWYER;by Michael Connelly;2 weeks on the list,THE JUNGLE;by Clive Cussler with Jack Du Brul;2 weeks on the list,PRIVATE: #1 SUSPECT;by James Patterson and Maxine Paetro;4 weeks on the list,,,SING YOU HOME;by Jodi Picoult;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;8 weeks on the list,MOONWALKING WITH EINSTEIN;by Joshua Foer;2 weeks on the list,INSIDE OF A DOG;by Alexandra Horowitz;24 weeks on the list,RED;by Sammy Hagar with Joel Selvin;New this week,MONEY CLASS;by Suze Orman;2 weeks on the list,THE HAPPINESS PROJECT;by Gretchen Rubin;3 weeks on the list,RED;by Sammy Hagar with Joel Selvin;,TRUE BLOOD: ALL TOGETHER NOW;by Alan Ball and others;5 weeks on the list,SCOTT PILGRIM: GETS IT TOGETHER;by Bryan Lee O’Malley;46 weeks on the list,"BLEACH, VOL. 34;by Tite Kubo;3 weeks on the list",THE LOST HERO;by Rick Riordan;23 weeks on the list,RED RIDING HOOD;by Sarah Blakley-Cartwright;8 weeks on the list,A SICK DAY FOR AMOS McGEE;by Philip C. Stead. Illustrated by Erin E. Stead;10 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;193 weeks on the list
4,SING YOU HOME;by Jodi Picoult;3 weeks on the list,THE GIRL WHO KICKED THE HORNET’S NEST;by Stieg Larsson;43 weeks on the list,HEART OF THE MATTER;by Emily Giffin;New this week,,,THE JUNGLE;by Clive Cussler with Jack Du Brul;,RED;by Sammy Hagar with Joel Selvin;New this week,THE SOCIAL ANIMAL;by David Brooks;2 weeks on the list,THE BIG SHORT;by Michael Lewis;7 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;8 weeks on the list,THE 4-HOUR BODY;by Timothy Ferriss;14 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;503 weeks on the list,UNBROKEN;by Laura Hillenbrand;,THE EXILE: AN OUTLANDER GRAPHIC NOVEL;by Diana Gabaldon and Hoang Nguyen;19 weeks on the list,SCOTT PILGRIM’S FINEST HOUR;by Bryan Lee O’Malley;35 weeks on the list,"BLACK BUTLER, VOL. 4;by Yana Toboso;8 weeks on the list","JUSTIN BIEBER, FIRST STEP 2 FOREVER;by Justin Bieber;16 weeks on the list",THE BOOK THIEF;by Markus Zusak;184 weeks on the list,THE EASTER EGG;by Jan Brett;10 weeks on the list,VAMPIRE DIARIES;by L. J. Smith;56 weeks on the list
5,LOVE YOU MORE;by Lisa Gardner;2 weeks on the list,THE WISE MAN'S FEAR;by Patrick Rothfuss;3 weeks on the list,THE GIRL WITH THE DRAGON TATTOO;by Stieg Larsson;91 weeks on the list,,,THE GIRL WITH THE DRAGON TATTOO;by Stieg Larsson;,MOONWALKING WITH EINSTEIN;by Joshua Foer;2 weeks on the list,JESUS OF NAZARETH;by Joseph Ratzinger;2 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;211 weeks on the list,MOONWALKING WITH EINSTEIN;by Joshua Foer;3 weeks on the list,THE AMEN SOLUTION;by Daniel G. Amen;2 weeks on the list,CRAZY LOVE;by Francis Chan with Danae Yankoski;22 weeks on the list,MOONWALKING WITH EINSTEIN;by Joshua Foer;,"SUPERMAN: EARTH ONE, VOL. 2;by J. Michael Straczynski and Shane Davis;21 weeks on the list","THE WALKING DEAD, VOL. 2;by Robert Kirkman and Charlie Adlard;11 weeks on the list","SOUL EATER, VOL. 5;by Atsushi Ohkubo;4 weeks on the list","THE RED PYRAMID: THE KANE CHRONICLES, BOOK ONE;by Rick Riordan and Orpheus Collar;46 weeks on the list","NANCY CLANCY, SECRET ADMIRER;by Jane O'Connor. Illustrated by Robin Preiss Glasser;New this week",LEGO STAR WARS;by Simon Beecroft;65 weeks on the list,MAXIMUM RIDE;by James Patterson;70 weeks on the list
6,THE GIRL WHO KICKED THE HORNET’S NEST;by Stieg Larsson;8 weeks on the list,THE TIGER’S WIFE;by Tea Obreht;2 weeks on the list,THE ART OF RACING IN THE RAIN;by Garth Stein;93 weeks on the list,,,CUTTING FOR STONE;by Abraham Verghese;,THE SOCIAL ANIMAL;by David Brooks;2 weeks on the list,DECISION POINTS;by George W. Bush;19 weeks on the list,THE KING’S SPEECH;by Mark Logue and Peter Conradi;9 weeks on the list,THE SOCIAL ANIMAL;by David Brooks;2 weeks on the list,THE SECRET;by Rhonda Byrne;178 weeks on the list,FOOD NETWORK MAGAZINE GREAT EASY MEALS;by the Food Network Magazine staff;New this week,THE SOCIAL ANIMAL;by David Brooks;,LAST UNICORN;by Peter B. Gillis and Renae DeLiz;2 weeks on the list,SCOTT PILGRIM AND THE INFINITE SADNESS;by Bryan Lee O’Malley;42 weeks on the list,"BLACK BIRD, VOL. 7;by Kanoko Sakurakoji;7 weeks on the list",TALES FROM A NOT-SO-POPULAR PARTY GIRL;by Rachel Renée Russell;34 weeks on the list,SHIMMER;by Alyson Noël;New this week,OF THEE I SING;by Barack Obama. Illustrated by Loren Long;18 weeks on the list,HOUSE OF NIGHT;by P.C. Cast and Kristin Cast;120 weeks on the list
7,THE JUNGLE;by Clive Cussler with Jack Du Brul;2 weeks on the list,THE PARIS WIFE;by Paula McLain;4 weeks on the list,THE POSTMISTRESS;by Sarah Blake;7 weeks on the list,,,THE GIRL WHO PLAYED WITH FIRE;by Stieg Larsson;,DECISION POINTS;by George W. Bush;8 weeks on the list,PHYSICS OF THE FUTURE;by Michio Kaku;New this week,JUST KIDS;by Patti Smith;20 weeks on the list,DECISION POINTS;by George W. Bush;8 weeks on the list,INFINITE QUEST;by John Edward;New this week,5 VERY GOOD REASONS TO PUNCH A DOLPHIN IN THE MOUTH;by The Oatmeal;3 weeks on the list,JESUS OF NAZARETH;by Joseph Ratzinger;,"THE WALKING DEAD, BOOK 3;by Robert Kirkman and Charlie Adlard;3 weeks on the list",SCOTT PILGRIM VS. THE WORLD;by Bryan Lee O’Malley;50 weeks on the list,"HETALIA AXIS POWERS, VOL. 2;by Hidekaz Himaruya;11 weeks on the list",THE GIFT;by James Patterson and Ned Rust;14 weeks on the list,SPLAT THE CAT: WHERE'S THE EASTER BUNNY?;by Rob Scotton;New this week,INTERRUPTING CHICKEN;written and illustrated by David Ezra Stein;9 weeks on the list,PRETTY LITTLE LIARS;by Sara Shepard;42 weeks on the list
8,THE GIRL WITH THE DRAGON TATTOO;by Stieg Larsson;8 weeks on the list,A DISCOVERY OF WITCHES;by Deborah Harkness;6 weeks on the list,LITTLE BEE;by Chris Cleave;57 weeks on the list,,,THE LINCOLN LAWYER;by Michael Connelly;,JESUS OF NAZARETH;by Joseph Ratzinger;New this week,CLEOPATRA;by Stacy Schiff;20 weeks on the list,90 MINUTES IN HEAVEN;by Don Piper with Cecil Murphey;185 weeks on the list,_____ MY DAD SAYS;by Justin Halpern;8 weeks on the list,21-DAY WEIGHT LOSS KICKSTART;by Neal D. Barnard;New this week,EVERYONE LOVES YOU WHEN YOU'RE DEAD;by Neil Strauss;New this week,INSIDE OF A DOG;by Alexandra Horowitz;,"BRIGHTEST DAY, VOL. 1;by Geoff Johns and Peter Tomasi;15 weeks on the list","THE WALKING DEAD, VOL. 3;by Robert Kirkman and Cliff Rathburn;New this week","DEATH NOTE BLACK, VOL. 1;by Tsugumi Ohba and Takeshi Obata;New this week",DORK DIARIES;written and illustrated by Rachel Renée Russell;37 weeks on the list,THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;102 weeks on the list,I BROKE MY TRUNK!;by Mo Willems;6 weeks on the list,BIG NATE;written and illustrated by Lincoln Peirce;15 weeks on the list
9,THE GIRL WHO PLAYED WITH FIRE;by Stieg Larsson;8 weeks on the list,MINDING FRANKIE;by Maeve Binchy;3 weeks on the list,THE GIRL WHO PLAYED WITH FIRE;by Stieg Larsson;52 weeks on the list,,,THE GIRL WHO KICKED THE HORNET’S NEST;by Stieg Larsson;,PHYSICS OF THE FUTURE;by Michio Kaku;New this week,"BLOOD, BONES AND BUTTER;by Gabrielle Hamilton;3 weeks on the list",WHAT THE DOG SAW;by Malcolm Gladwell;14 weeks on the list,CLEOPATRA;by Stacy Schiff;8 weeks on the list,WIN;by Frank I. Luntz;3 weeks on the list,"THE EAT THIS, NOT THAT! NO-DIET DIET;David Zinczenko with Matt Goulding;2 weeks on the list",DECISION POINTS;by George W. Bush;,DARK TOWER: TREACHERY;by Robin Furth and Peter David;6 weeks on the list,SCOTT PILGRIM VS. THE UNIVERSE;by Bryan Lee O’Malley;47 weeks on the list,"DOGS, VOL. 5;by Shirow Miwa;2 weeks on the list",MOON OVER MANIFEST;by Clare Vanderpool;10 weeks on the list,FALLEN;by Lauren Kate;25 weeks on the list,WE ARE IN A BOOK!;written and illustrated by Mo Willems;5 weeks on the list,THE TWILIGHT SAGA;by Stephenie Meyer;189 weeks on the list
10,CUTTING FOR STONE;by Abraham Verghese;8 weeks on the list,LOVE YOU MORE;by Lisa Gardner;2 weeks on the list,THE ISLAND;by Elin Hilderbrand;2 weeks on the list,,,PRIVATE: #1 SUSPECT;by James Patterson and Maxine Paetro;,CLEOPATRA;by Stacy Schiff;8 weeks on the list,A SIMPLE GOVERNMENT;by Mike Huckabee;2 weeks on the list,MY HORIZONTAL LIFE;by Chelsea Handler;125 weeks on the list,THE DRESSMAKER OF KHAIR KHANA;by Gayle Tzemach Lemmon;New this week,PEACE FROM BROKEN PIECES;by Iyanla Vanzant;4 weeks on the list,THE KIND DIET;by Alicia Silverstone;New this week,PHYSICS OF THE FUTURE;by Michio Kaku;,THE ADVENTURES OF OOK AND GLUK;by George Beard and Harold Hutchins;26 weeks on the list,"THE WALKING DEAD, VOL. 13;by Robert Kirkman and Charlie Adlard;16 weeks on the list","BLACK BUTLER, VOL. 1;by Yana Toboso;26 weeks on the list",MATCHED;by Ally Condie;14 weeks on the list,INCARCERON;by Catherine Fisher;6 weeks on the list,KNUFFLE BUNNY FREE;written and illustrated by Mo Willems;18 weeks on the list,HARRY POTTER;by J.K. Rowling;249 weeks on the list
