,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Business,Food and Diet,Politics and American History,Science,Sports and Fitness
1,THE ONE AND ONLY;by Emily Giffin;New this week,THE ONE AND ONLY;by Emily Giffin;New this week,GONE GIRL;by Gillian Flynn;5 weeks on the list,,,ONE NATION;by Ben Carson with Candy Carson;New this week,ONE NATION;by Ben Carson with Candy Carson;New this week,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;184 weeks on the list,ONE NATION;by Ben Carson with Candy Carson;New this week,INSTINCT;by T. D. Jakes;3 weeks on the list,CAN'T WE TALK ABOUT SOMETHING MORE PLEASANT?;by Roz Chast;3 weeks on the list,"LEGO NINJAGO, VOL. 10;by Greg Farshtey and Jolyon Yates;New this week","MONSTER MUSUME, VOL. 3;by Okayado;3 weeks on the list",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;48 weeks on the list,DIVERGENT;by Veronica Roth;31 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,CAPITAL IN THE TWENTY-FIRST CENTURY;by Thomas Piketty;,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;,CAPITAL IN THE TWENTY-FIRST CENTURY;by Thomas Piketty;,QUIET;by Susan Cain;,THE CLOSER;by Mariano Rivera with Wayne Coffey;
2,UNLUCKY 13;by James Patterson and Maxine Paetro;3 weeks on the list,THE GOLDFINCH;by Donna Tartt;31 weeks on the list,ORPHAN TRAIN;by Christina Baker Kline;40 weeks on the list,,,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;117 weeks on the list,CAPITAL IN THE TWENTY-FIRST CENTURY;by Thomas Piketty;7 weeks on the list,"CONFORM;by Glenn Beck, Kevin Balfe and Kyle Olson;3 weeks on the list",FINDING ME;by Michelle Knight with Michelle Burford Weinstein;3 weeks on the list,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;35 weeks on the list,"GODZILLA: AWAKENING;by Max Borenstein, Greg Borenstein and Eric Battle;2 weeks on the list","SAGA, VOL. 3;by Brian K. Vaughan and Fiona Staples;9 weeks on the list","ATTACK ON TITAN, VOL. 12;by Hajime Isayama;4 weeks on the list",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,THE PIGEON NEEDS A BATH!;by Mo Willems;8 weeks on the list,THE SELECTION;by Kiera Cass;3 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,FLASH BOYS;by Michael Lewis;,THE DOCTOR'S DIET;by Travis Stork;,"CONFORM;by Glenn Beck, Kevin Balfe and Kyle Olson;","THINKING, FAST AND SLOW;by Daniel Kahneman;",BECOMING A SUPPLE LEOPARD;by Kelly Starrett and Glen Cordoza;
3,THE LINCOLN MYTH;by Steve Berry;New this week,UNLUCKY 13;by James Patterson and Maxine Paetro;3 weeks on the list,THE LONGEST RIDE;by Nicholas Sparks;3 weeks on the list,,,CAPITAL IN THE TWENTY-FIRST CENTURY;by Thomas Piketty;5 weeks on the list,THINK LIKE A FREAK;by Steven D. Levitt and Stephen J. Dubner;2 weeks on the list,BEHIND THE BEAUTIFUL FOREVERS;by Katherine Boo;7 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;139 weeks on the list,BRUNETTE AMBITION;by Lea Michele;New this week,"BATMAN, VOL. 4;by Scott Snyder and Greg Capullo;2 weeks on the list","SAGA, VOL. 1;by Brian K. Vaughan and Fiona Staples;63 weeks on the list","ATTACK ON TITAN, VOL. 1;by Hajime Isayama;50 weeks on the list",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;138 weeks on the list",THE MAZE RUNNER;by James Dashner;85 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,THINK LIKE A FREAK;by Steven D. Levitt and Stephen J. Dubner;,IT STARTS WITH FOOD;by Dallas and Melissa Hartwig;,A FIGHTING CHANCE;by Elizabeth Warren;,DAVID AND GOLIATH;by Malcolm Gladwell;,THE LOYAL LIEUTENANT: MY STORY;by George Hincapie and Craig Hummer;
4,FIELD OF PREY;by John Sandford;3 weeks on the list,THE LINCOLN MYTH;by Steve Berry;New this week,INFERNO;by Dan Brown;3 weeks on the list,,,FINDING ME;by Michelle Knight with Michelle Burford Weinstein;3 weeks on the list,FINDING ME;by Michelle Knight with Michelle Burford Weinstein;3 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;83 weeks on the list,ETCHED IN SAND;by Regina Calcaterra;6 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;59 weeks on the list,THE COMPLETE PEANUTS: 1991-1992;by Charles M. Schulz;New this week,THE RETURN OF ZITA THE SPACEGIRL;by Ben Hatke;2 weeks on the list,"FAIRY TAIL, VOL. 38;by Hiro Mashima;2 weeks on the list",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,NELLY GNU AND DADDY TOO;by Anna Dewdney;3 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;141 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,STRESS TEST;by Timothy F. Geithner;,THE BLOOD SUGAR SOLUTION 10-DAY DETOX DIET;by Mark Hyman;,ONE NATION;by Ben Carson with Candy Carson;,THE POWER OF HABIT;by Charles Duhigg;,PLAYERS FIRST;by John Calipari and Michael Sokolove;
5,THE GOLDFINCH;by Donna Tartt;31 weeks on the list,FIELD OF PREY;by John Sandford;3 weeks on the list,THE ALCHEMIST;by Paulo Coelho;305 weeks on the list,,,THINK LIKE A FREAK;by Steven D. Levitt and Stephen J. Dubner;2 weeks on the list,THE CLOSER;by Mariano Rivera with Wayne Coffey;3 weeks on the list,OUTLIERS;by Malcolm Gladwell;155 weeks on the list,THE NAZI OFFICER'S WIFE;by Edith H. Beer with Susan Dworkin;10 weeks on the list,#GIRLBOSS;by Sophia Amoruso;3 weeks on the list,"JSA OMNIBUS, VOL. 1;by Geoff Johns, David Goyer and others;New this week","PRETTY DEADLY, VOL. 1;by Kelly Sue DeConnick and Emma Rios;2 weeks on the list","DRAGONAR ACADEMY, VOL. 2;by Shiki Mizuchi and Ran;New this week",THE ICKABOG;by J.K. Rowling;26 weeks on the list,LOCOMOTIVE;by Brian Floca;17 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;279 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,#GIRLBOSS;by Sophia Amoruso;,WHEAT BELLY;by William Davis;,UNBROKEN;by Laura Hillenbrand;,WHERE DOES IT HURT?;by Jonathan Bush with Stephen Baker;,MICHAEL JORDAN: THE LIFE;by Roland Lazenby;
6,THE TARGET;by David Baldacci;5 weeks on the list,THE TARGET;by David Baldacci;5 weeks on the list,THE GODS OF GUILT;by Michael Connelly;3 weeks on the list,,,STRESS TEST;by Timothy F. Geithner;2 weeks on the list,STRESS TEST;by Timothy F. Geithner;2 weeks on the list,QUIET;by Susan Cain;69 weeks on the list,UNBROKEN;by Laura Hillenbrand;173 weeks on the list,EVERYTHING I NEED TO KNOW I LEARNED FROM A LITTLE GOLDEN BOOK;by Diane Muldrow;12 weeks on the list,"ALL-NEW X-MEN, VOL. 4;by Brian Michael Bendis, Brandon Peterson and Stuart Immonen;New this week",SMILE;by Raina Telgemeier;104 weeks on the list,"ATTACK ON TITAN, VOL. 3;by Hajime Isayama;21 weeks on the list",WONDER;by R.J. Palacio;295 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;23 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;196 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,LEAN IN;by Sheryl Sandberg with Nell Scovell;,PRACTICAL PALEO;by Diane Sanfilippo;,STRESS TEST;by Timothy F. Geithner;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,A NICE LITTLE PLACE ON THE NORTH SIDE;by George Will;
7,GONE GIRL;by Gillian Flynn;78 weeks on the list,SNIPER'S HONOR;by Stephen Hunter;New this week,AMERICANAH;by Chimamanda Ngozi Adichie;12 weeks on the list,,,NO PLACE TO HIDE;by Glenn Greenwald;2 weeks on the list,A FIGHTING CHANCE;by Elizabeth Warren;5 weeks on the list,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;110 weeks on the list,THINK LIKE A FREAK;by Steven D. Levitt and Stephen J. Dubner;2 weeks on the list,"CONGRATULATIONS, BY THE WAY;by George Saunders;5 weeks on the list",X-MEN: NO MORE HUMANS;by Mike Carey and Salvador Larroca;3 weeks on the list,ANDRE THE GIANT: LIFE AND LEGEND;by Box Brown;2 weeks on the list,"NISEKOI: FALSE LOVE, VOL. 3;by Naoshi Komi;3 weeks on the list",REFUGEE;by Alan Gratz;129 weeks on the list,PRESS HERE;by Hervé Tullet;142 weeks on the list,GIVER QUARTET;by Lois Lowry;40 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,THRIVE;by Arianna Huffington;,GUY ON FIRE;by Guy Fieri with Ann Volkwein;,NO PLACE TO HIDE;by Glenn Greenwald;,A TROUBLESOME INHERITANCE;by Nicholas Wade;,ELEVEN RINGS;by Phil Jackson and Hugh Delehanty;
8,SNIPER'S HONOR;by Stephen Hunter;New this week,NATCHEZ BURNING;by Greg Iles;4 weeks on the list,ME BEFORE YOU;by Jojo Moyes;43 weeks on the list,,,FLASH BOYS;by Michael Lewis;8 weeks on the list,NO PLACE TO HIDE;by Glenn Greenwald;2 weeks on the list,WILD;by Cheryl Strayed;61 weeks on the list,FLASH BOYS;by Michael Lewis;8 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;55 weeks on the list,"BATMAN/SUPERMAN, VOL. 1;by Greg Pak and Jae Lee;3 weeks on the list","BATMAN, VOL. 3;by Scott Snyder and Greg Capullo;2 weeks on the list","ATTACK ON TITAN, VOL. 2;by Hajime Isayama;28 weeks on the list",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,JOURNEY;by Aaron Becker;28 weeks on the list,DORK DIARIES;by Rachel Renée Russell;97 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,SMART MONEY SMART KIDS;by Dave Ramsey and Rachel Cruze;,CLEAN EATS;by Alejandro Junger;,BEHIND THE BEAUTIFUL FOREVERS;by Katherine Boo;,THE GIRLS OF ATOMIC CITY;by Denise Kiernan;,THE PRICE OF SILENCE;by William D. Cohan;
9,THE GIRL WHO CAME HOME;by Hazel Gaynor;New this week,ALL THE LIGHT WE CANNOT SEE;by Anthony Doerr;3 weeks on the list,THE CUCKOO'S CALLING;by Robert Galbraith;4 weeks on the list,,,THE CLOSER;by Mariano Rivera with Wayne Coffey;3 weeks on the list,THRIVE;by Arianna Huffington;9 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;20 weeks on the list,STRESS TEST;by Timothy F. Geithner;2 weeks on the list,IT STARTS WITH FOOD;by Dallas and Melissa Hartwig;3 weeks on the list,"NATHAN HALE'S HAZARDOUS TALES: TREATIES, TRENCHES, MUD, AND BLOOD;by Nathan Hale;2 weeks on the list",ZITA THE SPACEGIRL;by Ben Hatke;New this week,"NARUTO, VOL. 65;by Masashi Kishimoto;7 weeks on the list",GROUND ZERO;by Alan Gratz;10 weeks on the list,PETE THE CAT: I LOVE MY WHITE SHOES;by Eric Litwin. Illustrated by James Dean;97 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;333 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,OUTLIERS;by Malcolm Gladwell;,HOW CAN IT BE GLUTEN FREE COOKBOOK;by The Editors at America's Test Kitchen;,JAMES MADISON;by Lynne Cheney;,MADNESS;by Marya Hornbacher;,STRONGER;by Jeff Bauman with Bret Witter;
10,INFERNO;by Dan Brown;26 weeks on the list,THE SKIN COLLECTOR;by Jeffery Deaver;2 weeks on the list,A GAME OF THRONES;by George R.R. Martin;62 weeks on the list,,,UNBROKEN;by Laura Hillenbrand;154 weeks on the list,FLASH BOYS;by Michael Lewis;8 weeks on the list,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;111 weeks on the list,NO PLACE TO HIDE;by Glenn Greenwald;2 weeks on the list,DARING GREATLY;by Brené Brown;42 weeks on the list,BLACK CANARY AND ZATANNA: BLOODSPELL;by Paul Dini and Joe Quinones;New this week,DRAMA;by Raina Telgemeier;58 weeks on the list,"ATTACK ON TITAN, VOL. 10;by Hajime Isayama;12 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,"ROSIE REVERE, ENGINEER;by Andrea Beaty. Illustrated by David Roberts;15 weeks on the list",HEROES OF OLYMPUS;by Rick Riordan;73 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;","THE DANIEL PLAN;by Rick Warren, Daniel Amen, Mark Hyman and others;",TWELVE YEARS A SLAVE;by Solomon Northup;,"LIFE, ANIMATED;by Ron Suskind;","MOOKIE: LIFE, BASEBALL, AND THE '86 METS;by Mookie Wilson with Erik Sherman;"
