,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Audio Fiction,Audio Nonfiction,Business,Science,Sports and Fitness
1,THE PRESIDENT IS MISSING;by James Patterson and Bill Clinton;2 weeks on the list,THE PRESIDENT IS MISSING;by James Patterson and Bill Clinton;2 weeks on the list,ELEANOR OLIPHANT IS COMPLETELY FINE;by Gail Honeyman;2 weeks on the list,KITCHEN CONFIDENTIAL;by Anthony Bourdain;3 weeks on the list,CALYPSO;by David Sedaris;3 weeks on the list,KITCHEN CONFIDENTIAL;by Anthony Bourdain;37 weeks on the list,MAGNOLIA TABLE;by Joanna Gaines with Marah Stets;8 weeks on the list,WONDER;by R.J. Palacio;149 weeks on the list,I LOVE DAD WITH THE VERY HUNGRY CATERPILLAR;by Eric Carle;5 weeks on the list,DOG MAN;by Dav Pilkey;42 weeks on the list,THE HATE U GIVE;by Angie Thomas;68 weeks on the list,SOMETHING IN THE WATER;by Catherine Steadman;,KITCHEN CONFIDENTIAL;by Anthony Bourdain;,BAD BLOOD;by John Carreyrou;,HOW TO CHANGE YOUR MIND;by Michael Pollan;,SHOE DOG;by Phil Knight;
2,THE OUTSIDER;by Stephen King;4 weeks on the list,THE OUTSIDER;by Stephen King;4 weeks on the list,CRAZY RICH ASIANS;by Kevin Kwan;8 weeks on the list,CALYPSO;by David Sedaris;3 weeks on the list,THE SOUL OF AMERICA;by Jon Meacham;6 weeks on the list,KILLERS OF THE FLOWER MOON;by David Grann;11 weeks on the list,THE PLANT PARADOX;by Steven R. Gundry;16 weeks on the list,THE CONFIDENCE CODE FOR GIRLS;by Katty Kay and Claire Shipman with Jillellyn Riley. Illustrated by Nan Lawson;11 weeks on the list,A DAY IN THE LIFE OF MARLON BUNDO;by Marlon Bundo with Jill Twiss. Illustrated by E.G. Keller;13 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;483 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;48 weeks on the list,THE PRESIDENT IS MISSING;by James Patterson and Bill Clinton;,CALYPSO;by David Sedaris;,PRINCIPLES;by Ray Dalio;,SAPIENS;by Yuval Noah Harari;,TIGER WOODS;by Jeff Benedict and Armen Keteyian;
3,TOM CLANCY LINE OF SIGHT;by Mike Maden;New this week,TOM CLANCY LINE OF SIGHT;by Mike Maden;New this week,INTO THE WATER;by Paula Hawkins;7 weeks on the list,THE SOUL OF AMERICA;by Jon Meacham;6 weeks on the list,TRUMP'S AMERICA;by Newt Gingrich;2 weeks on the list,SAPIENS;by Yuval Noah Harari;5 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;79 weeks on the list,REFUGEE;by Alan Gratz;17 weeks on the list,HOW TO BABYSIT A GRANDPA;by Jean Reagan. Illustrated by Lee Wildish;14 weeks on the list,AN EMBER IN THE ASHES;by Sabaa Tahir;New this week,CHILDREN OF BLOOD AND BONE;by Tomi Adeyemi;15 weeks on the list,THE OUTSIDER;by Stephen King;,HOW TO CHANGE YOUR MIND;by Michael Pollan;,OUTLIERS;by Malcolm Gladwell;,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;,BELIEVE IT;by Nick Foles with Joshua Cooley;
4,THE PHARAOH KEY;by Douglas Preston and Lincoln Child;New this week,THE PHARAOH KEY;by Douglas Preston and Lincoln Child;New this week,THE HANDMAID'S TALE;by Margaret Atwood;68 weeks on the list,KILLERS OF THE FLOWER MOON;by David Grann;52 weeks on the list,THE SUN DOES SHINE;by Anthony Ray Hinton with Lara Love Hardin;2 weeks on the list,HILLBILLY ELEGY;by J.D. Vance;7 weeks on the list,"GIRL, WASH YOUR FACE;by Rachel Hollis;10 weeks on the list","HELLO, UNIVERSE;by Erin Entrada Kelly;18 weeks on the list",DAD BY MY SIDE;by Soosh;New this week,HARRY POTTER;by J.K. Rowling;482 weeks on the list,TURTLES ALL THE WAY DOWN;by John Green;36 weeks on the list,THE SINGULARITY TRAP;by Dennis E. Taylor;,MAPS OF MEANING;by Jordan B. Peterson;,THE POWER OF HABIT;by Charles Duhigg;,THE POWER OF HABIT;by Charles Duhigg;,THE BOYS IN THE BOAT;by Daniel James Brown;
5,SHELTER IN PLACE;by Nora Roberts;3 weeks on the list,SHELTER IN PLACE;by Nora Roberts;3 weeks on the list,LESS;by Andrew Sean Greer;4 weeks on the list,THE SUN DOES SHINE;by Anthony Ray Hinton with Lara Love Hardin;2 weeks on the list,THE RESTLESS WAVE;by John McCain and Mark Salter;4 weeks on the list,MEDIUM RAW;by Anthony Bourdain;6 weeks on the list,YOU ARE A BADASS;by Jen Sincero;127 weeks on the list,THE WILD ROBOT;by Peter Brown;31 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;225 weeks on the list,THE TRIALS OF APOLLO;by Rick Riordan;7 weeks on the list,SAVE THE DATE;by Morgan Matson;2 weeks on the list,BRIEF CASES;by Jim Butcher;,BORN A CRIME;by Trevor Noah;,SHOE DOG;by Phil Knight;,"FIRST, WE MAKE THE BEAST BEAUTIFUL;by Sarah Wilson;",I'M KEITH HERNANDEZ;by Keith Hernandez;
6,THE DEATH OF MRS. WESTAWAY;by Ruth Ware;3 weeks on the list,THE DEATH OF MRS. WESTAWAY;by Ruth Ware;3 weeks on the list,MILK AND HONEY;by Rupi Kaur;114 weeks on the list,TRUMP'S AMERICA;by Newt Gingrich;2 weeks on the list,HOW TO CHANGE YOUR MIND;by Michael Pollan;5 weeks on the list,OUTLIERS;by Malcolm Gladwell;257 weeks on the list,THE PLANT PARADOX COOKBOOK;by Steven R. Gundry;4 weeks on the list,WISHTREE;by Katherine Applegate. Illustrated by Charles Santoso;30 weeks on the list,DEAR GIRL;by Amy Krouse Rosenthal and Paris Rosenthal. Illustrated by Holly Hatam;15 weeks on the list,DORK DIARIES;by Rachel Renée Russell;256 weeks on the list,LEGENDARY;by Stephanie Garber;3 weeks on the list,THE WOMAN IN THE WINDOW;by A.J. Finn;,EDUCATED;by Tara Westover;,MEASURE WHAT MATTERS;by John Doerr;,A BRIEF HISTORY OF TIME;by Stephen Hawking;,MEN IN BLAZERS PRESENT ENCYCLOPEDIA BLAZERTANNICA;by Roger Bennett and Michael Davies;
7,THE FALLEN;by David Baldacci;9 weeks on the list,THE FALLEN;by David Baldacci;9 weeks on the list,THE SUN AND HER FLOWERS;by Rupi Kaur;37 weeks on the list,HOW TO CHANGE YOUR MIND;by Michael Pollan;5 weeks on the list,LINCOLN'S LAST TRIAL;by Dan Abrams and David Fisher;2 weeks on the list,JUST MERCY;by Bryan Stevenson;108 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;247 weeks on the list,ENDLING: THE LAST;by Katherine Applegate. Illustrated by Max Kostenko;7 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;138 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;123 weeks on the list,LEAH ON THE OFFBEAT;by Becky Albertalli;8 weeks on the list,YEAR ONE;by Nora Roberts;,THE POWER OF HABIT;by Charles Duhigg;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",LEONARDO DA VINCI;by Walter Isaacson;,BARBARIAN DAYS;by William Finnegan;
8,ELEANOR OLIPHANT IS COMPLETELY FINE;by Gail Honeyman;2 weeks on the list,THE GRAY GHOST;by Clive Cussler and Robin Burcell;3 weeks on the list,THE WOMAN IN CABIN 10;by Ruth Ware;54 weeks on the list,LINCOLN'S LAST TRIAL;by Dan Abrams and David Fisher;2 weeks on the list,THREE DAYS IN MOSCOW;by Bret Baier and Catherine Whitney;5 weeks on the list,SHOE DOG;by Phil Knight;7 weeks on the list,EVERYBODY ALWAYS;by Bob Goff;9 weeks on the list,ARU SHAH AND THE END OF TIME;by Roshani Chokshi;11 weeks on the list,I WISH YOU MORE;by Amy Krouse Rosenthal. Illustrated by Tom Lichtenheld;40 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;475 weeks on the list,THE HAZEL WOOD;by Melissa Albert;20 weeks on the list,LITTLE FIRES EVERYWHERE;by Celeste Ng;,BAD BLOOD;by John Carreyrou;,YOU ARE A BADASS AT MAKING MONEY;by Jen Sincero;,BEING MORTAL;by Atul Gawande;,BASKETBALL (AND OTHER THINGS);by Shea Serrano. Illustrated by Arturo Torres;
9,SOMETHING IN THE WATER;by Catherine Steadman;2 weeks on the list,BEFORE THE STORM;by Christie Golden;New this week,A STRANGER IN THE HOUSE;by Shari Lapena;3 weeks on the list,THE WORLD AS IT IS;by Ben Rhodes;2 weeks on the list,THE WORLD AS IT IS;by Ben Rhodes;2 weeks on the list,HUNGER;by Roxane Gay;New this week,MAKE YOUR BED;by William H. McRaven;50 weeks on the list,AUGGIE & ME;by R.J. Palacio;73 weeks on the list,WHAT DO YOU DO WITH A CHANCE?;by Kobi Yamada. Illustrated by Mae Besom;4 weeks on the list,RED QUEEN;by Victoria Aveyard;22 weeks on the list,FURYBORN;by Claire Legrand;3 weeks on the list,SHELTER IN PLACE;by Nora Roberts;,I'LL BE GONE IN THE DARK;by Michelle McNamara;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,THE RISE AND FALL OF THE DINOSAURS;by Steve Brusatte;,SHAKEN;by Tim Tebow;
10,WHEN LIFE GIVES YOU LULULEMONS;by Lauren Weisberger;2 weeks on the list,WHEN LIFE GIVES YOU LULULEMONS;by Lauren Weisberger;2 weeks on the list,ALL THE LIGHT WE CANNOT SEE;by Anthony Doerr;52 weeks on the list,THE RESTLESS WAVE;by John McCain and Mark Salter;4 weeks on the list,A HIGHER LOYALTY;by James Comey;9 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;425 weeks on the list,APPETITES;by Anthony Bourdain with Laurie Woolever;10 weeks on the list,MINECRAFT: THE ISLAND;by Max Brooks;36 weeks on the list,AN ELEPHANT AND PIGGIE BIGGIE!;by Mo Willems;8 weeks on the list,WHO WAS/IS . . . ?;by Jim Gigliotti and others; various illustrators;51 weeks on the list,ASH PRINCESS;by Laura Sebastian;7 weeks on the list,THEN SHE WAS GONE;by Lisa Jewell;,THINGS THAT MATTER;by Charles Krauthammer;,RADICAL CANDOR;by Kim Scott;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",THINGS THAT MAKE WHITE PEOPLE UNCOMFORTABLE;by Michael Bennett and Dave Zirin;
