,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,Hardcover Nonfiction,Paperback Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series
1,FINGER LICKIN’ FIFTEEN;by Janet Evanovich;New this week,MY SISTER’S KEEPER;by Jodi Picoult;40 weeks on the list,,CATASTROPHE;by Dick Morris and Eileen McGann;New this week,GLENN BECK’S ‘COMMON SENSE’;by Glenn Beck;3 weeks on the list,THE LAST LECTURE;by Randy Pausch with Jeffrey Zaslow;64 weeks on the list,COOK YOURSELF THIN;by the staff of Lifetime Television;8 weeks on the list,"FINAL CRISIS;by Grant Morrison, J. G. Jones, Carlos Pacheco and Doug Mahnke;2 weeks on the list",WATCHMEN;by Alan Moore and Dave Gibbons;18 weeks on the list,"BLEACH, VOL. 27;by Tite Kubo;4 weeks on the list",L.A. CANDY;by Lauren Conrad;2 weeks on the list,THE BOOK THIEF;by Markus Zusak;94 weeks on the list,GOLDILICIOUS;written and illustrated by Victoria Kann;5 weeks on the list,THE TWILIGHT SAGA;by Stephenie Meyer;99 weeks on the list
2,THE DOOMSDAY KEY;by James Rollins;New this week,THE SHACK;by William P. Young;58 weeks on the list,,LIBERTY AND TYRANNY;by Mark R. Levin;14 weeks on the list,THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;126 weeks on the list,"ACT LIKE A LADY, THINK LIKE A MAN;by Steve Harvey with Denene Millner;22 weeks on the list",WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;417 weeks on the list,"STARMAN OMNIBUS, VOL. 3;by James Robinson, Tony Harris and various;New this week",V FOR VENDETTA;by Alan Moore and David Lloyd;14 weeks on the list,"NARUTO, VOL. 43;by Masashi Kishimoto;15 weeks on the list",ALONG FOR THE RIDE;by Sarah Dessen;2 weeks on the list,LOCK AND KEY;by Sarah Dessen;7 weeks on the list,TEA PARTIES;by Jane O’Connor. Illustrated by Robin Preiss Glasser;New this week,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;103 weeks on the list
3,KNOCKOUT;by Catherine Coulter;2 weeks on the list,THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY;by Mary Ann Shaffer and Annie Barrows;8 weeks on the list,,OUTLIERS;by Malcolm Gladwell;32 weeks on the list,WHEN YOU ARE ENGULFED IN FLAMES;by David Sedaris;4 weeks on the list,EXCUSES BEGONE!;by Wayne W. Dyer;5 weeks on the list,THE LOVE DARE;by Stephen Kendrick and Alex Kendrick with Lawrence Kimbrough;40 weeks on the list,HALO: UPRISING;by Brian Michael Bendis and Alex Maleev;3 weeks on the list,SCOTT PILGRIM VS. THE WORLD;by Bryan Lee O’Malley;New this week,"NARUTO, VOL. 44;by Masashi Kishimoto;13 weeks on the list",TWILIGHT: DIRECTOR’S NOTEBOOK;by Catherine Hardwicke;15 weeks on the list,THE MYSTERIOUS BENEDICT SOCIETY;by Trenton Lee Stewart. Illustrated by Carson Ellis;45 weeks on the list,LISTEN TO THE WIND: THE STORY OF DR. GREG AND THREE CUPS OF TEA;by Greg Mortenson and Susan L. Roth;23 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;24 weeks on the list
4,OMEN;by Christie Golden;New this week,THE GIRL WITH THE DRAGON TATTOO;by Stieg Larsson;New this week,,HORSE SOLDIERS;by Doug Stanton;7 weeks on the list,BLINK;by Malcolm Gladwell;89 weeks on the list,MASTER YOUR METABOLISM;by Jillian Michaels with Mariska van Aalst;12 weeks on the list,HUNGRY GIRL 200 UNDER 200;by Lisa Lillien;11 weeks on the list,DARK TOWER: TREACHERY;by Peter David and Robin Furth;10 weeks on the list,"EMPOWERED, V. 5;by Adam Warren;New this week","NEGIMA!? NEO MAGISTER NEGI MAGI, VOL. 2;by Ken Akamatsu and Takuya Fujiyama;New this week",THE HUNGER GAMES;by Suzanne Collins;42 weeks on the list,THE BOY IN THE STRIPED PAJAMAS;by John Boyne;34 weeks on the list,EXPLORER EXTRAORDINAIRE!;by Jane O’Connor. Illustrated by Robin Preiss Glasser;9 weeks on the list,HOUSE OF NIGHT;by P.C. Cast and Kristin Cast;44 weeks on the list
5,THE ANGEL'S GAME;by Carlos Ruiz Zafón;2 weeks on the list,OLIVE KITTERIDGE;by Elizabeth Strout;10 weeks on the list,,THE END OF OVEREATING;by David A. Kessler;8 weeks on the list,AN INCONVENIENT BOOK;by Glenn Beck;7 weeks on the list,THE SECRET;by Rhonda Byrne;129 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;100 weeks on the list,Batman: R.I.P.;by Grant Morrison and Tony Daniel;18 weeks on the list,SCOTT PILGRIM: PRECIOUS LITTLE LIFE;by Bryan Lee O’Malley;3 weeks on the list,"OURAN HIGH SCHOOLHOST CLUB, VOL. 12;by Bisco Hatori;4 weeks on the list",THIRTEEN REASONS WHY;by Jay Asher;36 weeks on the list,EVERMORE;by Alyson Noël;21 weeks on the list,GALLOP!;written and illustrated by Rufus Butler Seder;85 weeks on the list,THE 39 CLUES;by various authors;13 weeks on the list
6,THE BOURNE DECEPTION;by Eric Van Lustbader;3 weeks on the list,PRIDE AND PREJUDICE AND ZOMBIES;by Jane Austen and Seth Grahame-Smith;13 weeks on the list,,A BOLD FRESH PIECE OF HUMANITY;by Bill O’Reilly;37 weeks on the list,TIPPING POINT;by Malcolm Gladwell;247 weeks on the list,GOT FIGHT?;by Forrest Griffin with Erich Krauss;2 weeks on the list,SKINNY BITCH;by Kim Barnouin;102 weeks on the list,BATMAN: THE KILLING JOKE;by Alan Moore and Brian Bolland;16 weeks on the list,"DEADPOOL, VOL. 1;by Daniel Way and Paco Medina;New this week",ROSARIO   VAMPIRE 7;by Akihisa Ikeda;4 weeks on the list,THE GRAVEYARD BOOK;by Neil Gaiman. Illustrated by Dave McKean;39 weeks on the list,THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;23 weeks on the list,ELEPHANTS CANNOT DANCE!;written and illustrated by Mo Willems;3 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;14 weeks on the list
7,RELENTLESS;by Dean Koontz;3 weeks on the list,THE ART OF RACING IN THE RAIN;by Garth Stein;3 weeks on the list,,RENEGADE;by Richard Wolffe;4 weeks on the list,I HOPE THEY SERVE BEER IN HELL;by Tucker Max;91 weeks on the list,DIVINE SOUL SONGS;by Zhi Gang Sha;3 weeks on the list,MARTHA STEWART'S CUPCAKES;by the editors of Martha Stewart Living;4 weeks on the list,JOKER;by Brian Azzarello and Lee Bermejo;16 weeks on the list,"BUFFY THE VAMPIRE SLAYER: SEASON 8, VOL. 4;by Joss Whedon, Jeph Loeb and Karl Moline;7 weeks on the list","THE MELANCHOLY OF HARUHI SUZUMIYA, VOL. 3;by Nagaru Tanigawa and Gaku Tsugano;2 weeks on the list",THE AWAKENING;by Kelley Armstrong;9 weeks on the list,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;14 weeks on the list,SWING!;written and illustrated by Rufus Butler Seder;37 weeks on the list,VAMPIRE DIARIES;by L. J. Smith;9 weeks on the list
8,THE PHYSICK BOOK OF DELIVERANCE DANE;by Katherine Howe;3 weeks on the list,THE TIME TRAVELER'S WIFE;by Audrey Niffenegger;2 weeks on the list,,MAGNIFICENT DESOLATION;by Buzz Aldrin with Ken Abraham;New this week,IN DEFENSE OF FOOD;by Michael Pollan;9 weeks on the list,THE NOTICER;by Andy Andrews;7 weeks on the list,THE POWER OF NOW;by Eckhart Tolle;70 weeks on the list,CIVIL WAR;by Mark Millar and Steve McNiven;10 weeks on the list,"FABLES, VOL. 1;by Bill Willingham and Lan Medina;8 weeks on the list","NARUTO, VOL. 42;by Masashi Kishimoto;14 weeks on the list",WINGS;by Aprilynne Pike;8 weeks on the list,JUST LISTEN;by Sarah Dessen;27 weeks on the list,THE CURIOUS GARDEN;written and illustrated by Peter Brown;11 weeks on the list,NIGHT WORLD;by L. J. Smith;29 weeks on the list
9,SHANGHAI GIRLS;by Lisa See;5 weeks on the list,THE ALCHEMIST;by Paulo Coelho;93 weeks on the list,,TEARS IN THE DARKNESS;by Michael Norman and Elizabeth M. Norman;2 weeks on the list,"EAT, PRAY, LOVE;by Elizabeth Gilbert;127 weeks on the list",THE 4-HOUR WORKWEEK;by Timothy Ferriss;48 weeks on the list,NATURALLY THIN;by Bethenny Frankel with Eve Adamson;16 weeks on the list,MARVEL ZOMBIES;by Fred Van Lente and Kev Walker;10 weeks on the list,"GREEN LANTERN: SINESTRO CORPS WAR, VOL. 2;by Geoff Johns and others;New this week",FULLMETAL ALCHEMIST 18;by Hiromu Arakawa;6 weeks on the list,MILES TO GO;by Miley Cyrus;17 weeks on the list,NO TALKING;by Andrew Clements. Illustrated by Mark Elliott;New this week,LLAMA LLAMA MISSES MAMA;written and illustrated by Anna Dewdney;9 weeks on the list,GALLAGHER GIRLS;by Ally Carter;3 weeks on the list
10,MEDUSA;by Clive Cussler and Paul Kemprecos;4 weeks on the list,A SUMMER AFFAIR;by Elin Hilderbrand;3 weeks on the list,,AND THEN THE ROOF CAVED IN;by David Faber;New this week,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;34 weeks on the list,THE G-FREE DIET;by Elisabeth Hasselbeck;8 weeks on the list,WEBER’S WAY TO GRILL;by Jamie Purviance;2 weeks on the list,"STORM FRONT;by Ardian Syaf, Jim Butcher and Mark J. Powers;4 weeks on the list",TRANSFORMERS - REVENGE OF THE FALLEN;by Simon Furman and Jon Davis-Hunt;2 weeks on the list,"YU-GI-OH!, VOL. 3;by Kazuki Takahashi and Naoyuki Kageyama;3 weeks on the list",DORK DIARIES;written and illustrated by Rachel Renée Russell;3 weeks on the list,THE SUMMONING;by Kelley Armstrong;6 weeks on the list,LADYBUG GIRL AND BUMBLEBEE BOY;by David Soman and Jacky Davis. Illustrated by David Soman.;15 weeks on the list,HARRY POTTER;by J.K. Rowling;218 weeks on the list
