,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Business,Science,Sports and Fitness
1,A COLUMN OF FIRE;by Ken Follett;New this week,A COLUMN OF FIRE;by Ken Follett;New this week,IT;by Stephen King;5 weeks on the list,WHAT HAPPENED;by Hillary Clinton;New this week,WHAT HAPPENED;by Hillary Clinton;New this week,THE GLASS CASTLE;by Jeannette Walls;391 weeks on the list,BRAVING THE WILDERNESS;by Brené Brown;New this week,WONDER;by R.J. Palacio;110 weeks on the list,PRINCESSES WEAR PANTS;by Savannah Guthrie and Allison Oppenheim. Illustrated by Eva Byrne;New this week,DOG MAN;by Dav Pilkey;3 weeks on the list,THE HATE U GIVE;by Angie Thomas;29 weeks on the list,PRINCIPLES;by Ray Dalio;,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;,TB12 METHOD;by Tom Brady;
2,IT;by Stephen King;6 weeks on the list,THE GIRL WHO TAKES AN EYE FOR AN EYE;by David Lagercrantz;New this week,MILK AND HONEY;by Rupi Kaur;75 weeks on the list,UNBELIEVABLE;by Katy Tur;New this week,UNBELIEVABLE;by Katy Tur;New this week,BEING MORTAL;by Atul Gawande;2 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;40 weeks on the list,GOOD NIGHT STORIES FOR REBEL GIRLS;by Elena Favilli and Francesca Cavallo;12 weeks on the list,IT TAKES A VILLAGE;by Hillary Rodham Clinton. Illustrated by Marla Frazee;New this week,MICHAEL VEY;by Richard Paul Evans;10 weeks on the list,WARCROSS;by Marie Lu;New this week,TOOLS OF TITANS;by Tim Ferriss;,END OF ALZHEIMER'S;by Dale Bredesen;,UNSTOPPABLE;by Maria Sharapova with Rich Cohen;
3,THE GIRL WHO TAKES AN EYE FOR AN EYE;by David Lagercrantz;New this week,ENEMY OF THE STATE;by Kyle Mills;2 weeks on the list,THE WOMAN IN CABIN 10;by Ruth Ware;23 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;56 weeks on the list,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;20 weeks on the list,THE LOST CITY OF THE MONKEY GOD;by Douglas Preston;2 weeks on the list,THE FOUR TENDENCIES;by Gretchen Rubin;New this week,MINECRAFT: THE ISLAND;by Max Brooks;9 weeks on the list,SHE PERSISTED;by Chelsea Clinton. Illustrated by Alexandra Boiger;16 weeks on the list,HARRY POTTER;by J.K. Rowling;443 weeks on the list,BERNIE SANDERS GUIDE TO POLITICAL REVOLUTION;by Bernie Sanders. Illustrated by Jude Buffum;3 weeks on the list,GRIT;by Angela Duckworth;,BEING MORTAL;by Atul Gawande;,FINDING GOBI;by Dion Leonard with with Craig Borlase;
4,ENIGMA;by Catherine Coulter;New this week,THE ROMANOV RANSOM;by Clive Cussler and Robin Burcell;New this week,THE FIX;by David Baldacci;New this week,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;20 weeks on the list,HILLBILLY ELEGY;by J.D. Vance;60 weeks on the list,ON TYRANNY;by Timothy Snyder;29 weeks on the list,YOU ARE A BADASS;by Jen Sincero;88 weeks on the list,THE DARK PROPHECY;by Rick Riordan;20 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;187 weeks on the list,THRONE OF GLASS;by Sarah J. Maas;17 weeks on the list,WONDER WOMAN: WARBRINGER;by Leigh Bardugo;3 weeks on the list,HIT REFRESH;by Satya Nadella with Greg Shaw and Jill Tracie Nichols;,SAPIENS;by Yuval Noah Harari;,THE BOYS IN THE BOAT;by Daniel James Brown;
5,THE ROMANOV RANSOM;by Clive Cussler and Robin Burcell;New this week,A LEGACY OF SPIES;by John le Carré;2 weeks on the list,LILAC GIRLS;by Martha Hall Kelly;29 weeks on the list,HILLBILLY ELEGY;by J.D. Vance;60 weeks on the list,"AL FRANKEN, GIANT OF THE SENATE;by Al Franken;16 weeks on the list",JUST MERCY;by Bryan Stevenson;78 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;218 weeks on the list,LAUGH OUT LOUD;by James Patterson and Chris Grabenstein. Illustrated by Jeff Ebbeler;3 weeks on the list,"ROSIE REVERE, ENGINEER;by Andrea Beaty. Illustrated by David Roberts;113 weeks on the list",DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;444 weeks on the list,LORD OF SHADOWS;by Cassandra Clare;17 weeks on the list,LIFE 3.0;by Max Tegmark;,THE LOST CITY OF THE MONKEY GOD;by Douglas Preston;,STRONGER;by Jeff Bauman with Bret Witter;
6,ENEMY OF THE STATE;by Kyle Mills;2 weeks on the list,SECRETS IN DEATH;by J.D. Robb;2 weeks on the list,THE COUPLE NEXT DOOR;by Shari Lapena;16 weeks on the list,FANTASYLAND;by Kurt Andersen;2 weeks on the list,FANTASYLAND;by Kurt Andersen;2 weeks on the list,THE NEW JIM CROW;by Michelle Alexander;155 weeks on the list,MAKE YOUR BED;by William H. McRaven;24 weeks on the list,REFUGEE;by Alan Gratz;4 weeks on the list,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;220 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;84 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;13 weeks on the list,IT TAKES TWO;by Jonathan Scott and Drew Scott;,LIFE 3.0;by Max Tegmark;,SHOE DOG;by Phil Knight;
7,SECRETS IN DEATH;by J.D. Robb;2 weeks on the list,LITTLE FIRES EVERYWHERE;by Celeste Ng;New this week,THE HANDMAID'S TALE;by Margaret Atwood;32 weeks on the list,"AL FRANKEN, GIANT OF THE SENATE;by Al Franken;16 weeks on the list",UNSTOPPABLE;by Maria Sharapova with Rich Cohen;New this week,ROGUE HEROES;by Ben Macintyre;New this week,TOOLS OF TITANS;by Tim Ferriss;20 weeks on the list,AUGGIE & ME;by R.J. Palacio;42 weeks on the list,CREEPY PAIR OF UNDERWEAR;by Aaron Reynolds. Illustrated by Peter Brown;3 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;446 weeks on the list,THEY BOTH DIE AT THE END;by Adam Silvera;2 weeks on the list,BLUE OCEAN SHIFT;by W. Chan Kim and Renée Mauborgne;,WHEN BREATH BECOMES AIR;by Paul Kalanithi;,COACH WOODEN AND ME;by Kareem Abdul-Jabbar;
8,LITTLE FIRES EVERYWHERE;by Celeste Ng;New this week,ENIGMA;by Catherine Coulter;New this week,READY PLAYER ONE;by Ernest Cline;31 weeks on the list,ON TYRANNY;by Timothy Snyder;13 weeks on the list,WHY BUDDHISM IS TRUE;by Robert Wright;6 weeks on the list,BORN TO RUN;by Bruce Springsteen;New this week,END OF ALZHEIMER'S;by Dale Bredesen;4 weeks on the list,THE WILD ROBOT;by Peter Brown;12 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;103 weeks on the list,DESCENDANTS;by Melissa de la Cruz;17 weeks on the list,ONCE AND FOR ALL;by Sarah Dessen;15 weeks on the list,OUTLIERS;by Malcolm Gladwell;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,SHAKEN;by Tim Tebow;
9,BEFORE WE WERE YOURS;by Lisa Wingate;7 weeks on the list,Y IS FOR YESTERDAY;by Sue Grafton;4 weeks on the list,TWO BY TWO;by Nicholas Sparks;6 weeks on the list,BEING MORTAL;by Atul Gawande;65 weeks on the list,OPTION B;by Sheryl Sandberg and Adam Grant;21 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;138 weeks on the list","------, THAT'S DELICIOUS;by Action Bronson with Rachel Wharton;New this week",WOMEN IN SCIENCE;by Rachel Ignotofsky;39 weeks on the list,WE'RE ALL WONDERS;by R.J. Palacio;13 weeks on the list,GIVER QUARTET;by Lois Lowry;151 weeks on the list,I HATE EVERYONE BUT YOU;by Gaby Dunn and Allison Raskin;New this week,"THINKING, FAST AND SLOW;by Daniel Kahneman;","THINKING, FAST AND SLOW;by Daniel Kahneman;",I GOT THIS;by Laurie Hernandez;
10,A LEGACY OF SPIES;by John le Carré;2 weeks on the list,CAMINO ISLAND;by John Grisham;15 weeks on the list,ALL THE LIGHT WE CANNOT SEE;by Anthony Doerr;24 weeks on the list,UNSTOPPABLE;by Maria Sharapova with Rich Cohen;New this week,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;80 weeks on the list,EVICTED;by Matthew Desmond;13 weeks on the list,THE WHOLE30;by Melissa Hartwig and Dallas Hartwig;101 weeks on the list,POTTYMOUTH AND STOOPID;by James Patterson and Chris Grabenstein. Illustrated by Stephen Gilpin;14 weeks on the list,THE BOOK WITH NO PICTURES;by B.J. Novak;134 weeks on the list,THE LAND OF STORIES;by Chris Colfer. Illustrated by Brandon Dorman;42 weeks on the list,LADY MIDNIGHT;by Cassandra Clare;56 weeks on the list,INVISIBLE INFLUENCE;by Jonah Berger;,HIDDEN FIGURES;by Margot Lee Shetterly;,WHAT MADE MADDY RUN;by Kate Fagan;
