,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Business,Food and Diet,Politics and American History,Science,Sports and Fitness
1,WRITTEN IN MY OWN HEART'S BLOOD;by Diana Gabaldon;New this week,WRITTEN IN MY OWN HEART'S BLOOD;by Diana Gabaldon;New this week,GONE GIRL;by Gillian Flynn;8 weeks on the list,,,HARD CHOICES;by Hillary Rodham Clinton;New this week,HARD CHOICES;by Hillary Rodham Clinton;New this week,THE BOYS IN THE BOAT;by Daniel James Brown;3 weeks on the list,HARD CHOICES;by Hillary Rodham Clinton;New this week,THE FIVE LOVE LANGUAGES;by Gary Chapman;62 weeks on the list,CAN'T WE TALK ABOUT SOMETHING MORE PLEASANT?;by Roz Chast;6 weeks on the list,"THE FORGOTTEN MAN: GRAPHIC EDITION;by Amity Shlaes, Paul Rivoche and Chuck Dixon;3 weeks on the list","CRIMSON SPELL, VOL. 4;by Ayano Yamane;New this week",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;51 weeks on the list,DIVERGENT;by Veronica Roth;34 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,CAPITAL IN THE TWENTY-FIRST CENTURY;by Thomas Piketty;,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;,CAPITAL IN THE TWENTY-FIRST CENTURY;by Thomas Piketty;,QUIET;by Susan Cain;,THE CLOSER;by Mariano Rivera with Wayne Coffey;
2,MR. MERCEDES;by Stephen King;2 weeks on the list,MR. MERCEDES;by Stephen King;2 weeks on the list,ORPHAN TRAIN;by Christina Baker Kline;43 weeks on the list,,,ONE NATION;by Ben Carson with Candy Carson;4 weeks on the list,ONE NATION;by Ben Carson with Candy Carson;4 weeks on the list,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;113 weeks on the list,I KNOW WHY THE CAGED BIRD SINGS;by Maya Angelou;3 weeks on the list,INSTINCT;by T. D. Jakes;6 weeks on the list,BLACK CANARY AND ZATANNA: BLOODSPELL;by Paul Dini and Joe Quinones;4 weeks on the list,THE COMPLETE CALVIN AND HOBBES;by Bill Watterson;13 weeks on the list,"ONE PIECE, VOL. 71;by Eiichiro Oda;2 weeks on the list",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,HOW TO BABYSIT A GRANDPA;by Jean Reagan. Illustrated by Lee Wildish;3 weeks on the list,THE MAZE RUNNER;by James Dashner;88 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,FLASH BOYS;by Michael Lewis;,THE DOCTOR'S DIET;by Travis Stork;,"CONFORM;by Glenn Beck, Kevin Balfe and Kyle Olson;","THINKING, FAST AND SLOW;by Daniel Kahneman;",BECOMING A SUPPLE LEOPARD;by Kelly Starrett and Glen Cordoza;
3,THE GOLDFINCH;by Donna Tartt;34 weeks on the list,THE GOLDFINCH;by Donna Tartt;34 weeks on the list,AND THE MOUNTAINS ECHOED;by Khaled Hosseini;2 weeks on the list,,,ORANGE IS THE NEW BLACK;by Piper Kerman;24 weeks on the list,THE CLOSER;by Mariano Rivera with Wayne Coffey;6 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;187 weeks on the list,ORANGE IS THE NEW BLACK;by Piper Kerman;46 weeks on the list,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;38 weeks on the list,"MIRACLEMAN, BOOK 1;by Alan Moore, Garry Leach and Alan Davis;3 weeks on the list",AFTERLIFE WITH ARCHIE: ESCAPE FROM RIVERDALE;by Roberto Aguirre-Sacasa and Francesco Francavilla;New this week,"MILLENNIUM SNOW, VOL. 3;by Bisco Hatori;2 weeks on the list",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,MY NEW FRIEND IS SO FUN!;by Mo Willems;2 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;144 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,THINK LIKE A FREAK;by Steven D. Levitt and Stephen J. Dubner;,IT STARTS WITH FOOD;by Dallas and Melissa Hartwig;,A FIGHTING CHANCE;by Elizabeth Warren;,DAVID AND GOLIATH;by Malcolm Gladwell;,THE LOYAL LIEUTENANT: MY STORY;by George Hincapie and Craig Hummer;
4,GONE GIRL;by Gillian Flynn;81 weeks on the list,THE TARGET;by David Baldacci;8 weeks on the list,THE LONGEST RIDE;by Nicholas Sparks;6 weeks on the list,,,I KNOW WHY THE CAGED BIRD SINGS;by Maya Angelou;3 weeks on the list,CAPITAL IN THE TWENTY-FIRST CENTURY;by Thomas Piketty;10 weeks on the list,ORANGE IS THE NEW BLACK;by Piper Kerman;45 weeks on the list,FROZEN IN TIME;by Mitchell Zuckoff;4 weeks on the list,THE TAPPING SOLUTION FOR WEIGHT LOSS AND BODY CONFIDENCE;by Jessica Ortner;New this week,"NATHAN HALE'S HAZARDOUS TALES: TREATIES, TRENCHES, MUD, AND BLOOD;by Nathan Hale;5 weeks on the list","SAGA, VOL. 3;by Brian K. Vaughan and Fiona Staples;12 weeks on the list","ATTACK ON TITAN, VOL. 1;by Hajime Isayama;53 weeks on the list",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;141 weeks on the list",THE SELECTION;by Kiera Cass;6 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,STRESS TEST;by Timothy F. Geithner;,THE BLOOD SUGAR SOLUTION 10-DAY DETOX DIET;by Mark Hyman;,ONE NATION;by Ben Carson with Candy Carson;,THE POWER OF HABIT;by Charles Duhigg;,PLAYERS FIRST;by John Calipari and Michael Sokolove;
5,THE MATCHMAKER;by Elin Hilderbrand;New this week,THE MATCHMAKER;by Elin Hilderbrand;New this week,THE ALCHEMIST;by Paulo Coelho;308 weeks on the list,,,UNBROKEN;by Laura Hillenbrand;157 weeks on the list,UNBROKEN;by Laura Hillenbrand;173 weeks on the list,OUTLIERS;by Malcolm Gladwell;158 weeks on the list,THE NAZI OFFICER'S WIFE;by Edith H. Beer with Susan Dworkin;13 weeks on the list,DARTH VADER AND SON;by Jeffrey Brown;8 weeks on the list,NATHAN HALE'S HAZARDOUS TALES: ONE DEAD SPY;by Nathan Hale;5 weeks on the list,SMILE;by Raina Telgemeier;107 weeks on the list,WOLF CHILDREN: AME AND YUKI;by Mamoru Hosoda and Yu;9 weeks on the list,THE ICKABOG;by J.K. Rowling;26 weeks on the list,THE PIGEON NEEDS A BATH!;by Mo Willems;11 weeks on the list,DORK DIARIES;by Rachel Renée Russell;99 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,#GIRLBOSS;by Sophia Amoruso;,WHEAT BELLY;by William Davis;,UNBROKEN;by Laura Hillenbrand;,WHERE DOES IT HURT?;by Jonathan Bush with Stephen Baker;,MICHAEL JORDAN: THE LIFE;by Roland Lazenby;
6,UNLUCKY 13;by James Patterson and Maxine Paetro;6 weeks on the list,THE ONE AND ONLY;by Emily Giffin;4 weeks on the list,THE SILVER STAR;by Jeannette Walls;2 weeks on the list,,,THE BOYS IN THE BOAT;by Daniel James Brown;4 weeks on the list,THINK LIKE A FREAK;by Steven D. Levitt and Stephen J. Dubner;5 weeks on the list,LET'S EXPLORE DIABETES WITH OWLS;by David Sedaris;2 weeks on the list,QUEEN OF THE CONQUEROR;by Tracy Borman;New this week,EVERYTHING I NEED TO KNOW I LEARNED FROM A LITTLE GOLDEN BOOK;by Diane Muldrow;15 weeks on the list,MADELEINE L'ENGLE'S A WRINKLE IN TIME;by Hope Larson;42 weeks on the list,"SAGA, VOL. 1;by Brian K. Vaughan and Fiona Staples;66 weeks on the list","HIGH SCHOOL DXD, VOL. 1;by Ichiei Ishibumi and Hiroji Mishima;3 weeks on the list",WONDER;by R.J. Palacio;295 weeks on the list,NELLY GNU AND DADDY TOO;by Anna Dewdney;6 weeks on the list,GIVER QUARTET;by Lois Lowry;43 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,LEAN IN;by Sheryl Sandberg with Nell Scovell;,PRACTICAL PALEO;by Diane Sanfilippo;,STRESS TEST;by Timothy F. Geithner;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,A NICE LITTLE PLACE ON THE NORTH SIDE;by George Will;
7,THE TARGET;by David Baldacci;8 weeks on the list,UNLUCKY 13;by James Patterson and Maxine Paetro;6 weeks on the list,THE OCEAN AT THE END OF THE LANE;by Neil Gaiman;2 weeks on the list,,,THE CLOSER;by Mariano Rivera with Wayne Coffey;6 weeks on the list,FLASH BOYS;by Michael Lewis;11 weeks on the list,DAD IS FAT;by Jim Gaffigan;2 weeks on the list,UNBROKEN;by Laura Hillenbrand;176 weeks on the list,VADER'S LITTLE PRINCESS;by Jeffrey Brown;16 weeks on the list,"BATMAN AND ROBIN, VOL. 4;by Peter Tomasi and Patrick Gleason;New this week",MARCH: BOOK ONE;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;31 weeks on the list,"SOUL EATER, VOL. 20;by Atsushi Ohkubo;3 weeks on the list",REFUGEE;by Alan Gratz;129 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;26 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;282 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,THRIVE;by Arianna Huffington;,GUY ON FIRE;by Guy Fieri with Ann Volkwein;,NO PLACE TO HIDE;by Glenn Greenwald;,A TROUBLESOME INHERITANCE;by Nicholas Wade;,ELEVEN RINGS;by Phil Jackson and Hugh Delehanty;
8,ORPHAN TRAIN;by Christina Baker Kline;21 weeks on the list,SKIN GAME;by Jim Butcher;3 weeks on the list,INFERNO;by Dan Brown;6 weeks on the list,,,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;23 weeks on the list,CARSICK;by John Waters;2 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;351 weeks on the list,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;55 weeks on the list,#GIRLBOSS;by Sophia Amoruso;6 weeks on the list,"GODZILLA: AWAKENING;by Max Borenstein, Greg Borenstein and Eric Battle;5 weeks on the list","THE MANHATTAN PROJECTS, VOL. 4;by Jonathan Hickman and Nick Pitarra;2 weeks on the list","KAMISAMA KISS, VOL. 15;by Julietta Suzuki;2 weeks on the list",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,LOCOMOTIVE;by Brian Floca;20 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;199 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,SMART MONEY SMART KIDS;by Dave Ramsey and Rachel Cruze;,CLEAN EATS;by Alejandro Junger;,BEHIND THE BEAUTIFUL FOREVERS;by Katherine Boo;,THE GIRLS OF ATOMIC CITY;by Denise Kiernan;,THE PRICE OF SILENCE;by William D. Cohan;
9,THE ONE AND ONLY;by Emily Giffin;4 weeks on the list,THE HURRICANE SISTERS;by Dorothea Benton Frank;2 weeks on the list,DARK PLACES;by Gillian Flynn;46 weeks on the list,,,CAPITAL IN THE TWENTY-FIRST CENTURY;by Thomas Piketty;8 weeks on the list,KILLING JESUS;by Bill O'Reilly and Martin Dugard;34 weeks on the list,THE MONUMENTS MEN;by Robert M. Edsel with Bret Witter;21 weeks on the list,ETCHED IN SAND;by Regina Calcaterra;9 weeks on the list,THE EVERYGIRL'S GUIDE TO DIET AND FITNESS;by Maria Menounos;2 weeks on the list,"BATMAN, VOL. 4;by Scott Snyder and Greg Capullo;5 weeks on the list","SAGA, VOL. 2;by Brian K. Vaughan and Fiona Staples;32 weeks on the list","ATTACK ON TITAN, VOL. 2;by Hajime Isayama;30 weeks on the list",GROUND ZERO;by Alan Gratz;10 weeks on the list,JOURNEY;by Aaron Becker;31 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;336 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,OUTLIERS;by Malcolm Gladwell;,HOW CAN IT BE GLUTEN FREE COOKBOOK;by The Editors at America's Test Kitchen;,JAMES MADISON;by Lynne Cheney;,MADNESS;by Marya Hornbacher;,STRONGER;by Jeff Bauman with Bret Witter;
10,FIELD OF PREY;by John Sandford;6 weeks on the list,ALL THE LIGHT WE CANNOT SEE;by Anthony Doerr;6 weeks on the list,A GAME OF THRONES;by George R.R. Martin;65 weeks on the list,,,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;120 weeks on the list,JOHN WAYNE;by Scott Eyman;5 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;165 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;142 weeks on the list,ESSENTIAL OILS FOR BEGINNERS;by the staff of Althea Press;New this week,NATHAN HALE'S HAZARDOUS TALES: DONNER DINNER PARTY;by Nathan Hale;New this week,THE RETURN OF ZITA THE SPACEGIRL;by Ben Hatke;3 weeks on the list,"NARUTO, VOL. 65;by Masashi Kishimoto;8 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,MIGHTY DADS;by Joan Holub. Illustrated by James Dean;New this week,MAGIC TREE HOUSE;by Mary Pope Osborne. Illustrated by Sal Murdocca;277 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;","THE DANIEL PLAN;by Rick Warren, Daniel Amen, Mark Hyman and others;",TWELVE YEARS A SLAVE;by Solomon Northup;,"LIFE, ANIMATED;by Ron Suskind;","MOOKIE: LIFE, BASEBALL, AND THE '86 METS;by Mookie Wilson with Erik Sherman;"
