,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Hardcover & Paperback Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Combined Hardcover & Paperback Nonfiction,Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Hardcover Business Books,Paperback Business Books,Politics and American History
1,SAFE HAVEN;by Nicholas Sparks;8 weeks on the list,A MEMORY OF LIGHT;by Robert Jordan and Brandon Sanderson;2 weeks on the list,FIFTY SHADES OF GREY;by E. L. James;45 weeks on the list,,,A MEMORY OF LIGHT;by Robert Jordan and Brandon Sanderson;,PROOF OF HEAVEN;by Eben Alexander;13 weeks on the list,MY BELOVED WORLD;by Sonia Sotomayor;New this week,PROOF OF HEAVEN;by Eben Alexander;13 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;13 weeks on the list,SHRED: THE REVOLUTIONARY DIET;by Ian K. Smith;3 weeks on the list,EAT TO LIVE;by Joel Fuhrman;79 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;,BUILDING STORIES;by Chris Ware;16 weeks on the list,PERSEPOLIS;by Marjane Satrapi;New this week,"MISSIONS OF LOVE, VOL. 2;by Ema Toyama;New this week",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;68 weeks on the list",THE HUNGER GAMES;by Suzanne Collins;126 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,TO SELL IS HUMAN;by Daniel H. Pink;,OUTLIERS;by Malcolm Gladwell;,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;
2,HOPELESS;by Colleen Hoover;4 weeks on the list,GONE GIRL;by Gillian Flynn;33 weeks on the list,FIFTY SHADES DARKER;by E. L. James;42 weeks on the list,,,FIFTY SHADES OF GREY;by E. L. James;,MY BELOVED WORLD;by Sonia Sotomayor;New this week,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;16 weeks on the list,TEAM OF RIVALS;by Doris Kearns Goodwin;50 weeks on the list,GOING CLEAR;by Lawrence Wright;New this week,THE PLAN;by Lyn-Genet Recitas;2 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;596 weeks on the list,MY BELOVED WORLD;by Sonia Sotomayor;,"THE WALKING DEAD, BOOK 2;by Robert Kirkman and Charlie Adlard;16 weeks on the list",DRAMA;by Raina Telgemeier;18 weeks on the list,"MAXIMUM RIDE, VOL. 6;by James Patterson;6 weeks on the list",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,PRESS HERE;by Hervé Tullet;75 weeks on the list,BEAUTIFUL CREATURES;by Kami Garcia and Margaret Stohl;5 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,FRANCONA;by Terry Francona and Dan Shaughnessy;,MONEY CODE;by Joe John Duran;,MY BELOVED WORLD;by Sonia Sotomayor;
3,GONE GIRL;by Gillian Flynn;33 weeks on the list,THE FIFTH ASSASSIN;by Brad Meltzer;New this week,FIFTY SHADES FREED;by E. L. James;42 weeks on the list,,,GONE GIRL;by Gillian Flynn;,GOING CLEAR;by Lawrence Wright;New this week,GOING CLEAR;by Lawrence Wright;New this week,AN INVISIBLE THREAD;by Laura L. Schroff;3 weeks on the list,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;16 weeks on the list,THE END OF DIABETES;by Joel Fuhrman;2 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;286 weeks on the list,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;,DARK TOWER: THE GUNSLINGER - THE MAN IN BLACK;by Peter David and Robin Furth;New this week,"THE WALKING DEAD COMPENDIUM, VOL. 2;by Robert Kirkman and Charlie Adlard;15 weeks on the list","BLUE EXORCIST, VOL. 1;by Kazue Kato;17 weeks on the list",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,PETE THE CAT AND HIS FOUR GROOVY BUTTONS;by Eric Litwin. Illustrated by James Dean;37 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;210 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,NINJA INNOVATION;by Gary Shapiro;,TIPPING POINT;by Malcolm Gladwell;,NO EASY DAY;by Mark Owen with Kevin Maurer;
4,THE FIFTH ASSASSIN;by Brad Meltzer;New this week,TENTH OF DECEMBER;by George Saunders;2 weeks on the list,LIFE OF PI;by Yann Martel;16 weeks on the list,,,THE FIFTH ASSASSIN;by Brad Meltzer;,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;16 weeks on the list,NO EASY DAY;by Mark Owen with Kevin Maurer;20 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;98 weeks on the list,NO EASY DAY;by Mark Owen with Kevin Maurer;20 weeks on the list,FAT CHANCE;by Robert H. Lustig;2 weeks on the list,THE HAPPINESS PROJECT;by Gretchen Rubin;97 weeks on the list,GOING CLEAR;by Lawrence Wright;,"WONDER WOMAN, VOL. 2;by Brian Azzarello and Cliff Chiang;New this week","THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;75 weeks on the list","NARUTO, VOL. 58;by Masashi Kishimoto;10 weeks on the list",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,PETE THE CAT: I LOVE MY WHITE SHOES;by Eric Litwin. Illustrated by James Dean;43 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;43 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;,DRIVE;by Daniel H. Pink;,THOMAS JEFFERSON;by Jon Meacham;
5,FIFTY SHADES OF GREY;by E. L. James;47 weeks on the list,THE THIRD BULLET;by Stephen Hunter;New this week,THE PARIS WIFE;by Paula McLain;8 weeks on the list,,,TENTH OF DECEMBER;by George Saunders;,NO EASY DAY;by Mark Owen with Kevin Maurer;20 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;69 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;114 weeks on the list,MY BELOVED WORLD;by Sonia Sotomayor;New this week,7 YEARS YOUNGER;by the editors of Good Housekeeping;3 weeks on the list,HOW TO TELL IF YOUR CAT IS PLOTTING TO KILL YOU;by Matthew Inman;15 weeks on the list,NO EASY DAY;by Mark Owen with Kevin Maurer;,ABSOLUTE BATMAN & ROBIN: BATMAN REBORN;by Grant Morrison and others;New this week,"MAUS: A SURVIVOR’S TALE, VOL. 1;by Art Spiegelman;29 weeks on the list","BLACK BUTLER, VOL. 1;by Yana Toboso;31 weeks on the list",THE ICKABOG;by J.K. Rowling;26 weeks on the list,THIS IS NOT MY HAT;by Jon Klassen;13 weeks on the list,HEROES OF OLYMPUS;by Rick Riordan;16 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,ANTIFRAGILE;by Nassim Nicholas Taleb;,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;
6,SOMEONE TO LOVE;by Addison Moore;3 weeks on the list,MRS. LINCOLN'S DRESSMAKER;by Jennifer Chiaverini;New this week,DEATH COMES TO PEMBERLEY;by P. D. James;3 weeks on the list,,,SAFE HAVEN;by Nicholas Sparks;,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;68 weeks on the list,A HIGHER CALL;by Adam Makos with Larry Alexander;4 weeks on the list,LADY ALMINA AND THE REAL DOWNTON ABBEY;by The Countess of Carnarvon;26 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;69 weeks on the list,WHEAT BELLY;by William Davis;39 weeks on the list,"THE CHEW;by the staff of ""The Chew"";15 weeks on the list",KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;,GREEN LANTERN: REVENGE OF THE BLACK HAND;by Geoff Johns and Doug Mahnke;2 weeks on the list,FUN HOME;by Alison Bechdel;12 weeks on the list,"BLEACH, VOL. 54;by Tite Kubo;3 weeks on the list",WONDER;by R.J. Palacio;295 weeks on the list,CHU'S DAY;by Neil Gaiman. Illustrated by Adam Rex;2 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;278 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,TOTAL MONEY MAKEOVER;by Dave Ramsey;,BOOMERANG;by Michael Lewis;,THE WORLD UNTIL YESTERDAY;by Jared Diamond;
7,FIFTY SHADES FREED;by E. L. James;45 weeks on the list,THE RACKETEER;by John Grisham;13 weeks on the list,SAFE HAVEN;by Nicholas Sparks;18 weeks on the list,,,FIFTY SHADES DARKER;by E. L. James;,TOTAL FRAT MOVE;by W. R. Bolen and the creators of TotalFratMove.com;New this week,THE WORLD UNTIL YESTERDAY;by Jared Diamond;3 weeks on the list,OUTLIERS;by Malcolm Gladwell;85 weeks on the list,BURIED MEMORIES;by Katie Beers with Carolyn Gusoff;New this week,THE VIRGIN DIET;by J. J. Virgin;5 weeks on the list,FORKS OVER KNIVES: THE COOKBOOK;by Del Sroufe;11 weeks on the list,A HIGHER CALL;by Adam Makos with Larry Alexander;,"THE WALKING DEAD, BOOK 1;by Robert Kirkman, Tony Moore and Charlie Adlard;78 weeks on the list","ANIMAL MAN, VOL. 2;by Jeff Lemire and Steve Pugh;New this week","PUELLA MAGI MADOKA MAGICA, VOL. 3;by Magica Quartet;6 weeks on the list",REFUGEE;by Alan Gratz;129 weeks on the list,OLIVIA AND THE FAIRY PRINCESSES;by Ian Falconer;15 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;72 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,GREAT BY CHOICE;by Jim Collins and Morten T. Hansen;,THE CHECKLIST MANIFESTO;by Atul Gawande;,MY SHARE OF THE TASK;by Stanley McChrystal;
8,FIFTY SHADES DARKER;by E. L. James;47 weeks on the list,THE TWELVE TRIBES OF HATTIE;by Ayana Mathis;6 weeks on the list,WORLD WAR Z;by Max Brooks;30 weeks on the list,,,FIFTY SHADES FREED;by E. L. James;,TEN YEARS LATER;by Hoda Kotb with Jane Lorenzini;New this week,THOMAS JEFFERSON;by Jon Meacham;10 weeks on the list,THE NEW JIM CROW;by Michelle Alexander;45 weeks on the list,TOTAL FRAT MOVE;by W. R. Bolen and the creators of TotalFratMove.com;New this week,WHEAT BELLY COOKBOOK;by William Davis;4 weeks on the list,CRAZY LOVE;by Francis Chan with Danae Yankoski;91 weeks on the list,THE WORLD UNTIL YESTERDAY;by Jared Diamond;,BATMAN: THE KILLING JOKE;by Alan Moore and Brian Bolland;94 weeks on the list,THE COMPLETE PERSEPOLIS;by Marjane Satrapi;16 weeks on the list,"ALICE IN THE COUNTRY OF HEARTS: MY FANATIC RABBIT, VOL. 1;by Quinrose;5 weeks on the list",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,SAFARI;by Dan Kainen and Carol Kaufmann;7 weeks on the list,DORK DIARIES;by Rachel Renée Russell;68 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,"THINKING, FAST AND SLOW;by Daniel Kahneman;",THE BIG SHORT;by Michael Lewis;,A HIGHER CALL;by Adam Makos with Larry Alexander;
9,THE FORGOTTEN;by David Baldacci;9 weeks on the list,STANDING IN ANOTHER MAN'S GRAVE;by Ian Rankin;New this week,PRIVATE: #1 SUSPECT;by James Patterson and Maxine Paetro;New this week,,,THE THIRD BULLET;by Stephen Hunter;,THOMAS JEFFERSON;by Jon Meacham;10 weeks on the list,TO SELL IS HUMAN;by Daniel H. Pink;New this week,IN THE GARDEN OF BEASTS;by Erik Larson;38 weeks on the list,TEN YEARS LATER;by Hoda Kotb with Jane Lorenzini;New this week,"HELP, THANKS, WOW;by Anne Lamott;9 weeks on the list",TO HEAVEN AND BACK;by Mary C. Neal;34 weeks on the list,THOMAS JEFFERSON;by Jon Meacham;,MADELEINE L'ENGLE'S A WRINKLE IN TIME;by Hope Larson;16 weeks on the list,MAUS: A SURVIVOR'S TALE;by Art Spiegelman;4 weeks on the list,"NARUTO, VOL. 59;by Masashi Kishimoto;11 weeks on the list",GROUND ZERO;by Alan Gratz;10 weeks on the list,THE VERY FAIRY PRINCESS FOLLOWS HER HEART;by Julie Andrews and Emma Walton Hamilton. Illustrated by Christine Davenier;New this week,MATCHED TRILOGY;by Ally Condie;10 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,STRENGTHS-BASED LEADERSHIP;by Tom Rath and Barry Conchie;,MONEYBALL;by Michael Lewis;,UNBROKEN;by Laura Hillenbrand;
10,A MEMORY OF LIGHT;by Robert Jordan and Brandon Sanderson;2 weeks on the list,KINSEY AND ME;by Sue Grafton;2 weeks on the list,BARED TO YOU;by Sylvia Day;32 weeks on the list,,,LIFE OF PI;by Yann Martel;,A HIGHER CALL;by Adam Makos with Larry Alexander;2 weeks on the list,TOTAL FRAT MOVE;by W. R. Bolen and the creators of TotalFratMove.com;New this week,BOSSYPANTS;by Tina Fey;55 weeks on the list,UNBROKEN;by Laura Hillenbrand;104 weeks on the list,BAREFOOT CONTESSA FOOLPROOF;by Ina Garten;12 weeks on the list,MEATLESS;by the Martha Stewart Living staff;2 weeks on the list,TO SELL IS HUMAN;by Daniel H. Pink;,ARE YOU MY MOTHER?;by Alison Bechdel;33 weeks on the list,SMILE;by Raina Telgemeier;49 weeks on the list,"LOVELESS, VOL. 10;by Yun Kouga;2 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,I WANT MY HAT BACK;by Jon Klassen;41 weeks on the list,THE MAZE RUNNER;by James Dashner;46 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,STEVE JOBS;by Walter Isaacson;,THAT USED TO BE US;by Thomas L. Friedman and Michael Mandelbaum;,BEHIND THE BEAUTIFUL FOREVERS;by Katherine Boo;
