,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,Hardcover Nonfiction,Paperback Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series
1,PLUM SPOOKY;by Janet Evanovich;3 weeks on the list,THE SHACK;by William P. Young;36 weeks on the list,,OUTLIERS;by Malcolm Gladwell;10 weeks on the list,DREAMS FROM MY FATHER;by Barack Obama;132 weeks on the list,THE LAST LECTURE;by Randy Pausch with Jeffrey Zaslow;42 weeks on the list,SUZE ORMAN’S 2009 ACTION PLAN;by Suze Orman;4 weeks on the list,ONE FALSE NOTE;by Gordon Korman;8 weeks on the list,THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;New this week,"BARACK OBAMA: SON OF PROMISE, CHILD OF HOPE;by Nikki Grimes. Illustrated by Bryan Collier;15 weeks on the list",THE TWILIGHT SAGA;by Stephenie Meyer;77 weeks on the list
2,THE HOST;by Stephenie Meyer;37 weeks on the list,SUNDAYS AT TIFFANY’S;by James Patterson and Gabrielle Charbonnet;3 weeks on the list,,GUILTY;by Ann Coulter;3 weeks on the list,THE AUDACITY OF HOPE;by Barack Obama;57 weeks on the list,WHAT’S AGE GOT TO DO WITH IT?;by Robin McGraw;3 weeks on the list,BROKEN OPEN;by Elizabeth Lesser;2 weeks on the list,3 WILLOWS;by Ann Brashares;2 weeks on the list,THE TALE OF DESPEREAUX;by Kate DiCamillo. Illustrated by Timothy Basil Ering;52 weeks on the list,LISTEN TO THE WIND: THE STORY OF DR. GREG AND THREE CUPS OF TEA;by Greg Mortenson and Susan L. Roth;New this week,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;2 weeks on the list
3,THE STORY OF EDGAR SAWTELLE;by David Wroblewski;33 weeks on the list,THE READER;by Bernhard Schlink;8 weeks on the list,,DEWEY;by Vicki Myron with Bret Witter;19 weeks on the list,TEAM OF RIVALS;by Doris Kearns Goodwin;26 weeks on the list,FLAT BELLY DIET!;by Liz Vaccariello and Cynthia Sass;10 weeks on the list,HE’S JUST NOT THAT INTO YOU;by Greg Behr­endt and Liz Tuccillo;3 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;20 weeks on the list,BARACK OBAMA;by Roberta Edwards. Illustrated by Ken Call;3 weeks on the list,CHANGE HAS COME;with words by Barack Obama. Illustrated by Kadir Nelson.;2 weeks on the list,INKHEART;by Cornelia Funke;18 weeks on the list
4,AGINCOURT;by Bernard Cornwell;New this week,REVOLUTIONARY ROAD;by Richard Yates;8 weeks on the list,,WHY WE SUCK;by Denis Leary;10 weeks on the list,THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;104 weeks on the list,THE SECRET;by Rhonda Byrne;107 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;395 weeks on the list,THE MAZE OF BONES;by Rick Riordan;20 weeks on the list,THE BOOK THIEF;by Markus Zusak;72 weeks on the list,WABI SABI;by Mark Reibstein. Illustrated by Ed Young;6 weeks on the list,HARRY POTTER;by J.K. Rowling;208 weeks on the list
5,BLACK OPS;by W. E. B. Griffin;4 weeks on the list,PEOPLE OF THE BOOK;by Geraldine Brooks;4 weeks on the list,,AMERICAN LION;by Jon Meacham;11 weeks on the list,MARLEY AND ME;by John Grogan;46 weeks on the list,HIGH VOLTAGE TATTOO;by Kat Von D;New this week,THE LOVE DARE;by Stephen Kendrick and Alex Kendrick with Lawrence Kimbrough;18 weeks on the list,THE GRAVEYARD BOOK;by Neil Gaiman. Illustrated by Dave McKean;17 weeks on the list,HOTEL FOR DOGS;by Erica David;New this week,SWING!;written and illustrated by Rufus Butler Seder;15 weeks on the list,HOUSE OF NIGHT;by P.C. Cast and Kristin Cast;22 weeks on the list
6,SCARPETTA;by Patricia Cornwell;8 weeks on the list,A THOUSAND SPLENDID SUNS;by Khaled Hosseini;9 weeks on the list,,"MULTIPLE BLESSINGS;by Jon Gosselin, Kate Gosselin and Beth Carson;14 weeks on the list",THE MIDDLE PLACE;by Kelly Corrigan;5 weeks on the list,BAREFOOT CONTESSA BACK TO BASICS;by Ina Garten;13 weeks on the list,TWILIGHT;by Mark Cotta Vaz;15 weeks on the list,THIRTEEN REASONS WHY;by Jay Asher;14 weeks on the list,CORALINE;by Neil Gaiman. Illustrated by Dave McKean;2 weeks on the list,GALLOP!;written and illustrated by Rufus Butler Seder;63 weeks on the list,INHERITANCE;by Christopher Paolini;19 weeks on the list
7,MOUNTING FEARS;by Stuart Woods;2 weeks on the list,FIREFLY LANE;by Kristin Hannah;3 weeks on the list,,THE AMERICAN JOURNEY OF BARACK OBAMA;by the editors of Life magazine;11 weeks on the list,I HOPE THEY SERVE BEER IN HELL;by Tucker Max;69 weeks on the list,THE GREAT DEPRESSION AHEAD;by Harry S. Dent Jr;2 weeks on the list,THE BIGGEST LOSER FAMILY COOKBOOK;by Devin Alexander and The Biggest Loser Experts and Cast with Melissa Roberson;4 weeks on the list,THIRTY DAYS HAS SEPTEMBER: COOL WAYS TO REMEMBER STUFF;by Chris Stevens;New this week,THE BOY IN THE STRIPED PAJAMAS;by John Boyne;12 weeks on the list,BARACK;by Jonah Winter. Illustrated by Ag Ford;3 weeks on the list,NIGHT WORLD;by L. J. Smith;8 weeks on the list
8,THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY;by Mary Ann Shaffer and Annie Barrows;19 weeks on the list,STILL ALICE;by Lisa Genova;3 weeks on the list,,THE AUDACITY OF HOPE;by Barack Obama;35 weeks on the list,TIPPING POINT;by Malcolm Gladwell;225 weeks on the list,FOOD MATTERS;by Mark Bittman;New this week,SKINNY BITCH;by Kim Barnouin;81 weeks on the list,IDENTICAL;by Ellen Hopkins;13 weeks on the list,TWEAK;by Nic Sheff;3 weeks on the list,NAKED MOLE RAT GETS DRESSED;written and illustrated by Mo Willems;3 weeks on the list,VAMPIRE ACADEMY;by Richelle Mead;6 weeks on the list
9,CROSS COUNTRY;by James Patterson;10 weeks on the list,THE APPEAL;by John Grisham;10 weeks on the list,,DREAMS FROM MY FATHER;by Barack Obama;4 weeks on the list,"EAT, PRAY, LOVE;by Elizabeth Gilbert;105 weeks on the list",THE ULTRAMIND SOLUTION;by Mark Hyman;3 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;78 weeks on the list,"BURNING UP;by Joe, Kevin and Nick Jonas;10 weeks on the list",MICHELLE OBAMA: AN AMERICAN STORY;by David Colbert;New this week,TEN LITTLE FINGERS AND TEN LITTLE TOES;by Mem Fox. Illustrated by Helen Oxenbury;14 weeks on the list,MAGIC TREE HOUSE;by Mary Pope Osborne. Illustrated by Sal Murdocca;203 weeks on the list
10,THE HOUR I FIRST BELIEVED;by Wally Lamb;11 weeks on the list,THE BRIEF WONDROUS LIFE OF OSCAR WAO;by Junot Díaz;21 weeks on the list,,TOO FAT TO FISH;by Artie Lange with Anthony Bozza;11 weeks on the list,90 MINUTES IN HEAVEN;by Don Piper with Cecil Murphey;118 weeks on the list,STRENGTHS-BASED LEADERSHIP;by Tom Rath and Barry Conchie;New this week,THE PURPOSE-DRIVEN LIFE;by Rick Warren;40 weeks on the list,WE ARE THE SHIP;by Kadir Nelson;3 weeks on the list,,BIG WORDS FOR LITTLE PEOPLE;by Jamie Lee Curtis. Illustrated by Laura Cornell;20 weeks on the list,BLUE BLOODS;by Melissa de la Cruz;6 weeks on the list
