,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Hardcover & Paperback Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Combined Hardcover & Paperback Nonfiction,Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series,Hardcover Business Books,Paperback Business Books,Politics and American History
1,HOME FRONT;by Kristin Hannah;New this week,HOME FRONT;by Kristin Hannah;New this week,NIGHT ROAD;by Kristin Hannah;5 weeks on the list,,,NIGHT ROAD;by Kristin Hannah;,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;54 weeks on the list,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;5 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;64 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;54 weeks on the list,THE END OF ILLNESS;by David B. Agus with Kristin Loberg;3 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;236 weeks on the list,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;,"BATMAN & ROBIN: DARK KNIGHT, WHITE KNIGHT;by  Various;New this week","THE WALKING DEAD, VOL. 15;by Robert Kirkman and Charlie Adlard;6 weeks on the list","FAIRY TAIL, VOL. 17;by Hiro Mashima;New this week",THE FAULT IN OUR STARS;by John Green;4 weeks on the list,THE BOOK THIEF;by Markus Zusak;230 weeks on the list,I WANT MY HAT BACK;by Jon Klassen;11 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;76 weeks on the list,STEVE JOBS;by Walter Isaacson;,OUTLIERS;by Malcolm Gladwell;,AMERITOPIA;by Mark R. Levin;
2,THE CAPTURE OF THE EARL OF GLENCRAE;by Stephanie Laurens;New this week,PRIVATE: #1 SUSPECT;by James Patterson and Maxine Paetro;5 weeks on the list,THE HELP;by Kathryn Stockett;44 weeks on the list,,,THE HELP;by Kathryn Stockett;,STEVE JOBS;by Walter Isaacson;15 weeks on the list,AMERITOPIA;by Mark R. Levin;3 weeks on the list,BOSSYPANTS;by Tina Fey;5 weeks on the list,STEVE JOBS;by Walter Isaacson;15 weeks on the list,THE 17 DAY DIET;by Mike Moreno;42 weeks on the list,"CUPCAKES, COOKIES AND PIE, OH, MY!;by Karen Tack and Alan Richardson;New this week",AMERITOPIA;by Mark R. Levin;,"BATMAN: THE DARK KNIGHT, VOL. 1;by David Finch;4 weeks on the list","SWEET TOOTH, VOL. 4;by  Jeff Lemire;New this week","NEGIMA! MAGISTER NEGI MAGI, VOL. 33;by Ken Akamatsu;New this week",THE INVENTION OF HUGO CABRET;by Brian Selznick;99 weeks on the list,WAR HORSE;by Michael Morpurgo;13 weeks on the list,A BALL FOR DAISY;by Chris Raschka;2 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;160 weeks on the list,TAKING PEOPLE WITH YOU;by David Novak;,MONEYBALL;by Michael Lewis;,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;
3,EXTREMELY LOUD AND INCREDIBLY CLOSE;by Jonathan Safran Foer;5 weeks on the list,TAKEN;by Robert Crais;2 weeks on the list,EXTREMELY LOUD AND INCREDIBLY CLOSE;by Jonathan Safran Foer;7 weeks on the list,,,THE GIRL WITH THE DRAGON TATTOO;by Stieg Larsson;,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;5 weeks on the list,STEVE JOBS;by Walter Isaacson;15 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;48 weeks on the list,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;5 weeks on the list,DELICIOUSLY G-FREE;by Elisabeth Hasselbeck;4 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;547 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;,FEAR ITSELF;by Matt Fraction and Stuart Immonen;3 weeks on the list,"MAUS: A SURVIVOR’S TALE, VOL. 1;by Art Spiegelman;20 weeks on the list","SAILOR MOON, VOL. 3;by Naoko Takeuchi;3 weeks on the list",MISS PEREGRINE'S HOME FOR PECULIAR CHILDREN;by Ransom Riggs and Cassandra Jean;35 weeks on the list,THIRTEEN REASONS WHY;by Jay Asher;34 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;18 weeks on the list",INHERITANCE;by Christopher Paolini;34 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;",MONEY CLASS;by Suze Orman;,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;
4,THE SUMMER GARDEN;by Sherryl Woods;New this week,DEFENDING JACOB;by William Landay;New this week,THE TIGER'S WIFE;by Téa Obreht;14 weeks on the list,,,THE CAPTURE OF THE EARL OF GLENCRAE;by Stephanie Laurens;,AMERITOPIA;by Mark R. Levin;3 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;19 weeks on the list,UNLIKELY FRIENDSHIPS;by Jennifer Holland;29 weeks on the list,UNBROKEN;by Laura Hillenbrand;54 weeks on the list,ONE THOUSAND GIFTS;by Ann Voskamp;9 weeks on the list,THE HAPPINESS PROJECT;by Gretchen Rubin;48 weeks on the list,STEVE JOBS;by Walter Isaacson;,THE DARK CRYSTAL;by Brian Holguin and Alex Sheikman;2 weeks on the list,WATCHMEN;by Alan Moore and Dave Gibbons;106 weeks on the list,"DURARARA!!, VOL. 1;by Ryohgo Narita and Akiyo Satorigi;2 weeks on the list",THE SON OF NEPTUNE;by Rick Riordan;18 weeks on the list,THE GENIUS FILES: MISSION UNSTOPPABLE;by Dan Gutman;2 weeks on the list,GRANDPA GREEN;by Lane Smith;2 weeks on the list,HOUSE OF NIGHT;by P.C. Cast and Kristin Cast;140 weeks on the list,PSYCHOLOGY OF WEALTH;by Charles Richards;,TIPPING POINT;by Malcolm Gladwell;,UNBROKEN;by Laura Hillenbrand;
5,THE HELP;by Kathryn Stockett;51 weeks on the list,DEATH COMES TO PEMBERLEY;by P. D. James;9 weeks on the list,THE GIRL WITH THE DRAGON TATTOO;by Stieg Larsson;137 weeks on the list,,,THE GIRL WHO PLAYED WITH FIRE;by Stieg Larsson;,QUIET;by Susan Cain;2 weeks on the list,QUIET;by Susan Cain;2 weeks on the list,OUTLIERS;by Malcolm Gladwell;35 weeks on the list,QUIET;by Susan Cain;2 weeks on the list,EVERY DAY A FRIDAY;by Joel Osteen;18 weeks on the list,TAMING YOUR ALPHA BITCH;by Rebecca Grado and Christy Whitman;New this week,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;,BATMAN: THROUGH THE LOOKING GLASS;by Bruce Jones and Sam Keith;3 weeks on the list,THE SILENCE OF OUR FRIENDS;by Mark Long and Jim Demonakos;2 weeks on the list,"BLACK BUTLER, VOL. 8;by Yana Toboso;2 weeks on the list",THE LEGO IDEAS BOOK;by Daniel Lipkowitz;14 weeks on the list,SWITCHED;by Amanda Hocking;5 weeks on the list,HEAVEN IS FOR REAL FOR KIDS;by Todd and Sonja Burpo. Illustrated by Wilson Ong;15 weeks on the list,MAGIC TREE HOUSE;by Mary Pope Osborne. Illustrated by Sal Murdocca;257 weeks on the list,BOOMERANG;by Michael Lewis;,THE BIG SHORT;by Michael Lewis;,CATHERINE THE GREAT;by Robert K. Massie;
6,PRIVATE: #1 SUSPECT;by James Patterson and Maxine Paetro;5 weeks on the list,11/22/63;by Stephen King;13 weeks on the list,LETHAL;by Sandra Brown;2 weeks on the list,,,EXTREMELY LOUD AND INCREDIBLY CLOSE;by Jonathan Safran Foer;,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;19 weeks on the list,UNBROKEN;by Laura Hillenbrand;64 weeks on the list,THE NEW JIM CROW;by Michelle Alexander;3 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;19 weeks on the list,THE WORLD OF DOWNTON ABBEY;by Jessica Fellowes;New this week,CRAZY LOVE;by Francis Chan with Danae Yankoski;66 weeks on the list,QUIET;by Susan Cain;,BATMAN: THE BLACK MIRROR;by Scott Snyder and Jock;7 weeks on the list,"TWILIGHT, VOL. 1;by Stephenie Meyer;2 weeks on the list","NARUTO, VOL. 54;by Masashi Kishimoto;5 weeks on the list",DEAD END IN NORVELT;by Jack Gantos;2 weeks on the list,"THE RED PYRAMID: THE KANE CHRONICLES, BOOK ONE;by Rick Riordan and Orpheus Collar;25 weeks on the list",PLANT A KISS;by Amy Krouse Rosenthal. Illustrated by Peter H. Reynolds;New this week,FALLEN;by Lauren Kate;10 weeks on the list,GREAT BY CHOICE;by Jim Collins and Morten T. Hansen;,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;,IN THE GARDEN OF BEASTS;by Erik Larson;
7,DEFENDING JACOB;by William Landay;New this week,THE GIRL WHO KICKED THE HORNET’S NEST;by Stieg Larsson;77 weeks on the list,THE GIRL WHO PLAYED WITH FIRE;by Stieg Larsson;87 weeks on the list,,,HOME FRONT;by Kristin Hannah;,UNBROKEN;by Laura Hillenbrand;54 weeks on the list,THROUGH MY EYES;by Tim Tebow with Nathan Whitaker;22 weeks on the list,LADY ALMINA AND THE REAL DOWNTON ABBEY;by The Countess of Carnarvon;3 weeks on the list,BOSSYPANTS;by Tina Fey;44 weeks on the list,GREAT BY CHOICE;by Jim Collins and Morten T. Hansen;8 weeks on the list,FORKS OVER KNIVES;edited by Gene Stone;23 weeks on the list,BOSSYPANTS;by Tina Fey;,HABIBI;by Craig Thompson;18 weeks on the list,"INVINCIBLE, VOL. 15;by Robert Kirkman and Ryan Ottley;New this week","HIGHSCHOOL OF THE DEAD, VOL. 5;by Daisuke Sato and Shouji Sato;2 weeks on the list",THROUGH MY EYES;by Tim Tebow with Nathan Whitaker;5 weeks on the list,CLOCKWORK ANGEL;by Cassandra Clare;18 weeks on the list,IF YOU GIVE A DOG A DONUT;by Laura Numeroff. Illustrated by Felicia Bond;18 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;237 weeks on the list,GREEDY BASTARDS;by Dylan Ratigan;,4 ESSENTIALS OF ENTREPRENEURIAL THINKING;by Cliff Michaels;,THE OBAMAS;by Jodi Kantor;
8,THE GIRL WITH THE DRAGON TATTOO;by Stieg Larsson;25 weeks on the list,BELIEVING THE LIE;by Elizabeth George;4 weeks on the list,10TH ANNIVERSARY;by James Patterson and Maxine Paetro;4 weeks on the list,,,THE SUMMER GARDEN;by Sherryl Woods;,BOSSYPANTS;by Tina Fey;35 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;15 weeks on the list",THE DEVIL IN THE WHITE CITY;by Erik Larson;202 weeks on the list,CATHERINE THE GREAT;by Robert K. Massie;13 weeks on the list,GO THE -- TO SLEEP;by Adam Mansbach. Illustrated by Ricardo Cortés;33 weeks on the list,THE RESOLUTION FOR MEN;by Stephen and Alex Kendrick with Randy Alcorn;7 weeks on the list,UNBROKEN;by Laura Hillenbrand;,SPIDER-MAN: SPIDER-ISLAND;by Dan Slott and others;2 weeks on the list,"THE UNWRITTEN, VOL. 5;by Mike Carey and Peter Gross;2 weeks on the list","PANDORA HEARTS, VOL. 8;by Jun Mochizuki;2 weeks on the list",THE LOST HERO;by Rick Riordan;65 weeks on the list,MATCHED;by Ally Condie;20 weeks on the list,THE BIPPOLO SEED AND OTHER LOST STORIES;by Dr. Seuss;16 weeks on the list,BIG NATE;written and illustrated by Lincoln Peirce;46 weeks on the list,EMOTIONAL EQUATIONS;by Chip Conley;,DRIVE;by Daniel H. Pink;,HOW DO YOU KILL 11 MILLION PEOPLE?;by Andy Andrews;
9,THE GIRL WHO PLAYED WITH FIRE;by Stieg Larsson;17 weeks on the list,RAYLAN;by Elmore Leonard;3 weeks on the list,TINKER TAILOR SOLDIER SPY;by John le Carré;6 weeks on the list,,,PRIVATE: #1 SUSPECT;by James Patterson and Maxine Paetro;,COMING APART;by Charles Murray;New this week,COMING APART;by Charles Murray;New this week,MONEYBALL;by Michael Lewis;41 weeks on the list,COMING APART;by Charles Murray;New this week,WHEAT BELLY;by William Davis;4 weeks on the list,THE RESOLUTION FOR WOMEN;by Priscilla Shirer;3 weeks on the list,THROUGH MY EYES;by Tim Tebow with Nathan Whitaker;,ANNOTATED SANDMAN VOL. 1;by Leslie S. Klinger;3 weeks on the list,"B. P. R. D. HELL ON EARTH, VOL. 2;by Mike Mignola and others;2 weeks on the list","ROSARIO+VAMPIRE SEASON II, VOL. 7;by Akihisa Ikeda;5 weeks on the list",WONDERSTRUCK;by Brian Selznick;21 weeks on the list,I AM NUMBER FOUR;by Pittacus Lore;24 weeks on the list,"LOVE, SPLAT;written and illustrated by Rob Scotton;3 weeks on the list",BAD KITTY;by Nick Bruel;3 weeks on the list,ENTRELEADERSHIP;by Dave Ramsey;,THE CHECKLIST MANIFESTO;by Atul Gawande;,ELIZABETH THE QUEEN;by Sally Bedell Smith;
10,THE GIRL WHO KICKED THE HORNET’S NEST;by Stieg Larsson;24 weeks on the list,THE LITIGATORS;by John Grisham;15 weeks on the list,THE HARBINGER;by Jonathan Cahn;5 weeks on the list,,,BONNIE;by Iris Johansen;,FAIRY TALE INTERRUPTED;by RoseMarie Terenzio;2 weeks on the list,FAIRY TALE INTERRUPTED;by RoseMarie Terenzio;2 weeks on the list,BORN TO RUN;by Christopher McDougall;45 weeks on the list,FAIRY TALE INTERRUPTED;by RoseMarie Terenzio;2 weeks on the list,WEIGHT WATCHERS ONE POT COOKBOOK;by the Weight Watchers staff;3 weeks on the list,EAT TO LIVE;by Joel Fuhrman;33 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;",BATMAN: NOEL;by Lee Bermejo;11 weeks on the list,BATMAN: THE RETURN OF BRUCE WAYNE;by Grant Morrison and others;3 weeks on the list,"NARUTO, VOL. 53;by Masashi Kishimoto;9 weeks on the list",INSIDE OUT AND BACK AGAIN;by Thanhha Lai;New this week,BEFORE I FALL;by Lauren Oliver;6 weeks on the list,ME ... JANE;by Patrick McDonnell;10 weeks on the list,THE MAZE RUNNER;by James Dashner;8 weeks on the list,STRENGTHS-BASED LEADERSHIP;by Tom Rath and Barry Conchie;,CLARK HOWARD'S LIVING LARGE IN LEAN TIMES;by Clark Howard;,JACK KENNEDY;by Chris Matthews;
