,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Hardcover & Paperback Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Combined Hardcover & Paperback Nonfiction,Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series
1,TICK TOCK;by James Patterson and Michael Ledwidge;3 weeks on the list,TICK TOCK;by James Patterson and Michael Ledwidge;3 weeks on the list,WATER FOR ELEPHANTS;by Sara Gruen;107 weeks on the list,,,TICK TOCK;by James Patterson and Michael Ledwidge;,UNBROKEN;by Laura Hillenbrand;3 weeks on the list,KNOWN AND UNKNOWN;by Donald Rumsfeld;New this week,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;13 weeks on the list,UNBROKEN;by Laura Hillenbrand;3 weeks on the list,THE 4-HOUR BODY;by Timothy Ferriss;9 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;185 weeks on the list,KNOWN AND UNKNOWN;by Donald Rumsfeld;,BATMAN: THE RETURN OF BRUCE WAYNE;by Grant Morrison and various;New this week,DAYTRIPPER;by Fabio Moon and Gabriel Ba;New this week,"NARUTO, VOL. 50;by Masashi Kishimoto;2 weeks on the list",I AM NUMBER FOUR;by Pittacus Lore;10 weeks on the list,THE BOOK THIEF;by Markus Zusak;179 weeks on the list,SILVERLICIOUS;written and illustrated by Victoria Kann;2 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;25 weeks on the list
2,ALONE;by Lisa Gardner;New this week,A DISCOVERY OF WITCHES;by Deborah Harkness;New this week,CUTTING FOR STONE;by Abraham Verghese;55 weeks on the list,,,THE GIRL WITH THE DRAGON TATTOO;by Stieg Larsson;,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;3 weeks on the list,UNBROKEN;by Laura Hillenbrand;13 weeks on the list,INSIDE OF A DOG;by Alexandra Horowitz;19 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;3 weeks on the list,VEGANIST;by Kathy Freston;2 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;498 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;,SUPERMAN: WAR OF THE SUPERMEN;by James Robinson and Sterling Gates;New this week,SCOTT PILGRIM: PRECIOUS LITTLE LIFE;by Bryan Lee O’Malley;49 weeks on the list,"BLACK BIRD, VOL. 7;by Kanoko Sakurakoji;2 weeks on the list",THE LOST HERO;by Rick Riordan;18 weeks on the list,FALLEN;by Lauren Kate;20 weeks on the list,A SICK DAY FOR AMOS McGEE;by Philip C. Stead. Illustrated by Erin E. Stead;5 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;109 weeks on the list
3,THE GIRL WITH THE DRAGON TATTOO;by Stieg Larsson;3 weeks on the list,THE GIRL WHO KICKED THE HORNET’S NEST;by Stieg Larsson;38 weeks on the list,THE GIRL WITH THE DRAGON TATTOO;by Stieg Larsson;86 weeks on the list,,,A DISCOVERY OF WITCHES;by Deborah Harkness;,KNOWN AND UNKNOWN;by Donald Rumsfeld;New this week,CLEOPATRA;by Stacy Schiff;15 weeks on the list,THE BIG SHORT;by Michael Lewis;2 weeks on the list,KNOWN AND UNKNOWN;by Donald Rumsfeld;New this week,THE INVESTMENT ANSWER;by Daniel C. Goldie and Gordon S. Murray;4 weeks on the list,CRAZY LOVE;by Francis Chan with Danae Yankoski;17 weeks on the list,UNBROKEN;by Laura Hillenbrand;,"SUPERMAN: EARTH ONE, VOL. 2;by J. Michael Straczynski and Shane Davis;16 weeks on the list","THE WALKING DEAD, VOL. 1;by Robert Kirkman and Tony Moore;65 weeks on the list","BLACK BUTLER, VOL. 4;by Yana Toboso;3 weeks on the list","THE RED PYRAMID: THE KANE CHRONICLES, BOOK ONE;by Rick Riordan and Orpheus Collar;41 weeks on the list",THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;87 weeks on the list,OF THEE I SING;by Barack Obama. Illustrated by Loren Long;13 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;188 weeks on the list
4,A DISCOVERY OF WITCHES;by Deborah Harkness;New this week,THE HELP;by Kathryn Stockett;98 weeks on the list,LITTLE BEE;by Chris Cleave;52 weeks on the list,,,THE GIRL WHO PLAYED WITH FIRE;by Stieg Larsson;,CLEOPATRA;by Stacy Schiff;3 weeks on the list,BATTLE HYMN OF THE TIGER MOTHER;by Amy Chua;5 weeks on the list,COMMITTED;by Elizabeth Gilbert;2 weeks on the list,DECISION POINTS;by George W. Bush;3 weeks on the list,SEXY FOREVER;by Suzanne Somers;6 weeks on the list,THE BOOK OF AWAKENING;by Mark Nepo;6 weeks on the list,INSIDE OF A DOG;by Alexandra Horowitz;,BUFFY THE VAMPIRE SLAYER: TALES;by Joss Whedon and others;3 weeks on the list,SCOTT PILGRIM VS. THE WORLD;by Bryan Lee O’Malley;45 weeks on the list,"BAKUMAN, VOL. 3;by Tsugumi Ohba and Takeshi Obata;2 weeks on the list",MOON OVER MANIFEST;by Clare Vanderpool;5 weeks on the list,BEASTLY;by Alex Flinn;New this week,I BROKE MY TRUNK!;by Mo Willems;New this week,HOUSE OF NIGHT;by P.C. Cast and Kristin Cast;115 weeks on the list
5,THE GIRL WHO KICKED THE HORNET’S NEST;by Stieg Larsson;3 weeks on the list,DEAD OR ALIVE;by Tom Clancy with Grant Blackwood;10 weeks on the list,THE POSTMISTRESS;by Sarah Blake;2 weeks on the list,,,THE GIRL WHO KICKED THE HORNET’S NEST;by Stieg Larsson;,DECISION POINTS;by George W. Bush;3 weeks on the list,DECISION POINTS;by George W. Bush;14 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;206 weeks on the list,_____ MY DAD SAYS;by Justin Halpern;3 weeks on the list,WEIGHT WATCHERS NEW COMPLETE COOKBOOK;by the Weight Watchers staff;New this week,MADE TO CRAVE;by Lysa TerKeurst;5 weeks on the list,CLEOPATRA;by Stacy Schiff;,"THE WALKING DEAD, BOOK 1;by Robert Kirkman, Tony Moore and Charlie Adlard;21 weeks on the list",SCOTT PILGRIM AND THE INFINITE SADNESS;by Bryan Lee O’Malley;37 weeks on the list,"FULLMETAL ALCHEMIST, VOL. 24;by Hiromu Arakawa;4 weeks on the list",WITCH AND WIZARD;by James Patterson and Gabrielle Charbonnet;9 weeks on the list,WITCH AND WIZARD;by James Patterson and Gabrielle Charbonnet;15 weeks on the list,INTERRUPTING CHICKEN;written and illustrated by David Ezra Stein;4 weeks on the list,MAGIC TREE HOUSE;by Mary Pope Osborne. Illustrated by Sal Murdocca;238 weeks on the list
6,THE GIRL WHO PLAYED WITH FIRE;by Stieg Larsson;3 weeks on the list,THE SECRET SOLDIER;by Alex Berenson;New this week,THE GIRL WHO PLAYED WITH FIRE;by Stieg Larsson;47 weeks on the list,,,WATER FOR ELEPHANTS;by Sara Gruen;,BATTLE HYMN OF THE TIGER MOTHER;by Amy Chua;3 weeks on the list,I BEAT THE ODDS;by Michael Oher with Don Yaeger;New this week,WHAT THE DOG SAW;by Malcolm Gladwell;9 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;3 weeks on the list,4-HOUR WORKWEEK;by Timothy Ferriss;80 weeks on the list,RADICAL;by David Platt;36 weeks on the list,BATTLE HYMN OF THE TIGER MOTHER;by Amy Chua;,DARK TOWER: TREACHERY;by Robin Furth and Peter David;New this week,SCOTT PILGRIM: GETS IT TOGETHER;by Bryan Lee O’Malley;41 weeks on the list,"HETALIA AXIS POWERS, VOL. 2;by Hidekaz Himaruya;7 weeks on the list",DELIRIUM;by Lauren Oliver;2 weeks on the list,RED RIDING HOOD;by Sarah Blakley-Cartwright;3 weeks on the list,LEGO STAR WARS;by Simon Beecroft;60 weeks on the list,THE TWILIGHT SAGA;by Stephenie Meyer;184 weeks on the list
7,WATER FOR ELEPHANTS;by Sara Gruen;3 weeks on the list,THE INNER CIRCLE;by Brad Meltzer;5 weeks on the list,TRUE GRIT;by Charles Portis;9 weeks on the list,,,CUTTING FOR STONE;by Abraham Verghese;,I BEAT THE ODDS;by Michael Oher with Don Yaeger;New this week,THE PIONEER WOMAN;by Ree Drummond;2 weeks on the list,JUST KIDS;by Patti Smith;15 weeks on the list,I BEAT THE ODDS;by Michael Oher with Don Yaeger;New this week,THE LEAN BELLY PRESCRIPTION;by Travis Stork and Peter Moore;2 weeks on the list,"THE NEW ATKINS FOR A NEW YOU;by Eric C. Westman, Stephen D. Phinney and Jeff S. Volek;22 weeks on the list",DECISION POINTS;by George W. Bush;,"BRIGHTEST DAY, VOL. 1;by Geoff Johns and Peter Tomasi;10 weeks on the list",SCOTT PILGRIM’S FINEST HOUR;by Bryan Lee O’Malley;30 weeks on the list,"D. GRAY-MAN, VOL. 20;by Katsura Hoshino;2 weeks on the list",HEART OF A SAMURAI;by Margi Preus;New this week,WHEN YOU REACH ME;by Rebecca Stead;7 weeks on the list,"LOVE, SPLAT;written and illustrated by Rob Scotton;2 weeks on the list",PRETTY LITTLE LIARS;by Sara Shepard;37 weeks on the list
8,CUTTING FOR STONE;by Abraham Verghese;3 weeks on the list,THE CONFESSION;by John Grisham;16 weeks on the list,WINTER GARDEN;by Kristin Hannah;6 weeks on the list,,,SWIMSUIT;by James Patterson and Maxine Paetro;,INSIDE OF A DOG;by Alexandra Horowitz;3 weeks on the list,THE HIDDEN REALITY;by Brian Greene;3 weeks on the list,THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;211 weeks on the list,90 MINUTES IN HEAVEN;by Don Piper with Cecil Murphey;3 weeks on the list,"STRAIGHT TALK, NO CHASER;by Steve Harvey with Denene Millner;8 weeks on the list",MR. SUNDAY’S SOUP;by Lorraine Wallace;New this week,THE BIG SHORT;by Michael Lewis;,BLACKEST NIGHT;by Geoff Johns and Ivan Reis;23 weeks on the list,SCOTT PILGRIM VS. THE UNIVERSE;by Bryan Lee O’Malley;43 weeks on the list,"VAMPIRE KNIGHT, VOL. 11;by Matsuri Hino;10 weeks on the list",TIGER’S CURSE;by Colleen Houck;3 weeks on the list,THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;100 weeks on the list,DARK EMPEROR AND OTHER POEMS OF THE NIGHT;by Joyce Sidman. Illustrated by Rick Allen;2 weeks on the list,FABLEHAVEN;by Brandon Mull;13 weeks on the list
9,THE HELP;by Kathryn Stockett;3 weeks on the list,A RED HERRING WITHOUT MUSTARD;by Alan Bradley;New this week,THE ART OF RACING IN THE RAIN;by Garth Stein;88 weeks on the list,,,LITTLE BEE;by Chris Cleave;,THE BIG SHORT;by Michael Lewis;3 weeks on the list,"AUTOBIOGRAPHY OF MARK TWAIN, VOL. 1;by Mark Twain;17 weeks on the list",BLINK;by Malcolm Gladwell;174 weeks on the list,CLEOPATRA;by Stacy Schiff;3 weeks on the list,THE 7;by Glenn Beck and Keith Ablow;6 weeks on the list,THE LOVE DARE;by Stephen Kendrick and Alex Kendrick with Lawrence Kimbrough;114 weeks on the list,I BEAT THE ODDS;by Michael Oher with Don Yaeger;,"THE WALKING DEAD, BOOK 2;by Robert Kirkman and Charlie Adlard;New this week","THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;17 weeks on the list","HETALIA AXIS POWERS, VOL. 1;by Hidekaz Himaruya;20 weeks on the list",MATCHED;by Ally Condie;11 weeks on the list,INCARCERON;by Catherine Fisher;New this week,WHEN I GROW UP;by Al Yankovic. Illustrated by Wes Hargis;2 weeks on the list,VAMPIRE ACADEMY;by Richelle Mead;44 weeks on the list
10,THE CONFESSION;by John Grisham;3 weeks on the list,ROOM;by Emma Donoghue;14 weeks on the list,THE IMPERFECTIONISTS;by Tom Rachman;6 weeks on the list,,,THE POSTMISTRESS;by Sarah Blake;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;3 weeks on the list,IN THE BLINK OF AN EYE;by Michael Waltrip and Ellis Henican;2 weeks on the list,"EAT, PRAY, LOVE;by Elizabeth Gilbert;210 weeks on the list",BATTLE HYMN OF THE TIGER MOTHER;by Amy Chua;3 weeks on the list,BAREFOOT CONTESSA: HOW EASY IS THAT?;by Ina Garten;14 weeks on the list,"EAT THIS, NOT THAT! 2011;David Zinczenko with Matt Goulding;17 weeks on the list",THE PIONEER WOMAN;by Ree Drummond;,THE EXILE: AN OUTLANDER GRAPHIC NOVEL;by Diana Gabaldon and Hoang Nguyen;18 weeks on the list,"THE WALKING DEAD, VOL. 13;by Robert Kirkman and Charlie Adlard;11 weeks on the list","ONE PIECE, VOL. 56;by Eiichiro Oda;New this week",TORMENT;by Lauren Kate;16 weeks on the list,"HUSH, HUSH;by Becca Fitzpatrick;20 weeks on the list","WHEREVER YOU ARE, MY LOVE WILL FIND YOU;written and illustrated by Nancy Tillman;14 weeks on the list",HARRY POTTER;by J.K. Rowling;246 weeks on the list
