,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Business,Science,Sports and Fitness
1,THE ROOSTER BAR;by John Grisham;8 weeks on the list,THE ROOSTER BAR;by John Grisham;8 weeks on the list,THE SUN AND HER FLOWERS;by Rupi Kaur;11 weeks on the list,LEONARDO DA VINCI;by Walter Isaacson;9 weeks on the list,LEONARDO DA VINCI;by Walter Isaacson;9 weeks on the list,ALEXANDER HAMILTON;by Ron Chernow;91 weeks on the list,THE PIONEER WOMAN COOKS: COME AND GET IT!;by Ree Drummond;8 weeks on the list,WONDER;by R.J. Palacio;123 weeks on the list,THE NIGHT BEFORE CHRISTMAS;by Clement C. Moore. Various illustrators;76 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;457 weeks on the list,TURTLES ALL THE WAY DOWN;by John Green;10 weeks on the list,CAPITAL GAINES;by Chip Gaines;,LEONARDO DA VINCI;by Walter Isaacson;,TB12 METHOD;by Tom Brady;
2,ORIGIN;by Dan Brown;11 weeks on the list,ORIGIN;by Dan Brown;11 weeks on the list,MILK AND HONEY;by Rupi Kaur;88 weeks on the list,OBAMA;by Pete Souza;6 weeks on the list,OBAMA;by Pete Souza;6 weeks on the list,COLLUSION;by Luke Harding;5 weeks on the list,YOU ARE A BADASS;by Jen Sincero;101 weeks on the list,AUGGIE & ME;by R.J. Palacio;55 weeks on the list,HERE WE ARE;by Oliver Jeffers;5 weeks on the list,HARRY POTTER;by J.K. Rowling;456 weeks on the list,THE HATE U GIVE;by Angie Thomas;42 weeks on the list,TRIBE OF MENTORS;by Timothy Ferriss;,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;,BASKETBALL (AND OTHER THINGS);by Shea Serrano. Illustrated by Arturo Torres;
3,THE SUN AND HER FLOWERS;by Rupi Kaur;11 weeks on the list,THE PEOPLE VS. ALEX CROSS;by James Patterson;4 weeks on the list,DARKER;by E.L. James;3 weeks on the list,"PROMISE ME, DAD;by Joe Biden;5 weeks on the list",GRANT;by Ron Chernow;10 weeks on the list,BEING MORTAL;by Atul Gawande;15 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;53 weeks on the list,WOMEN IN SCIENCE;by Rachel Ignotofsky;49 weeks on the list,HOW TO CATCH AN ELF;by Adam Wallace. Illustrated by Andy Elkerton;6 weeks on the list,DOG MAN;by Dav Pilkey;16 weeks on the list,THE BOOK OF DUST: LA BELLE SAUVAGE;by Philip Pullman;9 weeks on the list,PRINCIPLES;by Ray Dalio;,ENDURANCE;by Scott Kelly;,RELENTLESS;by Julian Edelman with Tom E. Curran;
4,DARKER;by E.L. James;3 weeks on the list,THE MIDNIGHT LINE;by Lee Child;6 weeks on the list,READY PLAYER ONE;by Ernest Cline;37 weeks on the list,GRANT;by Ron Chernow;10 weeks on the list,"PROMISE ME, DAD;by Joe Biden;5 weeks on the list",THE LOST CITY OF THE MONKEY GOD;by Douglas Preston;12 weeks on the list,THE WISDOM OF SUNDAYS;by Oprah Winfrey;9 weeks on the list,GOOD NIGHT STORIES FOR REBEL GIRLS;by Elena Favilli and Francesca Cavallo;25 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;199 weeks on the list,DORK DIARIES;by Rachel Renée Russell;230 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;25 weeks on the list,DISCIPLINE EQUALS FREEDOM;by Jocko Willink;,SAPIENS;by Yuval Noah Harari;,FIERCE;by Aly Raisman;
5,THE PEOPLE VS. ALEX CROSS;by James Patterson;4 weeks on the list,ARTEMIS;by Andy Weir;5 weeks on the list,ALL THE LIGHT WE CANNOT SEE;by Anthony Doerr;37 weeks on the list,ANDREW JACKSON AND THE MIRACLE OF NEW ORLEANS;by Brian Kilmeade and Don Yaeger;8 weeks on the list,ANDREW JACKSON AND THE MIRACLE OF NEW ORLEANS;by Brian Kilmeade and Don Yaeger;8 weeks on the list,ON TYRANNY;by Timothy Snyder;42 weeks on the list,TRIBE OF MENTORS;by Timothy Ferriss;4 weeks on the list,LITTLE LEADERS;by Vashti Harrison;2 weeks on the list,"ROSIE REVERE, ENGINEER;by Andrea Beaty. Illustrated by David Roberts;120 weeks on the list",CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;97 weeks on the list,RENEGADES;by Marissa Meyer;6 weeks on the list,THE UNDOING PROJECT;by Michael Lewis;,THE UNDOING PROJECT;by Michael Lewis;,SHOE DOG;by Phil Knight;
6,THE MIDNIGHT LINE;by Lee Child;6 weeks on the list,YEAR ONE;by Nora Roberts;2 weeks on the list,IT;by Stephen King;18 weeks on the list,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;32 weeks on the list,BOBBY KENNEDY;by Chris Matthews;7 weeks on the list,THE DISASTER ARTIST;by Greg Sestero and Tom Bissell;New this week,CAPITAL GAINES;by Chip Gaines;9 weeks on the list,THE MAGIC MISFITS;by Neil Patrick Harris;4 weeks on the list,EVERYTHING IS MAMA;by Jimmy Fallon. Illustrated by Miguel Ordóñez;10 weeks on the list,MAGNUS CHASE AND THE GODS OF ASGARD;by Rick Riordan;11 weeks on the list,WARCROSS;by Marie Lu;13 weeks on the list,SOAR!;by T.D. Jakes;,END OF ALZHEIMER'S;by Dale Bredesen;,THE BOYS IN THE BOAT;by Daniel James Brown;
7,MILK AND HONEY;by Rupi Kaur;44 weeks on the list,END GAME;by David Baldacci;5 weeks on the list,LILAC GIRLS;by Martha Hall Kelly;41 weeks on the list,BOBBY KENNEDY;by Chris Matthews;7 weeks on the list,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;33 weeks on the list,JUST MERCY;by Bryan Stevenson;85 weeks on the list,MAKE YOUR BED;by William H. McRaven;32 weeks on the list,WISHTREE;by Katherine Applegate. Illustrated by Charles Santoso;12 weeks on the list,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;226 weeks on the list,WHO WAS/IS . . . ?;by Jim Gigliotti and others; various illustrators;32 weeks on the list,WONDER WOMAN: WARBRINGER;by Leigh Bardugo;14 weeks on the list,THANK YOU FOR BEING LATE;by Thomas L. Friedman;,BEING MORTAL;by Atul Gawande;,RUN FAST. EAT SLOW;by Shalane Flanagan and Elyse Kopecky;
8,YEAR ONE;by Nora Roberts;2 weeks on the list,LITTLE FIRES EVERYWHERE;by Celeste Ng;13 weeks on the list,A MAN CALLED OVE;by Fredrik Backman;87 weeks on the list,LET TRUMP BE TRUMP;by Corey R. Lewandowski and David N. Bossie;2 weeks on the list,LET TRUMP BE TRUMP;by Corey R. Lewandowski and David N. Bossie;2 weeks on the list,EVICTED;by Matthew Desmond;15 weeks on the list,PRINCIPLES;by Ray Dalio;11 weeks on the list,MINECRAFT: THE ISLAND;by Max Brooks;20 weeks on the list,SHE PERSISTED;by Chelsea Clinton. Illustrated by Alexandra Boiger;29 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;458 weeks on the list,FAR FROM THE TREE;by Robin Benway;2 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;",QUIET;by Susan Cain;,SHAKEN;by Tim Tebow;
9,END GAME;by David Baldacci;5 weeks on the list,TOM CLANCY POWER AND EMPIRE;by Marc Cameron;3 weeks on the list,THE HANDMAID'S TALE;by Margaret Atwood;43 weeks on the list,KILLING ENGLAND;by Bill O'Reilly and Martin Dugard;13 weeks on the list,KILLING ENGLAND;by Bill O'Reilly and Martin Dugard;13 weeks on the list,THE UNDOING PROJECT;by Michael Lewis;7 weeks on the list,SMITTEN KITCHEN EVERY DAY;by Deb Perelman;5 weeks on the list,THE GIRL WHO DRANK THE MOON;by Kelly Barnhill;36 weeks on the list,"ADA TWIST, SCIENTIST;by Andrea Beaty. Illustrated by David Roberts;44 weeks on the list",MAGIC TREE HOUSE;by Mary Pope Osborne. Illustrated by Sal Murdocca;291 weeks on the list,FIERCE;by Aly Raisman;5 weeks on the list,THE MAGNOLIA STORY;by Chip Gaines and Joanna Gaines with Mark Dagostino;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",THE FIRST MAJOR;by John Feinstein;
10,ARTEMIS;by Andy Weir;5 weeks on the list,SLEEPING BEAUTIES;by Stephen King and Owen King;12 weeks on the list,PACHINKO;by Min Jin Lee;2 weeks on the list,KILLERS OF THE FLOWER MOON;by David Grann;27 weeks on the list,KILLERS OF THE FLOWER MOON;by David Grann;26 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;151 weeks on the list",TB12 METHOD;by Tom Brady;6 weeks on the list,NEVERMOOR: THE TRIALS OF MORRIGAN CROW;by Jessica Townsend;4 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;112 weeks on the list,BIG NATE;written and illustrated by Lincoln Peirce;134 weeks on the list,THE LANGUAGE OF THORNS;by Leigh Bardugo. Illustrated by Sara Kipin;11 weeks on the list,THE SILK ROADS;by Peter Frankopan;,WHY WE SLEEP;by Matthew Walker;,ALI: A LIFE;by Jonathan Eig;
