,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Audio Fiction,Audio Nonfiction,Business,Science,Sports and Fitness
1,WHERE THE CRAWDADS SING;by Delia Owens;19 weeks on the list,WHERE THE CRAWDADS SING;by Delia Owens;20 weeks on the list,THE TATTOOIST OF AUSCHWITZ;by Heather Morris;20 weeks on the list,BECOMING;by Michelle Obama;10 weeks on the list,BECOMING;by Michelle Obama;10 weeks on the list,SAPIENS;by Yuval Noah Harari;36 weeks on the list,"GIRL, WASH YOUR FACE;by Rachel Hollis;41 weeks on the list",WONDER;by R.J. Palacio;180 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;255 weeks on the list,DOG MAN;by Dav Pilkey;73 weeks on the list,THE HATE U GIVE;by Angie Thomas;99 weeks on the list,WHERE THE CRAWDADS SING;by Delia Owens;,BECOMING;by Michelle Obama;,BAD BLOOD;by John Carreyrou;,SAPIENS;by Yuval Noah Harari;,SHOE DOG;by Phil Knight;
2,LIAR LIAR;by James Patterson and Candice Fox;New this week,LIAR LIAR;by James Patterson and Candice Fox;New this week,ELEANOR OLIPHANT IS COMPLETELY FINE;by Gail Honeyman;33 weeks on the list,EDUCATED;by Tara Westover;48 weeks on the list,THE FIRST CONSPIRACY;by Brad Meltzer and Josh Mensch;2 weeks on the list,WHITE FRAGILITY;by Robin DiAngelo;28 weeks on the list,THE LIFE-CHANGING MAGIC OF TIDYING UP;by Marie Kondo;149 weeks on the list,DRAGON PEARL;by Yoon Ha Lee;New this week,LOVE FROM THE VERY HUNGRY CATERPILLAR;by Eric Carle;20 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;514 weeks on the list,"THE FORK, THE WITCH, AND THE WORM;by Christopher Paolini with Angela Paolini;3 weeks on the list",THEN SHE WAS GONE;by Lisa Jewell;,EDUCATED;by Tara Westover;,ATOMIC HABITS;by James Clear;,21 LESSONS FOR THE 21ST CENTURY;by Yuval Noah Harari;,THIS IS THE DAY;by Tim Tebow with A.J. Gregory;
3,THE TATTOOIST OF AUSCHWITZ;by Heather Morris;19 weeks on the list,THE RECKONING;by John Grisham;13 weeks on the list,THE HOUSE NEXT DOOR;by James Patterson;2 weeks on the list,THE FIRST CONSPIRACY;by Brad Meltzer and Josh Mensch;2 weeks on the list,EDUCATED;by Tara Westover;48 weeks on the list,THE INNOCENT MAN;by John Grisham;45 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;110 weeks on the list,WISHTREE;by Katherine Applegate. Illustrated by Charles Santoso;58 weeks on the list,SUPERHEROES ARE EVERYWHERE;by Kamala Harris. Illustrated by Mechal Renee Roe;2 weeks on the list,HARRY POTTER;by J.K. Rowling;513 weeks on the list,THE WICKED KING;by Holly Black;2 weeks on the list,NINE PERFECT STRANGERS;by Liane Moriarty;,SAPIENS;by Yuval Noah Harari;,DARE TO LEAD;by Brené Brown;,BRIEF ANSWERS TO THE BIG QUESTIONS;by Stephen Hawking;,THE MAMBA MENTALITY;by Kobe Bryant;
4,THE RECKONING;by John Grisham;13 weeks on the list,TURNING POINT;by Danielle Steel;2 weeks on the list,A DOG'S WAY HOME;by W. Bruce Cameron;8 weeks on the list,SAPIENS;by Yuval Noah Harari;56 weeks on the list,"THE POINT OF IT ALL;by Charles Krauthammer, edited by Daniel Krauthammer;7 weeks on the list",THE BODY KEEPS THE SCORE;by Bessel van der Kolk;13 weeks on the list,IT'S NOT SUPPOSED TO BE THIS WAY;by Lysa TerKeurst;5 weeks on the list,MAX AND THE MIDKNIGHTS;by Lincoln Peirce;2 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;168 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;154 weeks on the list,THE GILDED WOLVES;by Roshani Chokshi;New this week,THE RECKONING;by John Grisham;,BAD BLOOD;by John Carreyrou;,MAID;by Stephanie Land;,THE BODY KEEPS THE SCORE;by Bessel van der Kolk;,ENDURE;by Alex Hutchinson;
5,TURNING POINT;by Danielle Steel;2 weeks on the list,AN ANONYMOUS GIRL;by Greer Hendricks and Sarah Pekkanen;2 weeks on the list,LESS;by Andrew Sean Greer;35 weeks on the list,FACTFULNESS;by Hans Rosling with Ola Rosling and Anna Rosling Ronnlund;13 weeks on the list,THE TRUTHS WE HOLD;by Kamala Harris;2 weeks on the list,JUST MERCY;by Bryan Stevenson;136 weeks on the list,YOU ARE A BADASS;by Jen Sincero;155 weeks on the list,REFUGEE;by Alan Gratz;41 weeks on the list,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;259 weeks on the list,TO ALL THE BOYS I'VE LOVED BEFORE;by Jenny Han;27 weeks on the list,TWO CAN KEEP A SECRET;by Karen M. McManus;2 weeks on the list,CIRCE;by Madeline Miller;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,LEADERSHIP;by Doris Kearns Goodwin;,BEING MORTAL;by Atul Gawande;,RACING TO THE FINISH;by Dale Earnhardt Jr. with Ryan McGee;
6,AN ANONYMOUS GIRL;by Greer Hendricks and Sarah Pekkanen;2 weeks on the list,FIRE AND BLOOD;by George R.R. Martin;9 weeks on the list,MILK AND HONEY;by Rupi Kaur;145 weeks on the list,BAD BLOOD;by John Carreyrou;24 weeks on the list,21 LESSONS FOR THE 21ST CENTURY;by Yuval Noah Harari;6 weeks on the list,KILLERS OF THE FLOWER MOON;by David Grann;42 weeks on the list,CAN'T HURT ME;by David Goggins;4 weeks on the list,DOG DIARIES;by James Patterson with Steven Butler. Illustrated by Richard Watson;6 weeks on the list,P IS FOR PTERODACTYL;by Raj Haldar and Chris Carpenter. Illustrated by Maria Tina Beddia;7 weeks on the list,WINGS OF FIRE;by Tui T. Sutherland;38 weeks on the list,FIVE FEET APART;by Rachael Lippincott with Mikki Daughtry and Tobias Iaconis;7 weeks on the list,NEVERWHERE;by Neil Gaiman;,BORN A CRIME;by Trevor Noah;,BEST SELF;by Mike Bayer;,HOW TO CHANGE YOUR MIND;by Michael Pollan;,TB12 METHOD;by Tom Brady;
7,DEAL WITH THE DEVIL;by Meghan March;New this week,THE ONLY WOMAN IN THE ROOM;by Marie Benedict;2 weeks on the list,THE WIFE BETWEEN US;by Greer Hendricks and Sarah Pekkanen;11 weeks on the list,AI SUPERPOWERS;by Kai-Fu Lee;2 weeks on the list,HOW TO CHANGE YOUR MIND;by Michael Pollan;15 weeks on the list,BEING MORTAL;by Atul Gawande;69 weeks on the list,SALT FAT ACID HEAT;by Samin Nosrat. Illustrated by Wendy MacNaughton;14 weeks on the list,LOUISIANA'S WAY HOME;by Kate DiCamillo;14 weeks on the list,GRUMPY MONKEY;by Suzanne Lang. Illustrated by Max Lang;6 weeks on the list,DORK DIARIES;by Rachel Renée Russell;275 weeks on the list,WE ARE DISPLACED;by Malala Yousafzai with Liz Welch;2 weeks on the list,VERSES FOR THE DEAD;by Douglas Preston and Lincoln Child;,THE POWER OF HABIT;by Charles Duhigg;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;,THE BIG FELLA;by Jane Leavy;
8,ELEANOR OLIPHANT IS COMPLETELY FINE;by Gail Honeyman;22 weeks on the list,THE NEW IBERIA BLUES;by James Lee Burke;2 weeks on the list,BIRD BOX;by Josh Malerman;2 weeks on the list,THE LIBRARY BOOK;by Susan Orlean;9 weeks on the list,WOMEN ROWING NORTH;by Mary Pipher;New this week,THE POWER OF HABIT;by Charles Duhigg;123 weeks on the list,THE CLEAN PLATE;by Gwyneth Paltrow;2 weeks on the list,WOMEN IN SCIENCE;by Rachel Ignotofsky;81 weeks on the list,PETE THE CAT: VALENTINE'S DAY IS COOL;by James Dean and Kimberly Dean;8 weeks on the list,THE BAD GUYS;by Aaron Blabey;23 weeks on the list,"DEAR EVAN HANSEN: THE NOVEL;by Val Emmich with Steven Levenson, Benj Pasek & Justin Paul;15 weeks on the list",A GAME OF THRONES;by George R.R. Martin;,THE FIRST CONSPIRACY;by Brad Meltzer and Josh Mensch;,PRINCIPLES;by Ray Dalio;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",FLY GIRLS;by Keith O'Brien;
9,A DOG'S WAY HOME;by W. Bruce Cameron;6 weeks on the list,EVERY BREATH;by Nicholas Sparks;14 weeks on the list,CRAZY RICH ASIANS;by Kevin Kwan;39 weeks on the list,WOMEN ROWING NORTH;by Mary Pipher;New this week,THE LIBRARY BOOK;by Susan Orlean;10 weeks on the list,GRIT;by Angela Duckworth;21 weeks on the list,HOMEBODY;by Joanna Gaines;11 weeks on the list,MINECRAFT: THE CRASH;by Tracey Baptiste;20 weeks on the list,"ROSIE REVERE, ENGINEER;by Andrea Beaty. Illustrated by David Roberts;149 weeks on the list",WHO WAS/IS . . . ?;by Jim Gigliotti and others; various illustrators;62 weeks on the list,CHILDREN OF BLOOD AND BONE;by Tomi Adeyemi;46 weeks on the list,ELEANOR OLIPHANT IS COMPLETELY FINE;by Gail Honeyman;,MY OWN WORDS;by Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams;,GRIT;by Angela Duckworth;,THE POWER OF HABIT;by Charles Duhigg;,BELICHICK;by Ian O'Connor;
10,THE HOUSE NEXT DOOR;by James Patterson;2 weeks on the list,NINE PERFECT STRANGERS;by Liane Moriarty;11 weeks on the list,THE SUN AND HER FLOWERS;by Rupi Kaur;68 weeks on the list,INHERITANCE;by Dani Shapiro;New this week,BAD BLOOD;by John Carreyrou;14 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;198 weeks on the list",BEST SELF;by Mike Bayer;2 weeks on the list,BLENDED;by Sharon M. Draper;2 weeks on the list,THE BOOK WITH NO PICTURES;by B.J. Novak;151 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;493 weeks on the list,WHAT IF IT'S US;by Becky Albertalli and Adam Silvera;14 weeks on the list,THE NAME OF THE WIND;by Patrick Rothfuss;,THE TRUTHS WE HOLD;by Kamala Harris;,THE BULLET JOURNAL METHOD;by Ryder Carroll;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,UNBROKEN;by Laura Hillenbrand;
