,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Hardcover & Paperback Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Combined Hardcover & Paperback Nonfiction,Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series
1,WATER FOR ELEPHANTS;by Sara Gruen;12 weeks on the list,CHASING FIRE;by Nora Roberts;New this week,WATER FOR ELEPHANTS;by Sara Gruen;116 weeks on the list,,,WATER FOR ELEPHANTS;by Sara Gruen;,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;12 weeks on the list,BOSSYPANTS;by Tina Fey;2 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;22 weeks on the list,BOSSYPANTS;by Tina Fey;2 weeks on the list,THE 17 DAY DIET;by Mike Moreno;5 weeks on the list,HUNGRY GIRL 300 UNDER 300;by Lisa Lillien;3 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;,MISTER WONDERFUL;by Daniel Clowes;New this week,"FABLES, VOL. 15;by Bill Willingham and Mark Buckingham;New this week","ROSARIO + VAMPIRE: SEASON II, VOL. 4;by Akihisa Ikeda;2 weeks on the list",THE TWILIGHT SAGA: THE OFFICIAL ILLUSTRATED GUIDE;by Stephenie Meyer;New this week,SOUL SURFER;by Bethany Hamilton with Sheryl Berk and Rick Bundschuh;2 weeks on the list,SILVERLICIOUS;written and illustrated by Victoria Kann;11 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;118 weeks on the list
2,CHASING FIRE;by Nora Roberts;New this week,THE LAND OF PAINTED CAVES;by Jean M. Auel;3 weeks on the list,THE HELP;by Kathryn Stockett;2 weeks on the list,,,CHASING FIRE;by Nora Roberts;,BOSSYPANTS;by Tina Fey;2 weeks on the list,UNBROKEN;by Laura Hillenbrand;22 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;6 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;12 weeks on the list,THE HEALTHY HOME;by Dave Wentz and Myron Wentz with Donna K. Wallace;3 weeks on the list,NOW EAT THIS! DIET;by Rocco DiSpirito;4 weeks on the list,BOSSYPANTS;by Tina Fey;,BATMAN: THE RETURN OF BRUCE WAYNE;by Grant Morrison and various;10 weeks on the list,TIME MASTERS: VANISHING POINT;by Dan Jurgens;New this week,"AKIRA, VOL. 6;by Katsuhiro Otomo;New this week",THE LOST HERO;by Rick Riordan;27 weeks on the list,THE BOOK THIEF;by Markus Zusak;188 weeks on the list,THE EASTER EGG;by Jan Brett;14 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;34 weeks on the list
3,THE LINCOLN LAWYER;by Michael Connelly;6 weeks on the list,THE FIFTH WITNESS;by Michael Connelly;2 weeks on the list,THE 9TH JUDGMENT;by James Patterson and Maxine Paetro;New this week,,,THE HELP;by Kathryn Stockett;,UNBROKEN;by Laura Hillenbrand;12 weeks on the list,I'M OVER ALL THAT;by Shirley MacLaine;New this week,BORN TO RUN;by Christopher McDougall;3 weeks on the list,UNBROKEN;by Laura Hillenbrand;12 weeks on the list,CHANGE ANYTHING;by Kerry Patterson and Others;New this week,THE EVERYGIRL'S GUIDE TO LIFE;by Maria Menounos;New this week,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,TRUE BLOOD: ALL TOGETHER NOW;by Alan Ball and others;9 weeks on the list,SCOTT PILGRIM: PRECIOUS LITTLE LIFE;by Bryan Lee O’Malley;58 weeks on the list,"BLUE EXORCIST, VOL. 1;by Kazue Kato;2 weeks on the list",THE GATHERING;by Kelley Armstrong;New this week,ASK ELIZABETH;by Elizabeth Berkley;4 weeks on the list,A SICK DAY FOR AMOS McGEE;by Philip C. Stead. Illustrated by Erin E. Stead;14 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;40 weeks on the list
4,THE FIFTH WITNESS;by Michael Connelly;2 weeks on the list,I’LL WALK ALONE;by Mary Higgins Clark;2 weeks on the list,CUTTING FOR STONE;by Abraham Verghese;64 weeks on the list,,,THE LAND OF PAINTED CAVES;by Jean M. Auel;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;12 weeks on the list,63 DOCUMENTS THE GOVERNMENT DOESN'T WANT YOU TO READ;by Jesse Ventura with Dick Russell;2 weeks on the list,INSIDE OF A DOG;by Alexandra Horowitz;28 weeks on the list,I'M OVER ALL THAT;by Shirley MacLaine;New this week,THIS IS GONNA HURT;by Nikki Sixx;New this week,THE FIVE LOVE LANGUAGES;by Gary Chapman;194 weeks on the list,UNBROKEN;by Laura Hillenbrand;,BLACKEST NIGHT;by Geoff Johns and Ivan Reis;27 weeks on the list,"THE WALKING DEAD, VOL. 1;by Robert Kirkman and Tony Moore;74 weeks on the list","FINDER, VOL. 3;by Ayano Yamane;New this week",THE EMERALD ATLAS;by John Stephens;2 weeks on the list,WITCH AND WIZARD;by James Patterson and Gabrielle Charbonnet;24 weeks on the list,LADDER TO THE MOON;by Maya Soetoro-Ng. Illustrated by Yuyi Morales;New this week,THE 39 CLUES;by various authors;80 weeks on the list
5,THE HELP;by Kathryn Stockett;9 weeks on the list,44 CHARLES STREET;by Danielle Steel;2 weeks on the list,THE ART OF RACING IN THE RAIN;by Garth Stein;97 weeks on the list,,,THE FIFTH WITNESS;by Michael Connelly;,I'M OVER ALL THAT;by Shirley MacLaine;New this week,ALL THAT IS BITTER AND SWEET;by Ashley Judd with Maryanne Vollers;2 weeks on the list,THE OTHER WES MOORE;by Wes Moore;6 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;12 weeks on the list,LOVE WINS;by Rob Bell;5 weeks on the list,THE HAPPINESS PROJECT;by Gretchen Rubin;7 weeks on the list,I'M OVER ALL THAT;by Shirley MacLaine;,BUFFY THE VAMPIRE SLAYER: TALES;by Joss Whedon and others;11 weeks on the list,WATCHMEN;by Alan Moore and Dave Gibbons;85 weeks on the list,"NARUTO, VOL. 50;by Masashi Kishimoto;11 weeks on the list",OKAY FOR NOW;by Gary D. Schmidt;New this week,BEASTLY;by Alex Flinn;10 weeks on the list,LEGO STAR WARS;by Simon Beecroft;69 weeks on the list,WARRIORS;by Erin Hunter;99 weeks on the list
6,SOMETHING BORROWED;by Emily Giffin;New this week,THE GIRL WHO KICKED THE HORNET’S NEST;by Stieg Larsson;47 weeks on the list,SOMETHING BORROWED;by Emily Giffin;2 weeks on the list,,,THE SEARCH;by Nora Roberts;,ALL THAT IS BITTER AND SWEET;by Ashley Judd with Maryanne Vollers;2 weeks on the list,MALCOLM X;by Manning Marable;2 weeks on the list,HAVE A LITTLE FAITH;by Mitch Albom;3 weeks on the list,ALL THAT IS BITTER AND SWEET;by Ashley Judd with Maryanne Vollers;2 weeks on the list,THE BEST ADVICE I EVER GOT;by Katie Couric;New this week,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;507 weeks on the list,63 DOCUMENTS THE GOVERNMENT DOESN'T WANT YOU TO READ;by Jesse Ventura with Dick Russell;,LAST UNICORN;by Peter B. Gillis and Renae DeLiz;6 weeks on the list,SCOTT PILGRIM VS. THE WORLD;by Bryan Lee O’Malley;54 weeks on the list,"SKIP BEAT, VOL. 23;by Yoshiki Nakamura;2 weeks on the list","THE RED PYRAMID: THE KANE CHRONICLES, BOOK ONE;by Rick Riordan and Orpheus Collar;50 weeks on the list",ALONG FOR THE RIDE;by Sarah Dessen;2 weeks on the list,TAKE ME OUT TO THE BALL GAME;illustrated by Amiko Hirao;New this week,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;197 weeks on the list
7,I’LL WALK ALONE;by Mary Higgins Clark;2 weeks on the list,SAVE ME;by Lisa Scottoline;New this week,THE POSTMISTRESS;by Sarah Blake;11 weeks on the list,,,I’LL WALK ALONE;by Mary Higgins Clark;,63 DOCUMENTS THE GOVERNMENT DOESN'T WANT YOU TO READ;by Jesse Ventura with Dick Russell;2 weeks on the list,SHE WALKS IN BEAUTY;selected and introduced by Caroline Kennedy;New this week,JUST KIDS;by Patti Smith;24 weeks on the list,MOONWALKING WITH EINSTEIN;by Joshua Foer;7 weeks on the list,MY FATHER'S DAUGHTER;by Gwyneth Paltrow;New this week,NOW EAT THIS!;by Rocco DiSpirito;18 weeks on the list,ALL THAT IS BITTER AND SWEET;by Ashley Judd with Maryanne Vollers;,"THE WALKING DEAD, BOOK 1;by Robert Kirkman, Tony Moore and Charlie Adlard;29 weeks on the list","THE WALKING DEAD, VOL. 2;by Robert Kirkman and Charlie Adlard;13 weeks on the list","DENGEKI DAISY, VOL. 4;by Kyousuke Motomi;2 weeks on the list",A WORLD WITHOUT HEROES;by Brandon Mull;5 weeks on the list,FANCY NANCY'S ELEGANT EASTER;by Jane O’Connor. Illustrated by Robin Preiss Glasser;6 weeks on the list,ARTHUR TURNS GREEN;by Marc Brown;2 weeks on the list,THE ALEX RIDER ADVENTURES;by Anthony Horowitz;66 weeks on the list
8,THE LAND OF PAINTED CAVES;by Jean M. Auel;3 weeks on the list,THE PALE KING;by David Foster Wallace;3 weeks on the list,HOTEL ON THE CORNER OF BITTER AND SWEET;by Jamie Ford;47 weeks on the list,,,SOMETHING BORROWED;by Emily Giffin;,MALCOLM X;by Manning Marable;2 weeks on the list,THE SOCIAL ANIMAL;by David Brooks;6 weeks on the list,THE BIG SHORT;by Michael Lewis;11 weeks on the list,IN THE PLEX;by Steven Levy;New this week,EVA'S KITCHEN;by Eva Longoria and Marah Stets;2 weeks on the list,CRAZY LOVE;by Francis Chan with Danae Yankoski;26 weeks on the list,MALCOLM X;by Manning Marable;,"SUPERMAN: EARTH ONE, VOL. 2;by J. Michael Straczynski and Shane Davis;23 weeks on the list",SCOTT PILGRIM AND THE INFINITE SADNESS;by Bryan Lee O’Malley;46 weeks on the list,"BLACK BUTLER, VOL. 4;by Yana Toboso;12 weeks on the list",BETWEEN SHADES OF GRAY;by Ruta Sepetys;4 weeks on the list,RED RIDING HOOD;by Sarah Blakley-Cartwright;12 weeks on the list,"DREAM BIG, LITTLE PIG!;by Kristi Yamaguchi. Illustrated by Tim Bowers;5 weeks on the list",HOUSE OF NIGHT;by P.C. Cast and Kristin Cast;123 weeks on the list
9,A GAME OF THRONES;by George R.R. Martin;New this week,SING YOU HOME;by Jodi Picoult;7 weeks on the list,HEART OF THE MATTER;by Emily Giffin;5 weeks on the list,,,THE 9TH JUDGMENT;by James Patterson and Maxine Paetro;,THE SOCIAL ANIMAL;by David Brooks;6 weeks on the list,RED;by Sammy Hagar with Joel Selvin;5 weeks on the list,90 MINUTES IN HEAVEN;by Don Piper with Cecil Murphey;189 weeks on the list,_____ MY DAD SAYS;by Justin Halpern;12 weeks on the list,THE 4-HOUR BODY;by Timothy Ferriss;18 weeks on the list,RADICAL;by David Platt;44 weeks on the list,SHE WALKS IN BEAUTY;selected and introduced by Caroline Kennedy;,"BRIGHTEST DAY, VOL. 1;by Geoff Johns and Peter Tomasi;19 weeks on the list",SCOTT PILGRIM: GETS IT TOGETHER;by Bryan Lee O’Malley;50 weeks on the list,"CASE CLOSED, VOL. 38;by Gosho Aoyama;New this week",INVINCIBLE (THE CHRONICLES OF NICK);by Sherrilyn Kenyon;4 weeks on the list,SPLAT THE CAT: WHERE'S THE EASTER BUNNY?;by Rob Scotton;5 weeks on the list,INTERRUPTING CHICKEN;written and illustrated by David Ezra Stein;13 weeks on the list,BIG NATE;written and illustrated by Lincoln Peirce;18 weeks on the list
10,THE GIRL WHO KICKED THE HORNET’S NEST;by Stieg Larsson;12 weeks on the list,LIVE WIRE;by Harlan Coben;4 weeks on the list,EVERY LAST ONE;by Anna Quindlen;3 weeks on the list,,,A GAME OF THRONES;by George R.R. Martin;,MOONWALKING WITH EINSTEIN;by Joshua Foer;6 weeks on the list,MOONWALKING WITH EINSTEIN;by Joshua Foer;6 weeks on the list,DRIVE;by Daniel H. Pink;2 weeks on the list,MY HORIZONTAL LIFE;by Chelsea Handler;12 weeks on the list,UNLIMITED;by Jillian Michaels;2 weeks on the list,SUPER NATURAL EVERY DAY;by Heidi Swanson;2 weeks on the list,THE SOCIAL ANIMAL;by David Brooks;,"INVINCIBLE ULTIMATE COLLECTION, VOL. 6;by Robert Kirkman and Ryan Ottley;New this week",SCOTT PILGRIM VS. THE UNIVERSE;by Bryan Lee O’Malley;50 weeks on the list,"SAKURA HIME: THE LEGEND OF PRINCESS SAKURA, VOL. 1;by Arina Tanemura;2 weeks on the list",WHERE SHE WENT;by Gayle Forman;2 weeks on the list,INFINITY (CHRONICLES OF NICK);by Sherrilyn Kenyon;4 weeks on the list,THE LOUD BOOK!;by Deborah Underwood and Renata Liwska;New this week,HARRY POTTER;by J.K. Rowling;250 weeks on the list
