,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Business,Science,Sports and Fitness
1,THE BLACK BOOK;by James Patterson and David Ellis;New this week,THE BLACK BOOK;by James Patterson and David Ellis;New this week,THE SHACK;by William P. Young;147 weeks on the list,OLD SCHOOL;by Bill O'Reilly and Bruce Feirstein;New this week,OLD SCHOOL;by Bill O'Reilly and Bruce Feirstein;New this week,THE ZOOKEEPER’S WIFE;by Diane Ackerman;35 weeks on the list,HASHIMOTO'S PROTOCOL;by Izabella Wentz;New this week,DOG MAN UNLEASHED;by Dav Pilkey;14 weeks on the list,WE'RE ALL WONDERS;by R.J. Palacio;New this week,HARRY POTTER;by J.K. Rowling;419 weeks on the list,THE HATE U GIVE;by Angie Thomas;5 weeks on the list,UNSHAKABLE;by Tony Robbins with Peter Mallouk;,HIDDEN FIGURES;by Margot Lee Shetterly;,SHOE DOG;by Phil Knight;
2,THE SHACK;by William P. Young;10 weeks on the list,MISSISSIPPI BLOOD;by Greg Iles;2 weeks on the list,MILK AND HONEY;by Rupi Kaur;51 weeks on the list,THE ZOOKEEPER’S WIFE;by Diane Ackerman;8 weeks on the list,HILLBILLY ELEGY;by J.D. Vance;36 weeks on the list,ON TYRANNY;by Timothy Snyder;5 weeks on the list,HOW TO BE A BAWSE;by Lilly Singh;New this week,WONDER;by R.J. Palacio;86 weeks on the list,PETE THE CAT: BIG EASTER ADVENTURE;by James Dean and Kimberly Dean;3 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;420 weeks on the list,STRANGE THE DREAMER;by Laini Taylor;New this week,THE MAGNOLIA STORY;by Chip Gaines and Joanna Gaines with Mark Dagostino;,WHEN BREATH BECOMES AIR;by Paul Kalanithi;,ATTITUDE;by Jay Wright with Michael Sheridan and Mark Dagostino;
3,BIG LITTLE LIES;by Liane Moriarty;33 weeks on the list,NORSE MYTHOLOGY;by Neil Gaiman;8 weeks on the list,A MAN CALLED OVE;by Fredrik Backman;66 weeks on the list,ON TYRANNY;by Timothy Snyder;4 weeks on the list,KILLING THE RISING SUN;by Bill O'Reilly and Martin Dugard;29 weeks on the list,HIDDEN FIGURES;by Margot Lee Shetterly;17 weeks on the list,YOU ARE A BADASS;by Jen Sincero;64 weeks on the list,LOST IN A BOOK;by Jennifer Donnelly;9 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;79 weeks on the list,MIDDLE SCHOOL;by James Patterson and others;42 weeks on the list,"EVERYTHING, EVERYTHING;by Nicola Yoon;41 weeks on the list",TOOLS OF TITANS;by Tim Ferriss;,SAPIENS;by Yuval Noah Harari;,THE BOYS IN THE BOAT;by Daniel James Brown;
4,IMMORTAL UNCHAINED;by Lynsay Sands;New this week,VICIOUS CIRCLE;by C. J. Box;2 weeks on the list,BIG LITTLE LIES;by Liane Moriarty;22 weeks on the list,HILLBILLY ELEGY;by J.D. Vance;36 weeks on the list,A COLONY IN A NATION;by Chris Hayes;2 weeks on the list,KILLING JESUS;by Bill O'Reilly and Martin Dugard;3 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;16 weeks on the list,DOG MAN;by Dav Pilkey;31 weeks on the list,LITTLE REE;by Ree Drummond. Illustrated by Jacqueline Rogers;New this week,WHO WAS/IS . . . ?;by Jim Gigliotti and others; various illustrators;11 weeks on the list,THIS IS WHERE IT ENDS;by Marieke Nijkamp;44 weeks on the list,THANK YOU FOR BEING LATE;by Thomas L. Friedman;,HOMO DEUS;by Yuval Noah Harari;,SHAKEN;by Tim Tebow;
5,A MAN CALLED OVE;by Fredrik Backman;45 weeks on the list,IF NOT FOR YOU;by Debbie Macomber;2 weeks on the list,NO MAN'S LAND;by David Baldacci;2 weeks on the list,HIDDEN FIGURES;by Margot Lee Shetterly;16 weeks on the list,THE CUBS WAY;by Tom Verducci;New this week,CORK DORK;by Bianca Bosker;New this week,THE FIVE LOVE LANGUAGES;by Gary Chapman;194 weeks on the list,THE GIRL WHO DRANK THE MOON;by Kelly Barnhill;13 weeks on the list,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;197 weeks on the list,DORK DIARIES;by Rachel Renée Russell;201 weeks on the list,CARVE THE MARK;by Veronica Roth;11 weeks on the list,THE UNDOING PROJECT;by Michael Lewis;,THE LOST CITY OF THE MONKEY GOD;by Douglas Preston;,THE 1997 MASTERS: MY STORY;by Tiger Woods with Lorne Rubenstein;
6,MISSISSIPPI BLOOD;by Greg Iles;2 weeks on the list,THE WOMEN IN THE CASTLE;by Jessica Shattuck;New this week,LILAC GIRLS;by Martha Hall Kelly;5 weeks on the list,KILLING THE RISING SUN;by Bill O'Reilly and Martin Dugard;29 weeks on the list,PORTRAITS OF COURAGE;by George W. Bush;5 weeks on the list,REQUIEM FOR THE AMERICAN DREAM;by Noam Chomsky;New this week,THE TRUTH ABOUT YOUR FUTURE;by Ric Edelman;New this week,GRAVITY FALLS: JOURNAL 3;by Rob Renzetti and Alex Hirsch. Illustrated by Andy Gonsalves and Stephanie Ramirez;36 weeks on the list,"ROSIE REVERE, ENGINEER;by Andrea Beaty. Illustrated by David Roberts;94 weeks on the list",RED QUEEN;by Victoria Aveyard;8 weeks on the list,THE MADDIE DIARIES;by Maddie Ziegler;4 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;",THE UNDOING PROJECT;by Michael Lewis;,A LIFE WELL PLAYED;by Arnold Palmer;
7,THE OBSESSION;by Nora Roberts;10 weeks on the list,DANGEROUS GAMES;by Danielle Steel;4 weeks on the list,THE HANDMAID'S TALE;by Margaret Atwood;8 weeks on the list,A COLONY IN A NATION;by Chris Hayes;2 weeks on the list,THE MAGNOLIA STORY;by Chip Gaines and Joanna Gaines with Mark Dagostino;24 weeks on the list,DARK MONEY;by Jane Mayer;6 weeks on the list,UNSHAKABLE;by Tony Robbins with Peter Mallouk;5 weeks on the list,DRAGONWATCH;by Brandon Mull. Illustrated by Brandon Dorman;2 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;163 weeks on the list,BIG NATE;written and illustrated by Lincoln Peirce;127 weeks on the list,CARAVAL;by Stephanie Garber;9 weeks on the list,ORIGINALS;by Adam Grant;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",I GOT THIS;by Laurie Hernandez;
8,MILK AND HONEY;by Rupi Kaur;16 weeks on the list,THE CUTTHROAT;by Clive Cussler and Justin Scott;3 weeks on the list,A DOG'S PURPOSE;by W. Bruce Cameron;34 weeks on the list,THE MAGNOLIA STORY;by Chip Gaines and Joanna Gaines with Mark Dagostino;24 weeks on the list,BIG AGENDA;by David Horowitz;8 weeks on the list,WE SHOULD ALL BE FEMINISTS;by Chimamanda Ngozi Adichie;22 weeks on the list,THE LIFE-CHANGING MAGIC OF TIDYING UP;by Marie Kondo;121 weeks on the list,WOMEN IN SCIENCE;by Rachel Ignotofsky;26 weeks on the list,"MIGHTY, MIGHTY CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;7 weeks on the list",PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;424 weeks on the list,THE SUN IS ALSO A STAR;by Nicola Yoon;21 weeks on the list,GRIT;by Angela Duckworth;,LAB GIRL;by Hope Jahren;,BARBARIAN DAYS;by William Finnegan;
9,SAY I'M YOURS;by Corinne Michaels;New this week,LINCOLN IN THE BARDO;by George Saunders;7 weeks on the list,MY GRANDMOTHER ASKED ME TO TELL YOU SHE'S SORRY;by Fredrik Backman;50 weeks on the list,THE STRANGER IN THE WOODS;by Michael Finkel;4 weeks on the list,TRUMP'S WAR;by Michael Savage;3 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;129 weeks on the list",THE WHOLE30;by Melissa Hartwig and Dallas Hartwig;78 weeks on the list,PAX;Sara Pennypacker. Illustrated by Jon Klassen;55 weeks on the list,"ADA TWIST, SCIENTIST;by Andrea Beaty. Illustrated by David Roberts;30 weeks on the list",MISS PEREGRINE’S PECULIAR CHILDREN;by Ransom Riggs;80 weeks on the list,HEARTLESS;by Marissa Meyer;20 weeks on the list,RADICAL CANDOR;by Kim Scott;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,COURAGE TO SOAR;by Simone Biles with Michelle Burford;
10,IT;by Stephen King;New this week,A GENTLEMAN IN MOSCOW;by Amor Towles;20 weeks on the list,ALL THE MISSING GIRLS;by Megan Miranda;5 weeks on the list,WHEN BREATH BECOMES AIR;by Paul Kalanithi;58 weeks on the list,BORN A CRIME;by Trevor Noah;18 weeks on the list,ORIGINALS;by Adam Grant;7 weeks on the list,TOOLS OF TITANS;by Tim Ferriss;15 weeks on the list,"OUT OF WONDER;by Kwame Alexander, Chris Colderley and Marjory Wentworth. Illustrated by Ekua Holmes;2 weeks on the list",THE BOOK WITH NO PICTURES;by B.J. Novak;129 weeks on the list,GIVER QUARTET;by Lois Lowry;142 weeks on the list,MOON CHOSEN;by P. C. Cast;21 weeks on the list,EYES WIDE OPEN;by Isaac Lidsky;,THE HIDDEN LIFE OF TREES;by Peter Wohlleben;,THE LEGENDS CLUB;by John Feinstein;
