,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,Hardcover Nonfiction,Paperback Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series
1,THE LAST SONG;by Nicholas Sparks;New this week,THE TIME TRAVELER'S WIFE;by Audrey Niffenegger;13 weeks on the list,,OFFICIAL BOOK CLUB SELECTION;by Kathy Griffin;New this week,GLENN BECK’S ‘COMMON SENSE’;by Glenn Beck;14 weeks on the list,"MASTERING THE ART OF FRENCH COOKING, VOL. 1;by Julia Child, Simone Beck and Louisette Bertholle;5 weeks on the list",WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;428 weeks on the list,STITCHES: A MEMOIR;by David Small;New this week,WATCHMEN;by Alan Moore and Dave Gibbons;29 weeks on the list,"BLEACH, VOL. 28;by Tite Kubo;2 weeks on the list",CATCHING FIRE;by Suzanne Collins;2 weeks on the list,DARK VISIONS;by L. J. Smith;New this week,LISTEN TO THE WIND: THE STORY OF DR. GREG AND THREE CUPS OF TEA;by Greg Mortenson and Susan L. Roth;33 weeks on the list,THE TWILIGHT SAGA;by Stephenie Meyer;110 weeks on the list
2,SOUTH OF BROAD;by Pat Conroy;5 weeks on the list,THE SHACK;by William P. Young;69 weeks on the list,,CULTURE OF CORRUPTION;by Michelle Malkin;7 weeks on the list,MY LIFE IN FRANCE;by Julia Child with Alex Prud’homme;11 weeks on the list,THE CONVERSATION;by Hill Harper;New this week,THE LOVE DARE;by Stephen Kendrick and Alex Kendrick with Lawrence Kimbrough;51 weeks on the list,MERCY THOMPSON: HOMECOMING;by Patricia Briggs and David Lawrence;3 weeks on the list,"THE WALKING DEAD, VOL. 10;by Robert Kirkman and Charlie Adlard;5 weeks on the list","NARUTO, VOL. 45;by Masashi Kishimoto;10 weeks on the list",THE HUNGER GAMES;by Suzanne Collins;53 weeks on the list,ALPHAS;by Lisi Harrison;3 weeks on the list,DEWEY;by Vicki Myron with Bret Witter;2 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;114 weeks on the list
3,THE HELP;by Kathryn Stockett;24 weeks on the list,THE GIRL WITH THE DRAGON TATTOO;by Stieg Larsson;12 weeks on the list,,OUTLIERS;by Malcolm Gladwell;43 weeks on the list,THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;137 weeks on the list,THE LAST LECTURE;by Randy Pausch with Jeffrey Zaslow;75 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;111 weeks on the list,"ACHEWOOD, VOL. 2;by Chris Onstad;New this week",BATMAN: ARKHAM ASYLUM;by Grant Morrison and Dave McKean;4 weeks on the list,"VAMPIRE KNIGHT, VOL. 7;by Matsuri Hino;7 weeks on the list",THE MAGICIAN’S ELEPHANT;by Kate DiCamillo. Illustrated by Yoko Tanaka;New this week,THE BOOK THIEF;by Markus Zusak;105 weeks on the list,"TRUCKERY RHYMES;by Jon Scieszka. Illustrated by David Shannon, Loren Long and David Gordon;3 weeks on the list",VAMPIRE DIARIES;by L. J. Smith;20 weeks on the list
4,ALEX CROSS’S ‘TRIAL’;by James Patterson and Richard DiLallo;3 weeks on the list,THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY;by Mary Ann Shaffer and Annie Barrows;19 weeks on the list,,IN THE PRESIDENT’S SECRET SERVICE;by Ronald Kessler;6 weeks on the list,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;3 weeks on the list,"ACT LIKE A LADY, THINK LIKE A MAN;by Steve Harvey with Denene Millner;33 weeks on the list",HOW TO TAKE OVER TEH WURLD;by Professor Happycat and icanhascheezburger.com;2 weeks on the list,"SUPERMAN: NEW KRYPTON, VOL. 2;by James Robinson, Sterling Gates and Geoff Johns;New this week",BATMAN: HUSH;by Jeph Loeb and Jim Lee;4 weeks on the list,"FRUITS BASKET, VOL. 23;by Natsuki Takaya;10 weeks on the list",TRICKS;by Ellen Hopkins;3 weeks on the list,BLUE MOON;by Alyson Noël;10 weeks on the list,GOLDILICIOUS;written and illustrated by Victoria Kann;16 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;35 weeks on the list
5,SPARTAN GOLD;by Clive Cussler with Grant Blackwood;2 weeks on the list,OLIVE KITTERIDGE;by Elizabeth Strout;21 weeks on the list,,LIBERTY AND TYRANNY;by Mark R. Levin;25 weeks on the list,JULIE & JULIA;by Julie Powell;11 weeks on the list,THE 50TH LAW;by 50 Cent and Robert Greene;New this week,JULIA'S KITCHEN WISDOM;by Julia Child;5 weeks on the list,ABSOLUTE V FOR VENDETTA;by Alan Moore and David Lloyd;New this week,"FABLES, VOL. 12;by Bill Willingham, Mike Allred and Mark Buckingham;4 weeks on the list","BLACK BIRD, VOL. 1;by Kanoko Sakurakoji;6 weeks on the list",SHIVER;by Maggie Stiefvater;7 weeks on the list,EVERMORE;by Alyson Noël;32 weeks on the list,GALLOP!;written and illustrated by Rufus Butler Seder;96 weeks on the list,VAMPIRE ACADEMY;by Richelle Mead;10 weeks on the list
6,DARK SLAYER;by Christine Feehan;2 weeks on the list,THE LUCKY ONE;by Nicholas Sparks;5 weeks on the list,,STRENGTH IN WHAT REMAINS;by Tracy Kidder;3 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;143 weeks on the list,THE SECRET;by Rhonda Byrne;140 weeks on the list,THE VORTEX;by Esther and Jerry Hicks;New this week,BATMAN: THE KILLING JOKE;by Alan Moore and Brian Bolland;27 weeks on the list,"MAUS: A SURVIVOR’S TALE, VOL. 1;by Art Spiegelman;New this week","NARUTO, VOL. 43;by Masashi Kishimoto;21 weeks on the list",L.A. CANDY;by Lauren Conrad;13 weeks on the list,THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;34 weeks on the list,MARLEY GOES TO SCHOOL;by John Grogan. Illustrated by Richard Cowdrey;7 weeks on the list,HOUSE OF NIGHT;by P.C. Cast and Kristin Cast;55 weeks on the list
7,THE WHITE QUEEN;by Philippa Gregory;4 weeks on the list,THE ART OF RACING IN THE RAIN;by Garth Stein;14 weeks on the list,,BORN TO RUN;by Christopher McDougall;13 weeks on the list,I HOPE THEY SERVE BEER IN HELL;by Tucker Max;102 weeks on the list,INFINITE POSSIBILITIES;by Mike Dooley;New this week,SKINNY BITCH;by Kim Barnouin;113 weeks on the list,BATMAN: WHATEVER HAPPENED TO THE CAPED CRUSADER?;by Neil Gaiman and others;9 weeks on the list,"THE SAVAGE SWORD OF CONAN, VOL. 6;by Roy Thomas, Michael Fleisher and Bruce Jones;New this week","ROSARIO   VAMPIRE, VOL. 8;by Akihisa Ikeda;7 weeks on the list",SENT;by Margaret Peterson Haddix;3 weeks on the list,THIRST NO. 1;by Christopher Pike;6 weeks on the list,SWING!;written and illustrated by Rufus Butler Seder;48 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;25 weeks on the list
8,DEXTER BY DESIGN;by Jeff Lindsay;New this week,HOME;by Marilynne Robinson;2 weeks on the list,,A BOLD FRESH PIECE OF HUMANITY;by Bill O’Reilly;46 weeks on the list,TIPPING POINT;by Malcolm Gladwell;258 weeks on the list,FEARLESS;by Max Lucado;New this week,THE PURPOSE-DRIVEN LIFE;by Rick Warren;59 weeks on the list,"FINAL CRISIS;by Grant Morrison, J. G. Jones, Carlos Pacheco and Doug Mahnke;13 weeks on the list","X-MEN: MISFITS, VOL. 1;by Raina Telgemeier and Dave Roman;5 weeks on the list","TEGAMI BACHI: LETTER BEE, VOL. 1;by Hiroyuki Asada;New this week",THE GRAVEYARD BOOK;by Neil Gaiman. Illustrated by Dave McKean;50 weeks on the list,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;24 weeks on the list,STREGA NONA'S HARVEST;written and illustrated by Tomie dePaola;New this week,PRIVATE;by Kate Brian;5 weeks on the list
9,THE GIRL WHO PLAYED WITH FIRE;by Stieg Larsson;7 weeks on the list,THE ELEGANCE OF THE HEDGEHOG;by Muriel Barbery;35 weeks on the list,,HALF THE SKY;by Nicholas D. Kristof and Sheryl WuDunn;New this week,WHEN YOU ARE ENGULFED IN FLAMES;by David Sedaris;15 weeks on the list,MASTER YOUR METABOLISM;by Jillian Michaels with Mariska van Aalst;23 weeks on the list,HUNGRY GIRL 200 UNDER 200;by Lisa Lillien;22 weeks on the list,Batman: R.I.P.;by Grant Morrison and Tony Daniel;29 weeks on the list,V FOR VENDETTA;by Alan Moore and David Lloyd;25 weeks on the list,"D. N. ANGEL, VOL. 12;by Yukiru Sugisaki;7 weeks on the list",THIRTEEN REASONS WHY;by Jay Asher;47 weeks on the list,NICK OF TIME;by Ted Bell;2 weeks on the list,LOOK TO THE STARS;by Buzz Aldrin. Illustrated by Wendell Minor;New this week,THE 39 CLUES;by various authors;19 weeks on the list
10,DEAD AND GONE;by Charlaine Harris;19 weeks on the list,PRIDE AND PREJUDICE AND ZOMBIES;by Jane Austen and Seth Grahame-Smith;24 weeks on the list,,TRAVELING WITH POMEGRANATES;by Sue Monk Kidd and Ann Kidd Taylor;New this week,BLINK;by Malcolm Gladwell;100 weeks on the list,HOW TO SMELL A RAT;by Ken Fisher with Lara Hoffmans;4 weeks on the list,"DINERS, DRIVE-INS AND DIVES;by Guy Fieri with Ann Volkwein;12 weeks on the list",JOKER;by Brian Azzarello and Lee Bermejo;19 weeks on the list,BATMAN: THE LONG HALLOWEEN;by Jeph Loeb and Tim Sale;5 weeks on the list,"INUYASHA, VOL. 40;by Rumiko Takahashi;New this week",ALONG FOR THE RIDE;by Sarah Dessen;13 weeks on the list,GRACELING;by Kristin Cashore;New this week,OCEANOLOGY;by Ferdinand Zoticus deLessups;2 weeks on the list,MAGIC TREE HOUSE;by Mary Pope Osborne. Illustrated by Sal Murdocca;212 weeks on the list
