,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Food and Diet,Hardcover Business Books,Paperback Business Books,Politics and American History,Science
1,GONE;by James Patterson and Michael Ledwidge;New this week,DOCTOR SLEEP;by Stephen King;2 weeks on the list,THE HIT;by David Baldacci;3 weeks on the list,,,KILLING JESUS;by Bill O'Reilly and Martin Dugard;2 weeks on the list,KILLING JESUS;by Bill O'Reilly and Martin Dugard;2 weeks on the list,ORANGE IS THE NEW BLACK;by Piper Kerman;12 weeks on the list,KILLING JESUS;by Bill O'Reilly and Martin Dugard;2 weeks on the list,BREAK OUT!;by Joel Osteen;New this week,"JUSTICE LEAGUE, VOL. 3;by Geoff Johns and Ivan Reis;New this week",PERSEPOLIS;by Marjane Satrapi;20 weeks on the list,"BLEACH, VOL. 58;by Tite Kubo;New this week",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,PETE THE CAT AND HIS MAGIC SUNGLASSES;by Kimberly and James Dean. Illustrated by James Dean;New this week,THE MORTAL INSTRUMENTS;by Cassandra Clare;108 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;,LEAN IN;by Sheryl Sandberg with Nell Scovell;,OUTLIERS;by Malcolm Gladwell;,THE LIBERTY AMENDMENTS;by Mark R. Levin;,FIVE DAYS AT MEMORIAL;by Sheri Fink;
2,DOCTOR SLEEP;by Stephen King;2 weeks on the list,THE LONGEST RIDE;by Nicholas Sparks;3 weeks on the list,FIFTY SHADES OF GREY;by E. L. James;82 weeks on the list,,,DAVID AND GOLIATH;by Malcolm Gladwell;New this week,DAVID AND GOLIATH;by Malcolm Gladwell;New this week,PROOF OF HEAVEN;by Eben Alexander;50 weeks on the list,DAVID AND GOLIATH;by Malcolm Gladwell;New this week,THERE'S MORE TO LIFE THAN THIS;by Theresa Caputo with Kristina Grish;New this week,AVENGERS: ENDLESS WARTIME;by Warren Ellis and Mike McKone;New this week,RAT'S WARS;by Stephan Pastis;New this week,"ROSARIO VAMPIRE, SEASON II, VOL. 12;by Akihisa Ikeda;New this week",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;15 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;163 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,THE CHEW -- WHAT'S FOR DINNER?;by the staff of “The Chew”;,DUCK COMMANDERS;by Willie and Korie Robertson with Mark Schlabach;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",THIS TOWN;by Mark Leibovich;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;
3,THE LONGEST RIDE;by Nicholas Sparks;3 weeks on the list,GONE;by James Patterson and Michael Ledwidge;New this week,THE CASUAL VACANCY;by J. K. Rowling;11 weeks on the list,,,THE REASON I JUMP;by Naoki Higashida;New this week,SI-COLOGY 1;by Si Robertson with Mark Schlabach;5 weeks on the list,OUTLIERS;by Malcolm Gladwell;122 weeks on the list,THE REASON I JUMP;by Naoki Higashida;2 weeks on the list,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;2 weeks on the list,"SHAZAM!, VOL. 1;by Geoff Johns and Gary Frank;New this week",S. H. I. E. L. D. BY JIM STERANKO: THE COMPLETE COLLECTION;by Jim Steranko and others;New this week,"BLACK BIRD, VOL. 17;by Kanoko Sakurakouji;New this week",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;105 weeks on the list",PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;309 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,WHEAT BELLY;by William Davis;,BEFORE HAPPINESS;by Shawn Achor;,STEVE JOBS;by Walter Isaacson;,LAWRENCE IN ARABIA;by Scott Anderson;,QUIET;by Susan Cain;
4,SILENCING EVE;by Iris Johansen;New this week,THE SIGNATURE OF ALL THINGS;by Elizabeth Gilbert;New this week,FIFTY SHADES DARKER;by E. L. James;79 weeks on the list,,,ONE SUMMER;by Bill Bryson;New this week,ONE SUMMER;by Bill Bryson;New this week,QUIET;by Susan Cain;36 weeks on the list,ONE SUMMER;by Bill Bryson;New this week,WHAT ARE YOU AFRAID OF?;by David Jeremiah;New this week,"THE WALKING DEAD, BOOK 9;by Robert Kirkman and Charlie Adlard;3 weeks on the list","JUSTICE LEAGUE, VOL. 2;by Geoff Johns and Jim Lee;New this week","ATTACK ON TITAN, VOL. 7;by Hajime Isayama;2 weeks on the list",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,LLAMA LLAMA AND THE BULLY GOAT;by Anna Dewdney;9 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;246 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,MICHAEL SYMON'S 5 IN 5;by Michael Symon with Douglas Trattner;,LOOPTAIL;by Bruce Poon Tip;,CONVERT EVERY CLICK;by Benji Rabhan;,UNBROKEN;by Laura Hillenbrand;,THE SMARTEST KIDS IN THE WORLD;by Amanda Ripley;
5,THE HUSBAND'S SECRET;by Liane Moriarty;9 weeks on the list,THE LOWLAND;by Jhumpa Lahiri;2 weeks on the list,THE RACKETEER;by John Grisham;6 weeks on the list,,,SI-COLOGY 1;by Si Robertson with Mark Schlabach;5 weeks on the list,THE REASON I JUMP;by Naoki Higashida;2 weeks on the list,HOW CHILDREN SUCCEED;by Paul Tough;14 weeks on the list,ORANGE IS THE NEW BLACK;by Piper Kerman;13 weeks on the list,THE GIFTS OF IMPERFECTION;by Brené Brown;6 weeks on the list,ONCE UPON A TIME;by Daniel T. Thomsen and Corinna Bechko;5 weeks on the list,MARCH: BOOK ONE;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;8 weeks on the list,"MOBILE SUIT GUNDAM: THE ORIGIN, VOL. 3;by Yoshikazu Yasuhiko and  Hajime Yatate;2 weeks on the list",THE ICKABOG;by J.K. Rowling;26 weeks on the list,PETE THE CAT: I LOVE MY WHITE SHOES;by Eric Litwin. Illustrated by James Dean;78 weeks on the list,GIVER QUARTET;by Lois Lowry;27 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,EAT TO LIVE;by Joel Fuhrman;,GREAT WORK;by David Sturt;,TIPPING POINT;by Malcolm Gladwell;,WILSON;by A. Scott Berg;,"THINKING, FAST AND SLOW;by Daniel Kahneman;"
6,NEVER GO BACK;by Lee Child;5 weeks on the list,THE QUEST;by Nelson DeMille;3 weeks on the list,"WHERE'D YOU GO, BERNADETTE;by Maria Semple;27 weeks on the list",,,ORANGE IS THE NEW BLACK;by Piper Kerman;12 weeks on the list,LEAN IN;by Sheryl Sandberg with Nell Scovell;30 weeks on the list,WILD;by Cheryl Strayed;28 weeks on the list,EMPTY MANSIONS;by Bill Dedman and Paul Clark Newell Jr.;4 weeks on the list,DARING GREATLY;by Brené Brown;26 weeks on the list,THE UNWRITTEN: TOMMY TAYLOR AND THE SHIP THAT SANK TWICE;by Mike Carey and Peter Gross;2 weeks on the list,"SAGA, VOL. 1;by Brian K. Vaughan and Fiona Staples;41 weeks on the list","POKEMON ADVENTURES: DIAMOND AND PEARL/PLATINUM, VOL. 3;by Hidenori Kusaka;4 weeks on the list",WONDER;by R.J. Palacio;295 weeks on the list,PRESS HERE;by Hervé Tullet;112 weeks on the list,I AM NUMBER FOUR;by Pittacus Lore;15 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,THE FAST METABOLISM DIET;by Haylie Pomroy with Eve Adamson;,MISSION IN A BOTTLE;by Seth Goldman and Barry Nalebuff;,HEADS IN BEDS;by Jacob Tomsky;,FIVE DAYS AT MEMORIAL;by Sheri Fink;,BRILLIANT BLUNDERS;by Mario Livio;
7,THE SIGNATURE OF ALL THINGS;by Elizabeth Gilbert;New this week,NEVER GO BACK;by Lee Child;5 weeks on the list,FIFTY SHADES FREED;by E. L. James;78 weeks on the list,,,ZEALOT;by Reza Aslan;12 weeks on the list,ZEALOT;by Reza Aslan;12 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;332 weeks on the list,_____ MY DAD SAYS;by Justin Halpern;33 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;26 weeks on the list,RASL;by Jeff Smith;3 weeks on the list,"SAGA, VOL. 2;by Brian K. Vaughan and Fiona Staples;16 weeks on the list","FAIRY TAIL, 30;by Hiro Mashima;New this week",REFUGEE;by Alan Gratz;129 weeks on the list,"CLICK, CLACK, BOO!;by Doreen Cronin. Illustrated by Betsy Lewin;New this week",NANCY CLANCY;by Jane O'Connor. Illustrated by Robin Preiss Glasser;New this week,LORE;by Alexandra Bracken;18 weeks on the list,THE FASTDIET;by Michael Mosley and Mimi Spencer;,SYSTEM;by Jeff Benedict and Armen Keteyian;,DRIVE;by Daniel H. Pink;,BUTLER;by Wil Haygood;,THE POWER OF HABIT;by Charles Duhigg;
8,THE RACKETEER;by John Grisham;20 weeks on the list,W IS FOR WASTED;by Sue Grafton;4 weeks on the list,THE SILENT WIFE;by A. S. A. Harrison;11 weeks on the list,,,LEAN IN;by Sheryl Sandberg with Nell Scovell;30 weeks on the list,PADDLE YOUR OWN CANOE;by Nick Offerman;New this week,BRAIN ON FIRE;by Susannah Cahalan;9 weeks on the list,STILL FOOLIN' 'EM;by Billy Crystal;4 weeks on the list,BANKABLE LEADERSHIP;by Tasha Eurich;New this week,"WONDER WOMAN, VOL. 3;by Brian Azzarello and Cliff Chiang;3 weeks on the list",SMILE;by Raina Telgemeier;74 weeks on the list,"ATTACK ON TITAN, VOL. 1;by Hajime Isayama;17 weeks on the list",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,OTIS;written and illustrated by Loren Long;19 weeks on the list,THE ALEX RIDER ADVENTURES;by Anthony Horowitz;70 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,"CHOOSE MORE, LOSE MORE FOR LIFE;by Chris Powell with Heidi Powell;",YOU FIRST;by Liane Davey;,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;,A HOUSE IN THE SKY;by Amanda Lindhout and Sara Corbett;,THE HAPPINESS PROJECT;by Gretchen Rubin;
9,W IS FOR WASTED;by Sue Grafton;4 weeks on the list,SILENCING EVE;by Iris Johansen;New this week,THE LIGHT BETWEEN OCEANS;by M. L. Stedman;27 weeks on the list,,,STILL FOOLIN' 'EM;by Billy Crystal;4 weeks on the list,TIP AND THE GIPPER;by Chris Matthews;New this week,STEVE JOBS;by Walter Isaacson;4 weeks on the list,CAST NO STONES;by Kevin Machell;New this week,WHAT IS YOUR WHAT?;by Steve Olsher;New this week,"BATWOMAN, VOL. 3;by J. H. Williams III and W. Haden Blackman;2 weeks on the list","EAST OF WEST, VOL.1;by Jonathan Hickman and Nick Dragotta;2 weeks on the list","SOUL EATER, VOL. 16;by Atsushi Ohkubo;2 weeks on the list",GROUND ZERO;by Alan Gratz;10 weeks on the list,MR. WUFFLES!;by David Wiesner;New this week,HEROES OF OLYMPUS;by Rick Riordan;42 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,IT'S ALL GOOD;by Gwyneth Paltrow and Julia Turshen;,VALUE OF DEBT;by Thomas J. Anderson;,THE CHECKLIST MANIFESTO;by Atul Gawande;,REIGN OF ERROR;by Diane Ravitch;,AN APPETITE FOR WONDER;by Richard Dawkins;
10,THE OCTOBER LIST;by Jeffery Deaver;New this week,SPIDER WOMAN'S DAUGHTER;by Anne Hillerman;New this week,BEAUTIFUL RUINS;by Jess Walter;27 weeks on the list,,,TIP AND THE GIPPER;by Chris Matthews;New this week,"HAPPY, HAPPY, HAPPY;by Phil Robertson with Mark Schlabach;22 weeks on the list","THINKING, FAST AND SLOW;by Daniel Kahneman;27 weeks on the list",ZEALOT;by Reza Aslan;12 weeks on the list,E-SQUARED;by Pam Grout;12 weeks on the list,"THE UNCANNY X-MEN OMNIBUS, VOL. 1;by Chris Claremont, Dave Cockrum and John Byrne;2 weeks on the list",DRAMA;by Raina Telgemeier;44 weeks on the list,"ATTACK ON TITAN, VOL. 3;by Hajime Isayama;8 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,JOURNEY;by Aaron Becker;5 weeks on the list,DORK DIARIES;by Rachel Renée Russell;89 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,JERUSALEM;by Yotam Ottolenghi and Sami Tamimi;,THE POWER OF HABIT;by Charles Duhigg;,WHY NATIONS FAIL;by Daron Acemoglu and James A. Robinson;,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;,KNOCKING ON HEAVEN'S DOOR;by Katy Butler;
