,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,Hardcover Nonfiction,Paperback Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series
1,THE CHRISTMAS SWEATER;by Glenn Beck with Kevin Balfe and Jason Wright.;New this week,THE SHACK;by William P. Young;26 weeks on the list,,TOO FAT TO FISH;by Artie Lange with Anthony Bozza;New this week,THE AUDACITY OF HOPE;by Barack Obama;47 weeks on the list,BAREFOOT CONTESSA BACK TO BASICS;by Ina Garten;3 weeks on the list,TWILIGHT;by Mark Cotta Vaz;5 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;83 weeks on the list,THE BOY IN THE STRIPED PAJAMAS;by John Boyne;2 weeks on the list,"BARACK OBAMA: SON OF PROMISE, CHILD OF HOPE;by Nikki Grimes. Illustrated by Bryan Collier;8 weeks on the list",THE TWILIGHT SAGA;by Stephenie Meyer;67 weeks on the list
2,JUST AFTER SUNSET;by Stephen King;New this week,THE SECRET LIFE OF BEES;by Sue Monk Kidd;22 weeks on the list,,AMERICAN LION;by Jon Meacham;New this week,DREAMS FROM MY FATHER;by Barack Obama;122 weeks on the list,THE LAST LECTURE;by Randy Pausch with Jeffrey Zaslow;32 weeks on the list,THE LOVE DARE;by Stephen Kendrick and Alex Kendrick with Lawrence Kimbrough;8 weeks on the list,DIARY OF A WIMPY KID: RODRICK RULES;by Jeff Kinney;44 weeks on the list,THE TALE OF DESPEREAUX;by Kate DiCamillo. Illustrated by Timothy Basil Ering;42 weeks on the list,GALLOP!;written and illustrated by Rufus Butler Seder;53 weeks on the list,INHERITANCE;by Christopher Paolini;9 weeks on the list
3,DIVINE JUSTICE;by David Baldacci;2 weeks on the list,WORLD WITHOUT END;by Ken Follett;6 weeks on the list,,DEWEY;by Vicki Myron with Bret Witter;9 weeks on the list,CHANGE WE CAN BELIEVE IN;with a foreword by Barack Obama;5 weeks on the list,"YOU: THE OWNER’S MANUAL FOR TEENS;by Michael F. Roizen, Mehmet C. Oz and Ellen Rome;New this week",RACHAEL RAY’S BIG ORANGE BOOK;by Rachael Ray;2 weeks on the list,THE MAZE OF BONES;by Rick Riordan;10 weeks on the list,THE BOOK THIEF;by Markus Zusak;62 weeks on the list,BIG WORDS FOR LITTLE PEOPLE;by Jamie Lee Curtis. Illustrated by Laura Cornell;10 weeks on the list,IF YOU GIVE . . .;by Laura Numeroff. Illustrated by Felicia Bond;25 weeks on the list
4,THE HOUR I FIRST BELIEVED;by Wally Lamb;New this week,THE BRIEF WONDROUS LIFE OF OSCAR WAO;by Junot Díaz;11 weeks on the list,,"HOT, FLAT, AND CROWDED;by Thomas L. Friedman;10 weeks on the list",MARLEY AND ME;by John Grogan;36 weeks on the list,FLAT BELLY DIET!;by Liz Vaccariello and Cynthia Sass;3 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;387 weeks on the list,THE GRAVEYARD BOOK;by Neil Gaiman. Illustrated by Dave McKean;7 weeks on the list,SLAM;by Nick Hornby;6 weeks on the list,SWING!;written and illustrated by Rufus Butler Seder;5 weeks on the list,VAMPIRE ACADEMY;by Richelle Mead;New this week
5,A MERCY;by Toni Morrison;New this week,REMEMBER ME?;by Sophie Kinsella;3 weeks on the list,,THE SNOWBALL;by Alice Schroeder;7 weeks on the list,THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;94 weeks on the list,THE PURPOSE OF CHRISTMAS;by Rick Warren;2 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;73 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;10 weeks on the list,THE MYSTERIOUS BENEDICT SOCIETY;by Trenton Lee Stewart. Illustrated by Carson Ellis;15 weeks on the list,GINGERBREAD FRIENDS;written and illustrated by Jan Brett;5 weeks on the list,HOUSE OF NIGHT;by P.C. Cast and Kristin Cast;12 weeks on the list
6,THE GATE HOUSE;by Nelson DeMille;3 weeks on the list,THE ALCHEMIST;by Paulo Coelho;62 weeks on the list,,A BOLD FRESH PIECE OF HUMANITY;by Bill O’Reilly;8 weeks on the list,TEAM OF RIVALS;by Doris Kearns Goodwin;16 weeks on the list,GUINNESS WORLD RECORDS 2009;edited by Craig Glenday;9 weeks on the list,SKINNY BITCH;by Kim Barnouin;71 weeks on the list,PAULA DEEN’S MY FIRST COOKBOOK;by Paula Deen with Martha Nesbit. Illustrated by Susan Mitchell;6 weeks on the list,YES WE CAN;by Garen Thomas;2 weeks on the list,ABC3D;by Marion Bataille;5 weeks on the list,RANGER’S APPRENTICE;by John Flanagan;26 weeks on the list
7,EXTREME MEASURES;by Vince Flynn;4 weeks on the list,THE ROAD;by Cormac McCarthy;63 weeks on the list,,THE AMERICAN JOURNEY OF BARACK OBAMA;by the editors of Life magazine;2 weeks on the list,"EAT, PRAY, LOVE;by Elizabeth Gilbert;95 weeks on the list",THE SECRET;by Rhonda Byrne;97 weeks on the list,A NEW EARTH;by Eckhart Tolle;42 weeks on the list,THE WAY WE WORK;by David Macaulay with Richard Walker;6 weeks on the list,BARACK OBAMA;by Roberta Edwards. Illustrated by Ken Call;15 weeks on the list,HIP HOP SPEAKS TO CHILDREN;edited by Nikki Giovanni. Various illustrators;4 weeks on the list,INKHEART;by Cornelia Funke;8 weeks on the list
8,SALVATION IN DEATH;by J. D. Robb;2 weeks on the list,LOVING FRANK;by Nancy Horan;31 weeks on the list,,CALL ME TED;by Ted Turner with Bill Burke;New this week,90 MINUTES IN HEAVEN;by Don Piper with Cecil Murphey;108 weeks on the list,MARTHA STEWART’S COOKING SCHOOL;by Martha Stewart with Sarah Carey. Photographs by Marcus Nilsson and Ditte Isager;4 weeks on the list,I CAN HAS CHEEZBURGER?;by Professor Happy­cat and icanhascheezburger.com;6 weeks on the list,THE INVENTION OF HUGO CABRET;by Brian Selznick;83 weeks on the list,THANKS FOR THANKSGIVING;by Julie Markes;2 weeks on the list,WABI SABI;by Mark Reibstein. Illustrated by Ed Young;New this week,MAGIC TREE HOUSE;by Mary Pope Osborne. Illustrated by Sal Murdocca;201 weeks on the list
9,THE LUCKY ONE;by Nicholas Sparks;7 weeks on the list,EVERY NOW AND THEN;by Karen Kingsbury;New this week,,LETTER TO MY DAUGHTER;by Maya Angelou;7 weeks on the list,"THE FORGOTTEN MAN: GRAPHIC EDITION;by Amity Shlaes, Paul Rivoche and Chuck Dixon;6 weeks on the list",GIADA’S KITCHEN;by Giada De Laurentiis;7 weeks on the list,THE POWER OF NOW;by Eckhart Tolle;57 weeks on the list,IDENTICAL;by Ellen Hopkins;9 weeks on the list,THE LITTLEST PILGRIM;by Brandi Dougherty. Illustrated by Kirsten Richards;2 weeks on the list,TEN LITTLE FINGERS AND TEN LITTLE TOES;by Mem Fox. Illustrated by Helen Oxenbury;5 weeks on the list,BLUE BLOODS;by Melissa de la Cruz;3 weeks on the list
10,SWALLOWING DARKNESS;by Laurell K. Hamilton;2 weeks on the list,WATER FOR ELEPHANTS;by Sara Gruen;63 weeks on the list,,DREAMS FROM MY FATHER;by Barack Obama;2 weeks on the list,I HOPE THEY SERVE BEER IN HELL;by Tucker Max;59 weeks on the list,REAL SEX FOR REAL WOMEN;by Laura Berman;2 weeks on the list,THE BRO CODE;by Barney Stinson with Matt Kuhn;2 weeks on the list,THIRTEEN REASONS WHY;by Jay Asher;7 weeks on the list,THE ALCHEMYST;by Michael Scott;11 weeks on the list,PETE AND PICKLES;written and illustrated by Berkeley Breathed;3 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;79 weeks on the list
