,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Hardcover & Paperback Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Combined Hardcover & Paperback Nonfiction,Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series
1,WATER FOR ELEPHANTS;by Sara Gruen;7 weeks on the list,THE JUNGLE;by Clive Cussler with Jack Du Brul;New this week,WATER FOR ELEPHANTS;by Sara Gruen;111 weeks on the list,,,WATER FOR ELEPHANTS;by Sara Gruen;,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;7 weeks on the list,THE SOCIAL ANIMAL;by David Brooks;New this week,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;17 weeks on the list,UNBROKEN;by Laura Hillenbrand;7 weeks on the list,MONEY CLASS;by Suze Orman;New this week,THE MILLIONAIRE MESSENGER;by Brendon Burchard;New this week,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;,BATMAN: THE RETURN OF BRUCE WAYNE;by Grant Morrison and various;5 weeks on the list,BATMAN BEYOND: HUSH BEYOND;by Ryan Benjamin and Adam Beechen;New this week,"NARUTO, VOL. 50;by Masashi Kishimoto;6 weeks on the list",I AM NUMBER FOUR;by Pittacus Lore;14 weeks on the list,BEASTLY;by Alex Flinn;5 weeks on the list,SILVERLICIOUS;written and illustrated by Victoria Kann;6 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;113 weeks on the list
2,THE JUNGLE;by Clive Cussler with Jack Du Brul;New this week,SING YOU HOME;by Jodi Picoult;2 weeks on the list,CUTTING FOR STONE;by Abraham Verghese;59 weeks on the list,,,THE JUNGLE;by Clive Cussler with Jack Du Brul;,UNBROKEN;by Laura Hillenbrand;7 weeks on the list,UNBROKEN;by Laura Hillenbrand;17 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;New this week,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;7 weeks on the list,THANK YOU ECONOMY;by Gary Vaynerchuk;New this week,THE FIVE LOVE LANGUAGES;by Gary Chapman;189 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,TRUE BLOOD: ALL TOGETHER NOW;by Alan Ball and others;4 weeks on the list,DAYTRIPPER;by Fabio Moon and Gabriel Ba;4 weeks on the list,"BLEACH, VOL. 34;by Tite Kubo;2 weeks on the list",THE LOST HERO;by Rick Riordan;22 weeks on the list,WITCH AND WIZARD;by James Patterson and Gabrielle Charbonnet;19 weeks on the list,A SICK DAY FOR AMOS McGEE;by Philip C. Stead. Illustrated by Erin E. Stead;9 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;29 weeks on the list
3,SING YOU HOME;by Jodi Picoult;2 weeks on the list,THE WISE MAN'S FEAR;by Patrick Rothfuss;2 weeks on the list,PRIVATE: #1 SUSPECT;by James Patterson and Maxine Paetro;3 weeks on the list,,,SING YOU HOME;by Jodi Picoult;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;7 weeks on the list,MOONWALKING WITH EINSTEIN;by Joshua Foer;New this week,INSIDE OF A DOG;by Alexandra Horowitz;23 weeks on the list,MOONWALKING WITH EINSTEIN;by Joshua Foer;2 weeks on the list,TELL TO WIN;by Peter Guber;2 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;502 weeks on the list,THE SOCIAL ANIMAL;by David Brooks;,COWBOYS AND ALIENS;by Scott Mitchell Rosenberg;New this week,SCOTT PILGRIM: PRECIOUS LITTLE LIFE;by Bryan Lee O’Malley;53 weeks on the list,"YU-GI-OH! GX, VOL. 6;by Naoyuki Kageyama;2 weeks on the list","JUSTIN BIEBER, FIRST STEP 2 FOREVER;by Justin Bieber;15 weeks on the list",RED RIDING HOOD;by Sarah Blakley-Cartwright;7 weeks on the list,LEGO STAR WARS;by Simon Beecroft;64 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;192 weeks on the list
4,LOVE YOU MORE;by Lisa Gardner;New this week,THE GIRL WHO KICKED THE HORNET’S NEST;by Stieg Larsson;42 weeks on the list,THE POSTMISTRESS;by Sarah Blake;6 weeks on the list,,,THE WISE MAN'S FEAR;by Patrick Rothfuss;,THE SOCIAL ANIMAL;by David Brooks;New this week,TOWNIE;by Andre Dubus III;2 weeks on the list,THE BIG SHORT;by Michael Lewis;6 weeks on the list,THE SOCIAL ANIMAL;by David Brooks;New this week,ENCHANTMENT;by Guy Kawasaki;New this week,CRAZY LOVE;by Francis Chan with Danae Yankoski;21 weeks on the list,UNBROKEN;by Laura Hillenbrand;,NEMESIS;by Mark Millar and Steve McNiven;3 weeks on the list,"THE WALKING DEAD, VOL. 1;by Robert Kirkman and Tony Moore;69 weeks on the list","SOUL EATER, VOL. 5;by Atsushi Ohkubo;3 weeks on the list","THE RED PYRAMID: THE KANE CHRONICLES, BOOK ONE;by Rick Riordan and Orpheus Collar;45 weeks on the list",THE BOOK THIEF;by Markus Zusak;183 weeks on the list,OF THEE I SING;by Barack Obama. Illustrated by Loren Long;17 weeks on the list,MAXIMUM RIDE;by James Patterson;69 weeks on the list
5,THE GIRL WHO KICKED THE HORNET’S NEST;by Stieg Larsson;7 weeks on the list,LOVE YOU MORE;by Lisa Gardner;New this week,THE GIRL WITH THE DRAGON TATTOO;by Stieg Larsson;90 weeks on the list,,,THE GIRL WITH THE DRAGON TATTOO;by Stieg Larsson;,MOONWALKING WITH EINSTEIN;by Joshua Foer;New this week,A SIMPLE GOVERNMENT;by Mike Huckabee;New this week,THE KING’S SPEECH;by Mark Logue and Peter Conradi;8 weeks on the list,DECISION POINTS;by George W. Bush;7 weeks on the list,WIN;by Frank I. Luntz;2 weeks on the list,THE HAPPINESS PROJECT;by Gretchen Rubin;2 weeks on the list,MOONWALKING WITH EINSTEIN;by Joshua Foer;,BUFFY THE VAMPIRE SLAYER: TALES;by Joss Whedon and others;7 weeks on the list,SCOTT PILGRIM VS. THE WORLD;by Bryan Lee O’Malley;49 weeks on the list,"BLACK BUTLER, VOL. 4;by Yana Toboso;7 weeks on the list",HOTHEAD;by Cal Ripken Jr. and Kevin Cowherd;2 weeks on the list,FALLEN;by Lauren Kate;24 weeks on the list,INTERRUPTING CHICKEN;written and illustrated by David Ezra Stein;8 weeks on the list,HOUSE OF NIGHT;by P.C. Cast and Kristin Cast;119 weeks on the list
6,THE GIRL WITH THE DRAGON TATTOO;by Stieg Larsson;7 weeks on the list,A DISCOVERY OF WITCHES;by Deborah Harkness;5 weeks on the list,THE ART OF RACING IN THE RAIN;by Garth Stein;92 weeks on the list,,,THE GIRL WHO PLAYED WITH FIRE;by Stieg Larsson;,DECISION POINTS;by George W. Bush;7 weeks on the list,DECISION POINTS;by George W. Bush;18 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;210 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;7 weeks on the list,THE 4-HOUR BODY;by Timothy Ferriss;13 weeks on the list,"THE EAT THIS, NOT THAT! NO-DIET DIET;David Zinczenko with Matt Goulding;New this week",TOWNIE;by Andre Dubus III;,"SUPERMAN: EARTH ONE, VOL. 2;by J. Michael Straczynski and Shane Davis;20 weeks on the list",SCOTT PILGRIM AND THE INFINITE SADNESS;by Bryan Lee O’Malley;41 weeks on the list,"BLACK BIRD, VOL. 7;by Kanoko Sakurakoji;6 weeks on the list",TALES FROM A NOT-SO-POPULAR PARTY GIRL;by Rachel Renée Russell;33 weeks on the list,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;90 weeks on the list,WHEN I GROW UP;by Al Yankovic. Illustrated by Wes Hargis;6 weeks on the list,EVERNIGHT;by Claudia Gray;3 weeks on the list
7,THE GIRL WHO PLAYED WITH FIRE;by Stieg Larsson;7 weeks on the list,MINDING FRANKIE;by Maeve Binchy;2 weeks on the list,LITTLE BEE;by Chris Cleave;56 weeks on the list,,,CUTTING FOR STONE;by Abraham Verghese;,TOWNIE;by Andre Dubus III;New this week,CLEOPATRA;by Stacy Schiff;19 weeks on the list,THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;215 weeks on the list,_____ MY DAD SAYS;by Justin Halpern;7 weeks on the list,REVOLT!;by Dick Morris;2 weeks on the list,RADICAL;by David Platt;40 weeks on the list,A SIMPLE GOVERNMENT;by Mike Huckabee;,"THE WALKING DEAD, BOOK 1;by Robert Kirkman, Tony Moore and Charlie Adlard;25 weeks on the list","THE WALKING DEAD, VOL. 13;by Robert Kirkman and Charlie Adlard;15 weeks on the list","DOGS, VOL. 5;by Shirow Miwa;New this week",MOON OVER MANIFEST;by Clare Vanderpool;9 weeks on the list,THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;101 weeks on the list,ASPIRING ARTIST;by Jane O'Connor. Illustrated by Robin Preiss Glasser;2 weeks on the list,PRETTY LITTLE LIARS;by Sara Shepard;41 weeks on the list
8,TICK TOCK;by James Patterson and Michael Ledwidge;7 weeks on the list,THE PARIS WIFE;by Paula McLain;3 weeks on the list,THE GIRL WHO PLAYED WITH FIRE;by Stieg Larsson;51 weeks on the list,,,THE GIRL WHO KICKED THE HORNET’S NEST;by Stieg Larsson;,CLEOPATRA;by Stacy Schiff;7 weeks on the list,THE INFORMATION;by James Gleick;New this week,JUST KIDS;by Patti Smith;19 weeks on the list,CLEOPATRA;by Stacy Schiff;7 weeks on the list,THE AMEN SOLUTION;by Daniel G. Amen;New this week,5 VERY GOOD REASONS TO PUNCH A DOLPHIN IN THE MOUTH;by The Oatmeal;2 weeks on the list,DECISION POINTS;by George W. Bush;,"BRIGHTEST DAY, VOL. 1;by Geoff Johns and Peter Tomasi;14 weeks on the list",SCOTT PILGRIM’S FINEST HOUR;by Bryan Lee O’Malley;34 weeks on the list,"RIN-NE, VOL. 5;by Rumiko Takahashi;New this week",DORK DIARIES;written and illustrated by Rachel Renée Russell;36 weeks on the list,WHEN YOU REACH ME;by Rebecca Stead;11 weeks on the list,I BROKE MY TRUNK!;by Mo Willems;5 weeks on the list,THE TWILIGHT SAGA;by Stephenie Meyer;188 weeks on the list
9,A DISCOVERY OF WITCHES;by Deborah Harkness;5 weeks on the list,RIVER MARKED;by Patricia Briggs;2 weeks on the list,THE ISLAND;by Elin Hilderbrand;New this week,,,LOVE YOU MORE;by Lisa Gardner;,THE BIG SHORT;by Michael Lewis;7 weeks on the list,"BLOOD, BONES AND BUTTER;by Gabrielle Hamilton;2 weeks on the list",WHAT THE DOG SAW;by Malcolm Gladwell;13 weeks on the list,90 MINUTES IN HEAVEN;by Don Piper with Cecil Murphey;7 weeks on the list,PEACE FROM BROKEN PIECES;by Iyanla Vanzant;3 weeks on the list,"THE NEW ATKINS FOR A NEW YOU;by Eric C. Westman, Stephen D. Phinney and Jeff S. Volek;26 weeks on the list",INSIDE OF A DOG;by Alexandra Horowitz;,THE ADVENTURES OF OOK AND GLUK;by George Beard and Harold Hutchins;25 weeks on the list,SCOTT PILGRIM VS. THE UNIVERSE;by Bryan Lee O’Malley;46 weeks on the list,"BLACK BUTLER, VOL. 1;by Yana Toboso;25 weeks on the list",THE GIFT;by James Patterson and Ned Rust;13 weeks on the list,INCARCERON;by Catherine Fisher;5 weeks on the list,ART AND MAX;written and illustrated by David Wiesner;16 weeks on the list,HARRY POTTER;by J.K. Rowling;248 weeks on the list
10,THE LINCOLN LAWYER;by Michael Connelly;New this week,SILENT MERCY;by Linda Fairstein;New this week,HOTEL ON THE CORNER OF BITTER AND SWEET;by Jamie Ford;42 weeks on the list,,,A DISCOVERY OF WITCHES;by Deborah Harkness;,"BLOOD, BONES AND BUTTER;by Gabrielle Hamilton;2 weeks on the list",JESUS OF NAZARETH;by Joseph Ratzinger;New this week,90 MINUTES IN HEAVEN;by Don Piper with Cecil Murphey;184 weeks on the list,MY HORIZONTAL LIFE;by Chelsea Handler;7 weeks on the list,THE SECRET;by Rhonda Byrne;177 weeks on the list,MADE TO CRAVE;by Lysa TerKeurst;9 weeks on the list,THE BIG SHORT;by Michael Lewis;,DARK TOWER: TREACHERY;by Robin Furth and Peter David;5 weeks on the list,SCOTT PILGRIM: GETS IT TOGETHER;by Bryan Lee O’Malley;45 weeks on the list,"HETALIA AXIS POWERS, VOL. 2;by Hidekaz Himaruya;10 weeks on the list",DEMONGLASS;by Rachel Hawkins;2 weeks on the list,THE EVOLUTION OF CALPURNIA TATE;by Jacqueline Kelly;6 weeks on the list,IT’S A BOOK;written and illustrated by Lane Smith;26 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;38 weeks on the list
