,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Hardcover & Paperback Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Combined Hardcover & Paperback Nonfiction,Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Hardcover Business Books,Paperback Business Books,Politics and American History,Science
1,LOVER AT LAST;by J. R. Ward;New this week,LOVER AT LAST;by J. R. Ward;New this week,THE FORGOTTEN;by David Baldacci;New this week,,,LOVER AT LAST;by J. R. Ward;,LEAN IN;by Sheryl Sandberg with Nell Scovell;3 weeks on the list,LEAN IN;by Sheryl Sandberg with Nell Scovell;3 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;23 weeks on the list,LEAN IN;by Sheryl Sandberg with Nell Scovell;3 weeks on the list,LIFE CODE;by Phil McGraw;7 weeks on the list,"NOTHING TO LOSE, EVERYTHING TO GAIN;by Ryan Blair;New this week",LEAN IN;by Sheryl Sandberg with Nell Scovell;,"BATMAN, VOL. 2;by Scott Snyder and Greg Capullo;New this week","AVATAR: THE LAST AIRBENDER, PART 2;by Gene Luen Yang and others;12 weeks on the list","SAILOR MOON, VOL. 10;by Naoko Takeuchi;New this week",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,POEMS TO LEARN BY HEART;by Caroline Kennedy. Illustrated by Jon J Muth;New this week,THE TWILIGHT SAGA;by Stephenie Meyer;218 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,LEAN IN;by Sheryl Sandberg with Nell Scovell;,"NOTHING TO LOSE, EVERYTHING TO GAIN;by Ryan Blair;",KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;,SALT SUGAR FAT;by Michael Moss;
2,THE HOST;by Stephenie Meyer;4 weeks on the list,SIX YEARS;by Harlan Coben;2 weeks on the list,FIFTY SHADES OF GREY;by E. L. James;55 weeks on the list,,,SIX YEARS;by Harlan Coben;,PROOF OF HEAVEN;by Eben Alexander;23 weeks on the list,SALT SUGAR FAT;by Michael Moss;5 weeks on the list,AMERICA THE BEAUTIFUL;by Ben C. Carson and Candy Carson;7 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;23 weeks on the list,DECISIVE;by Chip Heath and Dan Heath;New this week,THE BEAUTY DETOX FOODS;by Kimberly Snyder;New this week,PROOF OF HEAVEN;by Eben Alexander;,"CHEW OMNIVORE EDITION, VOLUME 3;by John Layman and Rob Guillory;New this week","THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;85 weeks on the list","MOBILE SUIT GUNDAM: THE ORIGIN, VOL. 1;by Yoshikazu Yasuhiko and Hajime Yatate;New this week",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,EMERALDALICIOUS;by Victoria Kann;9 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;220 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,SALT SUGAR FAT;by Michael Moss;,OUTLIERS;by Malcolm Gladwell;,MY BELOVED WORLD;by Sonia Sotomayor;,QUIET;by Susan Cain;
3,SIX YEARS;by Harlan Coben;2 weeks on the list,THE BURGESS BOYS;by Elizabeth Strout;New this week,LIFE OF PI;by Yann Martel;26 weeks on the list,,,THE WANDERER;by Robyn Carr;,AMERICA THE BEAUTIFUL;by Ben C. Carson and Candy Carson;7 weeks on the list,SUM IT UP;by Pat Head Summitt with Sally Jenkins;4 weeks on the list,WILD;by Cheryl Strayed;New this week,SALT SUGAR FAT;by Michael Moss;5 weeks on the list,DARING GREATLY;by Brené Brown;7 weeks on the list,OBAMACARE SURVIVAL GUIDE;by Nick Tate;9 weeks on the list,AMERICA THE BEAUTIFUL;by Ben C. Carson and Candy Carson;,SUPERMAN: THE DEATH AND RETURN OF SUPERMAN OMNIBUS;by various;New this week,DRAMA;by Raina Telgemeier;27 weeks on the list,"SOUL EATER, VOL. 13;by Atsushi Ohkubo;New this week",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;78 weeks on the list",THE HUNGER GAMES;by Suzanne Collins;136 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,SOUNDTRACK OF MY LIFE;by Clive Davis with Anthony DeCurtis;,DRIVE;by Daniel H. Pink;,NO EASY DAY;by Mark Owen with Kevin Maurer;,THE POWER OF HABIT;by Charles Duhigg;
4,THE WANDERER;by Robyn Carr;New this week,LEAVING EVERYTHING MOST LOVED;by Jacqueline Winspear;New this week,WORLD WAR Z;by Max Brooks;40 weeks on the list,,,THE HOST;by Stephenie Meyer;,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;26 weeks on the list,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;26 weeks on the list,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;9 weeks on the list,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;26 weeks on the list,THE FASTDIET;by Michael Mosley and Mimi Spencer;5 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;296 weeks on the list,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;,KICK-ASS 2 PRELUDE: HIT-GIRL;by Mark Millar and John Romita Jr.;4 weeks on the list,"THE WALKING DEAD COMPENDIUM, VOL. 2;by Robert Kirkman and Charlie Adlard;25 weeks on the list","VAMPIRE KNIGHT, VOL. 16;by Matsuri Hino;4 weeks on the list",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,THE EASTER EGG;by Jan Brett;22 weeks on the list,BEAUTIFUL CREATURES;by Kami Garcia and Margaret Stohl;15 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,EARN THE RIGHT TO WIN;by Tom Coughlin with David Fisher;,TIPPING POINT;by Malcolm Gladwell;,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;
5,TWICE TEMPTED;by Jeaniene Frost;New this week,GONE GIRL;by Gillian Flynn;43 weeks on the list,THE GUARDIAN;by Beverly Lewis;New this week,,,THE LOST YEARS;by Mary Higgins Clark;,WILD;by Cheryl Strayed;40 weeks on the list,MY BELOVED WORLD;by Sonia Sotomayor;11 weeks on the list,QUIET;by Susan Cain;9 weeks on the list,BOSSYPANTS;by Tina Fey;88 weeks on the list,POWER OF CONSISTENCY;by Weldon Long;New this week,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;606 weeks on the list,WILD;by Cheryl Strayed;,"EARTH 2, VOL. 1;by James Robinson and Nicola Scott;2 weeks on the list","BATMAN, VOL. 1;by Scott Snyder and Greg Capullo;New this week","DURARARA: SAIKA ARC, VOL. 1;by Ryohgo Narita;New this week",THE ICKABOG;by J.K. Rowling;26 weeks on the list,THIS IS NOT MY HAT;by Jon Klassen;23 weeks on the list,THE INFERNAL DEVICES;by Cassandra Clare;2 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,DUCK COMMANDERS;by Willie and Korie Robertson with Mark Schlabach;,BOOMERANG;by Michael Lewis;,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;,BIG DATA;by Viktor Mayer-Schonberger and Kenneth Cukier;
6,FALLING INTO YOU;by Jasinda Wilder;2 weeks on the list,THE STORYTELLER;by Jodi Picoult;5 weeks on the list,THE HOST;by Stephenie Meyer;13 weeks on the list,,,THE BURGESS BOYS;by Elizabeth Strout;,SALT SUGAR FAT;by Michael Moss;5 weeks on the list,NO EASY DAY;by Mark Owen with Kevin Maurer;30 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;124 weeks on the list,DRINKING AND TWEETING;by Brandi Glanville with Leslie Bruce;7 weeks on the list,THE HORMONE CURE;by Sara Gottfried;2 weeks on the list,THE GIFTS OF IMPERFECTION;by Brené Brown;New this week,QUIET;by Susan Cain;,"THE WALKING DEAD, BOOK 1;by Robert Kirkman, Tony Moore and Charlie Adlard;88 weeks on the list","HAWKEYE, VOL. 1;by Matt Fraction and David Aja;2 weeks on the list","ROSARIO+VAMPIRE SEASON II, VOL. 11;by Akihisa Ikeda;4 weeks on the list",WONDER;by R.J. Palacio;295 weeks on the list,PRESS HERE;by Hervé Tullet;85 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;81 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,DECISIVE;by Chip Heath and Dan Heath;,PREDICTABLY IRRATIONAL;by Dan Ariely;,UNBROKEN;by Laura Hillenbrand;,THE HAPPINESS PROJECT;by Gretchen Rubin;
7,THE BURGESS BOYS;by Elizabeth Strout;New this week,THE GOLDEN EGG;by Donna Leon;New this week,FIFTY SHADES DARKER;by E. L. James;52 weeks on the list,,,THE BEST OF ME;by Nicholas Sparks;,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;26 weeks on the list,SOUNDTRACK OF MY LIFE;by Clive Davis with Anthony DeCurtis;6 weeks on the list,BOSSYPANTS;by Tina Fey;65 weeks on the list,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;39 weeks on the list,FIRSTHAND;by Ryan and Josh Shook;2 weeks on the list,EAT TO LIVE;by Joel Fuhrman;89 weeks on the list,SALT SUGAR FAT;by Michael Moss;,SPIDER-MAN: DYING WISH;by Dan Slott and Huberto Ramos;2 weeks on the list,"THE WALKING DEAD, VOL. 17;by Robert Kirkman and Charlie Adlard;16 weeks on the list","BLOOD LAD, VOL. 2;by Yuuki Kodama;New this week",REFUGEE;by Alan Gratz;129 weeks on the list,PETE THE CAT AND HIS FOUR GROOVY BUTTONS;by Eric Litwin. Illustrated by James Dean;47 weeks on the list,MIDDLE SCHOOL;by James Patterson and others;2 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,DETROIT;by Charlie LeDuff;,THE CHECKLIST MANIFESTO;by Atul Gawande;,A HIGHER CALL;by Adam Makos with Larry Alexander;,THE DRUNKEN BOTANIST;by Amy Stewart;
8,THE STORYTELLER;by Jodi Picoult;5 weeks on the list,"ALEX CROSS, RUN;by James Patterson;6 weeks on the list",FIFTY SHADES FREED;by E. L. James;52 weeks on the list,,,NOW YOU SEE HER;by James Patterson and Michael Ledwidge;,QUIET;by Susan Cain;19 weeks on the list,UNBROKEN;by Laura Hillenbrand;124 weeks on the list,LET'S PRETEND THIS NEVER HAPPENED;by Jenny Lawson;4 weeks on the list,THE GIRLS OF ATOMIC CITY;by Denise Kiernan;New this week,WHEAT BELLY;by William Davis;49 weeks on the list,CLEAN;by Alejandro Junger with Amely Greeven;7 weeks on the list,SUM IT UP;by Pat Head Summitt with Sally Jenkins;,ARE YOU MY MOTHER?;by Alison Bechdel;40 weeks on the list,"SAGA, VOL. 1;by Brian K. Vaughan and Fiona Staples;16 weeks on the list","YU-GI-OH! ZEXAL, VOL. 2;by Kazuki Takahashi;11 weeks on the list",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,PETE THE CAT: I LOVE MY WHITE SHOES;by Eric Litwin. Illustrated by James Dean;51 weeks on the list,MAGIC TREE HOUSE;by Mary Pope Osborne. Illustrated by Sal Murdocca;266 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,FRANCONA;by Terry Francona and Dan Shaughnessy;,END THIS DEPRESSION NOW!;by Paul Krugman;,COOLIDGE;by Amity Shlaes;,THEORETICAL MINIMUM;by Leonard Susskind;
9,"ALEX CROSS, RUN;by James Patterson;6 weeks on the list",A WEEK IN WINTER;by Maeve Binchy;7 weeks on the list,THE PARIS WIFE;by Paula McLain;18 weeks on the list,,,LEAVING EVERYTHING MOST LOVED;by Jacqueline Winspear;,SUM IT UP;by Pat Head Summitt with Sally Jenkins;4 weeks on the list,A HIGHER CALL;by Adam Makos with Larry Alexander;11 weeks on the list,ESCAPE FROM CAMP 14;by Blaine Harden;New this week,ALL SOULS;by Michael MacDonald;2 weeks on the list,SHRED: THE REVOLUTIONARY DIET;by Ian K. Smith;13 weeks on the list,THE HONEST LIFE;by Jessica Alba;3 weeks on the list,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;,BATMAN: THE COURT OF OWLS;by Scott Snyder and Greg Capullo;27 weeks on the list,OLYMPIANS: POSEIDON;by George O'Connor;2 weeks on the list,"BAKUMAN, VOL. 18;by Tsugumi Ohba;3 weeks on the list",GROUND ZERO;by Alan Gratz;10 weeks on the list,GREEN;by Laura Vaccaro Seeger;New this week,HEROES OF OLYMPUS;by Rick Riordan;26 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;,AMERICA THE BEAUTIFUL;by Ben C. Carson and Candy Carson;,THE GIRLS OF ATOMIC CITY;by Denise Kiernan;
10,GONE GIRL;by Gillian Flynn;43 weeks on the list,Z;by Therese Anne Fowler;New this week,THE SILVER LININGS PLAYBOOK;by Matthew Quick;11 weeks on the list,,,THE FORGOTTEN;by David Baldacci;,BOSSYPANTS;by Tina Fey;48 weeks on the list,THOSE ANGRY DAYS;by Lynne Olson;New this week,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;108 weeks on the list,AMERICA THE BEAUTIFUL;by Ben C. Carson and Candy Carson;7 weeks on the list,THE DRUNKEN BOTANIST;by Amy Stewart;2 weeks on the list,THE HAPPINESS PROJECT;by Gretchen Rubin;106 weeks on the list,MY BELOVED WORLD;by Sonia Sotomayor;,MADELEINE L'ENGLE'S A WRINKLE IN TIME;by Hope Larson;24 weeks on the list,SMILE;by Raina Telgemeier;55 weeks on the list,"ONE PIECE, VOL. 66;by Eiichiro Oda;4 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,OTIS AND THE PUPPY;by Loren Long;3 weeks on the list,BIG NATE;written and illustrated by Lincoln Peirce;77 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,LEAN ENTREPRENEUR;by Brant Cooper and Patrick Vlaskovits;,BAILOUT;by Neil Barofsky;,DETROIT;by Charlie LeDuff;,UNLEASH THE POWER OF THE FEMALE BRAIN;by Daniel G. Amen;
