,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Animals,Business,Celebrities,Crime and Punishment,Culture,Education,Espionage,Expeditions,"Fashion, Manners and Customs",Food and Diet,Games and Activities,Health,Humor,Love and Relationships,Parenthood and Family,Politics and American History,Race and Civil Rights,"Religion, Spirituality and Faith",Science,Sports and Fitness,Travel
1,RIGHT BEHIND YOU;by Lisa Gardner;New this week,RIGHT BEHIND YOU;by Lisa Gardner;New this week,A DOG'S PURPOSE;by W. Bruce Cameron;26 weeks on the list,HIDDEN FIGURES;by Margot Lee Shetterly;8 weeks on the list,HILLBILLY ELEGY;by J.D. Vance;28 weeks on the list,HIDDEN FIGURES;by Margot Lee Shetterly;9 weeks on the list,TOOLS OF TITANS;by Tim Ferriss;9 weeks on the list,DOG MAN UNLEASHED;by Dav Pilkey;6 weeks on the list,LOVE FROM THE VERY HUNGRY CATERPILLAR;by Eric Carle;10 weeks on the list,HARRY POTTER;by J.K. Rowling;411 weeks on the list,CARVE THE MARK;by Veronica Roth;3 weeks on the list,,TOOLS OF TITANS;by Tim Ferriss;,,,,,,,,,,,,,,,,,HIDDEN FIGURES;by Margot Lee Shetterly;,SHOE DOG;by Phil Knight;,
2,A DOG'S PURPOSE;by W. Bruce Cameron;9 weeks on the list,NEVER NEVER;by James Patterson and Candice Fox;3 weeks on the list,A MAN CALLED OVE;by Fredrik Backman;58 weeks on the list,HILLBILLY ELEGY;by J.D. Vance;28 weeks on the list,KILLING THE RISING SUN;by Bill O'Reilly and Martin Dugard;21 weeks on the list,ALEXANDER HAMILTON;by Ron Chernow;69 weeks on the list,YOU ARE A BADASS;by Jen Sincero;56 weeks on the list,WONDER;by R.J. Palacio;78 weeks on the list,"ADA TWIST, SCIENTIST;by Andrea Beaty. Illustrated by David Roberts;22 weeks on the list",DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;412 weeks on the list,CARAVAL;by Stephanie Garber;New this week,,THE MAGNOLIA STORY;by Chip Gaines and Joanna Gaines with Mark Dagostino;,,,,,,,,,,,,,,,,,THE LOST CITY OF THE MONKEY GOD;by Douglas Preston;,SHAKEN;by Tim Tebow;,
3,A MAN CALLED OVE;by Fredrik Backman;37 weeks on the list,THE GIRL BEFORE;by J P Delaney;2 weeks on the list,MILK AND HONEY;by Rupi Kaur;43 weeks on the list,KILLING THE RISING SUN;by Bill O'Reilly and Martin Dugard;21 weeks on the list,THREE DAYS IN JANUARY;by Bret Baier with Catherine Whitney;4 weeks on the list,WE SHOULD ALL BE FEMINISTS;by Chimamanda Ngozi Adichie;16 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;186 weeks on the list,LOST IN A BOOK;by Jennifer Donnelly;New this week,I DISSENT;by Debbie Levy. Illustrated by Elizabeth Baddeley;2 weeks on the list,MISS PEREGRINE’S PECULIAR CHILDREN;by Ransom Riggs;72 weeks on the list,COURAGE TO SOAR;by Simone Biles with Michelle Burford;12 weeks on the list,,THE UNDOING PROJECT;by Michael Lewis;,,,,,,,,,,,,,,,,,THE UNDOING PROJECT;by Michael Lewis;,THE BOYS IN THE BOAT;by Daniel James Brown;,
4,NEVER NEVER;by James Patterson and Candice Fox;3 weeks on the list,THE UNDERGROUND RAILROAD;by Colson Whitehead;26 weeks on the list,MY GRANDMOTHER ASKED ME TO TELL YOU SHE'S SORRY;by Fredrik Backman;42 weeks on the list,THREE DAYS IN JANUARY;by Bret Baier with Catherine Whitney;4 weeks on the list,THE MAGNOLIA STORY;by Chip Gaines and Joanna Gaines with Mark Dagostino;16 weeks on the list,THE NEW JIM CROW;by Michelle Alexander;147 weeks on the list,THE WHOLE30;by Melissa Hartwig and Dallas Hartwig;70 weeks on the list,THE GIRL WHO DRANK THE MOON;by Kelly Barnhill;5 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;155 weeks on the list,A SERIES OF UNFORTUNATE EVENTS;by Lemony Snicket;143 weeks on the list,HEARTLESS;by Marissa Meyer;13 weeks on the list,,THANK YOU FOR BEING LATE;by Thomas L. Friedman;,,,,,,,,,,,,,,,,,WHEN BREATH BECOMES AIR;by Paul Kalanithi;,COURAGE TO SOAR;by Simone Biles with Michelle Burford;,
5,THE SHACK;by William P. Young;2 weeks on the list,THE WHISTLER;by John Grisham;15 weeks on the list,THE SHACK;by William P. Young;139 weeks on the list,THE MAGNOLIA STORY;by Chip Gaines and Joanna Gaines with Mark Dagostino;16 weeks on the list,THE BOOK OF JOY;by the Dalai Lama and Desmond Tutu with Douglas Abrams;16 weeks on the list,DARK MONEY;by Jane Mayer;2 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;8 weeks on the list,WORD OF MOUSE;by James Patterson and Chris Grabenstein. Illustrated by Joe Sutphin;8 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;71 weeks on the list,DORK DIARIES;by Rachel Renée Russell;193 weeks on the list,SCYTHE;by Neal Shusterman;8 weeks on the list,,"THINKING, FAST AND SLOW;by Daniel Kahneman;",,,,,,,,,,,,,,,,,"THINKING, FAST AND SLOW;by Daniel Kahneman;",I GOT THIS;by Laurie Hernandez;,
6,SEVEN MINUTES IN HEAVEN;by Eloisa James;New this week,TWO BY TWO;by Nicholas Sparks;18 weeks on the list,THE WIDOW;by Fiona Barton;3 weeks on the list,THE LOST CITY OF THE MONKEY GOD;by Douglas Preston;5 weeks on the list,TEARS WE CANNOT STOP;by Michael Eric Dyson;3 weeks on the list,THE RAINBOW COMES AND GOES;by Anderson Cooper and Gloria Vanderbilt;New this week,THE WHOLE30 COOKBOOK;by Melissa Hartwig;7 weeks on the list,PAX;Sara Pennypacker. Illustrated by Jon Klassen;50 weeks on the list,THE BOOK WITH NO PICTURES;by B.J. Novak;122 weeks on the list,THE LAND OF STORIES;by Chris Colfer. Illustrated by Brandon Dorman;30 weeks on the list,THE SUN IS ALSO A STAR;by Nicola Yoon;14 weeks on the list,,SHOE DOG;by Phil Knight;,,,,,,,,,,,,,,,,,CASE AGAINST SUGAR;by Gary Taubes;,WHAT DOESN’T KILL US;by Scott Carney;,
7,BILLIONAIRE UNKNOWN;by J. S. Scott;New this week,SMALL GREAT THINGS;by Jodi Picoult;17 weeks on the list,THE GIRL ON THE TRAIN;by Paula Hawkins;30 weeks on the list,TEARS WE CANNOT STOP;by Michael Eric Dyson;2 weeks on the list,HIDDEN FIGURES;by Margot Lee Shetterly;5 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;122 weeks on the list",UNINVITED;by Lysa TerKeurst;20 weeks on the list,GRAVITY FALLS: JOURNAL 3;by Rob Renzetti and Alex Hirsch. Illustrated by Andy Gonsalves and Stephanie Ramirez;28 weeks on the list,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;189 weeks on the list,HOUSE OF ROBOTS;by James Patterson and Chris Grabenstein. Illustrated by Juliana Neufeld;3 weeks on the list,LADY MIDNIGHT;by Cassandra Clare;38 weeks on the list,,CASE AGAINST SUGAR;by Gary Taubes;,,,,,,,,,,,,,,,,,THE HIDDEN LIFE OF TREES;by Peter Wohlleben;,FURIOUS GEORGE;by George Karl with Curt Sampson;,
8,PICTURE PERFECT;by Jodi Picoult;New this week,THE PRISONER;by Alex Berenson;New this week,FIFTY SHADES DARKER;by E. L. James;114 weeks on the list,ALEXANDER HAMILTON;by Ron Chernow;58 weeks on the list,THE LOST CITY OF THE MONKEY GOD;by Douglas Preston;5 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;97 weeks on the list,"FOOD, HEALTH AND HAPPINESS;by Oprah Winfrey;5 weeks on the list",DOG MAN;by Dav Pilkey;23 weeks on the list,"ROSIE REVERE, ENGINEER;by Andrea Beaty. Illustrated by David Roberts;86 weeks on the list",LUNAR CHRONICLES;by Marissa Meyer;31 weeks on the list,THIS IS WHERE IT ENDS;by Marieke Nijkamp;37 weeks on the list,,THE POWER OF HABIT;by Charles Duhigg;,,,,,,,,,,,,,,,,,THE TELOMERE EFFECT;by Elizabeth Blackburn and Elissa Epel;,A LIFE WELL PLAYED;by Arnold Palmer;,
9,THE GIRL BEFORE;by J P Delaney;2 weeks on the list,THE MISTRESS;by Danielle Steel;5 weeks on the list,SILENCE;by Shusaku Endo;4 weeks on the list,WHEN BREATH BECOMES AIR;by Paul Kalanithi;50 weeks on the list,THANK YOU FOR BEING LATE;by Thomas L. Friedman;11 weeks on the list,QUIET;by Susan Cain;149 weeks on the list,THE LIFE-CHANGING MAGIC OF TIDYING UP;by Marie Kondo;113 weeks on the list,I GOT THIS;by Laurie Hernandez;2 weeks on the list,WAITING IS NOT EASY!;by Mo Willems;44 weeks on the list,MIDDLE SCHOOL;by James Patterson and others;34 weeks on the list,MOON CHOSEN;by P. C. Cast;16 weeks on the list,,GRIT;by Angela Duckworth;,,,,,,,,,,,,,,,,,THE POWER OF HABIT;by Charles Duhigg;,BARBARIAN DAYS;by William Finnegan;,
10,THE APARTMENT;by Danielle Steel;5 weeks on the list,A GENTLEMAN IN MOSCOW;by Amor Towles;12 weeks on the list,THE GAMES;by James Patterson and Mark Sullivan;5 weeks on the list,THE BOOK OF JOY;by the Dalai Lama and Desmond Tutu with Douglas Abrams;11 weeks on the list,WHEN BREATH BECOMES AIR;by Paul Kalanithi;49 weeks on the list,OUTLIERS;by Malcolm Gladwell;232 weeks on the list,THE LITTLE BOOK OF HYGGE;by Meik Wiking;2 weeks on the list,WOMEN IN SCIENCE;by Rachel Ignotofsky;18 weeks on the list,THEY ALL SAW A CAT;by Brendan Wenzel;3 weeks on the list,BAD KITTY;by Nick Bruel;8 weeks on the list,STAR WARS: AHSOKA;by E. K. Johnston;12 weeks on the list,,SPARK;by Angie Morgan;,,,,,,,,,,,,,,,,,QUIET;by Susan Cain;,BELICHICK AND BRADY;by Michael Holley;,
