,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Audio Fiction,Audio Nonfiction,Business,Science,Sports and Fitness
1,THE GREAT ALONE;by Kristin Hannah;4 weeks on the list,THE GREAT ALONE;by Kristin Hannah;4 weeks on the list,THE SUN AND HER FLOWERS;by Rupi Kaur;22 weeks on the list,I'LL BE GONE IN THE DARK;by Michelle McNamara;New this week,FIRE AND FURY;by Michael Wolff;9 weeks on the list,HORSE SOLDIERS;by Doug Stanton;12 weeks on the list,I'VE BEEN THINKING ...;by Maria Shriver;New this week,WONDER;by R.J. Palacio;134 weeks on the list,PETE THE CAT: BIG EASTER ADVENTURE;by James Dean and Kimberly Dean;6 weeks on the list,DOG MAN;by Dav Pilkey;27 weeks on the list,THE HATE U GIVE;by Angie Thomas;53 weeks on the list,READY PLAYER ONE;by Ernest Cline;,FIRE AND FURY;by Michael Wolff;,CRUSHING IT!;by Gary Vaynerchuk;,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;,ALL-AMERICAN MURDER;by James Patterson and Alex Abramovich with Mike Harvkey;
2,HELLO STRANGER;by Lisa Kleypas;New this week,FIFTY FIFTY;by James Patterson and Candice Fox;2 weeks on the list,READY PLAYER ONE;by Ernest Cline;48 weeks on the list,SKIN IN THE GAME;by Nassim Nicholas Taleb;New this week,I'LL BE GONE IN THE DARK;by Michelle McNamara;New this week,BEING MORTAL;by Atul Gawande;26 weeks on the list,FOOD;by Mark Hyman;New this week,AUGGIE & ME;by R.J. Palacio;66 weeks on the list,HOW TO CATCH A LEPRECHAUN;by Adam Wallace. Illustrated by Andy Elkerton;7 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;468 weeks on the list,TURTLES ALL THE WAY DOWN;by John Green;21 weeks on the list,THE WOMAN IN THE WINDOW;by A.J. Finn;,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;,PRINCIPLES;by Ray Dalio;,ENLIGHTENMENT NOW;by Steven Pinker;,TB12 METHOD;by Tom Brady;
3,RED SPARROW;by Jason Matthews;2 weeks on the list,THE WOMAN IN THE WINDOW;by A.J. Finn;9 weeks on the list,MILK AND HONEY;by Rupi Kaur;99 weeks on the list,EDUCATED;by Tara Westover;2 weeks on the list,SKIN IN THE GAME;by Nassim Nicholas Taleb;New this week,THE POWER OF HABIT;by Charles Duhigg;106 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;64 weeks on the list,"HELLO, UNIVERSE;by Erin Entrada Kelly;3 weeks on the list",DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;210 weeks on the list,HARRY POTTER;by J.K. Rowling;467 weeks on the list,THE HAZEL WOOD;by Melissa Albert;5 weeks on the list,THE GREAT ALONE;by Kristin Hannah;,THE LAST BLACK UNICORN;by Tiffany Haddish;,WHEN;by Daniel H. Pink;,LEONARDO DA VINCI;by Walter Isaacson;,ENDURE;by Alex Hutchinson;
4,FIFTY FIFTY;by James Patterson and Candice Fox;2 weeks on the list,AN AMERICAN MARRIAGE;by Tayari Jones;4 weeks on the list,SMALL GREAT THINGS;by Jodi Picoult;2 weeks on the list,FIRE AND FURY;by Michael Wolff;9 weeks on the list,EDUCATED;by Tara Westover;2 weeks on the list,EVICTED;by Matthew Desmond;25 weeks on the list,YOU ARE A BADASS;by Jen Sincero;112 weeks on the list,LITTLE LEADERS;by Vashti Harrison;12 weeks on the list,SHE PERSISTED;by Chelsea Clinton. Illustrated by Alexandra Boiger;39 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;108 weeks on the list,LONG WAY DOWN;by Jason Reynolds;10 weeks on the list,THE WIFE BETWEEN US;by Greer Hendricks and Sarah Pekkanen;,THE POWER OF HABIT;by Charles Duhigg;,RISE AND GRIND;by Daymond John with Daniel Paisner;,WHEN;by Daniel H. Pink;,SHAKEN;by Tim Tebow;
5,AN AMERICAN MARRIAGE;by Tayari Jones;4 weeks on the list,LITTLE FIRES EVERYWHERE;by Celeste Ng;24 weeks on the list,CALL ME BY YOUR NAME;by André Aciman;9 weeks on the list,ENLIGHTENMENT NOW;by Steven Pinker;3 weeks on the list,OBAMA;by Pete Souza;12 weeks on the list,THE NEW JIM CROW;by Michelle Alexander;168 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;232 weeks on the list,GOOD NIGHT STORIES FOR REBEL GIRLS;by Elena Favilli and Francesca Cavallo;36 weeks on the list,"BABY MONKEY, PRIVATE EYE;by Brian Selznick and David Serlin. Illustrated by Brian Selznick;New this week",I SURVIVED;by Lauren Tarshis;38 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;36 weeks on the list,BEFORE WE WERE YOURS;by Lisa Wingate;,BORN A CRIME;by Trevor Noah;,CAPITAL GAINES;by Chip Gaines;,LOST CONNECTIONS;by Johann Hari;,THE BOYS IN THE BOAT;by Daniel James Brown;
6,THE WOMAN IN THE WINDOW;by A.J. Finn;9 weeks on the list,RASPBERRY DANISH MURDER;by Joanne Fluke;New this week,LINCOLN IN THE BARDO;by George Saunders;4 weeks on the list,KILLERS OF THE FLOWER MOON;by David Grann;38 weeks on the list,ENLIGHTENMENT NOW;by Steven Pinker;3 weeks on the list,JUST MERCY;by Bryan Stevenson;93 weeks on the list,PRINCIPLES;by Ray Dalio;22 weeks on the list,WOMEN IN SCIENCE;by Rachel Ignotofsky;60 weeks on the list,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;230 weeks on the list,DORK DIARIES;by Rachel Renée Russell;241 weeks on the list,THUNDERHEAD;by Neal Shusterman;8 weeks on the list,ZERO HOUR;by Craig Alanson;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,THE CULTURE CODE;by Daniel Coyle;,SAPIENS;by Yuval Noah Harari;,SHOE DOG;by Phil Knight;
7,READY PLAYER ONE;by Ernest Cline;15 weeks on the list,BEFORE WE WERE YOURS;by Lisa Wingate;24 weeks on the list,ANNIHILATION;by Jeff VanderMeer;New this week,OBAMA;by Pete Souza;12 weeks on the list,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;44 weeks on the list,ALEXANDER HAMILTON;by Ron Chernow;95 weeks on the list,THE WHOLE30;by Melissa Hartwig and Dallas Hartwig;112 weeks on the list,MINECRAFT: THE ISLAND;by Max Brooks;31 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;123 weeks on the list,WHO WAS/IS . . . ?;by Jim Gigliotti and others; various illustrators;41 weeks on the list,THIS IS WHERE IT ENDS;by Marieke Nijkamp;70 weeks on the list,ARTEMIS;by Andy Weir;,ENLIGHTENMENT NOW;by Steven Pinker;,TRIBE OF MENTORS;by Timothy Ferriss;,BEING MORTAL;by Atul Gawande;,UNBROKEN;by Laura Hillenbrand;
8,FATAL CHAOS;by Marie Force;New this week,STILL ME;by Jojo Moyes;5 weeks on the list,WE WERE THE LUCKY ONES;by Georgia Hunter;9 weeks on the list,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;43 weeks on the list,KILLERS OF THE FLOWER MOON;by David Grann;37 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;161 weeks on the list",METABOLISM REVOLUTION;by Haylie Pomroy with Eve Adamson;New this week,WISHTREE;by Katherine Applegate. Illustrated by Charles Santoso;22 weeks on the list,LOVE;by Matt de la Peña. Illustrated by Loren Long;8 weeks on the list,THE BAD GUYS;by Aaron Blabey;9 weeks on the list,BATMAN: NIGHTWALKER;by Marie Lu;9 weeks on the list,THE DISPATCHER;by John Scalzi;,SAPIENS;by Yuval Noah Harari;,THE POWER OF HABIT;by Charles Duhigg;,WHEN BREATH BECOMES AIR;by Paul Kalanithi;,FIERCE;by Aly Raisman;
9,LITTLE FIRES EVERYWHERE;by Celeste Ng;19 weeks on the list,THE HUSH;by John Hart;New this week,THE HANDMAID'S TALE;by Margaret Atwood;54 weeks on the list,BORN A CRIME;by Trevor Noah;29 weeks on the list,THE LAST BLACK UNICORN;by Tiffany Haddish;12 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;414 weeks on the list,CRUSHING IT!;by Gary Vaynerchuk;5 weeks on the list,THE GIRL WHO DRANK THE MOON;by Kelly Barnhill;42 weeks on the list,DEAR GIRL;by Amy Krouse Rosenthal and Paris Rosenthal. Illustrated by Holly Hatam;8 weeks on the list,THE LAST KIDS ON EARTH;by Max Brallier. Illustrated by Douglas Holgate;6 weeks on the list,PIECING ME TOGETHER;by Renée Watson;New this week,DARK IN DEATH;by J.D. Robb;,LEONARDO DA VINCI;by Walter Isaacson;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",THE POWER OF HABIT;by Charles Duhigg;,BARBARIAN DAYS;by William Finnegan;
10,RASPBERRY DANISH MURDER;by Joanne Fluke;New this week,ORIGIN;by Dan Brown;22 weeks on the list,LILAC GIRLS;by Martha Hall Kelly;51 weeks on the list,LEONARDO DA VINCI;by Walter Isaacson;20 weeks on the list,BORN A CRIME;by Trevor Noah;27 weeks on the list,OUTLIERS;by Malcolm Gladwell;245 weeks on the list,MAKE YOUR BED;by William H. McRaven;42 weeks on the list,THE WILD ROBOT;by Peter Brown;16 weeks on the list,THE BOOK WITH NO PICTURES;by B.J. Novak;139 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;465 weeks on the list,BEFORE I LET GO;by Marieke Nijkamp;5 weeks on the list,ORIGIN;by Dan Brown;,THEFT BY FINDING;by David Sedaris;,DISCIPLINE EQUALS FREEDOM;by Jocko Willink;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",BECOMING KAREEM;by Kareem Abdul-Jabbar and Raymond Obstfeld;
