,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Hardcover & Paperback Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Combined Hardcover & Paperback Nonfiction,Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Hardcover Business Books,Paperback Business Books,Politics and American History,Science
1,THE HIT;by David Baldacci;New this week,THE HIT;by David Baldacci;New this week,BEAUTIFUL RUINS;by Jess Walter;4 weeks on the list,,,THE HIT;by David Baldacci;,LET'S EXPLORE DIABETES WITH OWLS;by David Sedaris;New this week,LET'S EXPLORE DIABETES WITH OWLS;by David Sedaris;New this week,PROOF OF HEAVEN;by Eben Alexander;27 weeks on the list,LET'S EXPLORE DIABETES WITH OWLS;by David Sedaris;New this week,JUMPSTART TO SKINNY;by Bob Harper with Greg Critser;New this week,LET'S EXPLORE DIABETES WITH OWLS;by David Sedaris;,"BATMAN, VOL. 2;by Scott Snyder and Greg Capullo;5 weeks on the list","THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;89 weeks on the list","BLACK BUTLER, VOL. 13;by Yana Toboso;New this week",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,POEMS TO LEARN BY HEART;by Caroline Kennedy. Illustrated by Jon J Muth;5 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;140 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,LEAN IN;by Sheryl Sandberg with Nell Scovell;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",GREAT DEFORMATION;by David Stockman;,BRAIN ON FIRE;by Susannah Cahalan;
2,CLAIM ME;by J. Kenner;New this week,WHISKEY BEACH;by Nora Roberts;2 weeks on the list,WORLD WAR Z;by Max Brooks;44 weeks on the list,,,WHISKEY BEACH;by Nora Roberts;,LEAN IN;by Sheryl Sandberg with Nell Scovell;7 weeks on the list,LEAN IN;by Sheryl Sandberg with Nell Scovell;7 weeks on the list,WILD;by Cheryl Strayed;5 weeks on the list,BRAIN ON FIRE;by Susannah Cahalan;10 weeks on the list,ONE THING;by Gary Keller with Jay Papasan;3 weeks on the list,LEAN IN;by Sheryl Sandberg with Nell Scovell;,MARBLE SEASON;by Gilbert Hernandez;New this week,"THE WALKING DEAD COMPENDIUM, VOL. 2;by Robert Kirkman and Charlie Adlard;29 weeks on the list","SPICE AND WOLF, VOL. 8;by Isuna Hasekura;New this week",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,THAT IS NOT A GOOD IDEA!;by Mo Willems;New this week,THE CRASH TRILOGY;by Nicole Williams;New this week,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,ONE THING;by Gary Keller with Jay Papasan;,OUTLIERS;by Malcolm Gladwell;,WAY OF THE KNIFE;by Mark Mazzetti;,GULP;by Mary Roach;
3,FLY AWAY;by Kristin Hannah;New this week,FLY AWAY;by Kristin Hannah;New this week,FIFTY SHADES OF GREY;by E. L. James;59 weeks on the list,,,FLY AWAY;by Kristin Hannah;,PROOF OF HEAVEN;by Eben Alexander;27 weeks on the list,COOKED;by Michael Pollan;New this week,AMERICA THE BEAUTIFUL;by Ben C. Carson and Candy Carson;11 weeks on the list,LEAN IN;by Sheryl Sandberg with Nell Scovell;7 weeks on the list,IT'S ALL GOOD;by Gwyneth Paltrow and Julia Turshen;3 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;,"TEENAGE MUTANT NINJA TURTLES: THE ULTIMATE COLLECTION, VOL. 4;by Kevin B. Eastman and Peter Laird;New this week","SMALLVILLE SEASON 11, VOL. 1;by Bryan Q. Miller and Pere Perez;New this week","NEGIMA MAGISTER NEGI MAGI, VOL. 38;by Ken Akamatsu;New this week",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,"STEAM TRAIN, DREAM TRAIN;by Sherri Duskey Rinker and Tom Lichtenheld;2 weeks on the list",SHADOW FALLS;by C. C. Hunter;2 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,GIVE AND TAKE;by Adam Grant;,TIPPING POINT;by Malcolm Gladwell;,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;,QUIET;by Susan Cain;
4,DAMAGED;by H. M. Ward;3 weeks on the list,PARIS;by Edward Rutherfurd;New this week,THE BLACK BOX;by Michael Connelly;2 weeks on the list,,,PARIS;by Edward Rutherfurd;,COOKED;by Michael Pollan;New this week,TRIDENT K9 WARRIORS;by Michael Ritland with Gary Brozek;New this week,WAKING UP IN HEAVEN;by Crystal McVea;2 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;27 weeks on the list,THE FAST METABOLISM DIET;by Haylie Pomroy with Eve Adamson;3 weeks on the list,COOKED;by Michael Pollan;,MARSHAL LAW: THE DELUXE EDITION;by Pat Mills and Kevin O'Neill;New this week,DARK TOWER: TREACHERY;by Robin Furth and Peter David;2 weeks on the list,"SAILOR MOON, VOL. 10;by Naoko Takeuchi;5 weeks on the list",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,FANCY NANCY: FANCIEST DOLL IN THE UNIVERSE;by Jane O'Connor. Illustrated by Robin Preiss Glasser;New this week,THE MORTAL INSTRUMENTS;by Cassandra Clare;85 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,GREAT DEFORMATION;by David Stockman;,DRIVE;by Daniel H. Pink;,UNBROKEN;by Laura Hillenbrand;,"THINKING, FAST AND SLOW;by Daniel Kahneman;"
5,WHISKEY BEACH;by Nora Roberts;2 weeks on the list,LIFE AFTER LIFE;by Kate Atkinson;4 weeks on the list,THE FORGOTTEN;by David Baldacci;5 weeks on the list,,,LIFE AFTER LIFE;by Kate Atkinson;,BRAIN ON FIRE;by Susannah Cahalan;5 weeks on the list,DIRTY WARS;by Jeremy Scahill;New this week,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;13 weeks on the list,COOKED;by Michael Pollan;New this week,START;by Jon Acuff;New this week,WILD;by Cheryl Strayed;,MADELEINE L'ENGLE'S A WRINKLE IN TIME;by Hope Larson;27 weeks on the list,"DIAL H, VOL. 1;by China Mieville and Mateus Santolouco;New this week","BLEACH, VOL. 56;by Tite Kubo;4 weeks on the list",THE ICKABOG;by J.K. Rowling;26 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;82 weeks on the list",DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;224 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,LEADERSHIFT;by Orrin Woodward and Oliver DeMille;,HOW TO RETIRE HAPPY;by Stan Hinden;,MY BELOVED WORLD;by Sonia Sotomayor;,SALT SUGAR FAT;by Michael Moss;
6,TWISTED PERFECTION;by Abbi Glines;New this week,WEDDING NIGHT;by Sophie Kinsella;New this week,THE LIGHT BETWEEN OCEANS;by M. L. Stedman;4 weeks on the list,,,BEAUTIFUL RUINS;by Jess Walter;,TRIDENT K9 WARRIORS;by Michael Ritland with Gary Brozek;New this week,CARRIE AND ME;by Carol Burnett;3 weeks on the list,QUIET;by Susan Cain;13 weeks on the list,AMERICAN ROSE;by Karen Abbott;2 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;3 weeks on the list,TRIDENT K9 WARRIORS;by Michael Ritland with Gary Brozek;,"MIND MGMT, VOL. 1;by Matt Kindt;New this week","SAGA, VOL. 1;by Brian K. Vaughan and Fiona Staples;20 weeks on the list","ALICE IN THE COUNTRY OF HEARTS: MY FANATIC RABBIT, VOL. 2;by QuinRose and Delico Psyche;New this week",WONDER;by R.J. Palacio;295 weeks on the list,THIS IS NOT MY HAT;by Jon Klassen;27 weeks on the list,BEAUTIFUL CREATURES;by Kami Garcia and Margaret Stohl;19 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,SALT SUGAR FAT;by Michael Moss;,"NOTHING TO LOSE, EVERYTHING TO GAIN;by Ryan Blair;",A HIGHER CALL;by Adam Makos with Larry Alexander;,CLEAN;by David Sheff;
7,THE BET;by Rachel Van Dyken;4 weeks on the list,DADDY'S GONE A HUNTING;by Mary Higgins Clark;3 weeks on the list,THE ORPHAN MASTER’S SON;by Adam Johnson;2 weeks on the list,,,WEDDING NIGHT;by Sophie Kinsella;,WILD;by Cheryl Strayed;44 weeks on the list,MY NEXT STEP;by Dave Liniger with Laura Morton;New this week,"THINKING, FAST AND SLOW;by Daniel Kahneman;4 weeks on the list",TOP OF THE MORNING;by Brian Stelter;New this week,VADER'S LITTLE PRINCESS;by Jeffrey Brown;New this week,WAKING UP IN HEAVEN;by Crystal McVea;,"100 BULLETS: DELUXE EDITION, BOOK FOUR;by Brian Azzarello and Eduardo Risso;2 weeks on the list","AVATAR: THE LAST AIRBENDER, PART 2;by Gene Luen Yang and others;16 weeks on the list","A CERTAIN SCIENTIFIC RAILGUN, VOL. 7;by Kazuma Kamachi;4 weeks on the list",REFUGEE;by Alan Gratz;129 weeks on the list,THE DARK;by Lemony Snicket. Illustrated by Jon Klassen;4 weeks on the list,BIG NATE;written and illustrated by Lincoln Peirce;79 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,ATHENA DOCTRINE;by John Gerzema and Michael D’Antonio;,OUTSOURCE SMART;by Daven Michaels;,TRIDENT K9 WARRIORS;by Michael Ritland with Gary Brozek;,THE GIRLS OF ATOMIC CITY;by Denise Kiernan;
8,WEDDING NIGHT;by Sophie Kinsella;New this week,GONE GIRL;by Gillian Flynn;47 weeks on the list,THE WITNESS;by Nora Roberts;4 weeks on the list,,,DADDY'S GONE A HUNTING;by Mary Higgins Clark;,WAKING UP IN HEAVEN;by Crystal McVea;New this week,THE NEW DIGITAL AGE;by Eric Schmidt and Jared Cohen;New this week,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;128 weeks on the list,ANGELA'S ASHES;by Frank McCourt;4 weeks on the list,LIFE CODE;by Phil McGraw;3 weeks on the list,AMERICA THE BEAUTIFUL;by Ben C. Carson and Candy Carson;,JERUSALEM;by Boaz Yakin and Nick Bertozzi;New this week,"BIRDS OF PREY, VOL. 2;by Duane Swierczynski and Travel Foreman;New this week","PANDORA HEARTS, VOL. 15;by Jun Mochizuki;New this week",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,PETE THE CAT: I LOVE MY WHITE SHOES;by Eric Litwin. Illustrated by James Dean;55 weeks on the list,HEROES OF OLYMPUS;by Rick Riordan;29 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,DUCK COMMANDERS;by Willie and Korie Robertson with Mark Schlabach;,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;,THE GIRLS OF ATOMIC CITY;by Denise Kiernan;,THE POWER OF HABIT;by Charles Duhigg;
9,THE MYSTERY WOMAN;by Amanda Quick;New this week,THE BURGESS BOYS;by Elizabeth Strout;5 weeks on the list,FIFTY SHADES DARKER;by E. L. James;56 weeks on the list,,,GONE GIRL;by Gillian Flynn;,DIRTY WARS;by Jeremy Scahill;New this week,WAY OF THE KNIFE;by Mark Mazzetti;3 weeks on the list,"LOTS OF CANDLES, PLENTY OF CAKE;by Anna Quindlen;New this week",TRIDENT K9 WARRIORS;by Michael Ritland with Gary Brozek;2 weeks on the list,LEADERSHIFT;by Orrin Woodward and Oliver DeMille;2 weeks on the list,DIRTY WARS;by Jeremy Scahill;,"DETECTIVE COMICS, VOL. 2;by Tony S. Daniel and Ed Benes;2 weeks on the list",PUNK ROCK JESUS;by Sean Murphy;3 weeks on the list,"DAWN OF THE ARCANA, VOL. 9;by Rei Toma;2 weeks on the list",GROUND ZERO;by Alan Gratz;10 weeks on the list,PRESS HERE;by Hervé Tullet;89 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;286 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,START;by Jon Acuff;,PREDICTABLY IRRATIONAL;by Dan Ariely;,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;,THE NEW DIGITAL AGE;by Eric Schmidt and Jared Cohen;
10,REAL;by Katy Evans;2 weeks on the list,THE MYSTERY WOMAN;by Amanda Quick;New this week,FIFTY SHADES FREED;by E. L. James;56 weeks on the list,,,THE BEST OF ME;by Nicholas Sparks;,THE NEW DIGITAL AGE;by Eric Schmidt and Jared Cohen;New this week,GULP;by Mary Roach;4 weeks on the list,BOSSYPANTS;by Tina Fey;69 weeks on the list,I'LL SEE YOU AGAIN;by Jackie Hance with Janice Kaplan;New this week,OBAMACARE SURVIVAL GUIDE;by Nick Tate;3 weeks on the list,CARRIE AND ME;by Carol Burnett;,50 GIRLS 50 AND OTHER STORIES;by Al Williamson and others;2 weeks on the list,WHO IS AC?;by Hope Larson and Tintin Pantoja;New this week,"YU-GI-OH 5D'S, VOL. 4;by Masahiro Hikokubo;4 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,LET'S GO FOR A DRIVE!;by Mo Willems;8 weeks on the list,THE INFERNAL DEVICES;by Cassandra Clare;6 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,DECISIVE;by Chip Heath and Dan Heath;,THE CHECKLIST MANIFESTO;by Atul Gawande;,DIRTY WARS;by Jeremy Scahill;,THE DRUNKEN BOTANIST;by Amy Stewart;
