,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Food and Diet,Hardcover Business Books,Paperback Business Books,Politics and American History,Science
1,THE HERO;by Robyn Carr;New this week,HOW THE LIGHT GETS IN;by Louise Penny;New this week,THE CASUAL VACANCY;by J. K. Rowling;6 weeks on the list,,,THE LIBERTY AMENDMENTS;by Mark R. Levin;3 weeks on the list,THE LIBERTY AMENDMENTS;by Mark R. Levin;3 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;45 weeks on the list,ORANGE IS THE NEW BLACK;by Piper Kerman;8 weeks on the list,E-SQUARED;by Pam Grout;7 weeks on the list,"THE FLASH, VOL. 2;by Francis Manapul, Brian Buccellato and Marcus To;2 weeks on the list",MARCH: BOOK ONE;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;3 weeks on the list,"NARUTO, VOL. 62;by Masashi Kishimoto;4 weeks on the list",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,PETE THE CAT: THE WHEELS ON THE BUS;by James Dean;10 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;103 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,WHEAT BELLY;by William Davis;,LEAN IN;by Sheryl Sandberg with Nell Scovell;,OUTLIERS;by Malcolm Gladwell;,THE LIBERTY AMENDMENTS;by Mark R. Levin;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;
2,THE HUSBAND'S SECRET;by Liane Moriarty;4 weeks on the list,THE CUCKOO'S CALLING;by Robert Galbraith;7 weeks on the list,WINTER OF THE WORLD;by Ken Follett;New this week,,,ZEALOT;by Reza Aslan;7 weeks on the list,ZEALOT;by Reza Aslan;7 weeks on the list,ORANGE IS THE NEW BLACK;by Piper Kerman;7 weeks on the list,A THREE DOG LIFE;by Abigail Thomas;New this week,THE FIVE LOVE LANGUAGES;by Gary Chapman;21 weeks on the list,PACIFIC RIM: TALES FROM YEAR ZERO;by Travis Beacham and Sean Chen;11 weeks on the list,PERSEPOLIS;by Marjane Satrapi;15 weeks on the list,"ATTACK ON TITAN, VOL. 6;by Hajime Isayama;New this week",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;10 weeks on the list,I AM NUMBER FOUR;by Pittacus Lore;10 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,JERUSALEM;by Yotam Ottolenghi and Sami Tamimi;,INFILTRATED;by Jay W. Richards;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",THIS TOWN;by Mark Leibovich;,QUIET;by Susan Cain;
3,HOW THE LIGHT GETS IN;by Louise Penny;New this week,INFERNO;by Dan Brown;16 weeks on the list,THE SILENT WIFE;by A. S. A. Harrison;6 weeks on the list,,,ORANGE IS THE NEW BLACK;by Piper Kerman;7 weeks on the list,THIS TOWN;by Mark Leibovich;7 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;130 weeks on the list,THE LIBERTY AMENDMENTS;by Mark R. Levin;3 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;21 weeks on the list,PRIMATES;by Jim Ottaviani and Maris Wicks;10 weeks on the list,"MAUS: A SURVIVOR’S TALE, VOL. 1;by Art Spiegelman;38 weeks on the list","JUDGE, VOL. 1;by Yoshiki Tonogai;New this week",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;100 weeks on the list",THE HUNGER GAMES;by Suzanne Collins;158 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,"CHOOSE MORE, LOSE MORE FOR LIFE;by Chris Powell with Heidi Powell;",DUCK COMMANDERS;by Willie and Korie Robertson with Mark Schlabach;,TIPPING POINT;by Malcolm Gladwell;,UNBROKEN;by Laura Hillenbrand;,THE SPORTS GENE;by David Epstein;
4,THE CUCKOO'S CALLING;by Robert Galbraith;7 weeks on the list,MISTRESS;by James Patterson and David Ellis;4 weeks on the list,FIFTY SHADES OF GREY;by E. L. James;77 weeks on the list,,,THIS TOWN;by Mark Leibovich;6 weeks on the list,LEAN IN;by Sheryl Sandberg with Nell Scovell;25 weeks on the list,OUTLIERS;by Malcolm Gladwell;117 weeks on the list,"HAPPY, HAPPY, HAPPY;by Phil Robertson with Mark Schlabach;17 weeks on the list",LIFE CODE;by Phil McGraw;20 weeks on the list,IN THE DAYS OF THE MOB;by Jack Kirby;2 weeks on the list,THE COMPLETE PERSEPOLIS;by Marjane Satrapi;18 weeks on the list,"KINGDOM HEARTS II, VOL. 2;by Shiro Amano;New this week",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,LLAMA LLAMA AND THE BULLY GOAT;by Anna Dewdney;4 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;304 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,EAT TO LIVE;by Joel Fuhrman;,THE LEADERSHIP CONTRACT;by Vince Molinaro;,DRIVE;by Daniel H. Pink;,LAWRENCE IN ARABIA;by Scott Anderson;,"THINKING, FAST AND SLOW;by Daniel Kahneman;"
5,BONES OF THE LOST;by Kathy Reichs;New this week,AND THE MOUNTAINS ECHOED;by Khaled Hosseini;15 weeks on the list,THE ALCHEMIST;by Paulo Coelho;268 weeks on the list,,,"HAPPY, HAPPY, HAPPY;by Phil Robertson with Mark Schlabach;17 weeks on the list","HAPPY, HAPPY, HAPPY;by Phil Robertson with Mark Schlabach;17 weeks on the list",THE GLASS CASTLE;by Jeannette Walls;327 weeks on the list,ZEALOT;by Reza Aslan;7 weeks on the list,ENGAGED!;by Gregg Lederman;New this week,MADELEINE L'ENGLE'S A WRINKLE IN TIME;by Hope Larson;32 weeks on the list,FUN HOME;by Alison Bechdel;16 weeks on the list,"ATTACK ON TITAN, VOL. 1;by Hajime Isayama;12 weeks on the list",THE ICKABOG;by J.K. Rowling;26 weeks on the list,"I'D KNOW YOU ANYWHERE, MY LOVE;by Nancy Tillman;New this week",SEA BREEZE;by Abbi Glines;New this week,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,IT'S ALL GOOD;by Gwyneth Paltrow and Julia Turshen;,STEVE JOBS;by Walter Isaacson;,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;,COLLISION 2012;by Dan Balz;,THE HAPPINESS PROJECT;by Gretchen Rubin;
6,DECEPTION COVE;by Jayne Castle;New this week,THE WHOLE ENCHILADA;by Diane Mott Davidson;New this week,"WHERE'D YOU GO, BERNADETTE;by Maria Semple;22 weeks on the list",,,PROOF OF HEAVEN;by Eben Alexander;45 weeks on the list,LAWRENCE IN ARABIA;by Scott Anderson;4 weeks on the list,QUIET;by Susan Cain;31 weeks on the list,THIS TOWN;by Mark Leibovich;6 weeks on the list,WHEAT BELLY;by William Davis;21 weeks on the list,A GAME OF THRONES;by George R.R. Martin;20 weeks on the list,"THE FLASH, VOL. 1;by Francis Manapul and Brian Buccellato;2 weeks on the list","NO. 6, VOL. 2;by Atsuko Asano and  Hinoki Kino;2 weeks on the list",WONDER;by R.J. Palacio;295 weeks on the list,PETE THE CAT: I LOVE MY WHITE SHOES;by Eric Litwin. Illustrated by James Dean;73 weeks on the list,GIVER QUARTET;by Lois Lowry;22 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,THE FAST METABOLISM DIET;by Haylie Pomroy with Eve Adamson;,THE POWER OF HABIT;by Charles Duhigg;,THE CHECKLIST MANIFESTO;by Atul Gawande;,BUTLER;by Wil Haygood;,THE POWER OF HABIT;by Charles Duhigg;
7,BIG SKY WEDDING;by Linda Lael Miller;New this week,BONES OF THE LOST;by Kathy Reichs;New this week,THE RACKETEER;by John Grisham;New this week,,,LEAN IN;by Sheryl Sandberg with Nell Scovell;25 weeks on the list,EXPOSED;by Jane Velez-Mitchell;2 weeks on the list,WILD;by Cheryl Strayed;23 weeks on the list,BUTLER;by Wil Haygood;5 weeks on the list,DARING GREATLY;by Brené Brown;21 weeks on the list,BUILDING STORIES;by Chris Ware;26 weeks on the list,"SAGA, VOL. 2;by Brian K. Vaughan and Fiona Staples;11 weeks on the list","ATTACK ON TITAN, VOL. 2;by Hajime Isayama;6 weeks on the list",REFUGEE;by Alan Gratz;129 weeks on the list,"STEAM TRAIN, DREAM TRAIN;by Sherri Duskey Rinker and Tom Lichtenheld;20 weeks on the list",GIRL OF FIRE AND THORNS;by Rae Carson;New this week,LORE;by Alexandra Bracken;18 weeks on the list,THE FASTDIET;by Michael Mosley and Mimi Spencer;,TOTAL MONEY MAKEOVER;by Dave Ramsey;,"NOTHING TO LOSE, EVERYTHING TO GAIN;by Ryan Blair;",THE GUNS AT LAST LIGHT;by Rick Atkinson;,THE SMARTEST KIDS IN THE WORLD;by Amanda Ripley;
8,MISTRESS;by James Patterson and David Ellis;4 weeks on the list,GONE GIRL;by Gillian Flynn;65 weeks on the list,BEAUTIFUL RUINS;by Jess Walter;22 weeks on the list,,,EXPOSED;by Jane Velez-Mitchell;2 weeks on the list,BUTLER;by Wil Haygood;3 weeks on the list,HOW CHILDREN SUCCEED;by Paul Tough;9 weeks on the list,EXPOSED;by Jane Velez-Mitchell;2 weeks on the list,IT'S ALL GOOD;by Gwyneth Paltrow and Julia Turshen;21 weeks on the list,BEFORE WATCHMEN: COMEDIAN/RORSCHACH;by various;6 weeks on the list,DELILAH DIRK AND THE TURKISH LIEUTENANT;by Tony Cliff;New this week,"PANDORA HEARTS, VOL. 17;by Jun Mochizuki;New this week",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,PRESS HERE;by Hervé Tullet;107 weeks on the list,ORIGAMI YODA;by Tom Angleberger. Illustrated;16 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,SHRED: THE REVOLUTIONARY DIET;by Ian K. Smith;,ELEVEN RINGS;by Phil Jackson and Hugh Delehanty;,PREDICTABLY IRRATIONAL;by Dan Ariely;,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;,THE REASON I JUMP;by Naoki Higashida;
9,THE WHOLE ENCHILADA;by Diane Mott Davidson;New this week,NIGHT FILM;by Marisha Pessl;2 weeks on the list,THE KITE RUNNER;by Khaled Hosseini;109 weeks on the list,,,LAWRENCE IN ARABIA;by Scott Anderson;4 weeks on the list,UNBROKEN;by Laura Hillenbrand;144 weeks on the list,BRAIN ON FIRE;by Susannah Cahalan;4 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;45 weeks on the list,TRUE FOOD;by Andrew Weil and Sam Fox with Michael Stebner.;2 weeks on the list,BATMAN: THE KILLING JOKE;by Alan Moore and Brian Bolland;100 weeks on the list,"SAGA, VOL. 1;by Brian K. Vaughan and Fiona Staples;37 weeks on the list","ATTACK ON TITAN, VOL. 3;by Hajime Isayama;4 weeks on the list",GROUND ZERO;by Alan Gratz;10 weeks on the list,PETE THE CAT: ROCKING IN MY SCHOOL SHOES;by Eric Litwin. Illustrated by James Dean;25 weeks on the list,HARRY POTTER;by J.K. Rowling;293 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,PRACTICAL PALEO;by Diane Sanfilippo;,STRENGTHS-BASED LEADERSHIP;by Tom Rath and Barry Conchie;,MONEY CODE;by Joe John Duran;,KEEP IT PITHY;by Bill O'Reilly;,THE CHECKLIST MANIFESTO;by Atul Gawande;
10,HIGH HEAT;by Lee Child;4 weeks on the list,THE BONE SEASON;by Samantha Shannon;2 weeks on the list,LIFE OF PI;by Yann Martel;45 weeks on the list,,,BUTLER;by Wil Haygood;3 weeks on the list,DUCK COMMANDERS;by Willie and Korie Robertson with Mark Schlabach;22 weeks on the list,THE NEW JIM CROW;by Michelle Alexander;66 weeks on the list,LEAN IN;by Sheryl Sandberg with Nell Scovell;25 weeks on the list,"CHOOSE MORE, LOSE MORE FOR LIFE;by Chris Powell with Heidi Powell;8 weeks on the list",KICK-ASS 2 PRELUDE: HIT-GIRL;by Mark Millar and John Romita Jr.;6 weeks on the list,SMILE;by Raina Telgemeier;69 weeks on the list,"MAGI: THE LABYRINTH OF MAGIC, VOL. 1;by Shinobu Otaka;2 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,A BIG GUY TOOK MY BALL!;by Mo Willems;14 weeks on the list,MAGIC TREE HOUSE;by Mary Pope Osborne. Illustrated by Sal Murdocca;273 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,EATING ON THE WILD SIDE;by Jo Robinson;,CRAZY RICH;by Jerry Oppenheimer;,BOOMERANG;by Michael Lewis;,AMERICAN GUN;by Chris Kyle with William Doyle;,INSIDE OF A DOG;by Alexandra Horowitz;
