,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Business,Food and Diet,Hardcover Business Books,Paperback Business Books,Politics and American History,Science
1,DARK WITCH;by Nora Roberts;New this week,SYCAMORE ROW;by John Grisham;2 weeks on the list,DARK WITCH;by Nora Roberts;New this week,,,KILLING JESUS;by Bill O'Reilly and Martin Dugard;6 weeks on the list,KILLING JESUS;by Bill O'Reilly and Martin Dugard;6 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;54 weeks on the list,KILLING JESUS;by Bill O'Reilly and Martin Dugard;6 weeks on the list,THE PIONEER WOMAN COOKS: A YEAR OF HOLIDAYS;by Ree Drummond;New this week,"BATGIRL, VOL. 3;by Gail Simone and others;New this week","THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;107 weeks on the list","BLACK BUTLER, VOL. 15;by Yana Toboso;New this week",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;19 weeks on the list,DIVERGENT;by Veronica Roth;2 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,LEAN IN;by Sheryl Sandberg with Nell Scovell;,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;,,,I AM MALALA;by Malala Yousafzai with Christina Lamb;,DAVID AND GOLIATH;by Malcolm Gladwell;
2,SYCAMORE ROW;by John Grisham;2 weeks on the list,AFTER DEAD;by Charlaine Harris;New this week,A DANCE WITH DRAGONS;by George R. R. Martin;New this week,,,THINGS THAT MATTER;by Charles Krauthammer;2 weeks on the list,THINGS THAT MATTER;by Charles Krauthammer;2 weeks on the list,ORANGE IS THE NEW BLACK;by Piper Kerman;16 weeks on the list,THINGS THAT MATTER;by Charles Krauthammer;2 weeks on the list,HYPERBOLE AND A HALF;by Allie Brosh;New this week,"THOR: GOD OF THUNDER, VOL. 2;by Jason Aaron and Esad Ribic;New this week",I SENSE A COLDNESS TO YOUR MENTORING;by Scott Adams;New this week,"ATTACK ON TITAN, VOL. 8;by Hajime Isayama;New this week",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;109 weeks on the list",HEROES OF OLYMPUS;by Rick Riordan;46 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,OUTLIERS;by Malcolm Gladwell;,EAT TO LIVE COOKBOOK;by Joel Fuhrman;,,,TIP AND THE GIPPER;by Chris Matthews;,THE REASON I JUMP;by Naoki Higashida;
3,ENDER'S GAME;by Orson Scott Card;16 weeks on the list,THE GOLDFINCH;by Donna Tartt;2 weeks on the list,DEAR LIFE;by Alice Munro;4 weeks on the list,,,DAVID AND GOLIATH;by Malcolm Gladwell;5 weeks on the list,DAVID AND GOLIATH;by Malcolm Gladwell;5 weeks on the list,OUTLIERS;by Malcolm Gladwell;126 weeks on the list,THE DEATH OF SANTINI;by Pat Conroy;New this week,STITCHES;by Anne Lamott;New this week,THE JOKER: DEATH OF THE FAMILY;by Scott Snyder and various;2 weeks on the list,"THE WALKING DEAD COMPENDIUM, VOL. 2;by Robert Kirkman and Charlie Adlard;41 weeks on the list","NO MATTER HOW I LOOK AT IT, IT'S YOU GUYS' FAULT I'M NOT POPULAR!, VOL. 1;by Nico Tanigawa;New this week",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,PETE THE CAT AND HIS MAGIC SUNGLASSES;by Kimberly and James Dean. Illustrated by James Dean;5 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;167 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,EXTORTION;by Peter Schweizer;,THE CAN'T COOK BOOK;by Jessica Seinfeld;,,,UNBROKEN;by Laura Hillenbrand;,QUIET;by Susan Cain;
4,A DANCE WITH DRAGONS;by George R. R. Martin;10 weeks on the list,WINNERS;by Danielle Steel;New this week,FIFTY SHADES OF GREY;by E. L. James;86 weeks on the list,,,THE DEATH OF SANTINI;by Pat Conroy;New this week,THE DEATH OF SANTINI;by Pat Conroy;New this week,AMERICA THE BEAUTIFUL;by Ben C. Carson and Candy Carson;38 weeks on the list,TWELVE YEARS A SLAVE;by Solomon Northup;4 weeks on the list,GROUNDED;by Bob Rosen;New this week,MISS PEREGRINE'S HOME FOR PECULIAR CHILDREN;by Ransom Riggs and Cassandra Jean;New this week,THANOS RISING;by Jason Aaron and Simone Bianchi;New this week,"MAXIMUM RIDE: THE MANGA, VOL. 7;by James Patterson and NaRae Lee;New this week",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,I'M A FROG!;by Mo Willems;3 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;112 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,EVERYTHING STORE;by Brad Stone;,WHEAT BELLY;by William Davis;,,,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;,FOCUS;by Daniel Goleman;
5,AFTER DEAD;by Charlaine Harris;New this week,DOCTOR SLEEP;by Stephen King;6 weeks on the list,THE HIT;by David Baldacci;7 weeks on the list,,,I AM MALALA;by Malala Yousafzai with Christina Lamb;4 weeks on the list,I AM MALALA;by Malala Yousafzai with Christina Lamb;4 weeks on the list,QUIET;by Susan Cain;40 weeks on the list,PURE JOY;by Danielle Steel;New this week,THERE'S MORE TO LIFE THAN THIS;by Theresa Caputo with Kristina Grish;5 weeks on the list,MISSION IN A BOTTLE;by Seth Goldman and Barry Nalebuff;7 weeks on the list,BLUE IS THE WARMEST COLOR;by Julie Maroh;4 weeks on the list,"SAILOR MOON, BOX SET 2;by Naoko Takeuchi;New this week",THE ICKABOG;by J.K. Rowling;26 weeks on the list,PRESS HERE;by Hervé Tullet;116 weeks on the list,THE SORCERER'S RING;by Morgan Rice;2 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,FOCUS;by Daniel Goleman;,THE 100;by Jorge Cruise;,,,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;
6,WINNERS;by Danielle Steel;New this week,THE LONGEST RIDE;by Nicholas Sparks;7 weeks on the list,THE LIGHT BETWEEN OCEANS;by M. L. Stedman;31 weeks on the list,,,JOHNNY CARSON;by Henry Bushkin;3 weeks on the list,40 CHANCES;by Howard G. Buffett and Howard W. Buffett;2 weeks on the list,JESUS > RELIGION;by Jefferson Bethke;4 weeks on the list,DAVID AND GOLIATH;by Malcolm Gladwell;5 weeks on the list,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;6 weeks on the list,BATMAN: THE KILLING JOKE;by Alan Moore and Brian Bolland;102 weeks on the list,"BATMAN, VOL. 2;by Scott Snyder and others;3 weeks on the list",K-ON! HIGH SCHOOL;by Kakifly;New this week,WONDER;by R.J. Palacio;295 weeks on the list,PETE THE CAT: I LOVE MY WHITE SHOES;by Eric Litwin. Illustrated by James Dean;82 weeks on the list,THE RAZORLAND TRILOGY;by Ann Aguirre;New this week,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,HUNDRED PERCENTERS;by Mark Murphy;,THE ROMNEY FAMILY TABLE;by Ann Romney;,,,EXTORTION;by Peter Schweizer;,FIVE DAYS AT MEMORIAL;by Sheri Fink;
7,BEAUTIFUL PLAYER;by Christina Lauren;New this week,ACCUSED;by Lisa Scottoline;New this week,"WHERE'D YOU GO, BERNADETTE;by Maria Semple;31 weeks on the list",,,PURE JOY;by Danielle Steel;New this week,JOHNNY CARSON;by Henry Bushkin;3 weeks on the list,WILD;by Cheryl Strayed;32 weeks on the list,JOHNNY CARSON;by Henry Bushkin;3 weeks on the list,THE FOUR DOORS;by Richard Paul Evans;New this week,THE WOMAN REBEL: THE MARGARET SANGER STORY;by Peter Bagge;3 weeks on the list,BATTLING BOY;by Paul Pope;4 weeks on the list,"MONSTER MUSUME, VOL. 1;by Okayado;3 weeks on the list",REFUGEE;by Alan Gratz;129 weeks on the list,LLAMA LLAMA AND THE BULLY GOAT;by Anna Dewdney;13 weeks on the list,WINGS OF FIRE;by Tui T. Sutherland;New this week,LORE;by Alexandra Bracken;18 weeks on the list,DO YOU SPEAK SHOE LOVER?;by Linda Meadow;,EAT MOVE SLEEP;by Tom Rath;,,,THE LIBERTY AMENDMENTS;by Mark R. Levin;,"THINKING, FAST AND SLOW;by Daniel Kahneman;"
8,THE HUSBAND'S SECRET;by Liane Moriarty;13 weeks on the list,S.;by Doug Dorst;New this week,FIFTY SHADES DARKER;by E. L. James;83 weeks on the list,,,CRASH AND BURN;by Artie Lange with Anthony Bozza;New this week,THE REASON I JUMP;by Naoki Higashida;6 weeks on the list,HOW CHILDREN SUCCEED;by Paul Tough;18 weeks on the list,CRASH AND BURN;by Artie Lange with Anthony Bozza;New this week,GUINNESS WORLD RECORDS 2014.;;8 weeks on the list,"GREEN LANTERN, VOL. 3;by Geoff Johns and others;New this week","LAZARUS, VOL. 1;by Greg Rucka and Michael Lark;2 weeks on the list","PUELLA MAGI ORIKO MAGICA, VOL. 2;by Magica Quartet and  Kuroe Mura;New this week",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,"STEAM TRAIN, DREAM TRAIN;by Sherri Duskey Rinker and Tom Lichtenheld;27 weeks on the list",PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;313 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,CATERPILLAR WAY;by Craig T. Bouchard and James V. Koch;,THE CHEW -- WHAT'S FOR DINNER?;by the staff of “The Chew”;,,,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;,THE SMARTEST KIDS IN THE WORLD;by Amanda Ripley;
9,THE GOLDFINCH;by Donna Tartt;2 weeks on the list,WE ARE WATER;by Wally Lamb;2 weeks on the list,FIFTY SHADES FREED;by E. L. James;82 weeks on the list,,,TWELVE YEARS A SLAVE;by Solomon Northup;2 weeks on the list,SI-COLOGY 1;by Si Robertson with Mark Schlabach;9 weeks on the list,BRAIN ON FIRE;by Susannah Cahalan;13 weeks on the list,MY STORY;by Elizabeth Smart with Chris Stewart;4 weeks on the list,BREAK OUT!;by Joel Osteen;5 weeks on the list,THE BEST AMERICAN COMICS 2013;by Jeff Smith and others;4 weeks on the list,MARCH: BOOK ONE;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;12 weeks on the list,"INU X BOKU SS, VOL. 1;by Cocoa Fujiwara;New this week",GROUND ZERO;by Alan Gratz;10 weeks on the list,BATTLE BUNNY;by Jon Scieszka and Mac Barnett. Illustrated by Matthew Myers;New this week,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;250 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;",EAT TO LIVE;by Joel Fuhrman;,,,THEY KILLED OUR PRESIDENT;by Jesse Ventura;,THE POWER OF HABIT;by Charles Duhigg;
10,THE SUM OF ALL KISSES;by Julia Quinn;New this week,IDENTICAL;by Scott Turow;3 weeks on the list,ENDER'S GAME;by Orson Scott Card;9 weeks on the list,,,PROOF OF HEAVEN;by Eben Alexander;53 weeks on the list,HISTORY DECODED;by Brad Meltzer with Keith Ferrell;2 weeks on the list,"LADY CATHERINE, THE EARL, AND THE REAL DOWNTON ABBEY;by the Countess of Carnarvon;New this week",WHAT'S SO FUNNY?;by Tim Conway with Jane Scovell;New this week,THE GIFTS OF IMPERFECTION;by Brené Brown;10 weeks on the list,"THE WALKING DEAD, BOOK 9;by Robert Kirkman and Charlie Adlard;7 weeks on the list",SMILE;by Raina Telgemeier;78 weeks on the list,"ATTACK ON TITAN, VOL. 1;by Hajime Isayama;21 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,"CLICK, CLACK, BOO!;by Doreen Cronin. Illustrated by Betsy Lewin;5 weeks on the list",HARRY POTTER;by J.K. Rowling;295 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,STEVE JOBS;by Walter Isaacson;,MICHAEL SYMON'S 5 IN 5;by Michael Symon with Douglas Trattner;,,,COMMAND AND CONTROL;by Eric Schlosser;,THE STORY OF THE HUMAN BODY;by Daniel Lieberman;
