,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Business,Science,Sports and Fitness
1,SLEEPING BEAUTIES;by Stephen King and Owen King;New this week,SLEEPING BEAUTIES;by Stephen King and Owen King;New this week,IT;by Stephen King;7 weeks on the list,KILLING ENGLAND;by Bill O'Reilly and Martin Dugard;2 weeks on the list,KILLING ENGLAND;by Bill O'Reilly and Martin Dugard;2 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;393 weeks on the list,BRAVING THE WILDERNESS;by Brené Brown;3 weeks on the list,WONDER;by R.J. Palacio;112 weeks on the list,PRINCESSES WEAR PANTS;by Savannah Guthrie and Allison Oppenheim. Illustrated by Eva Byrne;3 weeks on the list,DOG MAN;by Dav Pilkey;5 weeks on the list,THE HATE U GIVE;by Angie Thomas;31 weeks on the list,PRINCIPLES;by Ray Dalio;,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;,TB12 METHOD;by Tom Brady;
2,DON'T LET GO;by Harlan Coben;New this week,DON'T LET GO;by Harlan Coben;New this week,MILK AND HONEY;by Rupi Kaur;77 weeks on the list,WHAT HAPPENED;by Hillary Clinton;3 weeks on the list,WHAT HAPPENED;by Hillary Clinton;3 weeks on the list,BEING MORTAL;by Atul Gawande;4 weeks on the list,TB12 METHOD;by Tom Brady;2 weeks on the list,WISHTREE;by Katherine Applegate. Illustrated by Charles Santoso;New this week,PETE THE CAT: FIVE LITTLE PUMPKINS;by James Dean;17 weeks on the list,HARRY POTTER;by J.K. Rowling;445 weeks on the list,THE LANGUAGE OF THORNS;by Leigh Bardugo. Illustrated by Sara Kipin;New this week,TOOLS OF TITANS;by Tim Ferriss;,END OF ALZHEIMER'S;by Dale Bredesen;,UNSTOPPABLE;by Maria Sharapova with Rich Cohen;
3,IT;by Stephen King;8 weeks on the list,A COLUMN OF FIRE;by Ken Follett;3 weeks on the list,THE HANDMAID'S TALE;by Margaret Atwood;34 weeks on the list,UNBELIEVABLE;by Katy Tur;3 weeks on the list,UNBELIEVABLE;by Katy Tur;3 weeks on the list,ON TYRANNY;by Timothy Snyder;31 weeks on the list,FOOD CAN FIX IT;by Mehmet Oz with Ted Spiker;New this week,I'M JUST NO GOOD AT RHYMING;by Chris Harris. Illustrated by Lane Smith;New this week,SHE PERSISTED;by Chelsea Clinton. Illustrated by Alexandra Boiger;18 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;86 weeks on the list,ONE DARK THRONE;by Kendare Blake;2 weeks on the list,GRIT;by Angela Duckworth;,BEING MORTAL;by Atul Gawande;,FINDING GOBI;by Dion Leonard with with Craig Borlase;
4,A COLUMN OF FIRE;by Ken Follett;3 weeks on the list,THE CUBAN AFFAIR;by Nelson DeMille;2 weeks on the list,THE WOMAN IN CABIN 10;by Ruth Ware;25 weeks on the list,HIT REFRESH;by Satya Nadella with Greg Shaw and Jill Tracie Nichols;New this week,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;22 weeks on the list,THE LOST CITY OF THE MONKEY GOD;by Douglas Preston;4 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;42 weeks on the list,THE PURLOINING OF PRINCE OLEOMARGARINE;by Mark Twain and Philip Stead. Illustrated by Erin Stead;New this week,CREEPY PAIR OF UNDERWEAR;by Aaron Reynolds. Illustrated by Peter Brown;4 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;446 weeks on the list,WONDER WOMAN: WARBRINGER;by Leigh Bardugo;5 weeks on the list,HIT REFRESH;by Satya Nadella with Greg Shaw and Jill Tracie Nichols;,SAPIENS;by Yuval Noah Harari;,THE BOYS IN THE BOAT;by Daniel James Brown;
5,THE CUBAN AFFAIR;by Nelson DeMille;2 weeks on the list,HAUNTED;by James Patterson and James O. Born;2 weeks on the list,ADULTOLESCENCE;by Gabbie Hanna;2 weeks on the list,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;22 weeks on the list,HIT REFRESH;by Satya Nadella with Greg Shaw and Jill Tracie Nichols;New this week,JUST MERCY;by Bryan Stevenson;80 weeks on the list,PRINCIPLES;by Ray Dalio;2 weeks on the list,GOOD NIGHT STORIES FOR REBEL GIRLS;by Elena Favilli and Francesca Cavallo;14 weeks on the list,RUNNY BABBIT RETURNS;by Shel Silverstein;2 weeks on the list,THE LAST KIDS ON EARTH;by Max Brallier. Illustrated by Douglas Holgate;New this week,AN ENCHANTMENT OF RAVENS;by Margaret Rogerson;New this week,LIFE 3.0;by Max Tegmark;,THE LOST CITY OF THE MONKEY GOD;by Douglas Preston;,STRONGER;by Jeff Bauman with Bret Witter;
6,SECOND CHANCE GIRL;by  Susan Mallery;New this week,THE GIRL WHO TAKES AN EYE FOR AN EYE;by David Lagercrantz;3 weeks on the list,THE FIX;by David Baldacci;3 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;58 weeks on the list,THE AUTOBIOGRAPHY OF GUCCI MANE;by Gucci Mane with Neil Martinez-Belkin;2 weeks on the list,THE NEW JIM CROW;by Michelle Alexander;157 weeks on the list,YOU ARE A BADASS;by Jen Sincero;90 weeks on the list,MINECRAFT: THE ISLAND;by Max Brooks;11 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;105 weeks on the list,THRONE OF GLASS;by Sarah J. Maas;19 weeks on the list,THERE'S SOMEONE INSIDE YOUR HOUSE;by Stephanie Perkins;New this week,IT TAKES TWO;by Jonathan Scott and Drew Scott;,LIFE 3.0;by Max Tegmark;,SHOE DOG;by Phil Knight;
7,THE GIRL WHO TAKES AN EYE FOR AN EYE;by David Lagercrantz;3 weeks on the list,TO BE WHERE YOU ARE;by Jan Karon;2 weeks on the list,LILAC GIRLS;by Martha Hall Kelly;31 weeks on the list,THE PARADIGM;by Jonathan Cahn;2 weeks on the list,THE PARADIGM;by Jonathan Cahn;2 weeks on the list,STAMPED FROM THE BEGINNING;by Ibram X. Kendi;2 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;220 weeks on the list,THE DARK PROPHECY;by Rick Riordan;22 weeks on the list,THE BOOK WITH NO PICTURES;by B.J. Novak;136 weeks on the list,I SURVIVED;by Lauren Tarshis;31 weeks on the list,HUNTING PRINCE DRACULA;by Kerri Maniscalco;2 weeks on the list,BLUE OCEAN SHIFT;by W. Chan Kim and Renée Mauborgne;,WHEN BREATH BECOMES AIR;by Paul Kalanithi;,COACH WOODEN AND ME;by Kareem Abdul-Jabbar;
8,SUGAR PINE TRAIL;by RaeAnne Thayne;New this week,A LEGACY OF SPIES;by John le Carré;4 weeks on the list,THE COUPLE NEXT DOOR;by Shari Lapena;18 weeks on the list,HILLBILLY ELEGY;by J.D. Vance;62 weeks on the list,HILLBILLY ELEGY;by J.D. Vance;62 weeks on the list,BORN TO RUN;by Bruce Springsteen;3 weeks on the list,BLUE OCEAN SHIFT;by W. Chan Kim and Renée Mauborgne;New this week,AUGGIE & ME;by R.J. Palacio;44 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;189 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;448 weeks on the list,WARCROSS;by Marie Lu;3 weeks on the list,OUTLIERS;by Malcolm Gladwell;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,SHAKEN;by Tim Tebow;
9,HAUNTED;by James Patterson and James O. Born;2 weeks on the list,ENEMY OF THE STATE;by Kyle Mills;4 weeks on the list,ALL THE LIGHT WE CANNOT SEE;by Anthony Doerr;26 weeks on the list,THE AUTOBIOGRAPHY OF GUCCI MANE;by Gucci Mane with Neil Martinez-Belkin;2 weeks on the list,THE VIETNAM WAR;by Geoffrey C. Ward;4 weeks on the list,ROGUE HEROES;by Ben Macintyre;3 weeks on the list,7 LESSONS FROM HEAVEN;by Mary C. Neal;2 weeks on the list,THE WILD ROBOT;by Peter Brown;14 weeks on the list,IT TAKES A VILLAGE;by Hillary Rodham Clinton. Illustrated by Marla Frazee;3 weeks on the list,MICHAEL VEY;by Richard Paul Evans;12 weeks on the list,LORD OF SHADOWS;by Cassandra Clare;19 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;","THINKING, FAST AND SLOW;by Daniel Kahneman;",I GOT THIS;by Laurie Hernandez;
10,BEFORE WE WERE YOURS;by Lisa Wingate;9 weeks on the list,LITTLE FIRES EVERYWHERE;by Celeste Ng;3 weeks on the list,THE MOUNTAIN BETWEEN US;by Charles Martin;New this week,THE SMEAR;by Sharyl Attkisson;2 weeks on the list,"AL FRANKEN, GIANT OF THE SENATE;by Al Franken;18 weeks on the list","THINKING, FAST AND SLOW;by Daniel Kahneman;140 weeks on the list",MAKE YOUR BED;by William H. McRaven;26 weeks on the list,LAUGH OUT LOUD;by James Patterson and Chris Grabenstein. Illustrated by Jeff Ebbeler;5 weeks on the list,"WILD;created by Dan Kainen, written by Kathy Wollard;2 weeks on the list",THE SCHOOL FOR GOOD AND EVIL;by Soman Chainani;5 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;15 weeks on the list,INVISIBLE INFLUENCE;by Jonah Berger;,HIDDEN FIGURES;by Margot Lee Shetterly;,WHAT MADE MADDY RUN;by Kate Fagan;
