,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Audio Fiction,Audio Nonfiction,Business,Graphic Books and Manga,Mass Market,Middle Grade Paperback,Young Adult Paperback
1,THE FOUR WINDS;by Kristin Hannah;8 weeks on the list,THE FOUR WINDS;by Kristin Hannah;8 weeks on the list,LATER;by Stephen King;4 weeks on the list,THE CODE BREAKER;by Walter Isaacson;3 weeks on the list,THE CODE BREAKER;by Walter Isaacson;3 weeks on the list,THE BODY KEEPS THE SCORE;by Bessel van der Kolk;127 weeks on the list,"THE BOY, THE MOLE, THE FOX AND THE HORSE;by Charlie Mackesy;69 weeks on the list",WOW IN THE WORLD;by Mindy Thomas and Guy Raz. Illustrated by Jack Teagle;4 weeks on the list,HOW TO CATCH THE EASTER BUNNY;by Adam Wallace and Andy Elkerton;9 weeks on the list,AWESOME FRIENDLY KID;written and illustrated by Jeff Kinney;2 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;2 weeks on the list,LATER;by Stephen King;,GREENLIGHTS;by Matthew McConaughey;,ATOMIC HABITS;by James Clear;,MOTHERING HEIGHTS;by Dav Pilkey;,THE VISCOUNT WHO LOVED ME;by Julia Quinn;,THE ONE AND ONLY IVAN;by Katherine Applegate. Illustrated by Patricia Castelao;,THEY BOTH DIE AT THE END;by Adam Silvera;
2,WIN;by Harlan Coben;2 weeks on the list,THE MIDNIGHT LIBRARY;by Matt Haig;17 weeks on the list,THE SONG OF ACHILLES;by Madeline Miller;23 weeks on the list,GREENLIGHTS;by Matthew McConaughey;23 weeks on the list,GREENLIGHTS;by Matthew McConaughey;23 weeks on the list,BECOMING;by Michelle Obama;4 weeks on the list,"EAT BETTER, FEEL BETTER;by Giada De Laurentiis;2 weeks on the list",THE ICKABOG;by J.K. Rowling;20 weeks on the list,PETE THE CAT: BIG EASTER ADVENTURE;by James Dean and Kimberly Dean;27 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;628 weeks on the list,CHAIN OF IRON;by Cassandra Clare;4 weeks on the list,THE FOUR WINDS;by Kristin Hannah;,A PROMISED LAND;by Barack Obama;,EVERYTHING WILL BE OKAY;by Dana Perino;,CAT KID COMIC CLUB;by Dav Pilkey;,CAMINO WINDS;by John Grisham;,WISH;by Barbara O'Connor;,WE WERE LIARS;by E. Lockhart;
3,THE CONSEQUENCES OF FEAR;by Jacqueline Winspear;New this week,WIN;by Harlan Coben;2 weeks on the list,THE ROSE CODE;by Kate Quinn;3 weeks on the list,THE BODY KEEPS THE SCORE;by Bessel van der Kolk;31 weeks on the list,CASTE;by Isabel Wilkerson;34 weeks on the list,BRAIDING SWEETGRASS;by Robin Wall Kimmerer;50 weeks on the list,HOW TO DO THE WORK;by Nicole LePera;3 weeks on the list,BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;4 weeks on the list,WHAT THE ROAD SAID;by Cleo Wade. Illustrated by Lucie de Moyencourt;New this week,HARRY POTTER;by J.K. Rowling;627 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;165 weeks on the list,THE MIDNIGHT LIBRARY;by Matt Haig;,THE CODE BREAKER;by Walter Isaacson;,HOW TO AVOID A CLIMATE DISASTER;by Bill Gates;,GRIME AND PUNISHMENT;by Dav Pilkey;,AN OFFER FROM A GENTLEMAN;by Julia Quinn;,A LONG WALK TO WATER;by Linda Sue Park;,THE LAKE;by Natasha Preston;
4,DOUBLE JEOPARDY;by Stuart Woods;New this week,ETERNAL;by Lisa Scottoline;New this week,FIREFLY LANE;by Kristin Hannah;41 weeks on the list,CASTE;by Isabel Wilkerson;34 weeks on the list,UNTAMED;by Glennon Doyle;55 weeks on the list,WHITE FRAGILITY;by Robin DiAngelo;134 weeks on the list,ATOMIC HABITS;by James Clear;70 weeks on the list,THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;47 weeks on the list,THE GOOD EGG PRESENTS: THE GREAT EGGSCAPE!;by Jory John. Illustrated by Pete Oswald;9 weeks on the list,WINGS OF FIRE;by Tui T. Sutherland;107 weeks on the list,LOST IN THE NEVER WOODS;by Aiden Thomas;New this week,LIFE AFTER DEATH;by Sister Souljah;,THINK AGAIN;by Adam Grant;,NOMADLAND;by Jessica Bruder;,CLAUDIA AND THE NEW GIRL;by Ann M. Martin. Illustrated by Gabriela Epstein;,THE DUKE AND I;by Julia Quinn;,A WOLF CALLED WANDER;by Rosanne Parry. Illustrated by Mónica Armiño;,A GOOD GIRL'S GUIDE TO MURDER;by Holly Jackson;
5,THE BOUNTY;by Janet Evanovich and Steve Hamilton;New this week,LIFE AFTER DEATH;by Sister Souljah;4 weeks on the list,HOME BODY;by Rupi Kaur;19 weeks on the list,BECOMING;by Michelle Obama;102 weeks on the list,THINK AGAIN;by Adam Grant;8 weeks on the list,SAPIENS;by Yuval Noah Harari;137 weeks on the list,EVERYTHING WILL BE OKAY;by Dana Perino;3 weeks on the list,WONDER;by R.J. Palacio;289 weeks on the list,WE ARE WATER PROTECTORS;by Carole Lindstrom. Illustrated by Michaela Goade;8 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;241 weeks on the list,LORE;by Alexandra Bracken;12 weeks on the list,WIN;by Harlan Coben;,CASTE;by Isabel Wilkerson;,BELIEVE IT;by Jamie Kern Lima;,FOR WHOM THE BALL ROLLS;by Dav Pilkey;,THE NUMBERS GAME;by Danielle Steel;,FLORA AND ULYSSES;by Kate DiCamillo. Illustrated by K. G. Campbell;,SIX OF CROWS;by Leigh Bardugo;
6,LATER;by Stephen King;4 weeks on the list,THE CONSEQUENCES OF FEAR;by Jacqueline Winspear;New this week,IN FIVE YEARS;by Rebecca Serle;4 weeks on the list,UNTAMED;by Glennon Doyle;55 weeks on the list,A PROMISED LAND;by Barack Obama;19 weeks on the list,MINOR FEELINGS;by Cathy Park Hong;2 weeks on the list,BEYOND ORDER;by Jordan B. Peterson;4 weeks on the list,THE COMPLETE COOKBOOK FOR YOUNG CHEFS;by America's Test Kitchen Kids;100 weeks on the list,PETE THE CAT: FIVE LITTLE BUNNIES;by James Dean and Kimberly Dean;4 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;566 weeks on the list,CONCRETE ROSE;by Angie Thomas;11 weeks on the list,THE ROSE CODE;by Kate Quinn;,UNTAMED;by Glennon Doyle;,DARE TO LEAD;by Brené Brown;,THE DARK SECRET;by Tui T. Sutherland. Illustrated by Mike Holmes;,HUSH;by James Patterson and Candice Fox;,OUT OF MY MIND;by Sharon M. Draper;,THE DOWNSTAIRS GIRL;by Stacey Lee;
7,THE MIDNIGHT LIBRARY;by Matt Haig;17 weeks on the list,THE INVISIBLE LIFE OF ADDIE LARUE;by V.E. Schwab;22 weeks on the list,THE DUKE AND I;by Julia Quinn;13 weeks on the list,THINK AGAIN;by Adam Grant;8 weeks on the list,HOW TO AVOID A CLIMATE DISASTER;by Bill Gates;6 weeks on the list,NOMADLAND;by Jessica Bruder;6 weeks on the list,"DUSK, NIGHT, DAWN;by Anne Lamott;3 weeks on the list",REFUGEE;by Alan Gratz;123 weeks on the list,EYES THAT KISS IN THE CORNERS;by Joanna Ho. Illustrated by Dung Ho;4 weeks on the list,THE TWILIGHT SAGA;by Stephenie Meyer;260 weeks on the list,"GOOD GIRL, BAD BLOOD;by Holly Jackson;4 weeks on the list",KLARA AND THE SUN;by Kazuo Ishiguro;,HOW TO AVOID A CLIMATE DISASTER;by Bill Gates;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",FETCH-22;by Dav Pilkey;,JOURNEY OF THE PHARAOHS;by Clive Cussler and Graham Brown;,RESTART;by Gordon Korman;,THE BOOK THIEF;by Markus Zusak;
8,ETERNAL;by Lisa Scottoline;New this week,THE BOUNTY;by Janet Evanovich and Steve Hamilton;New this week,CIRCE;by Madeline Miller;42 weeks on the list,A PROMISED LAND;by Barack Obama;19 weeks on the list,JUST AS I AM;by Cicely Tyson with Michelle Burford;9 weeks on the list,JUST MERCY;by Bryan Stevenson;245 weeks on the list,KEEP SHARP;by Sanjay Gupta with Kristin Loberg;12 weeks on the list,AMARI AND THE NIGHT BROTHERS;by B.B. Alston;8 weeks on the list,MY LITTLE BRAVE GIRL;by Hilary Duff. Illustrated by Kelsey Garrity-Riley;New this week,WHO WAS/IS . . . ?;by Jim Gigliotti and others; various illustrators;115 weeks on the list,COSMIC QUERIES;by Neil DeGrasse Tyson with James Trefil;3 weeks on the list,FIREFLY LANE;by Kristin Hannah;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,"CHAINSAW MAN, VOL. 1;by Tatsuki Fujimoto;",ROMANCING MISTER BRIDGERTON;by Julia Quinn;,THE WILD ROBOT;by Peter Brown;,THE BOY IN THE STRIPED PAJAMAS;by John Boyne;
9,THE ROSE CODE;by Kate Quinn;3 weeks on the list,KLARA AND THE SUN;by Kazuo Ishiguro;4 weeks on the list,MILK AND HONEY;by Rupi Kaur;183 weeks on the list,HOW TO AVOID A CLIMATE DISASTER;by Bill Gates;6 weeks on the list,THE SUM OF US;by Heather McGhee;6 weeks on the list,BORN A CRIME;by Trevor Noah;111 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;200 weeks on the list,GROUND ZERO;by Alan Gratz;5 weeks on the list,THE WORLD NEEDS WHO YOU WERE MADE TO BE;by Joanna Gaines. Illustrated by Julianna Swaney;13 weeks on the list,FIVE NIGHTS AT FREDDY'S: FAZBEAR FRIGHTS;by Scott Cawthon;6 weeks on the list,THE COUSINS;by Karen M. McManus;17 weeks on the list,THE VANISHING HALF;by Brit Bennett;,BECOMING;by Michelle Obama;,A WORLD WITHOUT EMAIL;by Cal Newport;,THE TWISTED ONES;by Scott Cawthon and Kira Breed-Wrisley;,WHEN HE WAS WICKED;by Julia Quinn;,PAX;Sara Pennypacker. Illustrated by Jon Klassen;,ALL THE BRIGHT PLACES;by Jennifer Niven;
10,LIFE AFTER DEATH;by Sister Souljah;4 weeks on the list,DARK SKY;by C.J. Box;4 weeks on the list,THEN SHE WAS GONE;by Lisa Jewell;87 weeks on the list,JUST AS I AM;by Cicely Tyson with Michelle Burford;9 weeks on the list,THIS IS THE FIRE;by Don Lemon;2 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;265 weeks on the list","SET BOUNDARIES, FIND PEACE;by Nedra Glover Tawwab;2 weeks on the list",GOLDEN GATE;by James Ponti;2 weeks on the list,HAIR LOVE;by Matthew A. Cherry. Illustrated by Vashti Harrison;37 weeks on the list,MINECRAFT OFFICIAL NOVELS;by Max Brooks et al;2 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;53 weeks on the list,WILD SIGN;by Patricia Briggs;,THE BODY KEEPS THE SCORE;by Bessel van der Kolk;,GET GOOD WITH MONEY;by Tiffany Aliche;,BRAWL OF THE WILD;by Dav Pilkey;,"TO SIR PHILLIP, WITH LOVE;by Julia Quinn;",CLEAN GETAWAY;by Nic Stone;,SERPENT AND DOVE;by Shelby Mahurin;
