,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Audio Fiction,Audio Nonfiction,Business,Science,Sports and Fitness
1,VINCE FLYNN: RED WAR;by Kyle Mills;New this week,AN ABSOLUTELY REMARKABLE THING;by Hank Green;New this week,CRAZY RICH ASIANS;by Kevin Kwan;23 weeks on the list,FEAR;by Bob Woodward;3 weeks on the list,FEAR;by Bob Woodward;3 weeks on the list,SAPIENS;by Yuval Noah Harari;20 weeks on the list,"GIRL, WASH YOUR FACE;by Rachel Hollis;25 weeks on the list",THE MAGIC MISFITS: THE SECOND STORY;by Neil Patrick Harris and Alec Azam;New this week,PRINCESSES SAVE THE WORLD;by Savannah Guthrie and Allison Oppenheim. Illustrated by Eva Byrne;2 weeks on the list,DOG MAN;by Dav Pilkey;57 weeks on the list,THE HATE U GIVE;by Angie Thomas;83 weeks on the list,WHERE THE CRAWDADS SING;by Delia Owens;,FEAR;by Bob Woodward;,LEADERSHIP;by Doris Kearns Goodwin;,SAPIENS;by Yuval Noah Harari;,THIS IS THE DAY;by Tim Tebow with A.J. Gregory;
2,AN ABSOLUTELY REMARKABLE THING;by Hank Green;New this week,VINCE FLYNN: RED WAR;by Kyle Mills;New this week,THE TATTOOIST OF AUSCHWITZ;by Heather Morris;4 weeks on the list,IN PIECES;by Sally Field;2 weeks on the list,IN PIECES;by Sally Field;2 weeks on the list,GRIT;by Angela Duckworth;6 weeks on the list,WHISKEY IN A TEACUP;by Reese Witherspoon;2 weeks on the list,WONDER;by R.J. Palacio;164 weeks on the list,PETE THE CAT: FIVE LITTLE PUMPKINS;by James Dean;23 weeks on the list,TO ALL THE BOYS I'VE LOVED BEFORE;by Jenny Han;11 weeks on the list,CHILDREN OF BLOOD AND BONE;by Tomi Adeyemi;30 weeks on the list,MAVERICKS;by Craig Alanson;,21 LESSONS FOR THE 21ST CENTURY;by Yuval Noah Harari;,THE DICHOTOMY OF LEADERSHIP;by Jocko Willink and Leif Babin;,21 LESSONS FOR THE 21ST CENTURY;by Yuval Noah Harari;,BIG GAME;by Mark Leibovich;
3,TRANSCRIPTION;by Kate Atkinson;New this week,JUROR #3;by James Patterson and Nancy Allen;3 weeks on the list,ELEANOR OLIPHANT IS COMPLETELY FINE;by Gail Honeyman;17 weeks on the list,THE DICHOTOMY OF LEADERSHIP;by Jocko Willink and Leif Babin;New this week,THE DICHOTOMY OF LEADERSHIP;by Jocko Willink and Leif Babin;New this week,WHITE FRAGILITY;by Robin DiAngelo;12 weeks on the list,CRAVINGS: HUNGRY FOR MORE;by Chrissy Teigen and Adeena Sussman;2 weeks on the list,REFUGEE;by Alan Gratz;32 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;240 weeks on the list,AMULET;by Kazu Kibuishi;New this week,WILDCARD;by Marie Lu;2 weeks on the list,LETHAL WHITE;by Robert Galbraith;,EDUCATED;by Tara Westover;,BAD BLOOD;by John Carreyrou;,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;,SHOE DOG;by Phil Knight;
4,CRAZY RICH ASIANS;by Kevin Kwan;16 weeks on the list,TRANSCRIPTION;by Kate Atkinson;New this week,CHINA RICH GIRLFRIEND;by Kevin Kwan;10 weeks on the list,EDUCATED;by Tara Westover;32 weeks on the list,LEADERSHIP;by Doris Kearns Goodwin;2 weeks on the list,KITCHEN CONFIDENTIAL;by Anthony Bourdain;52 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;94 weeks on the list,SQUIRM;by Carl Hiaasen;New this week,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;152 weeks on the list,HARRY POTTER;by J.K. Rowling;497 weeks on the list,THE DARK DESCENT OF ELIZABETH FRANKENSTEIN;by Kiersten White;New this week,LEVERAGE IN DEATH;by J.D. Robb;,THE DICHOTOMY OF LEADERSHIP;by Jocko Willink and Leif Babin;,GRIT;by Angela Duckworth;,ACCESSORY TO WAR;by Neil deGrasse Tyson and Avis Lang;,THE MAN I NEVER MET;by Adam Schefter;
5,LETHAL WHITE;by Robert Galbraith;2 weeks on the list,LETHAL WHITE;by Robert Galbraith;2 weeks on the list,THE FALLEN;by David Baldacci;3 weeks on the list,LEADERSHIP;by Doris Kearns Goodwin;2 weeks on the list,THESE TRUTHS;by Jill Lepore;2 weeks on the list,KILLERS OF THE FLOWER MOON;by David Grann;26 weeks on the list,THIS IS THE DAY;by Tim Tebow with A.J. Gregory;New this week,STORIES FOR BOYS WHO DARE TO BE DIFFERENT;by Ben Brooks. Illustrated by Quinton Wintor;New this week,THE DAY YOU BEGIN;by Jacqueline Woodson. Illustrated by Rafael López;5 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;498 weeks on the list,I AM NOT YOUR PERFECT MEXICAN DAUGHTER;by Erika L. Sánchez;9 weeks on the list,VINCE FLYNN: RED WAR;by Kyle Mills;,IN PIECES;by Sally Field;,PRINCIPLES;by Ray Dalio;,QUIET;by Susan Cain;,ALL-AMERICAN MURDER;by James Patterson and Alex Abramovich with Mike Harvkey;
6,JUROR #3;by James Patterson and Nancy Allen;3 weeks on the list,WHERE THE CRAWDADS SING;by Delia Owens;4 weeks on the list,RICH PEOPLE PROBLEMS;by Kevin Kwan;8 weeks on the list,THESE TRUTHS;by Jill Lepore;2 weeks on the list,EDUCATED;by Tara Westover;32 weeks on the list,HILLBILLY ELEGY;by J.D. Vance;22 weeks on the list,TOGETHER;by The Hubb Community Kitchen;New this week,THE ATLAS OBSCURA EXPLORER'S GUIDE FOR THE WORLD'S MOST ADVENTUROUS KID;by Dylan Thuras and Rosemary Mosco. Illustrated by Joy Ang;2 weeks on the list,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;247 weeks on the list,I SURVIVED;by Lauren Tarshis;45 weeks on the list,THUNDERHEAD;by Neal Shusterman;22 weeks on the list,CRAZY RICH ASIANS;by Kevin Kwan;,SAPIENS;by Yuval Noah Harari;,AI SUPERPOWERS;by Kai-Fu Lee;,HOW TO CHANGE YOUR MIND;by Michael Pollan;,BELICHICK;by Ian O'Connor;
7,WHERE THE CRAWDADS SING;by Delia Owens;3 weeks on the list,VENGEFUL;by V.E. Schwab;New this week,LESS;by Andrew Sean Greer;19 weeks on the list,AI SUPERPOWERS;by Kai-Fu Lee;New this week,21 LESSONS FOR THE 21ST CENTURY;by Yuval Noah Harari;4 weeks on the list,BEAUTIFUL BOY;by David Sheff;New this week,YOU ARE A BADASS;by Jen Sincero;142 weeks on the list,THE WILD ROBOT;by Peter Brown;46 weeks on the list,PRINCESSES WEAR PANTS;by Savannah Guthrie and Allison Oppenheim. Illustrated by Eva Byrne;11 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;138 weeks on the list,HOCUS POCUS AND THE ALL-NEW SEQUEL;by A.W. Jantha;10 weeks on the list,SHARP OBJECTS;by Gillian Flynn;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,DOPESICK;by Beth Macy;,FOOTBALL FOR A BUCK;by Jeff Pearlman;
8,CROSS BREED;by Lora Leigh;New this week,TIME'S CONVERT;by Deborah Harkness;2 weeks on the list,THE HANDMAID'S TALE;by Margaret Atwood;83 weeks on the list,SAPIENS;by Yuval Noah Harari;41 weeks on the list,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;73 weeks on the list,JUST MERCY;by Bryan Stevenson;123 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;262 weeks on the list,AMAL UNBOUND;by Aisha Saeed;4 weeks on the list,ALL ARE WELCOME;by Alexandra Penfold and Suzanne Kaufman;6 weeks on the list,PRINCESS IN BLACK;by Shannon Hale and Dean Hale. Illustrated by LeUyen Pham;12 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;63 weeks on the list,DOWN THE RIVER UNTO THE SEA;by Walter Mosley;,BORN A CRIME;by Trevor Noah;,WINNERS TAKE ALL;by Anand Giridharadas;,BEING MORTAL;by Atul Gawande;,UNBROKEN;by Laura Hillenbrand;
9,THE TATTOOIST OF AUSCHWITZ;by Heather Morris;4 weeks on the list,SHADOW TYRANTS;by Clive Cussler and Boyd Morrison;3 weeks on the list,MILK AND HONEY;by Rupi Kaur;129 weeks on the list,21 LESSONS FOR THE 21ST CENTURY;by Yuval Noah Harari;4 weeks on the list,HOW TO BE A GOOD CREATURE;by Sy Montgomery. Illustrated by Rebecca Green;New this week,UNBROKEN;by Laura Hillenbrand;60 weeks on the list,MAGNOLIA TABLE;by Joanna Gaines with Marah Stets;23 weeks on the list,THE VANDERBEEKERS AND THE HIDDEN GARDEN;by Karina Yan Glaser;New this week,A PARADE OF ELEPHANTS;by Kevin Henkes;New this week,THE LAST KIDS ON EARTH;by Max Brallier. Illustrated by Douglas Holgate;8 weeks on the list,TURTLES ALL THE WAY DOWN;by John Green;51 weeks on the list,HEART-SHAPED BOX;by Joe Hill;,THE POWER OF HABIT;by Charles Duhigg;,SHOE DOG;by Phil Knight;,"THINKING, FAST AND SLOW;by Daniel Kahneman;","BASKETBALL: A LOVE STORY;by Jackie MacMullan, Rafe Bartholomew and Dan Klores;"
10,HOT WINTER NIGHTS;by Jill Shalvis;New this week,IN HIS FATHER'S FOOTSTEPS;by Danielle Steel;4 weeks on the list,A SIMPLE FAVOR;by Darcey Bell;5 weeks on the list,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;64 weeks on the list,BELICHICK;by Ian O'Connor;New this week,SHOE DOG;by Phil Knight;20 weeks on the list,THE PLANT PARADOX;by Steven R. Gundry;31 weeks on the list,WISHTREE;by Katherine Applegate. Illustrated by Charles Santoso;44 weeks on the list,THE BOOK WITH NO PICTURES;by B.J. Novak;146 weeks on the list,BABY-SITTERS CLUB GRAPHIX;by Ann M. Martin; various illustrators;5 weeks on the list,THE HAZEL WOOD;by Melissa Albert;35 weeks on the list,THE EXTRAORDINARY LIFE OF SAM HELL;by Robert Dugoni;,A LITTLE HISTORY OF ECONOMICS;by Niall Kishtainy;,BILLION DOLLAR WHALE;by Tom Wright and Bradley Hope;,HOW TO BE A GOOD CREATURE;by Sy Montgomery. Illustrated by Rebecca Green;,FLY GIRLS;by Keith O'Brien;
11,ORIGIN;by Dan Brown;31 weeks on the list,LEVERAGE IN DEATH;by J.D. Robb;4 weeks on the list,PACHINKO;by Min Jin Lee;30 weeks on the list,BELICHICK;by Ian O'Connor;New this week,THE DEEP STATE;by Jason Chaffetz;2 weeks on the list,THE FOUR;by Scott Galloway;New this week,,,,,,THE OUTSIDER;by Stephen King;,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;,,,
12,ELEANOR OLIPHANT IS COMPLETELY FINE;by Gail Honeyman;15 weeks on the list,THE OUTSIDER;by Stephen King;19 weeks on the list,THE SUN AND HER FLOWERS;by Rupi Kaur;52 weeks on the list,THE DEEP STATE;by Jason Chaffetz;2 weeks on the list,THE RUSSIA HOAX;by Gregg Jarrett;10 weeks on the list,BEING MORTAL;by Atul Gawande;56 weeks on the list,,,,,,TIME'S CONVERT;by Deborah Harkness;,GRIT;by Angela Duckworth;,,,
13,CHINA RICH GIRLFRIEND;by Kevin Kwan;8 weeks on the list,BEFORE WE WERE YOURS;by Lisa Wingate;54 weeks on the list,THE WOMAN IN CABIN 10;by Ruth Ware;65 weeks on the list,HOW TO BE A GOOD CREATURE;by Sy Montgomery. Illustrated by Rebecca Green;New this week,"LIARS, LEAKERS AND LIBERALS;by Jeanine Pirro;11 weeks on the list",BLACK KLANSMAN;by Ron Stallworth;9 weeks on the list,,,,,,A SIMPLE FAVOR;by Darcey Bell;,THE CODDLING OF THE AMERICAN MIND;by Greg Lukianoff and Jonathan Haidt;,,,
14,CHRISTMAS CAKE MURDER;by Joanne Fluke;New this week,THE PRESIDENT IS MISSING;by James Patterson and Bill Clinton;17 weeks on the list,SHARP OBJECTS;by Gillian Flynn;57 weeks on the list,THE FABULOUS BOUVIER SISTERS;by Sam Kashner and Nancy Schoenberger;New this week,ACCESSORY TO WAR;by Neil deGrasse Tyson and Avis Lang;3 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;183 weeks on the list",,,,,,SOMETHING IN THE WATER;by Catherine Steadman;,BAD BLOOD;by John Carreyrou;,,,
