,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Business,Science,Sports and Fitness
1,COME SUNDOWN;by Nora Roberts;New this week,COME SUNDOWN;by Nora Roberts;New this week,THE HANDMAID'S TALE;by Margaret Atwood;17 weeks on the list,"AL FRANKEN, GIANT OF THE SENATE;by Al Franken;New this week","AL FRANKEN, GIANT OF THE SENATE;by Al Franken;New this week",ON TYRANNY;by Timothy Snyder;14 weeks on the list,MAKE YOUR BED;by William H. McRaven;9 weeks on the list,WONDER;by R.J. Palacio;95 weeks on the list,SHE PERSISTED;by Chelsea Clinton. Illustrated by Alexandra Boiger;New this week,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;429 weeks on the list,LORD OF SHADOWS;by Cassandra Clare;2 weeks on the list,THE MAGNOLIA STORY;by Chip Gaines and Joanna Gaines with Mark Dagostino;,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;,PAPI;by David Ortiz with Michael Holley;
2,NIGHTHAWK;by Clive Cussler and Graham Brown;New this week,INTO THE WATER;by Paula Hawkins;5 weeks on the list,THE WOMAN IN CABIN 10;by Ruth Ware;8 weeks on the list,THEFT BY FINDING;by David Sedaris;New this week,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;5 weeks on the list,THE BETTER ANGELS OF OUR NATURE;by Steven Pinker;3 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;25 weeks on the list,THE DARK PROPHECY;by Rick Riordan;5 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;88 weeks on the list,HARRY POTTER;by J.K. Rowling;428 weeks on the list,CRAZY HOUSE;by James Patterson and Gabrielle Charbonnet;2 weeks on the list,WOMEN WHO WORK;by Ivanka Trump;,HIDDEN FIGURES;by Margot Lee Shetterly;,THE SECRETS OF MY LIFE;by Caitlyn Jenner with Buzz Bissinger;
3,SHADOW REAPER;by Christine Feehan;New this week,DRAGON TEETH;by Michael Crichton;2 weeks on the list,MILK AND HONEY;by Rupi Kaur;60 weeks on the list,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;5 weeks on the list,THEFT BY FINDING;by David Sedaris;New this week,THE ZOOKEEPER’S WIFE;by Diane Ackerman;44 weeks on the list,YOU ARE A BADASS;by Jen Sincero;73 weeks on the list,DOG MAN UNLEASHED;by Dav Pilkey;23 weeks on the list,DRAGONS LOVE TACOS 2;by Adam Rubin and Daniel Salmieri;5 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;431 weeks on the list,THE HATE U GIVE;by Angie Thomas;14 weeks on the list,YOU ARE A BADASS AT MAKING MONEY;by Jen Sincero;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,COACH WOODEN AND ME;by Kareem Abdul-Jabbar;
4,INTO THE WATER;by Paula Hawkins;5 weeks on the list,NIGHTHAWK;by Clive Cussler and Graham Brown;New this week,LILAC GIRLS;by Martha Hall Kelly;14 weeks on the list,OPTION B;by Sheryl Sandberg and Adam Grant;6 weeks on the list,OPTION B;by Sheryl Sandberg and Adam Grant;6 weeks on the list,HIDDEN FIGURES;by Margot Lee Shetterly;26 weeks on the list,THE BLUE ZONES SOLUTION;by Dan Buettner;4 weeks on the list,DOG MAN;by Dav Pilkey;40 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;172 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;69 weeks on the list,GIRLING UP;by Mayim Bialik;4 weeks on the list,TOOLS OF TITANS;by Tim Ferriss;,WHEN BREATH BECOMES AIR;by Paul Kalanithi;,TEAMMATE;by David Ross with Don Yaeger;
5,THE GIRL WITH THE MAKE-BELIEVE HUSBAND;by Julia Quinn;New this week,NO MIDDLE NAME;by Lee Child;3 weeks on the list,ALL THE LIGHT WE CANNOT SEE;by Anthony Doerr;9 weeks on the list,HILLBILLY ELEGY;by J.D. Vance;45 weeks on the list,HILLBILLY ELEGY;by J.D. Vance;45 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;195 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;203 weeks on the list,THE HIDDEN ORACLE;by Rick Riordan;41 weeks on the list,I WISH YOU MORE;by Amy Krouse Rosenthal. Illustrated by Tom Lichtenheld;25 weeks on the list,DESCENDANTS;by Melissa de la Cruz;2 weeks on the list,"EVERYTHING, EVERYTHING;by Nicola Yoon;50 weeks on the list",GRIT;by Angela Duckworth;,SAPIENS;by Yuval Noah Harari;,THE BOYS IN THE BOAT;by Daniel James Brown;
6,WHITE HOT;by Ilona Andrews;New this week,BEREN AND LÚTHIEN;by J.R.R. Tolkien;New this week,A MAN CALLED OVE;by Fredrik Backman;75 weeks on the list,ON TYRANNY;by Timothy Snyder;10 weeks on the list,THE AMERICAN SPIRIT;by David McCullough;7 weeks on the list,THE PERFECT HORSE;by Elizabeth Letts;2 weeks on the list,THE WHOLE30;by Melissa Hartwig and Dallas Hartwig;86 weeks on the list,THE GIRL WHO DRANK THE MOON;by Kelly Barnhill;22 weeks on the list,WHAT DO YOU DO WITH AN IDEA?;by Kobi Yamada. Illustrated by Mae Besom;24 weeks on the list,COURT OF THORNS AND ROSES;by Sarah J. Maas;5 weeks on the list,LADY MIDNIGHT;by Cassandra Clare;46 weeks on the list,ORIGINALS;by Adam Grant;,THE RADIUM GIRLS;by Kate Moore;,SHOE DOG;by Phil Knight;
7,THE HANDMAID'S TALE;by Margaret Atwood;11 weeks on the list,16TH SEDUCTION;by James Patterson and Maxine Paetro;5 weeks on the list,COMMONWEALTH;by Ann Patchett;5 weeks on the list,THE BETTER ANGELS OF OUR NATURE;by Steven Pinker;3 weeks on the list,THE VANISHING AMERICAN ADULT;by Ben Sasse;3 weeks on the list,WE ARE NEVER MEETING IN REAL LIFE;by Samantha Irby;New this week,THE LIFE-CHANGING MAGIC OF TIDYING UP;by Marie Kondo;129 weeks on the list,GHOST;by Jason Reynolds;New this week,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;206 weeks on the list,MISS PEREGRINE’S PECULIAR CHILDREN;by Ransom Riggs;89 weeks on the list,THE SUN IS ALSO A STAR;by Nicola Yoon;30 weeks on the list,UNSHAKABLE;by Tony Robbins with Peter Mallouk;,BEHAVE;by Robert M. Sapolsky;,BALLPLAYER;by Chipper Jones with Carroll Rogers Walton;
8,CURIOUS MINDS;by Janet Evanovich and Phoef Sutton;3 weeks on the list,THE FIX;by David Baldacci;7 weeks on the list,THE NIGHTINGALE;by Kristin Hannah;6 weeks on the list,KILLERS OF THE FLOWER MOON;by David Grann;7 weeks on the list,KILLERS OF THE FLOWER MOON;by David Grann;7 weeks on the list,THE DEVIL IN THE WHITE CITY;by Erik Larson;338 weeks on the list,SALT FAT ACID HEAT;by Samin Nosrat. Illustrated by Wendy MacNaughton;4 weeks on the list,WOMEN IN SCIENCE;by Rachel Ignotofsky;35 weeks on the list,"ADA TWIST, SCIENTIST;by Andrea Beaty. Illustrated by David Roberts;37 weeks on the list",DORK DIARIES;by Rachel Renée Russell;210 weeks on the list,WHEN DIMPLE MET RISHI;by Sandhya Menon;New this week,"THINKING, FAST AND SLOW;by Daniel Kahneman;","THINKING, FAST AND SLOW;by Daniel Kahneman;",THE CUBS WAY;by Tom Verducci;
9,DRAGON TEETH;by Michael Crichton;2 weeks on the list,"SAME BEACH, NEXT YEAR;by Dorothea Benton Frank;3 weeks on the list",THE COUPLE NEXT DOOR;by Shari Lapena;New this week,THE VANISHING AMERICAN ADULT;by Ben Sasse;3 weeks on the list,SHATTERED;by Jonathan Allen and Amie Parnes;7 weeks on the list,HERO OF THE EMPIRE;by Candice Millard;New this week,UNINVITED;by Lysa TerKeurst;24 weeks on the list,AUGGIE & ME;by R.J. Palacio;40 weeks on the list,WE'RE ALL WONDERS;by R.J. Palacio;8 weeks on the list,SUMMONER TRILOGY;by Taran Matharu;4 weeks on the list,ALEX AND ELIZA;by Melissa de la Cruz;8 weeks on the list,AMERICAN KINGPIN;by Nick Bilton;,THE GENE;by Siddhartha Mukherjee;,THE PUSH;by Tommy Caldwell;
10,THE FIX;by David Baldacci;7 weeks on the list,TESTIMONY;by Scott Turow;3 weeks on the list,ALL THE MISSING GIRLS;by Megan Miranda;10 weeks on the list,SHATTERED;by Jonathan Allen and Amie Parnes;7 weeks on the list,BORN A CRIME;by Trevor Noah;19 weeks on the list,ORIGINALS;by Adam Grant;14 weeks on the list,THE PLANT PARADOX;by Steven R. Gundry;5 weeks on the list,LOST IN A BOOK;by Jennifer Donnelly;17 weeks on the list,"ROSIE REVERE, ENGINEER;by Andrea Beaty. Illustrated by David Roberts;102 weeks on the list",RED QUEEN;by Victoria Aveyard;15 weeks on the list,THIS IS WHERE IT ENDS;by Marieke Nijkamp;53 weeks on the list,SHOE DOG;by Phil Knight;,DRAWDOWN;by Paul Hawken;,RETURN OF THE KING;by Brian Windhorst and Dave McMenamin;
