,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Audio Fiction,Audio Nonfiction,Business,Graphic Books and Manga,Mass Market,Middle Grade Paperback,Young Adult Paperback
1,THE VANISHING HALF;by Brit Bennett;New this week,THE VANISHING HALF;by Brit Bennett;New this week,LITTLE FIRES EVERYWHERE;by Celeste Ng;57 weeks on the list,WHITE FRAGILITY;by Robin DiAngelo;11 weeks on the list,HOW TO BE AN ANTIRACIST;by Ibram X. Kendi;14 weeks on the list,SO YOU WANT TO TALK ABOUT RACE;by Ijeoma Oluo;3 weeks on the list,RELATIONSHIP GOALS;by Michael Todd;6 weeks on the list,THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;5 weeks on the list,THE WORLD NEEDS MORE PURPLE PEOPLE;by Kristen Bell and Benjamin Hart. Illustrated by Daniel Wiseman;New this week,THE HUNGER GAMES;by Suzanne Collins;233 weeks on the list,THE HATE U GIVE;by Angie Thomas;171 weeks on the list,WHERE THE CRAWDADS SING;by Delia Owens;,UNTAMED;by Glennon Doyle;,ATOMIC HABITS;by James Clear;,GUTS;by Raina Telgemeier;,BLUE MOON;by Lee Child;,THE ONE AND ONLY IVAN;by Katherine Applegate. Illustrated by Patricia Castelao;,THE BOOK THIEF;by Markus Zusak;
2,THE GUEST LIST;by Lucy Foley;New this week,WHERE THE CRAWDADS SING;by Delia Owens;92 weeks on the list,NORMAL PEOPLE;by Sally Rooney;16 weeks on the list,SO YOU WANT TO TALK ABOUT RACE;by Ijeoma Oluo;3 weeks on the list,UNTAMED;by Glennon Doyle;13 weeks on the list,WHITE FRAGILITY;by Robin DiAngelo;92 weeks on the list,"MAGNOLIA TABLE, VOL. 2;by Joanna Gaines;9 weeks on the list",LITTLE LEGENDS: EXCEPTIONAL MEN IN BLACK HISTORY;by Vashti Harrison with Kwesi Johnson;11 weeks on the list,THE DAY YOU BEGIN;by Jacqueline Woodson. Illustrated by Rafael López;13 weeks on the list,DOG MAN;by Dav Pilkey;145 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;11 weeks on the list,CAMINO WINDS;by John Grisham;,BECOMING;by Michelle Obama;,"HUSTLE HARDER, HUSTLE SMARTER;by Curtis ""50 Cent"" Jackson;",NEW KID;by Jerry Craft;,SHADOW FLIGHT;by Christine Feehan;,PAX;Sara Pennypacker. Illustrated by Jon Klassen;,ALL THE BRIGHT PLACES;by Jennifer Niven;
3,WHERE THE CRAWDADS SING;by Delia Owens;91 weeks on the list,THE GUEST LIST;by Lucy Foley;New this week,THEN SHE WAS GONE;by Lisa Jewell;47 weeks on the list,HOW TO BE AN ANTIRACIST;by Ibram X. Kendi;6 weeks on the list,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;88 weeks on the list,THE COLOR OF LAW;by Richard Rothstein;6 weeks on the list,"THE BOY, THE MOLE, THE FOX AND THE HORSE;by Charlie Mackesy;31 weeks on the list",LITTLE LEADERS;by Vashti Harrison;33 weeks on the list,SULWE;by Lupita Nyong'o. Illustrated by Vashti Harrison;9 weeks on the list,HARRY POTTER;by J.K. Rowling;585 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;124 weeks on the list,IF IT BLEEDS;by Stephen King;,TALKING TO STRANGERS;by Malcolm Gladwell;,THE RIDE OF A LIFETIME;by Robert Iger;,BECOMING BRIANNA;by Terri Libenson;,LITTLE FIRES EVERYWHERE;by Celeste Ng;,THE GIRL WHO DRANK THE MOON;by Kelly Barnhill;,I AM NOT YOUR PERFECT MEXICAN DAUGHTER;by Erika L. Sánchez;
4,THE LIES THAT BIND;by Emily Giffin;New this week,CAMINO WINDS;by John Grisham;6 weeks on the list,THE WOMAN IN THE WINDOW;by A.J. Finn;59 weeks on the list,ME AND WHITE SUPREMACY;by Layla F. Saad;3 weeks on the list,BECOMING;by Michelle Obama;78 weeks on the list,THE NEW JIM CROW;by Michelle Alexander;189 weeks on the list,"ACT LIKE A LADY;by Keltie Knight, Becca Tobin and Jac Vanek;New this week",THE COMPLETE COOKBOOK FOR YOUNG CHEFS;by America's Test Kitchen Kids;60 weeks on the list,HAIR LOVE;by Matthew A. Cherry. Illustrated by Vashti Harrison;9 weeks on the list,ARTEMIS FOWL;by Eoin Colfer;121 weeks on the list,CHAIN OF GOLD;by Cassandra Clare;14 weeks on the list,LITTLE FIRES EVERYWHERE;by Celeste Ng;,FORTITUDE;by Dan Crenshaw;,GRIT;by Angela Duckworth;,BEST FRIENDS;by Shannon Hale. Illustrated by LeUyen Pham;,EVERY BREATH;by Nicholas Sparks;,A LONG WALK TO WATER;by Linda Sue Park;,TURTLES ALL THE WAY DOWN;by John Green;
5,HIDEAWAY;by Nora Roberts;2 weeks on the list,THE LIES THAT BIND;by Emily Giffin;New this week,CIRCE;by Madeline Miller;7 weeks on the list,THE NEW JIM CROW;by Michelle Alexander;3 weeks on the list,THE SPLENDID AND THE VILE;by Erik Larson;15 weeks on the list,JUST MERCY;by Bryan Stevenson;208 weeks on the list,ATOMIC HABITS;by James Clear;30 weeks on the list,WONDER;by R.J. Palacio;251 weeks on the list,I AM ENOUGH;by Grace Byers. Illustrated by Keturah A. Bobo;8 weeks on the list,DRAGON MASTERS;by Tracey West;2 weeks on the list,STAR WARS: QUEEN'S PERIL;by E.K. Johnston;New this week,AMERICAN DIRT;by Jeanine Cummins;,THE SPLENDID AND THE VILE;by Erik Larson;,DARE TO LEAD;by Brené Brown;,BABY-SITTERS LITTLE SISTER: KAREN'S WITCH;by Ann M. Martin. Illustrated by Katy Farina;,THE CHEF;by James Patterson and Max DiLallo;,WISH;by Barbara O'Connor;,THE BOY IN THE STRIPED PAJAMAS;by John Boyne;
6,CAMINO WINDS;by John Grisham;6 weeks on the list,FAIR WARNING;by Michael Connelly;2 weeks on the list,THE BLUEST EYE;by Toni Morrison;6 weeks on the list,THE COLOR OF LAW;by Richard Rothstein;New this week,ME AND WHITE SUPREMACY;by Layla F. Saad;3 weeks on the list,STAMPED FROM THE BEGINNING;by Ibram X. Kendi;3 weeks on the list,GET OUT OF YOUR HEAD;by Jennie Allen;17 weeks on the list,REFUGEE;by Alan Gratz;97 weeks on the list,I WISH YOU MORE;by Amy Krouse Rosenthal. Illustrated by Tom Lichtenheld;59 weeks on the list,THE SCHOOL FOR GOOD AND EVIL;by Soman Chainani;9 weeks on the list,CLAP WHEN YOU LAND;by Elizabeth Acevedo;5 weeks on the list,THE TERMINAL LIST;by Jack Carr;,EDUCATED;by Tara Westover;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",STRANGE PLANET;by Nathan W. Pyle;,LOST AND FOUND;by Danielle Steel;,UNICORN ACADEMY #1: SOPHIA AND RAINBOW;by Julie Sykes. Illustrated by Lucy Truman;,LONG WAY DOWN;by Jason Reynolds;
7,FAIR WARNING;by Michael Connelly;2 weeks on the list,HIDEAWAY;by Nora Roberts;2 weeks on the list,HUSH;by James Patterson and Candice Fox;New this week,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;64 weeks on the list,UNITED STATES OF SOCIALISM;by Dinesh D'Souza;New this week,WHY ARE ALL THE BLACK KIDS SITTING TOGETHER IN THE CAFETERIA?;by Beverly Daniel Tatum;New this week,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;182 weeks on the list,LOOK BOTH WAYS;by Jason Reynolds;9 weeks on the list,ALL ARE WELCOME;by Alexandra Penfold and Suzanne Kaufman;13 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;586 weeks on the list,THE BETROTHED;by Kiera Cass;5 weeks on the list,THE DUTCH HOUSE;by Ann Patchett;,WHITE FRAGILITY;by Robin DiAngelo;,OUTLIERS;by Malcolm Gladwell;,SISTERS;by Raina Telgemeier;,DEEP HARBOR;by Fern Michaels;,THE WILD ROBOT;by Peter Brown;,THE SUN IS ALSO A STAR;by Nicola Yoon;
8,LITTLE FIRES EVERYWHERE;by Celeste Ng;69 weeks on the list,IF IT BLEEDS;by Stephen King;7 weeks on the list,BEACH READ;by Emily Henry;3 weeks on the list,UNTAMED;by Glennon Doyle;13 weeks on the list,EDUCATED;by Tara Westover;120 weeks on the list,BORN A CRIME;by Trevor Noah;69 weeks on the list,MAKE YOUR BED;by William H. McRaven;90 weeks on the list,THE COMPLETE BAKING BOOK FOR YOUNG CHEFS;by America's Test Kitchen Kids;17 weeks on the list,THE UNDEFEATED;by Kwame Alexander. Illustrated by Kadir Nelson;6 weeks on the list,THE BAD GUYS;by Aaron Blabey;81 weeks on the list,CHILDREN OF VIRTUE AND VENGEANCE;by Tomi Adeyemi;27 weeks on the list,BIG SUMMER;by Jennifer Weiner;,BORN A CRIME;by Trevor Noah;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,DRAMA;by Raina Telgemeier;,THE ORACLE;by Clive Cussler and Robin Burcell;,THE MIRACULOUS JOURNEY OF EDWARD TULANE;by Kate DiCamillo. Illustrated by Bagram Ibatoulline;,JUST MERCY;by Bryan Stevenson;
9,BIG SUMMER;by Jennifer Weiner;5 weeks on the list,BIG SUMMER;by Jennifer Weiner;5 weeks on the list,THE TATTOOIST OF AUSCHWITZ;by Heather Morris;92 weeks on the list,STAMPED FROM THE BEGINNING;by Ibram X. Kendi;New this week,BREATH;by James Nestor;2 weeks on the list,RAISING WHITE KIDS;by Jennifer Harvey;New this week,BE THE BRIDGE;by Latasha Morrison;New this week,"FOOD NETWORK MAGAZINE: THE BIG, FUN KIDS COOKBOOK;by Food Network Magazine;5 weeks on the list",THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;237 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;225 weeks on the list,CHILDREN OF BLOOD AND BONE;by Tomi Adeyemi;115 weeks on the list,WALK THE WIRE;by David Baldacci;,SAPIENS;by Yuval Noah Harari;,THIS IS NOT A FASHION STORY;by Danielle Bernstein with Emily Siegel;,FGTEEV PRESENTS: INTO THE GAME!;by FGTeeV. Illustrated by Miguel Díaz Rivas;,BACKLASH;by Brad Thor;,INSIDE OUT AND BACK AGAIN;by Thanhha Lai;,THE RED SCROLLS OF MAGIC;by Cassandra Clare and Wesley Chu;
10,IF IT BLEEDS;by Stephen King;7 weeks on the list,WALK THE WIRE;by David Baldacci;7 weeks on the list,BEFORE WE WERE YOURS;by Lisa Wingate;55 weeks on the list,JUST MERCY;by Bryan Stevenson;32 weeks on the list,MY VANISHING COUNTRY;by Bakari Sellers;2 weeks on the list,WHITE RAGE;by Carol Anderson;2 weeks on the list,MEDICAL MEDIUM CLEANSE TO HEAL;by Anthony William;6 weeks on the list,LITTLE DREAMERS;by Vashti Harrison;3 weeks on the list,YOU MATTER;by Christian Robinson;New this week,BIG NATE;written and illustrated by Lincoln Peirce;153 weeks on the list,A SONG OF WRAITHS AND RUIN;by Roseanne A. Brown;New this week,THE 20TH VICTIM;by James Patterson and Maxine Paetro;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,THE PRICE OF PEACE;by Zachary D. Carter;,"JACKY HA-HA;by James Patterson and Chris Grabenstein, adapted by Adam Rau and Betty C. Tang;",SINS OF THE FATHERS;by J.A. Jance;,NEVERMOOR: THE TRIALS OF MORRIGAN CROW;by Jessica Townsend;,DEAR MARTIN;by Nic Stone;
