,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Business,Science,Sports and Fitness
1,TWO KINDS OF TRUTH;by Michael Connelly;New this week,THE ROOSTER BAR;by John Grisham;2 weeks on the list,THE SUN AND HER FLOWERS;by Rupi Kaur;5 weeks on the list,LEONARDO DA VINCI;by Walter Isaacson;3 weeks on the list,LEONARDO DA VINCI;by Walter Isaacson;3 weeks on the list,BEING MORTAL;by Atul Gawande;9 weeks on the list,THE PIONEER WOMAN COOKS: COME AND GET IT!;by Ree Drummond;2 weeks on the list,WONDER;by R.J. Palacio;117 weeks on the list,EVERYTHING IS MAMA;by Jimmy Fallon. Illustrated by Miguel Ordóñez;4 weeks on the list,HARRY POTTER;by J.K. Rowling;450 weeks on the list,TURTLES ALL THE WAY DOWN;by John Green;4 weeks on the list,CAPITAL GAINES;by Chip Gaines;,LEONARDO DA VINCI;by Walter Isaacson;,BASKETBALL (AND OTHER THINGS);by Shea Serrano. Illustrated by Arturo Torres;
2,THE ROOSTER BAR;by John Grisham;2 weeks on the list,TWO KINDS OF TRUTH;by Michael Connelly;New this week,MILK AND HONEY;by Rupi Kaur;82 weeks on the list,BOBBY KENNEDY;by Chris Matthews;New this week,BOBBY KENNEDY;by Chris Matthews;New this week,SAME KIND OF DIFFERENT AS ME;by Ron Hall and Denver Moore with Lynn Vincent;110 weeks on the list,THE WISDOM OF SUNDAYS;by Oprah Winfrey;3 weeks on the list,GOOD NIGHT STORIES FOR REBEL GIRLS;by Elena Favilli and Francesca Cavallo;19 weeks on the list,PRINCESSES WEAR PANTS;by Savannah Guthrie and Allison Oppenheim. Illustrated by Eva Byrne;8 weeks on the list,DOG MAN;by Dav Pilkey;10 weeks on the list,THE BOOK OF DUST: LA BELLE SAUVAGE;by Philip Pullman;3 weeks on the list,DISCIPLINE EQUALS FREEDOM;by Jocko Willink;,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;,TB12 METHOD;by Tom Brady;
3,ORIGIN;by Dan Brown;5 weeks on the list,ORIGIN;by Dan Brown;5 weeks on the list,IT;by Stephen King;12 weeks on the list,ANDREW JACKSON AND THE MIRACLE OF NEW ORLEANS;by Brian Kilmeade and Don Yaeger;2 weeks on the list,ANDREW JACKSON AND THE MIRACLE OF NEW ORLEANS;by Brian Kilmeade and Don Yaeger;2 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;398 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;47 weeks on the list,AUGGIE & ME;by R.J. Palacio;49 weeks on the list,SHE PERSISTED;by Chelsea Clinton. Illustrated by Alexandra Boiger;23 weeks on the list,DORK DIARIES;by Rachel Renée Russell;224 weeks on the list,THE HATE U GIVE;by Angie Thomas;36 weeks on the list,PRINCIPLES;by Ray Dalio;,END OF ALZHEIMER'S;by Dale Bredesen;,ALI: A LIFE;by Jonathan Eig;
4,THE HANDMAID'S TALE;by Margaret Atwood;25 weeks on the list,TWIN PEAKS: THE FINAL DOSSIER;by Mark Frost;New this week,THE WOMAN IN CABIN 10;by Ruth Ware;30 weeks on the list,SISTERS FIRST;by Jenna Bush Hager and Barbara Pierce Bush. Illustrated by Ramona Kaulitzki;2 weeks on the list,SISTERS FIRST;by Jenna Bush Hager and Barbara Pierce Bush. Illustrated by Ramona Kaulitzki;2 weeks on the list,THANK YOU FOR BEING LATE;by Thomas L. Friedman;2 weeks on the list,CAPITAL GAINES;by Chip Gaines;3 weeks on the list,WISHTREE;by Katherine Applegate. Illustrated by Charles Santoso;6 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;193 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;451 weeks on the list,THE SUN IS ALSO A STAR;by Nicola Yoon;40 weeks on the list,BLUE OCEAN SHIFT;by W. Chan Kim and Renée Mauborgne;,ENDURANCE;by Scott Kelly;,THE BOYS IN THE BOAT;by Daniel James Brown;
5,THE SUN AND HER FLOWERS;by Rupi Kaur;5 weeks on the list,UNCOMMON TYPE;by Tom Hanks;3 weeks on the list,THE BLACK BOOK;by James Patterson and David Ellis;2 weeks on the list,GRANT;by Ron Chernow;4 weeks on the list,GRANT;by Ron Chernow;4 weeks on the list,NUDGE;by Richard H. Thaler and Cass R. Sunstein;5 weeks on the list,WIN BIGLY;by Scott Adams;New this week,WOMEN IN SCIENCE;by Rachel Ignotofsky;43 weeks on the list,THROUGH YOUR EYES;by Ainsley Earhardt. Illustrated by Ji-Hyuk Kim;3 weeks on the list,MAGNUS CHASE AND THE GODS OF ASGARD;by Rick Riordan;5 weeks on the list,LONG WAY DOWN;by Jason Reynolds;2 weeks on the list,THE FOUR;by Scott Galloway;,SAPIENS;by Yuval Noah Harari;,THE FIRST MAJOR;by John Feinstein;
6,DEEP FREEZE;by John Sandford;3 weeks on the list,DEEP FREEZE;by John Sandford;3 weeks on the list,THE HANDMAID'S TALE;by Margaret Atwood;39 weeks on the list,KILLING ENGLAND;by Bill O'Reilly and Martin Dugard;7 weeks on the list,KILLING ENGLAND;by Bill O'Reilly and Martin Dugard;7 weeks on the list,THE UNDOING PROJECT;by Michael Lewis;New this week,YOU ARE A BADASS;by Jen Sincero;95 weeks on the list,MINECRAFT: THE ISLAND;by Max Brooks;14 weeks on the list,RUNNY BABBIT RETURNS;by Shel Silverstein;6 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;91 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;19 weeks on the list,THE POWER OF MOMENTS;by Chip Heath and Dan Heath;,BEING MORTAL;by Atul Gawande;,RELENTLESS;by Julian Edelman with Tom E. Curran;
7,WILDE IN LOVE;by Eloisa James;New this week,SLEEPING BEAUTIES;by Stephen King and Owen King;6 weeks on the list,ALL THE LIGHT WE CANNOT SEE;by Anthony Doerr;31 weeks on the list,WHAT HAPPENED;by Hillary Clinton;8 weeks on the list,WHAT HAPPENED;by Hillary Clinton;8 weeks on the list,ON TYRANNY;by Timothy Snyder;36 weeks on the list,BRAVING THE WILDERNESS;by Brené Brown;8 weeks on the list,THE PURLOINING OF PRINCE OLEOMARGARINE;by Mark Twain and Philip Stead. Illustrated by Erin Stead;6 weeks on the list,"ROSIE REVERE, ENGINEER;by Andrea Beaty. Illustrated by David Roberts;114 weeks on the list",PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;452 weeks on the list,WARCROSS;by Marie Lu;7 weeks on the list,SOAR!;by T.D. Jakes;,SOONISH;by Kelly Weinersmith and Zach Weinersmith;,SHOE DOG;by Phil Knight;
8,TWIN PEAKS: THE FINAL DOSSIER;by Mark Frost;New this week,A COLUMN OF FIRE;by Ken Follett;8 weeks on the list,LILAC GIRLS;by Martha Hall Kelly;36 weeks on the list,WE'RE GOING TO NEED MORE WINE;by Gabrielle Union;3 weeks on the list,WE WERE EIGHT YEARS IN POWER;by Ta-Nehisi Coates;5 weeks on the list,THOMAS JEFFERSON AND THE TRIPOLI PIRATES;by Brian Kilmeade and Don Yaeger;12 weeks on the list,PRINCIPLES;by Ray Dalio;6 weeks on the list,THE DARK PROPHECY;by Rick Riordan;26 weeks on the list,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;223 weeks on the list,WHO WAS/IS . . . ?;by Jim Gigliotti and others; various illustrators;26 weeks on the list,THE LANGUAGE OF THORNS;by Leigh Bardugo. Illustrated by Sara Kipin;6 weeks on the list,NUDGE;by Richard H. Thaler and Cass R. Sunstein;,WHY WE SLEEP;by Matthew Walker;,THE CHICAGO CUBS;by Rich Cohen;
9,IT;by Stephen King;13 weeks on the list,MANHATTAN BEACH;by Jennifer Egan;5 weeks on the list,THE COUPLE NEXT DOOR;by Shari Lapena;23 weeks on the list,HILLBILLY ELEGY;by J.D. Vance;67 weeks on the list,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;27 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;145 weeks on the list",DISCIPLINE EQUALS FREEDOM;by Jocko Willink;3 weeks on the list,NEVERMOOR: THE TRIALS OF MORRIGAN CROW;by Jessica Townsend;New this week,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;109 weeks on the list,I SURVIVED;by Lauren Tarshis;36 weeks on the list,WONDER WOMAN: WARBRINGER;by Leigh Bardugo;10 weeks on the list,BE FIERCE;by Gretchen Carlson;,THE LOST CITY OF THE MONKEY GOD;by Douglas Preston;,BARBARIAN DAYS;by William Finnegan;
10,MILK AND HONEY;by Rupi Kaur;38 weeks on the list,IN THE MIDST OF WINTER;by Isabel Allende;New this week,BEHIND CLOSED DOORS;by B. A. Paris;9 weeks on the list,WE WERE EIGHT YEARS IN POWER;by Ta-Nehisi Coates;5 weeks on the list,WHAT DOES THIS BUTTON DO?;by Bruce Dickinson;New this week,THE LOST CITY OF THE MONKEY GOD;by Douglas Preston;9 weeks on the list,BLESSED IN THE DARKNESS;by Joel Osteen;2 weeks on the list,LAUGH OUT LOUD;by James Patterson and Chris Grabenstein. Illustrated by Jeff Ebbeler;9 weeks on the list,THE BOOK WITH NO PICTURES;by B.J. Novak;138 weeks on the list,BIG NATE;written and illustrated by Lincoln Peirce;132 weeks on the list,ALL THE CROOKED SAINTS;by Maggie Stiefvater;3 weeks on the list,HIT REFRESH;by Satya Nadella with Greg Shaw and Jill Tracie Nichols;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",STRONGER;by Jeff Bauman with Bret Witter;
