,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Business,Science,Sports and Fitness
1,GLASS HOUSES;by Louise Penny;New this week,GLASS HOUSES;by Louise Penny;New this week,THE WOMAN IN CABIN 10;by Ruth Ware;21 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;54 weeks on the list,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;18 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;389 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;38 weeks on the list,WONDER;by R.J. Palacio;108 weeks on the list,WHAT DO YOU DO WITH A PROBLEM?;by Kobi Yamada. Illustrated by Mae Besom;18 weeks on the list,DOG MAN;by Dav Pilkey;New this week,THE HATE U GIVE;by Angie Thomas;27 weeks on the list,GRIT;by Angela Duckworth;,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;,WHAT MADE MADDY RUN;by Kate Fagan;
2,THE RIGHT TIME;by Danielle Steel;New this week,Y IS FOR YESTERDAY;by Sue Grafton;2 weeks on the list,MILK AND HONEY;by Rupi Kaur;73 weeks on the list,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;18 weeks on the list,HILLBILLY ELEGY;by J.D. Vance;58 weeks on the list,JUST MERCY;by Bryan Stevenson;76 weeks on the list,MAKE YOUR BED;by William H. McRaven;22 weeks on the list,MINECRAFT: THE ISLAND;by Max Brooks;7 weeks on the list,SHE PERSISTED;by Chelsea Clinton. Illustrated by Alexandra Boiger;14 weeks on the list,HARRY POTTER;by J.K. Rowling;441 weeks on the list,BERNIE SANDERS GUIDE TO POLITICAL REVOLUTION;by Bernie Sanders. Illustrated by Jude Buffum;New this week,OUTLIERS;by Malcolm Gladwell;,SAPIENS;by Yuval Noah Harari;,THE BOYS IN THE BOAT;by Daniel James Brown;
3,SHATTERED;by Helen Hardt;New this week,THE RIGHT TIME;by Danielle Steel;New this week,LILAC GIRLS;by Martha Hall Kelly;27 weeks on the list,HILLBILLY ELEGY;by J.D. Vance;58 weeks on the list,WHY BUDDHISM IS TRUE;by Robert Wright;4 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;206 weeks on the list,YOU ARE A BADASS;by Jen Sincero;86 weeks on the list,GOOD NIGHT STORIES FOR REBEL GIRLS;by Elena Favilli and Francesca Cavallo;10 weeks on the list,WHAT DO YOU DO WITH AN IDEA?;by Kobi Yamada. Illustrated by Mae Besom;35 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;442 weeks on the list,WONDER WOMAN: WARBRINGER;by Leigh Bardugo;New this week,RED NOTICE;by Bill Browder;,END OF ALZHEIMER'S;by Dale Bredesen;,FINDING GOBI;by Dion Leonard with with Craig Borlase;
4,Y IS FOR YESTERDAY;by Sue Grafton;2 weeks on the list,THE STORE;by James Patterson and Richard DiLallo;3 weeks on the list,IT;by Stephen King;3 weeks on the list,"AL FRANKEN, GIANT OF THE SENATE;by Al Franken;14 weeks on the list","AL FRANKEN, GIANT OF THE SENATE;by Al Franken;14 weeks on the list",THE NEW JIM CROW;by Michelle Alexander;153 weeks on the list,END OF ALZHEIMER'S;by Dale Bredesen;2 weeks on the list,LAUGH OUT LOUD;by James Patterson and Chris Grabenstein. Illustrated by Jeff Ebbeler;New this week,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;185 weeks on the list,I SURVIVED;by Lauren Tarshis;28 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;11 weeks on the list,EMIGRANT EDGE;by Brian Buffini;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,BARBARIAN DAYS;by William Finnegan;
5,THE WOMAN IN CABIN 10;by Ruth Ware;32 weeks on the list,CAMINO ISLAND;by John Grisham;13 weeks on the list,THE HANDMAID'S TALE;by Margaret Atwood;30 weeks on the list,WHY BUDDHISM IS TRUE;by Robert Wright;4 weeks on the list,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;78 weeks on the list,ON TYRANNY;by Timothy Snyder;27 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;216 weeks on the list,THE DARK PROPHECY;by Rick Riordan;18 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;101 weeks on the list,BIG NATE;written and illustrated by Lincoln Peirce;131 weeks on the list,LORD OF SHADOWS;by Cassandra Clare;15 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;",WHEN BREATH BECOMES AIR;by Paul Kalanithi;,SHOE DOG;by Phil Knight;
6,THE WHISTLER;by John Grisham;24 weeks on the list,MY ABSOLUTE DARLING;by Gabriel Tallent;New this week,THE COUPLE NEXT DOOR;by Shari Lapena;14 weeks on the list,KILLERS OF THE FLOWER MOON;by David Grann;20 weeks on the list,OPTION B;by Sheryl Sandberg and Adam Grant;19 weeks on the list,EVICTED;by Matthew Desmond;11 weeks on the list,THE WHOLE30;by Melissa Hartwig and Dallas Hartwig;99 weeks on the list,AUGGIE & ME;by R.J. Palacio;41 weeks on the list,WE'RE ALL WONDERS;by R.J. Palacio;12 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;82 weeks on the list,ONCE AND FOR ALL;by Sarah Dessen;13 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",UNBROKEN;by Laura Hillenbrand;
7,A GAME OF THRONES;by George R.R. Martin;51 weeks on the list,SEEING RED;by Sandra Brown;3 weeks on the list,THE ALCHEMIST;by Paulo Coelho;427 weeks on the list,THE BIG LIE;by Dinesh D'Souza;5 weeks on the list,KILLERS OF THE FLOWER MOON;by David Grann;20 weeks on the list,OUTLIERS;by Malcolm Gladwell;241 weeks on the list,THE PLANT PARADOX;by Steven R. Gundry;12 weeks on the list,PATINA;by Jason Reynolds;New this week,UNI THE UNICORN AND THE DREAM COME TRUE;by Amy Krouse Rosenthal. Illustrated by Brigette Barrager;New this week,GIVER QUARTET;by Lois Lowry;150 weeks on the list,MILES MORALES: SPIDER-MAN;by Jason Reynolds;5 weeks on the list,INVISIBLE INFLUENCE;by Jonah Berger;,HIDDEN FIGURES;by Margot Lee Shetterly;,PLAYING HURT;by John Saunders with John U. Bacon;
8,BEFORE WE WERE YOURS;by Lisa Wingate;5 weeks on the list,THE LATE SHOW;by Michael Connelly;7 weeks on the list,READY PLAYER ONE;by Ernest Cline;29 weeks on the list,LIFE 3.0;by Max Tegmark;New this week,THE BIG LIE;by Dinesh D'Souza;5 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;137 weeks on the list",THE LIFE-CHANGING MAGIC OF TIDYING UP;by Marie Kondo;142 weeks on the list,POTTYMOUTH AND STOOPID;by James Patterson and Chris Grabenstein. Illustrated by Stephen Gilpin;12 weeks on the list,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;218 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;444 weeks on the list,THIS IS WHERE IT ENDS;by Marieke Nijkamp;63 weeks on the list,GET YOUR ------ TOGETHER;by Sarah Knight;,THE POWER OF HABIT;by Charles Duhigg;,COACH WOODEN AND ME;by Kareem Abdul-Jabbar;
9,SEEING RED;by Sandra Brown;3 weeks on the list,A GENTLEMAN IN MOSCOW;by Amor Towles;41 weeks on the list,ALL THE LIGHT WE CANNOT SEE;by Anthony Doerr;22 weeks on the list,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;60 weeks on the list,THE BOOK OF JOY;by the Dalai Lama and Desmond Tutu with Douglas Abrams;34 weeks on the list,HIDDEN FIGURES;by Margot Lee Shetterly;38 weeks on the list,EMIGRANT EDGE;by Brian Buffini;2 weeks on the list,THE WILD ROBOT;by Peter Brown;11 weeks on the list,CREEPY PAIR OF UNDERWEAR;by Aaron Reynolds. Illustrated by Peter Brown;2 weeks on the list,THE LAND OF STORIES;by Chris Colfer. Illustrated by Brandon Dorman;41 weeks on the list,CRAZY HOUSE;by James Patterson and Gabrielle Charbonnet;15 weeks on the list,TOOLS OF TITANS;by Tim Ferriss;,QUIET;by Susan Cain;,PAPI;by David Ortiz with Michael Holley;
10,MY ABSOLUTE DARLING;by Gabriel Tallent;New this week,STAR WARS: PHASMA;by Delilah S. Dawson;New this week,"IN A DARK, DARK WOOD;by Ruth Ware;32 weeks on the list",SAPIENS;by Yuval Noah Harari;14 weeks on the list,GRIT;by Angela Duckworth;25 weeks on the list,DUNKIRK;by Joshua Levine;9 weeks on the list,OF MESS AND MOXIE;by Jen Hatmaker;4 weeks on the list,THE MISADVENTURES OF MAX CRUMBLY: MIDDLE SCHOOL MAYHEM;by Rachel Renée Russell;13 weeks on the list,LITTLE EXCAVATOR;by Anna Dewdney;6 weeks on the list,DESCENDANTS;by Melissa de la Cruz;15 weeks on the list,ALEX AND ELIZA;by Melissa de la Cruz;20 weeks on the list,LIFE 3.0;by Max Tegmark;,ON TRAILS;by Robert Moor;,SHAKEN;by Tim Tebow;
11,IT;by Stephen King;4 weeks on the list,THE LYING GAME;by Ruth Ware;6 weeks on the list,,BORN A CRIME;by Trevor Noah;26 weeks on the list,LIFE 3.0;by Max Tegmark;New this week,,,,,,,,,
12,CAMINO ISLAND;by John Grisham;13 weeks on the list,ANY DREAM WILL DO;by Debbie Macomber;4 weeks on the list,,JUST MERCY;by Bryan Stevenson;9 weeks on the list,BORN A CRIME;by Trevor Noah;25 weeks on the list,,,,,,,,,
13,MILK AND HONEY;by Rupi Kaur;34 weeks on the list,BEFORE WE WERE YOURS;by Lisa Wingate;7 weeks on the list,,OPTION B;by Sheryl Sandberg and Adam Grant;19 weeks on the list,WHEN BREATH BECOMES AIR;by Paul Kalanithi;66 weeks on the list,,,,,,,,,
14,THE STORE;by James Patterson and Richard DiLallo;3 weeks on the list,INTO THE WATER;by Paula Hawkins;17 weeks on the list,,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;87 weeks on the list,SAPIENS;by Yuval Noah Harari;12 weeks on the list,,,,,,,,,
15,LILAC GIRLS;by Martha Hall Kelly;20 weeks on the list,THE BURNING GIRL;by Claire Messud;New this week,,THE NEW JIM CROW;by Michelle Alexander;New this week,HAIL TO THE CHIN;by Bruce Campbell with Craig Sanborn;2 weeks on the list,,,,,,,,,
