,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,Hardcover Nonfiction,Paperback Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series
1,THE LAST PATRIOT;by Brad Thor;New this week,THE SHACK;by William P. Young;7 weeks on the list,,WHEN YOU ARE ENGULFED IN FLAMES;by David Sedaris;5 weeks on the list,THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;75 weeks on the list,THE LAST LECTURE;by Randy Pausch with Jeffrey Zaslow;13 weeks on the list,SOUL WISDOM;by Zhi Gang Sha;New this week,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;64 weeks on the list,KRISTEN;by Lisi Harrison;New this week,GALLOP!;written and illustrated by Rufus Butler Seder;34 weeks on the list,THE TWILIGHT SAGA;by Stephenie Meyer;48 weeks on the list
2,FEARLESS FOURTEEN;by Janet Evanovich;3 weeks on the list,WATER FOR ELEPHANTS;by Sara Gruen;44 weeks on the list,,FLEECED;by Dick Morris and Eileen McGann;2 weeks on the list,WISDOM OF OUR FATHERS;by Tim Russert;8 weeks on the list,THE SECRET;by Rhonda Byrne;78 weeks on the list,A NEW EARTH;by Eckhart Tolle;23 weeks on the list,DIARY OF A WIMPY KID: RODRICK RULES;by Jeff Kinney;25 weeks on the list,CAMP ROCK;by Lucy Ruggles;6 weeks on the list,ALPHABET;by Matthew Van Fleet;13 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;62 weeks on the list
3,SAIL;by James Patterson and Howard Roughan;4 weeks on the list,THE KITE RUNNER;by Khaled Hosseini;44 weeks on the list,,WHAT HAPPENED;by Scott McClellan;6 weeks on the list,"EAT, PRAY, LOVE;by Elizabeth Gilbert;76 weeks on the list",WHEN MARKETS COLLIDE;by Mohamed A. El-Erian;3 weeks on the list,SKINNY BITCH;by Kim Barnouin;52 weeks on the list,WARRIORS: CATS OF THE CLANS;by Erin Hunter. Illustrated by Wayne McLoughlin;2 weeks on the list,ALICIA;by Lisi Harrison.;5 weeks on the list,THE DANGEROUS ALPHABET;by Neil Gaiman. Illustrated by Gris Grimly;2 weeks on the list,FANCY NANCY;by Jane O’Connor. Illustrated by Robin Preiss Glasser;22 weeks on the list
4,TAILSPIN;by Catherine Coulter;2 weeks on the list,THE ALCHEMIST;by Paulo Coelho;43 weeks on the list,,"ARE YOU THERE, VODKA? IT’S ME, CHELSEA;by Chelsea Handler;11 weeks on the list",BIG RUSS AND ME;by Tim Russert;11 weeks on the list,THE SOUTH BEACH DIET SUPERCHARGED;by Arthur Agatston with Joseph Signorile;9 weeks on the list,YOU CAN HEAL YOUR LIFE;by Louise L. Hay;28 weeks on the list,SEEKERS: THE QUEST BEGINS;by Erin Hunter;6 weeks on the list,THE BOOK THIEF;by Markus Zusak;43 weeks on the list,"SMASH! CRASH!;by Jon Scieszka. Illustrated by David Shannon, Loren Long and David Gordon;24 weeks on the list",HARRY POTTER;by J.K. Rowling;190 weeks on the list
5,THE STORY OF EDGAR SAWTELLE;by David Wroblewski;4 weeks on the list,THE FRIDAY NIGHT KNITTING CLUB;by Kate Jacobs;27 weeks on the list,,THE MONSTER OF FLORENCE;by Douglas Preston with Mario Spezi;4 weeks on the list,THE AUDACITY OF HOPE;by Barack Obama;28 weeks on the list,WOMEN AND MONEY;by Suze Orman;21 weeks on the list,THE POWER OF NOW;by Eckhart Tolle;38 weeks on the list,THE MAGICIAN;by Michael Scott;2 weeks on the list,DYLAN;by Lisi Harrison;9 weeks on the list,ZEN TIES;written and illustrated by Jon J. Muth;25 weeks on the list,THE SISTERHOOD OF THE TRAVELING PANTS;by Ann Brashares;129 weeks on the list
6,THE HOST;by Stephenie Meyer;9 weeks on the list,NINETEEN MINUTES;by Jodi Picoult;22 weeks on the list,,MY STROKE OF INSIGHT;by Jill Bolte Taylor;5 weeks on the list,DREAMS FROM MY FATHER;by Barack Obama;103 weeks on the list,THE 4-HOUR WORKWEEK;by Timothy Ferriss;32 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;368 weeks on the list,LOCK AND KEY;by Sarah Dessen;11 weeks on the list,night world;by L. J. Smith;New this week,READ ALL ABOUT IT!;by Laura Bush and Jenna Bush;11 weeks on the list,CONFESSIONS OF GEORGIA NICOLSON;by Louise Rennison;13 weeks on the list
7,CHASING DARKNESS;by Robert Crais;New this week,BAREFOOT;by Elin Hilderbrand;4 weeks on the list,,AUDITION;by Barbara Walters;9 weeks on the list,I HOPE THEY SERVE BEER IN HELL;by Tucker Max;40 weeks on the list,END OF DAYS;by Sylvia Browne;2 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;54 weeks on the list,THE INVENTION OF HUGO CABRET;by Brian Selznick;66 weeks on the list,WALL-E;by Irene Trimble;5 weeks on the list,DON’T BUMP THE GLUMP!;written and illustrated by Shel Silverstein;13 weeks on the list,PENDRAGON;by D. J. MacHale;66 weeks on the list
8,ROGUE;by Danielle Steel;2 weeks on the list,THE ROAD;by Cormac McCarthy;44 weeks on the list,,THE POST-AMERICAN WORLD: RELEASE 2.0;by Fareed Zakaria;10 weeks on the list,90 MINUTES IN HEAVEN;by Don Piper with Cecil Murphey;89 weeks on the list,DEBT CURES “THEY” DON’T WANT YOU TO KNOW ABOUT;by Kevin Trudeau;5 weeks on the list,HUNGRY GIRL;by Lisa Lillien;10 weeks on the list,THE NIXIES SONG;by Tony DiTerlizzi and Holly Black;27 weeks on the list,CHOSEN;by P. C. Cast and Kristin Cast;10 weeks on the list,A VISITOR FOR BEAR;by Bonny Becker. Illustrated by Kady MacDonald Denton;4 weeks on the list,ARTEMIS FOWL;by Eoin Colfer;98 weeks on the list
9,DEATH ANGEL;by Linda Howard;New this week,THE LAST SUMMER (OF YOU AND ME);by Ann Brashares;9 weeks on the list,,STORI TELLING;by Tori Spelling with Hilary Liftin;6 weeks on the list,THE INNOCENT MAN;by John Grisham;33 weeks on the list,TOTAL MONEY MAKEOVER;by Dave Ramsey;2 weeks on the list,THE PURPOSE-DRIVEN LIFE;by Rick Warren;26 weeks on the list,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;33 weeks on the list,MASSIE;by Lisi Harrison;14 weeks on the list,DIRT ON MY SHIRT;by Jeff Foxworthy. Illustrated by Steve Bjorkman;17 weeks on the list,D’ Lacey’s Dragons;by Chris d Lacey;11 weeks on the list
10,THE BEACH HOUSE;by Jane Green;3 weeks on the list,THE MEMORY KEEPER’S DAUGHTER;by Kim Edwards;44 weeks on the list,,THE BILLIONAIRE'S VINEGAR;by Benjamin Wallace;New this week,MARLEY AND ME;by John Grogan;17 weeks on the list,QUANTUM WELLNESS;by Kathy Freston;7 weeks on the list,THE SPEED OF TRUST;by Stephen M. R. Covey;12 weeks on the list,THE MYSTERIOUS BENEDICT SOCIETY AND THE PERILOUS JOURNEY;by Trenton Lee Stewart. Illustrated by Diana Sudyka;4 weeks on the list,TEMPTED;by Cecily von Ziegesar;5 weeks on the list,LADYBUG GIRL;by Jacky Davis and David Soman. Illustrated by David Soman;16 weeks on the list,BOOKS OF EMBER;by Jeanne DuPrau;17 weeks on the list
