,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Business,Science,Sports and Fitness
1,DARKER;by E.L. James;New this week,THE ROOSTER BAR;by John Grisham;6 weeks on the list,DARKER;by E.L. James;New this week,LEONARDO DA VINCI;by Walter Isaacson;7 weeks on the list,LEONARDO DA VINCI;by Walter Isaacson;7 weeks on the list,COLLUSION;by Luke Harding;3 weeks on the list,THE PIONEER WOMAN COOKS: COME AND GET IT!;by Ree Drummond;6 weeks on the list,WONDER;by R.J. Palacio;121 weeks on the list,THE NIGHT BEFORE CHRISTMAS;by Clement C. Moore. Various illustrators;74 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;455 weeks on the list,TURTLES ALL THE WAY DOWN;by John Green;8 weeks on the list,CAPITAL GAINES;by Chip Gaines;,LEONARDO DA VINCI;by Walter Isaacson;,TB12 METHOD;by Tom Brady;
2,THE ROOSTER BAR;by John Grisham;6 weeks on the list,ORIGIN;by Dan Brown;9 weeks on the list,THE SUN AND HER FLOWERS;by Rupi Kaur;9 weeks on the list,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;30 weeks on the list,GRANT;by Ron Chernow;8 weeks on the list,BEING MORTAL;by Atul Gawande;13 weeks on the list,TRIBE OF MENTORS;by Timothy Ferriss;2 weeks on the list,AUGGIE & ME;by R.J. Palacio;53 weeks on the list,HOW TO CATCH AN ELF;by Adam Wallace. Illustrated by Andy Elkerton;4 weeks on the list,HARRY POTTER;by J.K. Rowling;454 weeks on the list,THE HATE U GIVE;by Angie Thomas;40 weeks on the list,TRIBE OF MENTORS;by Timothy Ferriss;,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;,BASKETBALL (AND OTHER THINGS);by Shea Serrano. Illustrated by Arturo Torres;
3,ORIGIN;by Dan Brown;9 weeks on the list,THE PEOPLE VS. ALEX CROSS;by James Patterson;2 weeks on the list,MILK AND HONEY;by Rupi Kaur;86 weeks on the list,GRANT;by Ron Chernow;8 weeks on the list,OBAMA;by Pete Souza;4 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;402 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;51 weeks on the list,GOOD NIGHT STORIES FOR REBEL GIRLS;by Elena Favilli and Francesca Cavallo;23 weeks on the list,SHE PERSISTED;by Chelsea Clinton. Illustrated by Alexandra Boiger;27 weeks on the list,DOG MAN;by Dav Pilkey;14 weeks on the list,THE BOOK OF DUST: LA BELLE SAUVAGE;by Philip Pullman;7 weeks on the list,PRINCIPLES;by Ray Dalio;,ENDURANCE;by Scott Kelly;,RELENTLESS;by Julian Edelman with Tom E. Curran;
4,THE MIDNIGHT LINE;by Lee Child;4 weeks on the list,THE MIDNIGHT LINE;by Lee Child;4 weeks on the list,IT;by Stephen King;16 weeks on the list,OBAMA;by Pete Souza;4 weeks on the list,"PROMISE ME, DAD;by Joe Biden;3 weeks on the list",ON TYRANNY;by Timothy Snyder;40 weeks on the list,CAPITAL GAINES;by Chip Gaines;7 weeks on the list,THE MAGIC MISFITS;by Neil Patrick Harris;2 weeks on the list,PETE THE CAT SAVES CHRISTMAS;by Eric Litwin. Illustrated by James Dean;20 weeks on the list,DORK DIARIES;by Rachel Renée Russell;228 weeks on the list,RENEGADES;by Marissa Meyer;4 weeks on the list,DISCIPLINE EQUALS FREEDOM;by Jocko Willink;,SAPIENS;by Yuval Noah Harari;,FIERCE;by Aly Raisman;
5,THE PEOPLE VS. ALEX CROSS;by James Patterson;2 weeks on the list,END GAME;by David Baldacci;3 weeks on the list,READY PLAYER ONE;by Ernest Cline;35 weeks on the list,SAPIENS;by Yuval Noah Harari;17 weeks on the list,ANDREW JACKSON AND THE MIRACLE OF NEW ORLEANS;by Brian Kilmeade and Don Yaeger;6 weeks on the list,ALEXANDER HAMILTON;by Ron Chernow;89 weeks on the list,THE WISDOM OF SUNDAYS;by Oprah Winfrey;7 weeks on the list,WOMEN IN SCIENCE;by Rachel Ignotofsky;47 weeks on the list,EVERYTHING IS MAMA;by Jimmy Fallon. Illustrated by Miguel Ordóñez;8 weeks on the list,MAGNUS CHASE AND THE GODS OF ASGARD;by Rick Riordan;9 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;23 weeks on the list,THE UNDOING PROJECT;by Michael Lewis;,THE UNDOING PROJECT;by Michael Lewis;,SHOE DOG;by Phil Knight;
6,TOM CLANCY POWER AND EMPIRE;by Marc Cameron;New this week,PAST PERFECT;by Danielle Steel;New this week,THE WOMAN IN CABIN 10;by Ruth Ware;34 weeks on the list,HILLBILLY ELEGY;by J.D. Vance;68 weeks on the list,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;31 weeks on the list,THE UNDOING PROJECT;by Michael Lewis;5 weeks on the list,YOU ARE A BADASS;by Jen Sincero;99 weeks on the list,WISHTREE;by Katherine Applegate. Illustrated by Charles Santoso;10 weeks on the list,WE'RE ALL WONDERS;by R.J. Palacio;17 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;95 weeks on the list,WARCROSS;by Marie Lu;11 weeks on the list,SOAR!;by T.D. Jakes;,END OF ALZHEIMER'S;by Dale Bredesen;,THE BOYS IN THE BOAT;by Daniel James Brown;
7,PAST PERFECT;by Danielle Steel;New this week,TOM CLANCY POWER AND EMPIRE;by Marc Cameron;New this week,ALL THE LIGHT WE CANNOT SEE;by Anthony Doerr;35 weeks on the list,"PROMISE ME, DAD;by Joe Biden;3 weeks on the list",KILLING ENGLAND;by Bill O'Reilly and Martin Dugard;11 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;149 weeks on the list",MAKE YOUR BED;by William H. McRaven;30 weeks on the list,MINECRAFT: THE ISLAND;by Max Brooks;18 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;197 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;456 weeks on the list,FIERCE;by Aly Raisman;3 weeks on the list,THANK YOU FOR BEING LATE;by Thomas L. Friedman;,BEING MORTAL;by Atul Gawande;,RUN FAST. EAT SLOW;by Shalane Flanagan and Elyse Kopecky;
8,END GAME;by David Baldacci;3 weeks on the list,HARDCORE TWENTY-FOUR;by Janet Evanovich;3 weeks on the list,COUNT TO TEN;by James Patterson and Ashwin Sanghi;3 weeks on the list,ANDREW JACKSON AND THE MIRACLE OF NEW ORLEANS;by Brian Kilmeade and Don Yaeger;6 weeks on the list,BOBBY KENNEDY;by Chris Matthews;5 weeks on the list,THE SILK ROADS;by Peter Frankopan;New this week,TB12 METHOD;by Tom Brady;5 weeks on the list,THE DARK PROPHECY;by Rick Riordan;30 weeks on the list,PRINCESSES WEAR PANTS;by Savannah Guthrie and Allison Oppenheim. Illustrated by Eva Byrne;9 weeks on the list,WHO WAS/IS . . . ?;by Jim Gigliotti and others; various illustrators;30 weeks on the list,WONDER WOMAN: WARBRINGER;by Leigh Bardugo;12 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;",QUIET;by Susan Cain;,SHAKEN;by Tim Tebow;
9,THE SUN AND HER FLOWERS;by Rupi Kaur;9 weeks on the list,ARTEMIS;by Andy Weir;3 weeks on the list,LILAC GIRLS;by Martha Hall Kelly;39 weeks on the list,KILLING ENGLAND;by Bill O'Reilly and Martin Dugard;11 weeks on the list,SISTERS FIRST;by Jenna Bush Hager and Barbara Pierce Bush. Illustrated by Ramona Kaulitzki;6 weeks on the list,THOMAS JEFFERSON AND THE TRIPOLI PIRATES;by Brian Kilmeade and Don Yaeger;16 weeks on the list,SMITTEN KITCHEN EVERY DAY;by Deb Perelman;4 weeks on the list,THE GIRL WHO DRANK THE MOON;by Kelly Barnhill;34 weeks on the list,HERE WE ARE;by Oliver Jeffers;3 weeks on the list,THE LAND OF STORIES;by Chris Colfer. Illustrated by Brandon Dorman;43 weeks on the list,LONG WAY DOWN;by Jason Reynolds;5 weeks on the list,THE MAGNOLIA STORY;by Chip Gaines and Joanna Gaines with Mark Dagostino;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",THE FIRST MAJOR;by John Feinstein;
10,HARDCORE TWENTY-FOUR;by Janet Evanovich;3 weeks on the list,TWO KINDS OF TRUTH;by Michael Connelly;5 weeks on the list,A MAN CALLED OVE;by Fredrik Backman;85 weeks on the list,BOBBY KENNEDY;by Chris Matthews;5 weeks on the list,WHAT HAPPENED;by Hillary Clinton;12 weeks on the list,THE LOST CITY OF THE MONKEY GOD;by Douglas Preston;11 weeks on the list,SOAR!;by T.D. Jakes;2 weeks on the list,NEVERMOOR: THE TRIALS OF MORRIGAN CROW;by Jessica Townsend;2 weeks on the list,"ROSIE REVERE, ENGINEER;by Andrea Beaty. Illustrated by David Roberts;118 weeks on the list",I SURVIVED;by Lauren Tarshis;37 weeks on the list,THE LANGUAGE OF THORNS;by Leigh Bardugo. Illustrated by Sara Kipin;9 weeks on the list,THE SILK ROADS;by Peter Frankopan;,WHY WE SLEEP;by Matthew Walker;,ALI: A LIFE;by Jonathan Eig;
