,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,Hardcover Nonfiction,Paperback Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series
1,THE LOST SYMBOL;by Dan Brown;5 weeks on the list,SAY YOU'RE ONE OF THEM;by Uwem Akpan;5 weeks on the list,,HAVE A LITTLE FAITH;by Mitch Albom;3 weeks on the list,I HOPE THEY SERVE BEER IN HELL;by Tucker Max;107 weeks on the list,JIM CRAMER'S GETTING BACK TO EVEN;by James J. Cramer with Cliff Mason;New this week,NEW MOON;by Mark Cotta Vaz;2 weeks on the list,THE BOOK OF GENESIS: ILLUSTRATED;by R. Crumb;New this week,THE ZOMBIE SURVIVAL GUIDE: RECORDED ATTACKS;by Max Brooks;2 weeks on the list,NARUTO 46;by Masashi Kishimoto;3 weeks on the list,CATCHING FIRE;by Suzanne Collins;7 weeks on the list,THE BOOK THIEF;by Markus Zusak;110 weeks on the list,WHERE THE WILD THINGS ARE;by Barb Bersche and Michelle Quint;3 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;40 weeks on the list
2,PURSUIT OF HONOR;by Vince Flynn;New this week,THE SHACK;by William P. Young;74 weeks on the list,,"ARGUING WITH IDIOTS;written and edited by Glenn Beck, Kevin Balfe and others;4 weeks on the list",THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;142 weeks on the list,CRUSH IT!;by Gary Vaynerchuk;New this week,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;433 weeks on the list,"BLOOM COUNTY: THE COMPLETE LIBRARY, VOL. 1;by Berkeley Breathed;2 weeks on the list","BUFFY THE VAMPIRE SLAYER: SEASON 8, VOL. 5;by various;2 weeks on the list","ROSARIO   VAMPIRE, VOL. 9;by Akihisa Ikeda;2 weeks on the list",THE HUNGER GAMES;by Suzanne Collins;58 weeks on the list,DARK VISIONS;by L. J. Smith;6 weeks on the list,LEGO STAR WARS;by Simon Beecroft;2 weeks on the list,THE TWILIGHT SAGA;by Stephenie Meyer;115 weeks on the list
3,NINE DRAGONS;by Michael Connelly;New this week,THE TIME TRAVELER'S WIFE;by Audrey Niffenegger;18 weeks on the list,,SULLY;by Chesley B. Sullenberger III with Jeffrey Zaslow;New this week,GLENN BECK’S ‘COMMON SENSE’;by Glenn Beck;19 weeks on the list,"POSTSECRET: CONFESSIONS ON LIFE, DEATH, AND GOD;by Frank Warren;2 weeks on the list",THE FIVE LOVE LANGUAGES;by Gary Chapman;116 weeks on the list,BATMAN: CACOPHONY;by Kevin Smith and Walter Flanagan;4 weeks on the list,WATCHMEN;by Alan Moore and Dave Gibbons;34 weeks on the list,"YU-GI-OH! R, VOL. 1;by Kazuki Takahashi and Akira Ito;New this week",THE MAGICIAN’S ELEPHANT;by Kate DiCamillo. Illustrated by Yoko Tanaka;6 weeks on the list,THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;39 weeks on the list,"JULIE ANDREWS’S COLLECTION OF POEMS, SONGS, AND LULLABIES;by Emma Walton Hamilton and Julie Andrews. Illustrated by James McMullan.;2 weeks on the list",VAMPIRE DIARIES;by L. J. Smith;25 weeks on the list
4,THE HELP;by Kathryn Stockett;29 weeks on the list,OLIVE KITTERIDGE;by Elizabeth Strout;26 weeks on the list,,TRUE COMPASS;by Edward M. Kennedy;5 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;148 weeks on the list,GUINNESS WORLD RECORDS 2010;edited by Craig Glenday;5 weeks on the list,THE POWER OF NOW;by Eckhart Tolle;79 weeks on the list,THE WONDERFUL WIZARD OF OZ;by Eric Shanower and Skottie Young;5 weeks on the list,BATMAN: ARKHAM ASYLUM;by Grant Morrison and Dave McKean;9 weeks on the list,"CHIBI VAMPIRE, VOL. 14;by Yuna Kagesaki;2 weeks on the list",FIRE;by Kristin Cashore;2 weeks on the list,THIRST NO. 1;by Christopher Pike;11 weeks on the list,"SKIPPYJON JONES, LOST IN SPICE;by Judy Schachner;5 weeks on the list",PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;119 weeks on the list
5,THE LAST SONG;by Nicholas Sparks;6 weeks on the list,THE GIRL WITH THE DRAGON TATTOO;by Stieg Larsson;17 weeks on the list,,MOONWALK;by Michael Jackson;12 weeks on the list,THE ZOMBIE SURVIVAL GUIDE;by Max Brooks;2 weeks on the list,HOW TO RAISE THE PERFECT DOG;by Cesar Millan with Melissa Jo Peltier;2 weeks on the list,THE LOVE DARE;by Stephen Kendrick and Alex Kendrick with Lawrence Kimbrough;56 weeks on the list,BATMAN: THE KILLING JOKE;by Alan Moore and Brian Bolland;32 weeks on the list,BATMAN: THE LONG HALLOWEEN;by Jeph Loeb and Tim Sale;10 weeks on the list,"VAMPIRE KISSES VOL. 3, BLOOD RELATIVES;by Ellen Schreiber, Elisa Kwon and  Rem;2 weeks on the list",TRICKS;by Ellen Hopkins;8 weeks on the list,BLUE MOON;by Alyson Noël;15 weeks on the list,WADDLE!;written and illustrated by Rufus Butler Seder;5 weeks on the list,BLUE BLOODS;by Melissa de la Cruz;9 weeks on the list
6,A TOUCH OF DEAD;by Charlaine Harris;2 weeks on the list,PUSH;by Sapphire;8 weeks on the list,,OUTLIERS;by Malcolm Gladwell;48 weeks on the list,TIPPING POINT;by Malcolm Gladwell;263 weeks on the list,GOOD EATS;by Alton Brown;2 weeks on the list,"THE BIGGEST LOSER SIMPLE SWAPS;by  Cheryl Forberg, Melissa Roberson and others;New this week",JOKER;by Brian Azzarello and Lee Bermejo;24 weeks on the list,"THE WALKING DEAD, VOL. 10;by Robert Kirkman and Charlie Adlard;10 weeks on the list","FULLMETAL ALCHEMIST, VOL. 20;by Hiromu Arakawa;5 weeks on the list",LEVIATHAN;by Scott Westerfeld. Illustrated by Keith Thompson;2 weeks on the list,EVERMORE;by Alyson Noël;37 weeks on the list,LISTEN TO THE WIND: THE STORY OF DR. GREG AND THREE CUPS OF TEA;by Greg Mortenson and Susan L. Roth;38 weeks on the list,THE MYSTERIOUS BENEDICT SOCIETY;by Trenton Lee Stewart;2 weeks on the list
7,HALF BROKE HORSES;by Jeannette Walls;2 weeks on the list,THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY;by Mary Ann Shaffer and Annie Barrows;24 weeks on the list,,THE GREATEST SHOW ON EARTH;by Richard Dawkins;4 weeks on the list,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;8 weeks on the list,"ACT LIKE A LADY, THINK LIKE A MAN;by Steve Harvey with Denene Millner;38 weeks on the list",HUNGRY GIRL 200 UNDER 200;by Lisa Lillien;27 weeks on the list,MERCY THOMPSON: HOMECOMING;by Patricia Briggs and David Lawrence;8 weeks on the list,V FOR VENDETTA;by Alan Moore and David Lloyd;29 weeks on the list,"SKIP BEAT!, VOL. 19;by Yoshiki Nakamura;2 weeks on the list",RETURN TO THE HUNDRED ACRE WOOD;by David Benedictus. Illustrated by Mark Burgess;2 weeks on the list,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;29 weeks on the list,OTIS;written and illustrated by Loren Long;4 weeks on the list,HOUSE OF NIGHT;by P.C. Cast and Kristin Cast;60 weeks on the list
8,ROUGH COUNTRY;by John Sandford;3 weeks on the list,THE ART OF RACING IN THE RAIN;by Garth Stein;19 weeks on the list,,WHERE MEN WIN GLORY;by Jon Krakauer;5 weeks on the list,BLINK;by Malcolm Gladwell;105 weeks on the list,THE KIND DIET;by Alicia Silverstone;New this week,SKINNY BITCH;by Kim Barnouin;118 weeks on the list,STITCHES: A MEMOIR;by David Small;4 weeks on the list,BATMAN: HUSH;by Jeph Loeb and Jim Lee;9 weeks on the list,"BATTLE ANGEL ALITA: LAST ORDER, VOL. 12;by Yukito Kishiro;New this week",SHIVER;by Maggie Stiefvater;12 weeks on the list,GRACELING;by Kristin Cashore;3 weeks on the list,THE RUNAWAY MUMMY;by Michael Rex;2 weeks on the list,VAMPIRE ACADEMY;by Richelle Mead;14 weeks on the list
9,AN ECHO IN THE BONE;by Diana Gabaldon;4 weeks on the list,HANDLE WITH CARE;by Jodi Picoult;5 weeks on the list,,THE MURDER OF KING TUT;by James Patterson and Martin Dugard;3 weeks on the list,WHEN YOU ARE ENGULFED IN FLAMES;by David Sedaris;20 weeks on the list,"MASTERING THE ART OF FRENCH COOKING, VOL. 1;by Julia Child, Simone Beck and Louisette Bertholle;10 weeks on the list",RICH DAD'S CONSPIRACY OF THE RICH;by Robert T. Kiyosaki;4 weeks on the list,"FINAL CRISIS;by Grant Morrison, J. G. Jones, Carlos Pacheco and Doug Mahnke;18 weeks on the list","FABLES, VOL. 12;by Bill Willingham, Mike Allred and Mark Buckingham;9 weeks on the list","BLEACH, VOL. 28;by Tite Kubo;6 weeks on the list",THE GRAVEYARD BOOK;by Neil Gaiman. Illustrated by Dave McKean;54 weeks on the list,IMPOSSIBLE;by Nancy Werlin;4 weeks on the list,STREGA NONA'S HARVEST;written and illustrated by Tomie dePaola;5 weeks on the list,THE 39 CLUES;by various authors;24 weeks on the list
10,THE PROFESSIONAL;by Robert B. Parker;2 weeks on the list,THE STORY OF EDGAR SAWTELLE;by David Wroblewski;6 weeks on the list,,THE TIME OF MY LIFE;by Patrick Swayze and Lisa Niemi;3 weeks on the list,MY LIFE IN FRANCE;by Julia Child with Alex Prud’homme;16 weeks on the list,"REINVENTING THE BODY, RESURRECTING THE SOUL;by Deepak Chopra;New this week",THE SIBLEY GUIDE TO TREES;by David Allen Sibley;New this week,BATMAN: WHATEVER HAPPENED TO THE CAPED CRUSADER?;by Neil Gaiman and others;13 weeks on the list,"LOGICOMIX - AN EPIC SEARCH FOR TRUTH;by Apostolos Doxiadis, Christos H. Papadimitriou, Alecos Papadatos and Annie Di Donna;3 weeks on the list","ONE PIECE: HOPE, VOL. 22;by Eiichiro Oda;2 weeks on the list","HUSH, HUSH;by Becca Fitzpatrick;New this week",CLOUDY WITH A CHANCE OF MEATBALLS: JUNIOR NOVELIZATION;by Stacia Deutsch and Rhody Cohon;5 weeks on the list,DEWEY;by Vicki Myron with Bret Witter;7 weeks on the list,NIGHT WORLD;by L. J. Smith;38 weeks on the list
