,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,Hardcover Nonfiction,Paperback Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series
1,CROSS COUNTRY;by James Patterson;2 weeks on the list,THE SHACK;by William P. Young;28 weeks on the list,,OUTLIERS;by Malcolm Gladwell;2 weeks on the list,THE AUDACITY OF HOPE;by Barack Obama;49 weeks on the list,THE LAST LECTURE;by Randy Pausch with Jeffrey Zaslow;34 weeks on the list,TWILIGHT;by Mark Cotta Vaz;7 weeks on the list,"BURNING UP;by Joe, Kevin and Nick Jonas;2 weeks on the list",THE TALE OF DESPEREAUX;by Kate DiCamillo. Illustrated by Timothy Basil Ering;44 weeks on the list,A VERY MARLEY CHRISTMAS;by John Grogan. Illustrated by Richard Cowdrey;2 weeks on the list,THE TWILIGHT SAGA;by Stephenie Meyer;69 weeks on the list
2,THE CHRISTMAS SWEATER;by Glenn Beck with Kevin Balfe and Jason Wright.;3 weeks on the list,THE APPEAL;by John Grisham;2 weeks on the list,,AMERICAN LION;by Jon Meacham;3 weeks on the list,DREAMS FROM MY FATHER;by Barack Obama;124 weeks on the list,BAREFOOT CONTESSA BACK TO BASICS;by Ina Garten;5 weeks on the list,THE LOVE DARE;by Stephen Kendrick and Alex Kendrick with Lawrence Kimbrough;10 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;85 weeks on the list,THE BOOK THIEF;by Markus Zusak;64 weeks on the list,GALLOP!;written and illustrated by Rufus Butler Seder;55 weeks on the list,INHERITANCE;by Christopher Paolini;11 weeks on the list
3,ARCTIC DRIFT;by Clive Cussler and Dirk Cussler;New this week,A THOUSAND SPLENDID SUNS;by Khaled Hosseini;New this week,,DEWEY;by Vicki Myron with Bret Witter;11 weeks on the list,MARLEY AND ME;by John Grogan;38 weeks on the list,GUINNESS WORLD RECORDS 2009;edited by Craig Glenday;11 weeks on the list,RACHAEL RAY’S BIG ORANGE BOOK;by Rachael Ray;4 weeks on the list,DIARY OF A WIMPY KID: RODRICK RULES;by Jeff Kinney;46 weeks on the list,THE BOY IN THE STRIPED PAJAMAS;by John Boyne;4 weeks on the list,SWING!;written and illustrated by Rufus Butler Seder;7 weeks on the list,WARRIORS;by Erin Hunter;63 weeks on the list
4,JUST AFTER SUNSET;by Stephen King;3 weeks on the list,Halo: THE COLE PROTOCOL;by Tobias S. Buckell;New this week,,DO THE RIGHT THING;by Mike Huckabee;2 weeks on the list,TEAM OF RIVALS;by Doris Kearns Goodwin;18 weeks on the list,THE PURPOSE OF CHRISTMAS;by Rick Warren;4 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;389 weeks on the list,THE MAZE OF BONES;by Rick Riordan;12 weeks on the list,SLAM;by Nick Hornby;8 weeks on the list,THE NIGHT BEFORE CHRISTMAS;by Clement C. Moore. Various illustrators;16 weeks on the list,HOUSE OF NIGHT;by P.C. Cast and Kristin Cast;14 weeks on the list
5,THE HOUR I FIRST BELIEVED;by Wally Lamb;3 weeks on the list,THE BRIEF WONDROUS LIFE OF OSCAR WAO;by Junot Díaz;13 weeks on the list,,TOO FAT TO FISH;by Artie Lange with Anthony Bozza;3 weeks on the list,THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;96 weeks on the list,"YOU: THE OWNER’S MANUAL FOR TEENS;by Michael F. Roizen, Mehmet C. Oz and Ellen Rome;3 weeks on the list",I CAN HAS CHEEZBURGER?;by Professor Happy­cat and icanhascheezburger.com;8 weeks on the list,THE GRAVEYARD BOOK;by Neil Gaiman. Illustrated by Dave McKean;9 weeks on the list,THE MYSTERIOUS BENEDICT SOCIETY;by Trenton Lee Stewart. Illustrated by Carson Ellis;17 weeks on the list,BIG WORDS FOR LITTLE PEOPLE;by Jamie Lee Curtis. Illustrated by Laura Cornell;12 weeks on the list,INKHEART;by Cornelia Funke;10 weeks on the list
6,YOUR HEART BELONGS TO ME;by Dean Koontz;New this week,WORLD WITHOUT END;by Ken Follett;8 weeks on the list,,"HOT, FLAT, AND CROWDED;by Thomas L. Friedman;12 weeks on the list","EAT, PRAY, LOVE;by Elizabeth Gilbert;97 weeks on the list",FLAT BELLY DIET!;by Liz Vaccariello and Cynthia Sass;5 weeks on the list,"DINERS, DRIVE-INS AND DIVES;by Guy Fieri with Ann Volkwein;2 weeks on the list",PAULA DEEN’S MY FIRST COOKBOOK;by Paula Deen with Martha Nesbit. Illustrated by Susan Mitchell;8 weeks on the list,THE PENDERWICKS;by Jeanne Birdsall;10 weeks on the list,ABC3D;by Marion Bataille;7 weeks on the list,IF YOU GIVE . . .;by Laura Numeroff. Illustrated by Felicia Bond;27 weeks on the list
7,THE STORY OF EDGAR SAWTELLE;by David Wroblewski;25 weeks on the list,THE ALCHEMIST;by Paulo Coelho;64 weeks on the list,,WHY WE SUCK;by Denis Leary;2 weeks on the list,TIPPING POINT;by Malcolm Gladwell;217 weeks on the list,THE SECRET;by Rhonda Byrne;99 weeks on the list,SKINNY BITCH;by Kim Barnouin;73 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;12 weeks on the list,BARACK OBAMA;by Roberta Edwards. Illustrated by Ken Call;17 weeks on the list,GINGERBREAD FRIENDS;written and illustrated by Jan Brett;7 weeks on the list,PRETTY LITTLE LIARS;by Sara Shepard;9 weeks on the list
8,DIVINE JUSTICE;by David Baldacci;4 weeks on the list,REMEMBER ME?;by Sophie Kinsella;5 weeks on the list,,A BOLD FRESH PIECE OF HUMANITY;by Bill O’Reilly;10 weeks on the list,I HOPE THEY SERVE BEER IN HELL;by Tucker Max;61 weeks on the list,Ripley’s Believe It or Not!: PREPARE TO BE SHOCKED!;by Ripley Entertainment;New this week,THE FIVE LOVE LANGUAGES;by Gary Chapman;75 weeks on the list,THE INVENTION OF HUGO CABRET;by Brian Selznick;85 weeks on the list,THE NAME OF THIS BOOK IS SECRET;by Pseu­donymous Bosch;3 weeks on the list,"BRAVA, STREGA NONA!;written and illustrated by Tomie dePaola;4 weeks on the list",RANGER’S APPRENTICE;by John Flanagan;28 weeks on the list
9,THE LUCKY ONE;by Nicholas Sparks;9 weeks on the list,THE SECRET LIFE OF BEES;by Sue Monk Kidd;24 weeks on the list,,THE SNOWBALL;by Alice Schroeder;9 weeks on the list,BLINK;by Malcolm Gladwell;59 weeks on the list,GIADA’S KITCHEN;by Giada De Laurentiis;9 weeks on the list,A NEW EARTH;by Eckhart Tolle;44 weeks on the list,THIRTEEN REASONS WHY;by Jay Asher;9 weeks on the list,YES WE CAN;by Garen Thomas;4 weeks on the list,"BARACK OBAMA: SON OF PROMISE, CHILD OF HOPE;by Nikki Grimes. Illustrated by Bryan Collier;10 weeks on the list",VAMPIRE ACADEMY;by Richelle Mead;3 weeks on the list
10,THE HOST;by Stephenie Meyer;29 weeks on the list,WATER FOR ELEPHANTS;by Sara Gruen;65 weeks on the list,,THE ASCENT OF MONEY;by Niall Ferguson;New this week,MORTAL DANGER;by Ann Rule;New this week,REAL SEX FOR REAL WOMEN;by Laura Berman;3 weeks on the list,THE BRO CODE;by Barney Stinson with Matt Kuhn;4 weeks on the list,IDENTICAL;by Ellen Hopkins;10 weeks on the list,RULES;by Cynthia Lord;9 weeks on the list,THE LUMP OF COAL;by Lemony Snicket. Illustrated by Brett Helquist;New this week,FANCY NANCY;by Jane O’Connor. Illustrated by Robin Preiss Glasser;32 weeks on the list
