,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Business,Food and Diet,Politics and American History,Science,Sports and Fitness
1,SKIN GAME;by Jim Butcher;New this week,SKIN GAME;by Jim Butcher;New this week,GONE GIRL;by Gillian Flynn;6 weeks on the list,,,I KNOW WHY THE CAGED BIRD SINGS;by Maya Angelou;New this week,ONE NATION;by Ben Carson with Candy Carson;2 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;185 weeks on the list,I KNOW WHY THE CAGED BIRD SINGS;by Maya Angelou;New this week,INSTINCT;by T. D. Jakes;4 weeks on the list,CAN'T WE TALK ABOUT SOMETHING MORE PLEASANT?;by Roz Chast;4 weeks on the list,X-MEN: DAYS OF FUTURE PAST;by Chris Claremont and John Byrne;New this week,"DRAGONAR ACADEMY, VOL. 2;by Shiki Mizuchi and Ran;2 weeks on the list",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;49 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;142 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,CAPITAL IN THE TWENTY-FIRST CENTURY;by Thomas Piketty;,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;,CAPITAL IN THE TWENTY-FIRST CENTURY;by Thomas Piketty;,QUIET;by Susan Cain;,THE CLOSER;by Mariano Rivera with Wayne Coffey;
2,UNLUCKY 13;by James Patterson and Maxine Paetro;4 weeks on the list,GHOST SHIP;by Clive Cussler and Graham Brown;New this week,ORPHAN TRAIN;by Christina Baker Kline;41 weeks on the list,,,ONE NATION;by Ben Carson with Candy Carson;2 weeks on the list,CAPITAL IN THE TWENTY-FIRST CENTURY;by Thomas Piketty;8 weeks on the list,THE BOYS IN THE BOAT;by Daniel James Brown;New this week,ETCHED IN SAND;by Regina Calcaterra;7 weeks on the list,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;36 weeks on the list,"MIRACLEMAN, BOOK 1;by Alan Moore, Garry Leach and Alan Davis;New this week","SAGA, VOL. 3;by Brian K. Vaughan and Fiona Staples;10 weeks on the list","MONSTER MUSUME, VOL. 3;by Okayado;4 weeks on the list",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,THE PIGEON NEEDS A BATH!;by Mo Willems;9 weeks on the list,DIVERGENT;by Veronica Roth;32 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,FLASH BOYS;by Michael Lewis;,THE DOCTOR'S DIET;by Travis Stork;,"CONFORM;by Glenn Beck, Kevin Balfe and Kyle Olson;","THINKING, FAST AND SLOW;by Daniel Kahneman;",BECOMING A SUPPLE LEOPARD;by Kelly Starrett and Glen Cordoza;
3,AIR BOUND;by Christine Feehan;New this week,THE GOLDFINCH;by Donna Tartt;32 weeks on the list,THE LONGEST RIDE;by Nicholas Sparks;4 weeks on the list,,,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;118 weeks on the list,THE CLOSER;by Mariano Rivera with Wayne Coffey;4 weeks on the list,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;111 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;140 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;60 weeks on the list,BLACK CANARY AND ZATANNA: BLOODSPELL;by Paul Dini and Joe Quinones;2 weeks on the list,"THE FORGOTTEN MAN: GRAPHIC EDITION;by Amity Shlaes, Paul Rivoche and Chuck Dixon;New this week","SOUL EATER, VOL. 20;by Atsushi Ohkubo;New this week",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;139 weeks on the list",THE MAZE RUNNER;by James Dashner;86 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,THINK LIKE A FREAK;by Steven D. Levitt and Stephen J. Dubner;,IT STARTS WITH FOOD;by Dallas and Melissa Hartwig;,A FIGHTING CHANCE;by Elizabeth Warren;,DAVID AND GOLIATH;by Malcolm Gladwell;,THE LOYAL LIEUTENANT: MY STORY;by George Hincapie and Craig Hummer;
4,GHOST SHIP;by Clive Cussler and Graham Brown;New this week,THE ONE AND ONLY;by Emily Giffin;2 weeks on the list,THE ALCHEMIST;by Paulo Coelho;306 weeks on the list,,,CAPITAL IN THE TWENTY-FIRST CENTURY;by Thomas Piketty;6 weeks on the list,THINK LIKE A FREAK;by Steven D. Levitt and Stephen J. Dubner;3 weeks on the list,BEHIND THE BEAUTIFUL FOREVERS;by Katherine Boo;8 weeks on the list,LEE MARVIN: POINT BLANK;by Dwayne Epstein;New this week,EVERYTHING I NEED TO KNOW I LEARNED FROM A LITTLE GOLDEN BOOK;by Diane Muldrow;13 weeks on the list,"GODZILLA: AWAKENING;by Max Borenstein, Greg Borenstein and Eric Battle;3 weeks on the list","SAGA, VOL. 1;by Brian K. Vaughan and Fiona Staples;64 weeks on the list","ATTACK ON TITAN, VOL. 1;by Hajime Isayama;51 weeks on the list",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,LOCOMOTIVE;by Brian Floca;18 weeks on the list,THE SELECTION;by Kiera Cass;4 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,STRESS TEST;by Timothy F. Geithner;,THE BLOOD SUGAR SOLUTION 10-DAY DETOX DIET;by Mark Hyman;,ONE NATION;by Ben Carson with Candy Carson;,THE POWER OF HABIT;by Charles Duhigg;,PLAYERS FIRST;by John Calipari and Michael Sokolove;
5,THE GOLDFINCH;by Donna Tartt;32 weeks on the list,UNLUCKY 13;by James Patterson and Maxine Paetro;4 weeks on the list,INFERNO;by Dan Brown;4 weeks on the list,,,THE BOYS IN THE BOAT;by Daniel James Brown;2 weeks on the list,STRESS TEST;by Timothy F. Geithner;3 weeks on the list,OUTLIERS;by Malcolm Gladwell;156 weeks on the list,FINDING ME;by Michelle Knight with Michelle Burford Weinstein;4 weeks on the list,"CONGRATULATIONS, BY THE WAY;by George Saunders;6 weeks on the list","BATMAN, VOL. 4;by Scott Snyder and Greg Capullo;3 weeks on the list",SMILE;by Raina Telgemeier;105 weeks on the list,"HIGH SCHOOL DXD, VOL. 1;by Ichiei Ishibumi and Hiroji Mishima;New this week",THE ICKABOG;by J.K. Rowling;26 weeks on the list,NELLY GNU AND DADDY TOO;by Anna Dewdney;4 weeks on the list,MAGIC TREE HOUSE;by Mary Pope Osborne. Illustrated by Sal Murdocca;276 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,#GIRLBOSS;by Sophia Amoruso;,WHEAT BELLY;by William Davis;,UNBROKEN;by Laura Hillenbrand;,WHERE DOES IT HURT?;by Jonathan Bush with Stephen Baker;,MICHAEL JORDAN: THE LIFE;by Roland Lazenby;
6,FIELD OF PREY;by John Sandford;4 weeks on the list,ALL THE LIGHT WE CANNOT SEE;by Anthony Doerr;4 weeks on the list,THE CUCKOO'S CALLING;by Robert Galbraith;5 weeks on the list,,,FINDING ME;by Michelle Knight with Michelle Burford Weinstein;4 weeks on the list,FINDING ME;by Michelle Knight with Michelle Burford Weinstein;4 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;84 weeks on the list,THE NAZI OFFICER'S WIFE;by Edith H. Beer with Susan Dworkin;11 weeks on the list,#GIRLBOSS;by Sophia Amoruso;4 weeks on the list,"ALL-NEW X-MEN, VOL. 4;by Brian Michael Bendis, Brandon Peterson and Stuart Immonen;2 weeks on the list","SAGA, VOL. 2;by Brian K. Vaughan and Fiona Staples;30 weeks on the list","ATTACK ON TITAN, VOL. 12;by Hajime Isayama;5 weeks on the list",WONDER;by R.J. Palacio;295 weeks on the list,PRESS HERE;by Hervé Tullet;143 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;280 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,LEAN IN;by Sheryl Sandberg with Nell Scovell;,PRACTICAL PALEO;by Diane Sanfilippo;,STRESS TEST;by Timothy F. Geithner;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,A NICE LITTLE PLACE ON THE NORTH SIDE;by George Will;
7,THE ONE AND ONLY;by Emily Giffin;2 weeks on the list,THE TARGET;by David Baldacci;6 weeks on the list,DARK PLACES;by Gillian Flynn;44 weeks on the list,,,THINK LIKE A FREAK;by Steven D. Levitt and Stephen J. Dubner;3 weeks on the list,TIBETAN PEACH PIE;by Tom Robbins;New this week,QUIET;by Susan Cain;70 weeks on the list,UNBROKEN;by Laura Hillenbrand;174 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;56 weeks on the list,"NATHAN HALE'S HAZARDOUS TALES: TREATIES, TRENCHES, MUD, AND BLOOD;by Nathan Hale;3 weeks on the list","THE WALKING DEAD, VOL. 20;by Robert Kirkman and Charlie Adlard;11 weeks on the list","ATTACK ON TITAN, VOL. 10;by Hajime Isayama;13 weeks on the list",REFUGEE;by Alan Gratz;129 weeks on the list,JOURNEY;by Aaron Becker;29 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;197 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,THRIVE;by Arianna Huffington;,GUY ON FIRE;by Guy Fieri with Ann Volkwein;,NO PLACE TO HIDE;by Glenn Greenwald;,A TROUBLESOME INHERITANCE;by Nicholas Wade;,ELEVEN RINGS;by Phil Jackson and Hugh Delehanty;
8,BEFORE WE KISS;by Susan Mallery;New this week,FIELD OF PREY;by John Sandford;4 weeks on the list,THE TRUTH ABOUT THE HARRY QUEBERT AFFAIR;by Joel Dicker;New this week,,,ETCHED IN SAND;by Regina Calcaterra;2 weeks on the list,A FIGHTING CHANCE;by Elizabeth Warren;6 weeks on the list,"CONFORM;by Glenn Beck, Kevin Balfe and Kyle Olson;4 weeks on the list",WHY ME?;by Sarah Burleton;23 weeks on the list,THE ROAD TO REINVENTION;by Josh Linkner;New this week,X-MEN: NO MORE HUMANS;by Mike Carey and Salvador Larroca;4 weeks on the list,"BATMAN, VOL. 3;by Scott Snyder and Greg Capullo;3 weeks on the list","ATTACK ON TITAN, VOL. 2;by Hajime Isayama;29 weeks on the list",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;24 weeks on the list,GIVER QUARTET;by Lois Lowry;41 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,SMART MONEY SMART KIDS;by Dave Ramsey and Rachel Cruze;,CLEAN EATS;by Alejandro Junger;,BEHIND THE BEAUTIFUL FOREVERS;by Katherine Boo;,THE GIRLS OF ATOMIC CITY;by Denise Kiernan;,THE PRICE OF SILENCE;by William D. Cohan;
9,THE TARGET;by David Baldacci;6 weeks on the list,NATCHEZ BURNING;by Greg Iles;5 weeks on the list,THE GODS OF GUILT;by Michael Connelly;4 weeks on the list,,,THE CLOSER;by Mariano Rivera with Wayne Coffey;4 weeks on the list,NO PLACE TO HIDE;by Glenn Greenwald;3 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;21 weeks on the list,NO PLACE TO HIDE;by Glenn Greenwald;3 weeks on the list,IT STARTS WITH FOOD;by Dallas and Melissa Hartwig;4 weeks on the list,THE COMPLETE PEANUTS: 1991-1992;by Charles M. Schulz;2 weeks on the list,ANDRE THE GIANT: LIFE AND LEGEND;by Box Brown;3 weeks on the list,WOLF CHILDREN: AME AND YUKI;by Mamoru Hosoda and Yu;8 weeks on the list,GROUND ZERO;by Alan Gratz;10 weeks on the list,"ROSIE REVERE, ENGINEER;by Andrea Beaty. Illustrated by David Roberts;16 weeks on the list",VAMPIRE ACADEMY;by Richelle Mead;55 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,OUTLIERS;by Malcolm Gladwell;,HOW CAN IT BE GLUTEN FREE COOKBOOK;by The Editors at America's Test Kitchen;,JAMES MADISON;by Lynne Cheney;,MADNESS;by Marya Hornbacher;,STRONGER;by Jeff Bauman with Bret Witter;
10,GONE GIRL;by Gillian Flynn;79 weeks on the list,THE LINCOLN MYTH;by Steve Berry;2 weeks on the list,AMERICANAH;by Chimamanda Ngozi Adichie;13 weeks on the list,,,TIBETAN PEACH PIE;by Tom Robbins;New this week,FLASH BOYS;by Michael Lewis;9 weeks on the list,WILD;by Cheryl Strayed;62 weeks on the list,ONE NATION;by Ben Carson with Candy Carson;2 weeks on the list,THE BLOOD SUGAR SOLUTION 10-DAY DETOX DIET;by Mark Hyman;14 weeks on the list,OVER EASY;by Mimi Pond;5 weeks on the list,DRAMA;by Raina Telgemeier;59 weeks on the list,"FAIRY TAIL, VOL. 38;by Hiro Mashima;3 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,PETE THE CAT: I LOVE MY WHITE SHOES;by Eric Litwin. Illustrated by James Dean;98 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;334 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;","THE DANIEL PLAN;by Rick Warren, Daniel Amen, Mark Hyman and others;",TWELVE YEARS A SLAVE;by Solomon Northup;,"LIFE, ANIMATED;by Ron Suskind;","MOOKIE: LIFE, BASEBALL, AND THE '86 METS;by Mookie Wilson with Erik Sherman;"
