,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Hardcover & Paperback Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Combined Hardcover & Paperback Nonfiction,Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series
1,FIFTY SHADES OF GREY;by E. L. James;8 weeks on the list,THE INNOCENT;by David Baldacci;New this week,FIFTY SHADES OF GREY;by E. L. James;6 weeks on the list,,,FIFTY SHADES OF GREY;by E. L. James;,LET'S PRETEND THIS NEVER HAPPENED;by Jenny Lawson;New this week,DRIFT;by Rachel Maddow;4 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;75 weeks on the list,LIFEBOAT NO. 8;by Elizabeth Kaye;2 weeks on the list,THE PIONEER WOMAN COOKS;by Ree Drummond;6 weeks on the list,"ACT LIKE A LADY, THINK LIKE A MAN;by Steve Harvey with Denene Millner;10 weeks on the list",DRIFT;by Rachel Maddow;,"BATMAN INCORPORATED DELUXE, VOL. 1;by Grant Morrison and Yanick Paquette;New this week","THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;41 weeks on the list","TENJO TENGE: FULL CONTACT EDITION 2-IN-1, VOL. 6;by Oh! Great;New this week",MISS PEREGRINE'S HOME FOR PECULIAR CHILDREN;by Ransom Riggs and Cassandra Jean;46 weeks on the list,DIVERGENT;by Veronica Roth;8 weeks on the list,THE DUCKLING GETS A COOKIE!?;by Mo Willems;3 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;87 weeks on the list
2,FIFTY SHADES DARKER;by E. L. James;8 weeks on the list,THE WITNESS;by Nora Roberts;New this week,FIFTY SHADES DARKER;by E. L. James;3 weeks on the list,,,FIFTY SHADES DARKER;by E. L. James;,DRIFT;by Rachel Maddow;4 weeks on the list,LET'S PRETEND THIS NEVER HAPPENED;by Jenny Lawson;New this week,BOSSYPANTS;by Tina Fey;16 weeks on the list,LET'S PRETEND THIS NEVER HAPPENED;by Jenny Lawson;New this week,THE BLOOD SUGAR SOLUTION;by Mark Hyman;8 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;247 weeks on the list,LET'S PRETEND THIS NEVER HAPPENED;by Jenny Lawson;,FLEX MENTALLO: MAN OF MUSCLE MYSTERY;by Grant Morrison and Frank Quitely;2 weeks on the list,"KRAZY AND IGNATZ, 1922-1924;by George Herriman;New this week","20TH CENTURY BOYS, VOL. 20;by Naoki Urasawa;2 weeks on the list",CHOMP;by Carl Hiaasen;4 weeks on the list,THE LOST HERO;by Rick Riordan;3 weeks on the list,THE LORAX;by Dr. Seuss;10 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;171 weeks on the list
3,FIFTY SHADES FREED;by E. L. James;7 weeks on the list,CALICO JOE;by John Grisham;2 weeks on the list,FIFTY SHADES FREED;by E. L. James;3 weeks on the list,,,FIFTY SHADES FREED;by E. L. James;,THE PRESIDENTS CLUB;by Nancy Gibbs and Michael Duffy;New this week,IMAGINE;by Jonah Lehrer;5 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;59 weeks on the list,BEYOND OUTRAGE;by Robert B. Reich;New this week,BY INVITATION ONLY;by Alexis Maybank and Alexandra Wilkis Wilson;New this week,THE MAGIC;by Rhonda Byrne;7 weeks on the list,IMAGINE;by Jonah Lehrer;,"THE WALKING DEAD, RISE OF THE GOVERNOR;by Robert Kirkman and Jay Bonansinga;14 weeks on the list","AVATAR: THE LAST AIRBENDER, PART 1;by Gene Luen Yang and others;6 weeks on the list","X 3-IN-1, VOL. 2;by Clamp;New this week",THE FAULT IN OUR STARS;by John Green;15 weeks on the list,THE BOOK THIEF;by Markus Zusak;241 weeks on the list,THE VERY FAIRY PRINCESS: HERE COMES THE FLOWER GIRL!;by Julie Andrews and Emma Walton Hamilton. Illustrated by Christine Davenier;New this week,BIG NATE;written and illustrated by Lincoln Peirce;55 weeks on the list
4,THE INNOCENT;by David Baldacci;New this week,UNNATURAL ACTS;by Stuart Woods;New this week,THE LUCKY ONE;by Nicholas Sparks;21 weeks on the list,,,THE INNOCENT;by David Baldacci;,IMAGINE;by Jonah Lehrer;5 weeks on the list,THE PRESIDENTS CLUB;by Nancy Gibbs and Michael Duffy;New this week,THE NEW JIM CROW;by Michelle Alexander;14 weeks on the list,THE PRESIDENTS CLUB;by Nancy Gibbs and Michael Duffy;New this week,LET IT GO;by T. D. Jakes;5 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;558 weeks on the list,THE PRESIDENTS CLUB;by Nancy Gibbs and Michael Duffy;,"THE WALKING DEAD, BOOK 7;by Robert Kirkman and Charlie Adlard;15 weeks on the list","THE WALKING DEAD, VOL. 15;by Robert Kirkman and Charlie Adlard;17 weeks on the list","EXCEL SAGA, VOL. 23;by Rikdo Koshi;New this week","NANCY CLANCY, SECRET ADMIRER;by Jane O'Connor. Illustrated by Robin Preiss Glasser;3 weeks on the list",CLOCKWORK ANGEL;by Cassandra Clare;23 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;29 weeks on the list",WARRIORS;by Erin Hunter;111 weeks on the list
5,THE WITNESS;by Nora Roberts;New this week,GUILTY WIVES;by James Patterson and David Ellis;4 weeks on the list,ZERO DAY;by David Baldacci;4 weeks on the list,,,THE LUCKY ONE;by Nicholas Sparks;,LIFEBOAT NO. 8;by Elizabeth Kaye;2 weeks on the list,THE BIG MISS;by Hank Haney;4 weeks on the list,OUTLIERS;by Malcolm Gladwell;46 weeks on the list,MRS. KENNEDY AND ME;by Clint Hill;3 weeks on the list,REVERSE INNOVATION;by Vijay Govindarajan and Chris Trimble;2 weeks on the list,THE HUNGER GAMES TRIBUTE GUIDE;by Emily Seife;11 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;,"THE WALKING DEAD, BOOK 6;by Robert Kirkman and Charlie Adlard;20 weeks on the list",NINJAGO: MASK OF THE SENSEI;by Greg Farshtey and Paulo Herique;8 weeks on the list,"BLOODY MONDAY, VOL. 5;by Ryou Ryumon;New this week",THE SON OF NEPTUNE;by Rick Riordan;29 weeks on the list,BETWEEN SHADES OF GRAY;by Ruta Sepetys;3 weeks on the list,PRESS HERE;by Hervé Tullet;44 weeks on the list,THE MAZE RUNNER;by James Dashner;19 weeks on the list
6,THE LUCKY ONE;by Nicholas Sparks;10 weeks on the list,THE LOST YEARS;by Mary Higgins Clark;3 weeks on the list,THE GIRL WHO KICKED THE HORNET’S NEST;by Stieg Larsson;9 weeks on the list,,,THE WITNESS;by Nora Roberts;,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;65 weeks on the list,STEVE JOBS;by Walter Isaacson;26 weeks on the list,THE VOW;by Kim and Krickitt Carpenter with Dana Wilkerson;11 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;8 weeks on the list,GET LUCKY;by Thor Muller and Lane Becker;New this week,THE HAPPINESS PROJECT;by Gretchen Rubin;59 weeks on the list,THE BIG MISS;by Hank Haney;,"100 BULLETS DELUXE, BOOK 1;by Brian Azzarello and Eduaro Risso;New this week",NINJAGO: THE CHALLENGE OF SAMUKAI;by Greg Farshtey and Paulo Herique;7 weeks on the list,"ROSARIO+VAMPIRE, SEASON II, VOL. 8;by Akihisa Ikeda;3 weeks on the list",THE LEGO IDEAS BOOK;by Daniel Lipkowitz;24 weeks on the list,MATCHED;by Ally Condie;31 weeks on the list,FANCY NANCY AND THE MERMAID BALLET;by Jane O'Connor. Illustrated by Robin Preiss Glasser;11 weeks on the list,THE MYSTERIOUS BENEDICT SOCIETY;by Trenton Lee Stewart;12 weeks on the list
7,CALICO JOE;by John Grisham;2 weeks on the list,WHAT DOESN'T KILL YOU;by Iris Johansen;New this week,ABRAHAM LINCOLN: VAMPIRE HUNTER;by Seth Grahame-Smith;8 weeks on the list,,,CALICO JOE;by John Grisham;,MRS. KENNEDY AND ME;by Clint Hill;3 weeks on the list,MRS. KENNEDY AND ME;by Clint Hill;3 weeks on the list,MOONWALKING WITH EINSTEIN;by Joshua Foer;8 weeks on the list,STEVE JOBS;by Walter Isaacson;26 weeks on the list,THE 17 DAY DIET;by Mike Moreno;52 weeks on the list,FORKS OVER KNIVES;edited by Gene Stone;31 weeks on the list,STEVE JOBS;by Walter Isaacson;,"THE WALKING DEAD, BOOK 3;by Robert Kirkman and Charlie Adlard;11 weeks on the list","BATMAN: NO MAN'S LAND, VOL. 2;by various;New this week","CAGE OF EDEN, VOL. 5;by Yoshinobu Yamada;New this week",THE FAME GAME;by Lauren Conrad;3 weeks on the list,TORN;by Amanda Hocking;5 weeks on the list,I WANT MY HAT BACK;by Jon Klassen;20 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;246 weeks on the list
8,UNNATURAL ACTS;by Stuart Woods;New this week,COME HOME;by Lisa Scottoline;2 weeks on the list,THE HELP;by Kathryn Stockett;55 weeks on the list,,,A GAME OF THRONES;by George R.R. Martin;,THE POWER OF HABIT;by Charles Duhigg;8 weeks on the list,WILD;by Cheryl Strayed;5 weeks on the list,BORN TO RUN;by Christopher McDougall;56 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;65 weeks on the list,WEEKNIGHTS WITH GIADA;by Giada De Laurentiis;4 weeks on the list,EAT TO LIVE;by Joel Fuhrman;41 weeks on the list,MRS. KENNEDY AND ME;by Clint Hill;,"DEADPOOL, VOL. 10;by Daniel Way and Salvador Espin;New this week","THE WALKING DEAD, VOL. 1;by Robert Kirkman and Tony Moore;115 weeks on the list","DOROHEDORO, VOL. 6;by Q. Hayashida;New this week",THE INVENTION OF HUGO CABRET;by Brian Selznick;110 weeks on the list,"THE RED PYRAMID: THE KANE CHRONICLES, BOOK ONE;by Rick Riordan and Orpheus Collar;36 weeks on the list",GRANDPA GREEN;by Lane Smith;4 weeks on the list,KINGDOM KEEPERS;by Ridley Pearson;4 weeks on the list
9,GUILTY WIVES;by James Patterson and David Ellis;4 weeks on the list,SACRÉ BLEU;by Christopher Moore;3 weeks on the list,NOW YOU SEE HER;by James Patterson and Michael Ledwidge;3 weeks on the list,,,UNNATURAL ACTS;by Stuart Woods;,STEVE JOBS;by Walter Isaacson;26 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;8 weeks on the list,THE ZOMBIE SURVIVAL GUIDE;by Max Brooks;49 weeks on the list,IMAGINE;by Jonah Lehrer;5 weeks on the list,DO YOURSELF A FAVOR ... FORGIVE;by Joyce Meyer;2 weeks on the list,CRAZY LOVE;by Francis Chan with Danae Yankoski;74 weeks on the list,WILD;by Cheryl Strayed;,AVENGERS: THE CHILDREN'S CRUSADE;by Allan Heinberg and Jim Cheung;3 weeks on the list,"THE WALKING DEAD, VOL. 3;by Robert Kirkman and Cliff Rathburn;9 weeks on the list","BAKUMAN, VOL. 10;by Tsugumi Ohba;3 weeks on the list",WONDER;by R.J. Palacio;5 weeks on the list,WAR HORSE;by Michael Morpurgo;24 weeks on the list,ME ... JANE;by Patrick McDonnell;14 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;52 weeks on the list
10,WHAT DOESN'T KILL YOU;by Iris Johansen;New this week,THE SHOEMAKER’S WIFE;by Adriana Trigiani;3 weeks on the list,A GAME OF THRONES;by George R.R. Martin;32 weeks on the list,,,ABRAHAM LINCOLN: VAMPIRE HUNTER;by Seth Grahame-Smith;,THE BIG MISS;by Hank Haney;4 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;30 weeks on the list,UNLIKELY FRIENDSHIPS;by Jennifer Holland;36 weeks on the list,UNBROKEN;by Laura Hillenbrand;65 weeks on the list,HEROES FOR MY DAUGHTER;by Brad Meltzer;2 weeks on the list,THE HUNGER GAMES;by Kate Egan;11 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;,"THE WALKING DEAD, BOOK 1;by Robert Kirkman, Tony Moore and Charlie Adlard;54 weeks on the list","THE WALKING DEAD, VOL. 2;by Robert Kirkman and Charlie Adlard;29 weeks on the list","SKIP BEAT!, VOL. 27;by  Yoshiki Nakamura;3 weeks on the list",THE THRONE OF FIRE;by Rick Riordan;31 weeks on the list,DELIRIUM;by Lauren Oliver;7 weeks on the list,A BALL FOR DAISY;by Chris Raschka;6 weeks on the list,HARRY POTTER;by J.K. Rowling;288 weeks on the list
