,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Hardcover & Paperback Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Combined Hardcover & Paperback Nonfiction,Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series
1,THE LAND OF PAINTED CAVES;by Jean M. Auel;New this week,THE LAND OF PAINTED CAVES;by Jean M. Auel;New this week,WATER FOR ELEPHANTS;by Sara Gruen;114 weeks on the list,,,THE LAND OF PAINTED CAVES;by Jean M. Auel;,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;10 weeks on the list,ONWARD;by Howard Schultz with Joanne Gordon;New this week,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;20 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;10 weeks on the list,THE 17 DAY DIET;by Mike Moreno;3 weeks on the list,HUNGRY GIRL 300 UNDER 300;by Lisa Lillien;New this week,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;,BATMAN: THE RETURN OF BRUCE WAYNE;by Grant Morrison and various;8 weeks on the list,"THE UNWRITTEN, VOL. 3;by Mike Carey and Peter Gross;New this week","NARUTO, VOL. 50;by Masashi Kishimoto;9 weeks on the list",A WORLD WITHOUT HEROES;by Brandon Mull;3 weeks on the list,BEASTLY;by Alex Flinn;8 weeks on the list,SILVERLICIOUS;written and illustrated by Victoria Kann;9 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;116 weeks on the list
2,LOVER UNLEASHED;by J. R. Ward;New this week,LOVER UNLEASHED;by J. R. Ward;New this week,CUTTING FOR STONE;by Abraham Verghese;62 weeks on the list,,,LOVER UNLEASHED;by J. R. Ward;,ONWARD;by Howard Schultz with Joanne Gordon;New this week,UNBROKEN;by Laura Hillenbrand;20 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;4 weeks on the list,UNBROKEN;by Laura Hillenbrand;10 weeks on the list,LOVE WINS;by Rob Bell;3 weeks on the list,NOW EAT THIS! DIET;by Rocco DiSpirito;2 weeks on the list,ONWARD;by Howard Schultz with Joanne Gordon;,TRUE BLOOD: ALL TOGETHER NOW;by Alan Ball and others;7 weeks on the list,"SHOWCASE PRESENTS: THE WITCHING HOUR, VOL. 1;by  Various;New this week","BLACK BUTLER, VOL. 4;by Yana Toboso;10 weeks on the list",THE LOST HERO;by Rick Riordan;25 weeks on the list,WITCH AND WIZARD;by James Patterson and Gabrielle Charbonnet;22 weeks on the list,"DREAM BIG, LITTLE PIG!;by Kristi Yamaguchi. Illustrated by Tim Bowers;3 weeks on the list",THE HUNGER GAMES;by Suzanne Collins;32 weeks on the list
3,WATER FOR ELEPHANTS;by Sara Gruen;10 weeks on the list,MYSTERY;by Jonathan Kellerman;New this week,PRIVATE: #1 SUSPECT;by James Patterson and Maxine Paetro;6 weeks on the list,,,WATER FOR ELEPHANTS;by Sara Gruen;,UNBROKEN;by Laura Hillenbrand;10 weeks on the list,THE SOCIAL ANIMAL;by David Brooks;4 weeks on the list,HAVE A LITTLE FAITH;by Mitch Albom;New this week,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;10 weeks on the list,MONEY CLASS;by Suze Orman;4 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;192 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,"THE WALKING DEAD, BOOK 1;by Robert Kirkman, Tony Moore and Charlie Adlard;27 weeks on the list",SCOTT PILGRIM: PRECIOUS LITTLE LIFE;by Bryan Lee O’Malley;56 weeks on the list,"YU-GI-OH! GX, VOL. 6;by Naoyuki Kageyama;5 weeks on the list",INVINCIBLE (THE CHRONICLES OF NICK);by Sherrilyn Kenyon;2 weeks on the list,ASK ELIZABETH;by Elizabeth Berkley;2 weeks on the list,THE EASTER EGG;by Jan Brett;12 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;195 weeks on the list
4,THE LINCOLN LAWYER;by Michael Connelly;4 weeks on the list,LIVE WIRE;by Harlan Coben;2 weeks on the list,THE ART OF RACING IN THE RAIN;by Garth Stein;95 weeks on the list,,,MYSTERY;by Jonathan Kellerman;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;10 weeks on the list,MOONWALKING WITH EINSTEIN;by Joshua Foer;4 weeks on the list,INSIDE OF A DOG;by Alexandra Horowitz;26 weeks on the list,RAWHIDE DOWN;by Del Quentin Wilber;3 weeks on the list,THE 4-HOUR BODY;by Timothy Ferriss;16 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;505 weeks on the list,UNBROKEN;by Laura Hillenbrand;,"BRIGHTEST DAY, VOL. 1;by Geoff Johns and Peter Tomasi;17 weeks on the list","THE WALKING DEAD, VOL. 1;by Robert Kirkman and Tony Moore;72 weeks on the list","BLEACH, VOL. 34;by Tite Kubo;5 weeks on the list",I AM NUMBER FOUR;by Pittacus Lore;17 weeks on the list,THE BOOK THIEF;by Markus Zusak;186 weeks on the list,LADYBUG GIRL AND THE BUG SQUAD;by David Soman and Jacky Davis;2 weeks on the list,THE ALEX RIDER ADVENTURES;by Anthony Horowitz;64 weeks on the list
5,MYSTERY;by Jonathan Kellerman;New this week,TOYS;by James Patterson and Neil McMahon;3 weeks on the list,THE POSTMISTRESS;by Sarah Blake;9 weeks on the list,,,THE SHADOW OF YOUR SMILE;by Mary Higgins Clark;,THE SOCIAL ANIMAL;by David Brooks;4 weeks on the list,RED;by Sammy Hagar with Joel Selvin;3 weeks on the list,BORN TO RUN;by Christopher McDougall;New this week,MOONWALKING WITH EINSTEIN;by Joshua Foer;5 weeks on the list,A PLACE OF YES;by Bethenny Frankel;2 weeks on the list,THE HAPPINESS PROJECT;by Gretchen Rubin;5 weeks on the list,THE SOCIAL ANIMAL;by David Brooks;,COWBOYS AND ALIENS;by Scott Mitchell Rosenberg;3 weeks on the list,SCOTT PILGRIM VS. THE WORLD;by Bryan Lee O’Malley;52 weeks on the list,"BLACK BIRD, VOL. 7;by Kanoko Sakurakoji;9 weeks on the list","THE RED PYRAMID: THE KANE CHRONICLES, BOOK ONE;by Rick Riordan and Orpheus Collar;48 weeks on the list",RED RIDING HOOD;by Sarah Blakley-Cartwright;10 weeks on the list,A SICK DAY FOR AMOS McGEE;by Philip C. Stead. Illustrated by Erin E. Stead;12 weeks on the list,BIG NATE;written and illustrated by Lincoln Peirce;17 weeks on the list
6,LIVE WIRE;by Harlan Coben;2 weeks on the list,THE TROUBLED MAN;by Henning Mankell;New this week,HEART OF THE MATTER;by Emily Giffin;3 weeks on the list,,,LIVE WIRE;by Harlan Coben;,MOONWALKING WITH EINSTEIN;by Joshua Foer;4 weeks on the list,ALL MY LIFE;by Susan Lucci;New this week,THE GLASS CASTLE;by Jeannette Walls;213 weeks on the list,THE DRESSMAKER OF KHAIR KHANA;by Gayle Tzemach Lemmon;3 weeks on the list,ONE THOUSAND GIFTS;by Ann Voskamp;3 weeks on the list,CRAZY LOVE;by Francis Chan with Danae Yankoski;24 weeks on the list,HAVE A LITTLE FAITH;by Mitch Albom;,BUFFY THE VAMPIRE SLAYER: TALES;by Joss Whedon and others;9 weeks on the list,SCOTT PILGRIM AND THE INFINITE SADNESS;by Bryan Lee O’Malley;44 weeks on the list,"SOUL EATER, VOL. 5;by Atsushi Ohkubo;6 weeks on the list",TALES FROM A NOT-SO-POPULAR PARTY GIRL;by Rachel Renée Russell;36 weeks on the list,INFINITY (CHRONICLES OF NICK);by Sherrilyn Kenyon;2 weeks on the list,LEGO STAR WARS;by Simon Beecroft;67 weeks on the list,HOUSE OF NIGHT;by P.C. Cast and Kristin Cast;122 weeks on the list
7,TOYS;by James Patterson and Neil McMahon;3 weeks on the list,SING YOU HOME;by Jodi Picoult;5 weeks on the list,THE GIRL WITH THE DRAGON TATTOO;by Stieg Larsson;93 weeks on the list,,,CAUGHT;by Harlan Coben;,HAVE A LITTLE FAITH;by Mitch Albom;New this week,RAWHIDE DOWN;by Del Quentin Wilber;2 weeks on the list,THE BIG SHORT;by Michael Lewis;9 weeks on the list,THE SOCIAL ANIMAL;by David Brooks;4 weeks on the list,THE HEALTHY HOME;by Dave Wentz and Myron Wentz with Donna K. Wallace;New this week,RADICAL;by David Platt;42 weeks on the list,MOONWALKING WITH EINSTEIN;by Joshua Foer;,LAST UNICORN;by Peter B. Gillis and Renae DeLiz;4 weeks on the list,WATCHMEN;by Alan Moore and Dave Gibbons;83 weeks on the list,"DEATH NOTE BLACK, VOL. 1;by Tsugumi Ohba and Takeshi Obata;3 weeks on the list",DORK DIARIES;written and illustrated by Rachel Renée Russell;38 weeks on the list,SPLAT THE CAT: WHERE'S THE EASTER BUNNY?;by Rob Scotton;3 weeks on the list,INTERRUPTING CHICKEN;written and illustrated by David Ezra Stein;11 weeks on the list,MAXIMUM RIDE;by James Patterson;72 weeks on the list
8,SING YOU HOME;by Jodi Picoult;5 weeks on the list,THE GIRL WHO KICKED THE HORNET’S NEST;by Stieg Larsson;45 weeks on the list,LITTLE BEE;by Chris Cleave;59 weeks on the list,,,TOYS;by James Patterson and Neil McMahon;,RED;by Sammy Hagar with Joel Selvin;3 weeks on the list,JESUS OF NAZARETH;by Joseph Ratzinger;4 weeks on the list,90 MINUTES IN HEAVEN;by Don Piper with Cecil Murphey;187 weeks on the list,COME TO THE EDGE;by Christina Haag;New this week,IF IT MAKES YOU HEALTHY;by Sheryl Crow and Chuck White with Mary Goodbody;New this week,NOW EAT THIS!;by Rocco DiSpirito;16 weeks on the list,INSIDE OF A DOG;by Alexandra Horowitz;,THE ADVENTURES OF OOK AND GLUK;by George Beard and Harold Hutchins;28 weeks on the list,SCOTT PILGRIM’S FINEST HOUR;by Bryan Lee O’Malley;37 weeks on the list,"BLACK BUTLER, VOL. 1;by Yana Toboso;28 weeks on the list","JUSTIN BIEBER, FIRST STEP 2 FOREVER;by Justin Bieber;18 weeks on the list",THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;91 weeks on the list,OF THEE I SING;by Barack Obama. Illustrated by Loren Long;20 weeks on the list,PRETTY LITTLE LIARS;by Sara Shepard;44 weeks on the list
9,THE GIRL WHO KICKED THE HORNET’S NEST;by Stieg Larsson;10 weeks on the list,THE SATURDAY BIG TENT WEDDING PARTY;by Alexander McCall Smith;2 weeks on the list,HOTEL ON THE CORNER OF BITTER AND SWEET;by Jamie Ford;45 weeks on the list,,,DEAD IN THE FAMILY;by Charlaine Harris;,RAWHIDE DOWN;by Del Quentin Wilber;New this week,PHYSICS OF THE FUTURE;by Michio Kaku;3 weeks on the list,JUST KIDS;by Patti Smith;22 weeks on the list,_____ MY DAD SAYS;by Justin Halpern;10 weeks on the list,WIN;by Frank I. Luntz;5 weeks on the list,FOOD NETWORK MAGAZINE GREAT EASY MEALS;by the Food Network Magazine staff;3 weeks on the list,RED;by Sammy Hagar with Joel Selvin;,NEMESIS;by Mark Millar and Steve McNiven;4 weeks on the list,SCOTT PILGRIM: GETS IT TOGETHER;by Bryan Lee O’Malley;48 weeks on the list,"K-ON!, VOL. 2;by  Kakifly;New this week",BETWEEN SHADES OF GRAY;by Ruta Sepetys;2 weeks on the list,INCARCERON;by Catherine Fisher;7 weeks on the list,I BROKE MY TRUNK!;by Mo Willems;7 weeks on the list,MAGIC TREE HOUSE;by Mary Pope Osborne. Illustrated by Sal Murdocca;241 weeks on the list
10,LOVE YOU MORE;by Lisa Gardner;4 weeks on the list,THE JUNGLE;by Clive Cussler with Jack Du Brul;4 weeks on the list,LEAVING;by Karen Kingsbury;2 weeks on the list,,,THE TROUBLED MAN;by Henning Mankell;,ALL MY LIFE;by Susan Lucci;New this week,THE DRESSMAKER OF KHAIR KHANA;by Gayle Tzemach Lemmon;2 weeks on the list,THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;218 weeks on the list,DECISION POINTS;by George W. Bush;10 weeks on the list,VEGANIST;by Kathy Freston;5 weeks on the list,MARTHA STEWART'S NEW PIES AND TARTS;by the Martha Stewart Living staff;2 weeks on the list,BORN TO RUN;by Christopher McDougall;,JUSTICE LEAGUE OF AMERICA: THE DARK TIMES;by James Robinson and Mark Bagley;2 weeks on the list,"THE WALKING DEAD, VOL. 13;by Robert Kirkman and Charlie Adlard;18 weeks on the list","HETALIA AXIS POWERS, VOL. 2;by Hidekaz Himaruya;13 weeks on the list",MATCHED;by Ally Condie;15 weeks on the list,WHEN YOU REACH ME;by Rebecca Stead;13 weeks on the list,LITTLE WHITE RABBIT;written and illustrated by Kevin Henkes;3 weeks on the list,THE TWILIGHT SAGA;by Stephenie Meyer;190 weeks on the list
