,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Hardcover & Paperback Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Combined Hardcover & Paperback Nonfiction,Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series,Hardcover Business Books,Paperback Business Books,Politics and American History
1,FIFTY SHADES OF GREY;by E. L. James;6 weeks on the list,THE LOST YEARS;by Mary Higgins Clark;New this week,FIFTY SHADES OF GREY;by E. L. James;4 weeks on the list,,,FIFTY SHADES OF GREY;by E. L. James;,DRIFT;by Rachel Maddow;2 weeks on the list,DRIFT;by Rachel Maddow;2 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;73 weeks on the list,MRS. KENNEDY AND ME;by Clint Hill;New this week,WEEKNIGHTS WITH GIADA;by Giada De Laurentiis;2 weeks on the list,THE HUNGER GAMES TRIBUTE GUIDE;by Emily Seife;9 weeks on the list,DRIFT;by Rachel Maddow;,"THE WALKING DEAD, BOOK 1;by Robert Kirkman, Tony Moore and Charlie Adlard;52 weeks on the list","THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;39 weeks on the list","ROSARIO+VAMPIRE, SEASON II, VOL. 8;by Akihisa Ikeda;New this week",THE FAME GAME;by Lauren Conrad;New this week,THE LOST HERO;by Rick Riordan;New this week,THE LORAX;by Dr. Seuss;8 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;85 weeks on the list,,,
2,FIFTY SHADES DARKER;by E. L. James;6 weeks on the list,GUILTY WIVES;by James Patterson and David Ellis;2 weeks on the list,THE LUCKY ONE;by Nicholas Sparks;19 weeks on the list,,,THE LUCKY ONE;by Nicholas Sparks;,THE BIG MISS;by Hank Haney;2 weeks on the list,THE BIG MISS;by Hank Haney;2 weeks on the list,BOSSYPANTS;by Tina Fey;14 weeks on the list,THE BIG MISS;by Hank Haney;2 weeks on the list,THE PIONEER WOMAN COOKS;by Ree Drummond;4 weeks on the list,THE HUNGER GAMES;by Kate Egan;9 weeks on the list,THE BIG MISS;by Hank Haney;,"THE WALKING DEAD, BOOK 2;by Robert Kirkman and Charlie Adlard;9 weeks on the list","THE WALKING DEAD, VOL. 1;by Robert Kirkman and Tony Moore;113 weeks on the list","BLEACH, VOL. 39;by Tite Kubo;New this week",CHOMP;by Carl Hiaasen;2 weeks on the list,DIVERGENT;by Veronica Roth;6 weeks on the list,THE DUCKLING GETS A COOKIE!?;by Mo Willems;New this week,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;169 weeks on the list,,,
3,FIFTY SHADES FREED;by E. L. James;5 weeks on the list,SACRÉ BLEU;by Christopher Moore;New this week,THE GIRL WHO KICKED THE HORNET’S NEST;by Stieg Larsson;7 weeks on the list,,,THE LOST YEARS;by Mary Higgins Clark;,MRS. KENNEDY AND ME;by Clint Hill;New this week,TRICKLE DOWN TYRANNY;by Michael Savage;New this week,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;57 weeks on the list,ESCAPE FROM CAMP 14;by Blaine Harden;2 weeks on the list,THE BLOOD SUGAR SOLUTION;by Mark Hyman;6 weeks on the list,THE MAGIC;by Rhonda Byrne;5 weeks on the list,TRICKLE DOWN TYRANNY;by Michael Savage;,"THE WALKING DEAD, BOOK 3;by Robert Kirkman and Charlie Adlard;9 weeks on the list","THE WALKING DEAD, VOL. 3;by Robert Kirkman and Cliff Rathburn;7 weeks on the list","SKIP BEAT!, VOL. 27;by  Yoshiki Nakamura;New this week","NANCY CLANCY, SECRET ADMIRER;by Jane O'Connor. Illustrated by Robin Preiss Glasser;New this week",THE BOOK THIEF;by Markus Zusak;239 weeks on the list,THE EASTER EGG;by Jan Brett;19 weeks on the list,WARRIORS;by Erin Hunter;109 weeks on the list,,,
4,THE LUCKY ONE;by Nicholas Sparks;8 weeks on the list,THE LIMPOPO ACADEMY OF PRIVATE DETECTION;by Alexander McCall Smith;New this week,ZERO DAY;by David Baldacci;2 weeks on the list,,,GUILTY WIVES;by James Patterson and David Ellis;,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;63 weeks on the list,IMAGINE;by Jonah Lehrer;3 weeks on the list,THE VOW;by Kim and Krickitt Carpenter with Dana Wilkerson;9 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;6 weeks on the list,ALL IN;by Adrian Gostick and Chester Hilton;New this week,THE FIVE LOVE LANGUAGES;by Gary Chapman;245 weeks on the list,IMAGINE;by Jonah Lehrer;,"THE WALKING DEAD, RISE OF THE GOVERNOR;by Robert Kirkman and Jay Bonansinga;12 weeks on the list","THE WALKING DEAD, VOL. 2;by Robert Kirkman and Charlie Adlard;28 weeks on the list","POKEMON BLACK AND WHITE, VOL. 6;by Hidenori Kusaka;2 weeks on the list",THE SON OF NEPTUNE;by Rick Riordan;27 weeks on the list,THE GREAT CAKE MYSTERY;by Alexander McCall Smith;New this week,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;27 weeks on the list",BIG NATE;written and illustrated by Lincoln Peirce;53 weeks on the list,,,
5,THE LOST YEARS;by Mary Higgins Clark;New this week,THE SHOEMAKER’S WIFE;by Adriana Trigiani;New this week,THE HELP;by Kathryn Stockett;53 weeks on the list,,,A GAME OF THRONES;by George R.R. Martin;,TRICKLE DOWN TYRANNY;by Michael Savage;New this week,MRS. KENNEDY AND ME;by Clint Hill;New this week,MOONWALKING WITH EINSTEIN;by Joshua Foer;6 weeks on the list,STEVE JOBS;by Walter Isaacson;24 weeks on the list,POSITIVE INTELLIGENCE;by Shirzad Chamine;New this week,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;556 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;,"THE WALKING DEAD, BOOK 6;by Robert Kirkman and Charlie Adlard;18 weeks on the list","THE WALKING DEAD, VOL. 15;by Robert Kirkman and Charlie Adlard;15 weeks on the list","BAKUMAN, VOL. 10;by Tsugumi Ohba;New this week",MISS PEREGRINE'S HOME FOR PECULIAR CHILDREN;by Ransom Riggs and Cassandra Jean;44 weeks on the list,MATCHED;by Ally Condie;29 weeks on the list,FANCY NANCY AND THE MERMAID BALLET;by Jane O'Connor. Illustrated by Robin Preiss Glasser;9 weeks on the list,KINGDOM KEEPERS;by Ridley Pearson;2 weeks on the list,,,
6,GUILTY WIVES;by James Patterson and David Ellis;2 weeks on the list,BETRAYAL;by Danielle Steel;2 weeks on the list,ABRAHAM LINCOLN: VAMPIRE HUNTER;by Seth Grahame-Smith;6 weeks on the list,,,SACRÉ BLEU;by Christopher Moore;,IMAGINE;by Jonah Lehrer;3 weeks on the list,WILD;by Cheryl Strayed;3 weeks on the list,THE NEW JIM CROW;by Michelle Alexander;12 weeks on the list,DRIFT;by Rachel Maddow;2 weeks on the list,THE WORLD OF THE HUNGER GAMES;by Kate Egan;3 weeks on the list,"ACT LIKE A LADY, THINK LIKE A MAN;by Steve Harvey with Denene Millner;8 weeks on the list",MRS. KENNEDY AND ME;by Clint Hill;,"THE WALKING DEAD, BOOK 4;by Robert Kirkman and Charlie Adlard;4 weeks on the list",NINJAGO: MASK OF THE SENSEI;by Greg Farshtey and Paulo Herique;6 weeks on the list,"THE DROPS OF GOD, VOL. 3;by Tadashi Agi;New this week",THE FAULT IN OUR STARS;by John Green;13 weeks on the list,WAR HORSE;by Michael Morpurgo;22 weeks on the list,PRESS HERE;by Hervé Tullet;42 weeks on the list,GONE;by Michael Grant;3 weeks on the list,,,
7,A GAME OF THRONES;by George R.R. Martin;26 weeks on the list,STAY CLOSE;by Harlan Coben;3 weeks on the list,NOW YOU SEE HER;by James Patterson and Michael Ledwidge;New this week,,,ABRAHAM LINCOLN: VAMPIRE HUNTER;by Seth Grahame-Smith;,THE POWER OF HABIT;by Charles Duhigg;6 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;28 weeks on the list,BORN TO RUN;by Christopher McDougall;54 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;63 weeks on the list,LET IT GO;by T. D. Jakes;3 weeks on the list,"WHAT DO YOU WANT TO DO BEFORE YOU DIE?;Ben Nemtin, Dave Lingwood, Duncan Penn and Jonnie Penn;2 weeks on the list",DRIVING MR. YOGI;by Harvey Araton;,A GAME OF THRONES;by George R.R. Martin;2 weeks on the list,"THE WALKING DEAD, VOL. 4;by Robert Kirkman and Charlie Adlard;2 weeks on the list","NEGIMA! MAGISTER NEGI MAGI, OMNIBUS VOL. 4;by  Ken Akamatsu;New this week",SEEDS OF REBELLION;by Brandon Mull;4 weeks on the list,"THE RED PYRAMID: THE KANE CHRONICLES, BOOK ONE;by Rick Riordan and Orpheus Collar;34 weeks on the list",HEAVEN IS FOR REAL FOR KIDS;by Todd and Sonja Burpo. Illustrated by Wilson Ong;22 weeks on the list,THE 39 CLUES;by various authors;101 weeks on the list,,,
8,SACRÉ BLEU;by Christopher Moore;New this week,THE BEGINNER’S GOODBYE;by Anne Tyler;New this week,THE GIRL WITH THE DRAGON TATTOO;by Stieg Larsson;146 weeks on the list,,,THE GIRL WHO KICKED THE HORNET’S NEST;by Stieg Larsson;,STEVE JOBS;by Walter Isaacson;24 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;6 weeks on the list,OUTLIERS;by Malcolm Gladwell;44 weeks on the list,UNBROKEN;by Laura Hillenbrand;63 weeks on the list,CELEBRATORI;by Tori Spelling;New this week,THE HAPPINESS PROJECT;by Gretchen Rubin;57 weeks on the list,WILD;by Cheryl Strayed;,"THE WALKING DEAD, BOOK 7;by Robert Kirkman and Charlie Adlard;13 weeks on the list",NINJAGO: THE CHALLENGE OF SAMUKAI;by Greg Farshtey and Paulo Herique;5 weeks on the list,"SAILOR MOON, VOL. 4;by Naoko Takeuchi;4 weeks on the list",THE INVENTION OF HUGO CABRET;by Brian Selznick;108 weeks on the list,THIRTEEN REASONS WHY;by Jay Asher;43 weeks on the list,THE BIPPOLO SEED AND OTHER LOST STORIES;by Dr. Seuss;24 weeks on the list,THE MAZE RUNNER;by James Dashner;17 weeks on the list,,,
9,THE LIMPOPO ACADEMY OF PRIVATE DETECTION;by Alexander McCall Smith;New this week,LOVER REBORN;by J. R. Ward;2 weeks on the list,A GAME OF THRONES;by George R.R. Martin;30 weeks on the list,,,THE LIMPOPO ACADEMY OF PRIVATE DETECTION;by Alexander McCall Smith;,WILD;by Cheryl Strayed;3 weeks on the list,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;14 weeks on the list,THE HUNGER PAINS;by The Harvard Lampoon;3 weeks on the list,WILD;by Cheryl Strayed;3 weeks on the list,THE LEAN;by Kathy Freston;2 weeks on the list,EAT TO LIVE;by Joel Fuhrman;39 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;,AVENGERS: THE CHILDREN'S CRUSADE;by Allan Heinberg and Jim Cheung;2 weeks on the list,"THE WALKING DEAD, VOL. 5;by Robert Kirkman and Charlie Adlard;2 weeks on the list","NARUTO, VOL. 55;by Masashi Kishimoto;5 weeks on the list",THE LEGO IDEAS BOOK;by Daniel Lipkowitz;23 weeks on the list,BETWEEN SHADES OF GRAY;by Ruta Sepetys;New this week,I WANT MY HAT BACK;by Jon Klassen;18 weeks on the list,DORK DIARIES;by Rachel Renée Russell;33 weeks on the list,,,
10,THE GIRL WHO KICKED THE HORNET’S NEST;by Stieg Larsson;33 weeks on the list,BEASTLY THINGS;by Donna Leon;New this week,LOVING;by Karen Kingsbury;2 weeks on the list,,,THE AFFAIR;by Lee Child;,UNBROKEN;by Laura Hillenbrand;63 weeks on the list,STEVE JOBS;by Walter Isaacson;24 weeks on the list,JUST KIDS;by Patti Smith;42 weeks on the list,THE VOW;by Kim and Krickitt Carpenter with Dana Wilkerson;9 weeks on the list,WISHES FULFILLED;by Wayne W. Dyer;6 weeks on the list,CRAZY LOVE;by Francis Chan with Danae Yankoski;73 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;,X-MEN: SEASON ONE;by Dennis Hopeless and Jamie McKelvie;3 weeks on the list,"THE WALKING DEAD, VOL. 9;by Robert Kirkman and Charlie Adlard;9 weeks on the list","KAMISAMA KISS, VOL. 8;by Julietta Suzuki;New this week",CROSSED;by Ally Condie;9 weeks on the list,A WORLD WITHOUT HEROES;by Brandon Mull;8 weeks on the list,"IT'S A BIG WORLD, LITTLE PIG!;by Kristi Yamaguchi. Illustrated by Tim Bowers;5 weeks on the list",GALLAGHER GIRLS;by Ally Carter;12 weeks on the list,,,
