,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Business,Science,Sports and Fitness
1,GOLDEN PREY;by John Sandford;New this week,GOLDEN PREY;by John Sandford;New this week,THE HANDMAID'S TALE;by Margaret Atwood;12 weeks on the list,OPTION B;by Sheryl Sandberg and Adam Grant;New this week,OPTION B;by Sheryl Sandberg and Adam Grant;New this week,THE ZOOKEEPER’S WIFE;by Diane Ackerman;39 weeks on the list,MAKE YOUR BED;by William H. McRaven;4 weeks on the list,WONDER;by R.J. Palacio;90 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;83 weeks on the list,HARRY POTTER;by J.K. Rowling;423 weeks on the list,THE HATE U GIVE;by Angie Thomas;9 weeks on the list,HOW TO BE A BAWSE;by Lilly Singh;,HIDDEN FIGURES;by Margot Lee Shetterly;,THE CUBS WAY;by Tom Verducci;
2,THE FIX;by David Baldacci;2 weeks on the list,THE FIX;by David Baldacci;2 weeks on the list,THE WOMAN IN CABIN 10;by Ruth Ware;3 weeks on the list,SHATTERED;by Jonathan Allen and Amie Parnes;2 weeks on the list,SHATTERED;by Jonathan Allen and Amie Parnes;2 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;190 weeks on the list,THE PLANT PARADOX;by Steven R. Gundry;New this week,DOG MAN UNLEASHED;by Dav Pilkey;18 weeks on the list,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;201 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;424 weeks on the list,THIRTEEN REASONS WHY;by Jay Asher;4 weeks on the list,UNSHAKABLE;by Tony Robbins with Peter Mallouk;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,THE SECRETS OF MY LIFE;by Caitlyn Jenner with Buzz Bissinger;
3,THE HANDMAID'S TALE;by Margaret Atwood;6 weeks on the list,THE BLACK BOOK;by James Patterson and David Ellis;5 weeks on the list,MILK AND HONEY;by Rupi Kaur;55 weeks on the list,THE OPERATOR;by Robert O'Neill;New this week,THIS FIGHT IS OUR FIGHT;by Elizabeth Warren;2 weeks on the list,HIDDEN FIGURES;by Margot Lee Shetterly;21 weeks on the list,BLAST THE SUGAR OUT!;by Ian K. Smith;New this week,DOG MAN;by Dav Pilkey;35 weeks on the list,I WISH YOU MORE;by Amy Krouse Rosenthal. Illustrated by Tom Lichtenheld;20 weeks on the list,MISS PEREGRINE’S PECULIAR CHILDREN;by Ransom Riggs;84 weeks on the list,"EVERYTHING, EVERYTHING;by Nicola Yoon;45 weeks on the list",THE MAGNOLIA STORY;by Chip Gaines and Joanna Gaines with Mark Dagostino;,WHEN BREATH BECOMES AIR;by Paul Kalanithi;,BALLPLAYER;by Chipper Jones with Carroll Rogers Walton;
4,THE BLACK BOOK;by James Patterson and David Ellis;5 weeks on the list,ANYTHING IS POSSIBLE;by Elizabeth Strout;New this week,THE NIGHTINGALE;by Kristin Hannah;New this week,THE SECRETS OF MY LIFE;by Caitlyn Jenner with Buzz Bissinger;New this week,THE OPERATOR;by Robert O'Neill;New this week,THE LOST CITY OF Z;by David Grann;22 weeks on the list,YOU ARE A BADASS;by Jen Sincero;68 weeks on the list,WOMEN IN SCIENCE;by Rachel Ignotofsky;30 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;167 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;64 weeks on the list,ALEX AND ELIZA;by Melissa de la Cruz;3 weeks on the list,THE TRUTH ABOUT YOUR FUTURE;by Ric Edelman;,SAPIENS;by Yuval Noah Harari;,RETURN OF THE KING;by Brian Windhorst and Dave McMenamin;
5,ANYTHING IS POSSIBLE;by Elizabeth Strout;New this week,BEARTOWN;by Fredrik Backman;New this week,LILAC GIRLS;by Martha Hall Kelly;9 weeks on the list,THE ZOOKEEPER’S WIFE;by Diane Ackerman;12 weeks on the list,OLD SCHOOL;by Bill O'Reilly and Bruce Feirstein;5 weeks on the list,ON TYRANNY;by Timothy Snyder;9 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;20 weeks on the list,THE GIRL WHO DRANK THE MOON;by Kelly Barnhill;17 weeks on the list,WHAT DO YOU DO WITH AN IDEA?;by Kobi Yamada. Illustrated by Mae Besom;19 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;426 weeks on the list,THIS IS WHERE IT ENDS;by Marieke Nijkamp;48 weeks on the list,TOOLS OF TITANS;by Tim Ferriss;,HEAD STRONG;by Dave Asprey;,SHOE DOG;by Phil Knight;
6,BIG LITTLE LIES;by Liane Moriarty;37 weeks on the list,"ALL BY MYSELF, ALONE;by Mary Higgins Clark;4 weeks on the list",ALL THE LIGHT WE CANNOT SEE;by Anthony Doerr;4 weeks on the list,HILLBILLY ELEGY;by J.D. Vance;40 weeks on the list,KILLERS OF THE FLOWER MOON;by David Grann;2 weeks on the list,WHITE TRASH;by Nancy Isenberg;4 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;198 weeks on the list,THE UNBREAKABLE CODE;by Jennifer Chambliss Bertman;New this week,WE'RE ALL WONDERS;by R.J. Palacio;5 weeks on the list,DORK DIARIES;by Rachel Renée Russell;205 weeks on the list,CARVE THE MARK;by Veronica Roth;15 weeks on the list,AN AMERICAN SICKNESS;by Elisabeth Rosenthal;,HOMO DEUS;by Yuval Noah Harari;,THE BOYS IN THE BOAT;by Daniel James Brown;
7,THE WOMAN IN CABIN 10;by Ruth Ware;14 weeks on the list,A GENTLEMAN IN MOSCOW;by Amor Towles;24 weeks on the list,A MAN CALLED OVE;by Fredrik Backman;70 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;84 weeks on the list,HILLBILLY ELEGY;by J.D. Vance;40 weeks on the list,THE THIRD WAVE;by Steve Case;2 weeks on the list,THE WHOLE30;by Melissa Hartwig and Dallas Hartwig;81 weeks on the list,LOST IN A BOOK;by Jennifer Donnelly;13 weeks on the list,"ROSIE REVERE, ENGINEER;by Andrea Beaty. Illustrated by David Roberts;98 weeks on the list",MIDDLE SCHOOL;by James Patterson and others;46 weeks on the list,CARAVAL;by Stephanie Garber;13 weeks on the list,WEALTH CAN'T WAIT;by David Osborn and Paul Morris;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",CRAZY IS MY SUPERPOWER;by A. J. Mendez Brooks;
8,NO EASY TARGET;by Iris Johansen;New this week,ONE PERFECT LIE;by Lisa Scottoline;3 weeks on the list,BIG LITTLE LIES;by Liane Moriarty;26 weeks on the list,KILLERS OF THE FLOWER MOON;by David Grann;2 weeks on the list,THE SECRETS OF MY LIFE;by Caitlyn Jenner with Buzz Bissinger;New this week,FILTHY RICH;by James Patterson and John Connolly with Tim Malloy;New this week,THE LIFE-CHANGING MAGIC OF TIDYING UP;by Marie Kondo;124 weeks on the list,PAX;Sara Pennypacker. Illustrated by Jon Klassen;58 weeks on the list,"ADA TWIST, SCIENTIST;by Andrea Beaty. Illustrated by David Roberts;33 weeks on the list",BIG NATE;written and illustrated by Lincoln Peirce;130 weeks on the list,THE SUN IS ALSO A STAR;by Nicola Yoon;25 weeks on the list,THE THIRD WAVE;by Steve Case;,THE UNDOING PROJECT;by Michael Lewis;,THE PHENOMENON;by Rick Ankiel and Tim Brown;
9,WICKED ABYSS;by Kresley Cole;New this week,NORSE MYTHOLOGY;by Neil Gaiman;12 weeks on the list,THE CIRCLE;by Dave Eggers;11 weeks on the list,THIS FIGHT IS OUR FIGHT;by Elizabeth Warren;2 weeks on the list,THE AMERICAN SPIRIT;by David McCullough;2 weeks on the list,ORIGINALS;by Adam Grant;9 weeks on the list,SALT FAT ACID HEAT;by Samin Nosrat. Illustrated by Wendy MacNaughton;New this week,JACK AND THE GENIUSES: AT THE BOTTOM OF THE WORLD;by Bill Nye and Gregory Mone. Illustrated by Nick Iluzada;4 weeks on the list,THE LEGEND OF ROCK PAPER SCISSORS;by Drew Daywalt. Illustrated by Adam Rex;3 weeks on the list,PRINCESS IN BLACK;by Shannon Hale and Dean Hale. Illustrated by LeUyen Pham;9 weeks on the list,JUST FLY AWAY;by Andrew McCarthy;New this week,YOU ARE A BADASS AT MAKING MONEY;by Jen Sincero;,THE HIDDEN LIFE OF TREES;by Peter Wohlleben;,UNSCRIPTED;by Ernie Johnson Jr;
10,A MAN CALLED OVE;by Fredrik Backman;49 weeks on the list,THE WOMEN IN THE CASTLE;by Jessica Shattuck;5 weeks on the list,THE NEST;by Cynthia D'Aprix Sweeney;4 weeks on the list,OLD SCHOOL;by Bill O'Reilly and Bruce Feirstein;5 weeks on the list,BLACK PRIVILEGE;by Charlamagne Tha God;2 weeks on the list,EVICTED;by Matthew Desmond;4 weeks on the list,FOOD SWINGS;by Jessica Seinfeld with Sara Quessenberry;New this week,GRAVITY FALLS: JOURNAL 3;by Rob Renzetti and Alex Hirsch. Illustrated by Andy Gonsalves and Stephanie Ramirez;39 weeks on the list,TOUCH THE EARTH;by Julian Lennon with Bart Davis. Illustrated by Smiljana Coh;2 weeks on the list,RED QUEEN;by Victoria Aveyard;12 weeks on the list,MOON CHOSEN;by P. C. Cast;22 weeks on the list,ORIGINALS;by Adam Grant;,THE GENIUS OF BIRDS;by Jennifer Ackerman;,42 FAITH;by Ed Henry;
