,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,Hardcover Nonfiction,Paperback Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series
1,THE FORCE UNLEASHED;by Sean Williams;New this week,THE SHACK;by William P. Young;14 weeks on the list,,THE OBAMA NATION;by Jerome R. Corsi;4 weeks on the list,THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;82 weeks on the list,THE LAST LECTURE;by Randy Pausch with Jeffrey Zaslow;20 weeks on the list,A NEW EARTH;by Eckhart Tolle;30 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;71 weeks on the list,CLAIRE;by Lisi Harrison;3 weeks on the list,GALLOP!;written and illustrated by Rufus Butler Seder;41 weeks on the list,THE TWILIGHT SAGA;by Stephenie Meyer;55 weeks on the list
2,SMOKE SCREEN;by Sandra Brown;2 weeks on the list,THE SECRET LIFE OF BEES;by Sue Monk Kidd;10 weeks on the list,,STORI TELLING;by Tori Spelling with Hilary Liftin;13 weeks on the list,A LONG WAY GONE;by Ishmael Beah;3 weeks on the list,THE SECRET;by Rhonda Byrne;85 weeks on the list,THE POWER OF NOW;by Eckhart Tolle;45 weeks on the list,THE DANGEROUS DAYS OF DANIEL X;by James Patterson and Michael Ledwidge;5 weeks on the list,THE TALE OF DESPEREAUX;by Kate DiCamillo. Illustrated by Timothy Basil Ering;30 weeks on the list,SPLAT THE CAT: WHERE'S THE EASTER BUNNY?;by Rob Scotton;4 weeks on the list,ARTEMIS FOWL;by Eoin Colfer;105 weeks on the list
3,THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY;by Mary Ann Shaffer and Annie Barrows;4 weeks on the list,THE CHOICE;by Nicholas Sparks;New this week,,"ARE YOU THERE, VODKA? IT’S ME, CHELSEA;by Chelsea Handler;18 weeks on the list","EAT, PRAY, LOVE;by Elizabeth Gilbert;83 weeks on the list","YOU: THE OWNER’S MANUAL FOR TEENS;by Michael F. Roizen, Mehmet C. Oz and Ellen Rome;26 weeks on the list",SKINNY BITCH;by Kim Barnouin;59 weeks on the list,DIARY OF A WIMPY KID: RODRICK RULES;by Jeff Kinney;32 weeks on the list,THE CLONE WARS;by Tracey West;4 weeks on the list,BATS AT THE LIBRARY;written and illustrated by Brian Lies;3 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;69 weeks on the list
4,THE BOURNE SANCTION;by Eric Van Lustbader;4 weeks on the list,BAREFOOT;by Elin Hilderbrand;11 weeks on the list,,THE LIMITS OF POWER;by Andrew Bacevich;2 weeks on the list,THE GIFT OF FEAR;by Gavin De Becker;8 weeks on the list,THE 4-HOUR WORKWEEK;by Timothy Ferriss;39 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;375 weeks on the list,KISS MY MATH;by Danica McKellar;3 weeks on the list,THE NEW PADAWAN;by Eric Stevens;4 weeks on the list,FAIRIES AND MAGICAL CREATURES;by Matthew Reinhart and Robert Sabuda;5 weeks on the list,BOOKS OF EMBER;by Jeanne DuPrau;24 weeks on the list
5,THE HOST;by Stephenie Meyer;16 weeks on the list,THE KITE RUNNER;by Khaled Hosseini;51 weeks on the list,,WHEN YOU ARE ENGULFED IN FLAMES;by David Sedaris;12 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;133 weeks on the list,SIX DISCIPLINES EXECUTION REVOLUTION;by Gary Harpst;2 weeks on the list,THE PURPOSE-DRIVEN LIFE;by Rick Warren;30 weeks on the list,THE CLONE WARS;by Jason Fry;4 weeks on the list,THE BOOK THIEF;by Markus Zusak;50 weeks on the list,FOR THE LOVE OF AUTUMN;written and illustrated by Patricia Polacco;New this week,HARRY POTTER;by J.K. Rowling;197 weeks on the list
6,ACHERON;by Sherrilyn Kenyon;3 weeks on the list,THE ALCHEMIST;by Paulo Coelho;50 weeks on the list,,THE CASE AGAINST BARACK OBAMA;by David Freddoso;3 weeks on the list,THE AUDACITY OF HOPE;by Barack Obama;35 weeks on the list,KILLING SACRED COWS;by Garrett B. Gunderson with Stephen Palmer.;2 weeks on the list,"MONEY, AND THE LAW OF ATTRACTION;by Esther and Jerry Hicks;2 weeks on the list",THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;40 weeks on the list,MARKED;by P. C. Cast and Kristin Cast;3 weeks on the list,ALPHABET;by Matthew Van Fleet;20 weeks on the list,THE SISTERHOOD OF THE TRAVELING PANTS;by Ann Brashares;136 weeks on the list
7,THE SECRET SERVANT;by Daniel Silva;5 weeks on the list,THE ROAD;by Cormac McCarthy;51 weeks on the list,,THE WAY OF THE WORLD;by Ron Suskind;3 weeks on the list,90 MINUTES IN HEAVEN;by Don Piper with Cecil Murphey;96 weeks on the list,THE SOUTH BEACH DIET SUPERCHARGED;by Arthur Agatston with Joseph Signorile;15 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;61 weeks on the list,THE MAGICIAN;by Michael Scott;9 weeks on the list,BATTLE AT TETH;by Kirsten Mayer;4 weeks on the list,OLD BEAR;written and illustrated by Kevin Henkes;New this week,THE HEIR SERIES;by Cinda Williams Chima;2 weeks on the list
8,THE STORY OF EDGAR SAWTELLE;by David Wroblewski;11 weeks on the list,WATER FOR ELEPHANTS;by Sara Gruen;51 weeks on the list,,THE POST-AMERICAN WORLD: RELEASE 2.0;by Fareed Zakaria;17 weeks on the list,I HOPE THEY SERVE BEER IN HELL;by Tucker Max;47 weeks on the list,GOODNIGHT BUSH;by Erich Origen and Gan Golan;8 weeks on the list,SOUL WISDOM;by Zhi Gang Sha;7 weeks on the list,THE INVENTION OF HUGO CABRET;by Brian Selznick;73 weeks on the list,BETRAYED;by P. C. Cast and Kristin Cast;2 weeks on the list,MADAM PRESIDENT;by Lane Smith;3 weeks on the list,OLOGIES;by Dugald A. Steer;95 weeks on the list
9,OFF SEASON;by Anne Rivers Siddons;2 weeks on the list,BRIDGE OF SIGHS;by Richard Russo;2 weeks on the list,,FLEECED;by Dick Morris and Eileen McGann;9 weeks on the list,MY HORIZONTAL LIFE;by Chelsea Handler;7 weeks on the list,DECEPTIVELY DELICIOUS;by Jessica Seinfeld;26 weeks on the list,THE SPEED OF TRUST;by Stephen M. R. Covey;15 weeks on the list,KENNY AND THE DRAGON;by Tony DiTerlizzi;3 weeks on the list,KRISTEN;by Lisi Harrison;8 weeks on the list,LADYBUG GIRL;by Jacky Davis and David Soman. Illustrated by David Soman;22 weeks on the list,MAGIC TREE HOUSE;by Mary Pope Osborne. Illustrated by Sal Murdocca;190 weeks on the list
10,THE LACE READER;by Brunonia Barry;4 weeks on the list,RUN;by Ann Patchett;4 weeks on the list,,TRAFFIC;by Tom Vanderbilt;3 weeks on the list,MARLEY AND ME;by John Grogan;24 weeks on the list,JUST WHO WILL YOU BE?;by Maria Shriver;14 weeks on the list,WILL WORK FROM HOME;by Tory Johnson and Robyn Freedman Spizman;2 weeks on the list,THE MYSTERIOUS BENEDICT SOCIETY AND THE PERILOUS JOURNEY;by Trenton Lee Stewart. Illustrated by Diana Sudyka;10 weeks on the list,MATH DOESN’T SUCK;by Danica McKellar;3 weeks on the list,THE POUT-POUT FISH;by Deborah Diesen. Illustrated by Dan Hanna;New this week,FANCY NANCY;by Jane O’Connor. Illustrated by Robin Preiss Glasser;29 weeks on the list
11,THE MERCEDES COFFIN;by Faye Kellerman;2 weeks on the list,NINETEEN MINUTES;by Jodi Picoult;29 weeks on the list,,NIGHT OF THE GUN;by David Carr;2 weeks on the list,"ANIMAL, VEGETABLE, MIRACLE;by Barbara Kingsolver and Camille Kingsolver;17 weeks on the list",TOTAL MONEY MAKEOVER;by Dave Ramsey;,"HELLO, CUPCAKE!;by Karen Tack;",,,,
12,BEING ELIZABETH;by Barbara Taylor Bradford;New this week,THE FRIDAY NIGHT KNITTING CLUB;by Kate Jacobs;34 weeks on the list,,THE DARK SIDE;by Jane Mayer;6 weeks on the list,STUFF WHITE PEOPLE LIKE;by Christian Lander;8 weeks on the list,"YES!;by Noah J. Goldstein, Steve J. Martin and Robert B. Cialdini;",HUNGRY GIRL;by Lisa Lillien;,,,,
13,THE GARGOYLE;by Andrew Davidson;3 weeks on the list,MY SISTER’S KEEPER;by Jodi Picoult;29 weeks on the list,,THE WRECKING CREW;by Thomas Frank;3 weeks on the list,TIPPING POINT;by Malcolm Gladwell;210 weeks on the list,DEBT CURES “THEY” DON’T WANT YOU TO KNOW ABOUT;by Kevin Trudeau;,YOUR BEST LIFE NOW;by Joel Osteen;,,,,
14,FOREIGN BODY;by Robin Cook;3 weeks on the list,SECOND CHANCE;by Jane Green;13 weeks on the list,,HAVANA NOCTURNE;by T. J. English;5 weeks on the list,GENERATION KILL;by Evan Wright;6 weeks on the list,THE WINNERS MANUAL;by Jim Tressel with Chris Fabry;,LEONARD MALTIN’S MOVIE GUIDE;by Leonard Maltin;,,,,
15,ROUGH JUSTICE;by Jack Higgins;New this week,NIGHTS IN RODANTHE;by Nicholas Sparks;3 weeks on the list,,WAITER RANT;by Steve Dublanica;4 weeks on the list,THE OMNIVORE’S DILEMMA;by Michael Pollan;52 weeks on the list,GEORGIA COOKING IN AN OKLAHOMA KITCHEN;by Trisha Yearwood with Gwen Yearwood and Beth Yearwood Bernard;,HOW TO READ LITERATURE LIKE A PROFESSOR;by Thomas C. Foster;,,,,
