,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Business,Food and Diet,Politics and American History,Science
1,CROSS MY HEART;by James Patterson;New this week,CROSS MY HEART;by James Patterson;New this week,DARK WITCH;by Nora Roberts;5 weeks on the list,,,THINGS THAT MATTER;by Charles Krauthammer;6 weeks on the list,THINGS THAT MATTER;by Charles Krauthammer;6 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;58 weeks on the list,DAVID AND GOLIATH;by Malcolm Gladwell;9 weeks on the list,THE PIONEER WOMAN COOKS: A YEAR OF HOLIDAYS;by Ree Drummond;5 weeks on the list,FAIREST: IN ALL THE LAND;by Bill Willingham and others;New this week,"THE WALKING DEAD, VOL. 19;by Robert Kirkman and Charlie Adlard;New this week","SAILOR MOON SHORT STORIES, VOL. 2;by Naoko Takeuchi;New this week",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;23 weeks on the list,DIVERGENT;by Veronica Roth;6 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,LEAN IN;by Sheryl Sandberg with Nell Scovell;,THE PIONEER WOMAN COOKS: A YEAR OF HOLIDAYS;by Ree Drummond;,THINGS THAT MATTER;by Charles Krauthammer;,DAVID AND GOLIATH;by Malcolm Gladwell;
2,SYCAMORE ROW;by John Grisham;6 weeks on the list,SYCAMORE ROW;by John Grisham;6 weeks on the list,DEAR LIFE;by Alice Munro;8 weeks on the list,,,DAVID AND GOLIATH;by Malcolm Gladwell;9 weeks on the list,DAVID AND GOLIATH;by Malcolm Gladwell;9 weeks on the list,OUTLIERS;by Malcolm Gladwell;130 weeks on the list,KILLING JESUS;by Bill O'Reilly and Martin Dugard;10 weeks on the list,GUINNESS WORLD RECORDS 2014.;;12 weeks on the list,MADELEINE L'ENGLE'S A WRINKLE IN TIME;by Hope Larson;34 weeks on the list,"THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;111 weeks on the list","ATTACK ON TITAN, VOL. 9;by Hajime Isayama;New this week",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;113 weeks on the list",THE HUNGER GAMES;by Suzanne Collins;171 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,OUTLIERS;by Malcolm Gladwell;,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;,DOUBLE DOWN;by Mark Halperin and John Heilemann;,THE REASON I JUMP;by Naoki Higashida;
3,TAKEDOWN TWENTY;by Janet Evanovich;2 weeks on the list,TAKEDOWN TWENTY;by Janet Evanovich;2 weeks on the list,THE STORYTELLER;by Jodi Picoult;4 weeks on the list,,,KILLING JESUS;by Bill O'Reilly and Martin Dugard;10 weeks on the list,KILLING JESUS;by Bill O'Reilly and Martin Dugard;10 weeks on the list,QUIET;by Susan Cain;44 weeks on the list,THINGS THAT MATTER;by Charles Krauthammer;6 weeks on the list,HYPERBOLE AND A HALF;by Allie Brosh;5 weeks on the list,"BATMAN, VOL. 3;by Scott Snyder and Greg Capullo;4 weeks on the list",THE COMPLETE CALVIN AND HOBBES;by Bill Watterson;10 weeks on the list,"YU-GI-OH 5D'S, VOL. 5;by Masahiro Hikokubo and Masashi Sato;4 weeks on the list",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,THE NIGHT BEFORE CHRISTMAS;by Clement C. Moore. Various illustrators;47 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;254 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,GROUNDED;by Bob Rosen;,MISS KAY'S DUCK COMMANDER KITCHEN;by Kay Robertson with Chrys Howard;,THE BULLY PULPIT;by Doris Kearns Goodwin;,QUIET;by Susan Cain;
4,KING AND MAXWELL;by David Baldacci;2 weeks on the list,THE FIRST PHONE CALL FROM HEAVEN;by Mitch Albom;3 weeks on the list,FIFTY SHADES OF GREY;by E. L. James;90 weeks on the list,,,GEORGE WASHINGTON'S SECRET SIX;by Brian Kilmeade and Don Yaeger;4 weeks on the list,GEORGE WASHINGTON'S SECRET SIX;by Brian Kilmeade and Don Yaeger;4 weeks on the list,ORANGE IS THE NEW BLACK;by Piper Kerman;20 weeks on the list,TWELVE YEARS A SLAVE;by Solomon Northup;8 weeks on the list,"JAB, JAB, JAB, RIGHT HOOK;by Gary Vaynerchuk;New this week","INJUSTICE: GODS AMONG US, VOL. 1;by Tom Taylor and Jheremy Raapack;New this week","THE WALKING DEAD COMPENDIUM, VOL. 2;by Robert Kirkman and Charlie Adlard;45 weeks on the list","YOTSUBA&!, VOL. 12;by Kiyohiko Azuma;2 weeks on the list",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,PRESS HERE;by Hervé Tullet;120 weeks on the list,HEROES OF OLYMPUS;by Rick Riordan;50 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,DOT COMPLICATED;by Randi Zuckerberg;,GIADA'S FEEL GOOD FOOD;by Giada De Laurentiis;,GEORGE WASHINGTON'S SECRET SIX;by Brian Kilmeade and Don Yaeger;,AN ASTRONAUT'S GUIDE TO LIFE ON EARTH;by Chris Hadfield;
5,THE GOLDFINCH;by Donna Tartt;6 weeks on the list,KING AND MAXWELL;by David Baldacci;2 weeks on the list,"WHERE'D YOU GO, BERNADETTE;by Maria Semple;35 weeks on the list",,,MIRACLES AND MASSACRES;by Glenn Beck with Kevin Balfe and Hannah Beck;2 weeks on the list,MIRACLES AND MASSACRES;by Glenn Beck with Kevin Balfe and Hannah Beck;2 weeks on the list,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;85 weeks on the list,GEORGE WASHINGTON'S SECRET SIX;by Brian Kilmeade and Don Yaeger;4 weeks on the list,MISS KAY'S DUCK COMMANDER KITCHEN;by Kay Robertson with Chrys Howard;4 weeks on the list,MISS PEREGRINE'S HOME FOR PECULIAR CHILDREN;by Ransom Riggs and Cassandra Jean;4 weeks on the list,"AVATAR: THE LAST AIRBENDER: THE SEARCH, PART 3;by Gene Luen Yang and others;3 weeks on the list","SOUL EATER, VOL. 17;by Atsushi Ohkubo;2 weeks on the list",THE ICKABOG;by J.K. Rowling;26 weeks on the list,"STEAM TRAIN, DREAM TRAIN;by Sherri Duskey Rinker and Tom Lichtenheld;31 weeks on the list",THE MORTAL INSTRUMENTS;by Cassandra Clare;116 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,EVERYTHING STORE;by Brad Stone;,THE SOUTHERNER'S HANDBOOK;by David DiBenedetto and the editors of Garden and Gun;,I AM MALALA;by Malala Yousafzai with Christina Lamb;,"THINKING, FAST AND SLOW;by Daniel Kahneman;"
6,DOCTOR SLEEP;by Stephen King;10 weeks on the list,DOCTOR SLEEP;by Stephen King;10 weeks on the list,THE LIGHT BETWEEN OCEANS;by M. L. Stedman;35 weeks on the list,,,THE BULLY PULPIT;by Doris Kearns Goodwin;4 weeks on the list,THE BULLY PULPIT;by Doris Kearns Goodwin;4 weeks on the list,AMERICA THE BEAUTIFUL;by Ben C. Carson and Candy Carson;42 weeks on the list,THE WORST HARD TIME;by Timothy Egan;5 weeks on the list,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;10 weeks on the list,THE FIFTH BEATLE: THE BRIAN EPSTEIN STORY;by Vivek Tiwary and  Andrew C. Robinson;2 weeks on the list,SMILE;by Raina Telgemeier;82 weeks on the list,"ATTACK ON TITAN, VOL. 1;by Hajime Isayama;25 weeks on the list",WONDER;by R.J. Palacio;295 weeks on the list,THE CHRISTMAS WISH;by Lori Evert. Illustrated by Per Breiehagen;3 weeks on the list,HARRY POTTER;by J.K. Rowling;298 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;",THE ESSENTIAL SCRATCH AND SNIFF GUIDE TO BECOMING A WINE EXPERT;by Richard Betts;,MIRACLES AND MASSACRES;by Glenn Beck with Kevin Balfe and Hannah Beck;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;
7,THE FIRST PHONE CALL FROM HEAVEN;by Mitch Albom;3 weeks on the list,S.;by Doug Dorst;5 weeks on the list,THE ALCHEMIST;by Paulo Coelho;280 weeks on the list,,,HUMANS OF NEW YORK;by Brandon Stanton;2 weeks on the list,HUMANS OF NEW YORK;by Brandon Stanton;7 weeks on the list,IS EVERYONE HANGING OUT WITHOUT ME?;by Mindy Kaling;48 weeks on the list,MIRACLES AND MASSACRES;by Glenn Beck with Kevin Balfe and Hannah Beck;2 weeks on the list,STAYING STRONG;by Demi Lovato;2 weeks on the list,BATMAN: THE KILLING JOKE;by Alan Moore and Brian Bolland;106 weeks on the list,MARCH: BOOK ONE;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;16 weeks on the list,"SOULLESS, VOL. 3;by Gail Carriger and Rem;2 weeks on the list",REFUGEE;by Alan Gratz;129 weeks on the list,PETE THE CAT SAVES CHRISTMAS;by Eric Litwin. Illustrated by James Dean;15 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;317 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,EXTORTION;by Peter Schweizer;,WHEAT BELLY;by William Davis;,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;,THE WORLD UNTIL YESTERDAY;by Jared Diamond;
8,REMY;by Katy Evans;New this week,THE GOLDFINCH;by Donna Tartt;6 weeks on the list,ORPHAN TRAIN;by Christina Baker Kline;15 weeks on the list,,,I AM MALALA;by Malala Yousafzai with Christina Lamb;8 weeks on the list,I AM MALALA;by Malala Yousafzai with Christina Lamb;8 weeks on the list,WILD;by Cheryl Strayed;36 weeks on the list,ORANGE IS THE NEW BLACK;by Piper Kerman;21 weeks on the list,BREAK OUT!;by Joel Osteen;9 weeks on the list,THE BEST AMERICAN COMICS 2013;by Jeff Smith and others;8 weeks on the list,DRAMA;by Raina Telgemeier;48 weeks on the list,"KINGDOM HEARTS 358/2 DAYS, VOL. 1;by Shiro Amano;New this week",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,FROG TROUBLE;by Sandra Boynton;6 weeks on the list,BLOODLINES;by Richelle Mead;6 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,DUCK COMMANDERS;by Willie and Korie Robertson with Mark Schlabach;,THE PIONEER WOMAN COOKS: FOOD FROM MY FRONTIER;by Ree Drummond;,UNBROKEN;by Laura Hillenbrand;,THE FRACKERS;by Gregory Zuckerman;
9,THE LONGEST RIDE;by Nicholas Sparks;11 weeks on the list,THE LONGEST RIDE;by Nicholas Sparks;11 weeks on the list,THE HARBINGER;by Jonathan Cahn;90 weeks on the list,,,MY PROMISED LAND;by Ari Shavit;2 weeks on the list,SI-COLOGY 1;by Si Robertson with Mark Schlabach;13 weeks on the list,HOW CHILDREN SUCCEED;by Paul Tough;22 weeks on the list,THE BULLY PULPIT;by Doris Kearns Goodwin;4 weeks on the list,GIADA'S FEEL GOOD FOOD;by Giada De Laurentiis;4 weeks on the list,"HAWKEYE, VOL. 1;by Matt Fraction and David Aja;2 weeks on the list",BLUE IS THE WARMEST COLOR;by Julie Maroh;8 weeks on the list,"NARUTO, VOL. 63;by Masashi Kishimoto;4 weeks on the list",GROUND ZERO;by Alan Gratz;10 weeks on the list,PETE THE CAT AND HIS MAGIC SUNGLASSES;by Kimberly and James Dean. Illustrated by James Dean;8 weeks on the list,LEGEND;by Marie Lu;3 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,HATCHING TWITTER;by Nick Bilton;,THE 3-1-2-1 DIET;by Dolvett Quince;,FIVE DAYS IN NOVEMBER;by Clint Hill and Lisa McCubbin;,FOCUS;by Daniel Goleman;
10,FOREVER US;by Sandi Lynn;New this week,THE SUPREME MACARONI COMPANY;by Adriana Trigiani;New this week,BEAUTIFUL RUINS;by Jess Walter;35 weeks on the list,,,SI-COLOGY 1;by Si Robertson with Mark Schlabach;11 weeks on the list,MY PROMISED LAND;by Ari Shavit;2 weeks on the list,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;34 weeks on the list,UNBROKEN;by Laura Hillenbrand;148 weeks on the list,THE ESSENTIAL SCRATCH AND SNIFF GUIDE TO BECOMING A WINE EXPERT;by Richard Betts;2 weeks on the list,THE JOKER: DEATH OF THE FAMILY;by Scott Snyder and various;6 weeks on the list,BOXERS AND SAINTS BOXED SET;by Gene Luen Yang;4 weeks on the list,"ATTACK ON TITAN, VOL. 3;by Hajime Isayama;12 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,AN OTIS CHRISTMAS;by Loren Long;2 weeks on the list,RANGER’S APPRENTICE;by John Flanagan;77 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,TIPPING POINT;by Malcolm Gladwell;,JERUSALEM;by Yotam Ottolenghi and Sami Tamimi;,MAN WHO KILLED KENNEDY;by Roger Stone with Mike Colapietro;,WHY CAN'T I GET BETTER?;by Richard I. Horowitz;
