,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Hardcover & Paperback Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Combined Hardcover & Paperback Nonfiction,Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series,Hardcover Business Books,Paperback Business Books,Politics and American History
1,FIFTY SHADES OF GREY;by E. L. James;3 weeks on the list,LONE WOLF;by Jodi Picoult;3 weeks on the list,FIFTY SHADES OF GREY;by E. L. James;2 weeks on the list,,,THE LUCKY ONE;by Nicholas Sparks;,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;60 weeks on the list,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;11 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;70 weeks on the list,THE IRISH AMERICANS;by Jay P. Dolan;New this week,THE PIONEER WOMAN COOKS;by Ree Drummond;New this week,THE MAGIC;by Rhonda Byrne;2 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;,"THE WALKING DEAD, BOOK 1;by Robert Kirkman, Tony Moore and Charlie Adlard;49 weeks on the list","THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;36 weeks on the list","SAILOR MOON, VOL. 4;by Naoko Takeuchi;New this week",SEEDS OF REBELLION;by Brandon Mull;New this week,DIVERGENT;by Veronica Roth;3 weeks on the list,THE LORAX;by Dr. Seuss;5 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;82 weeks on the list,,,
2,FIFTY SHADES DARKER;by E. L. James;3 weeks on the list,FATE OF THE JEDI: APOCALYPSE;by Troy Denning;New this week,THE GIRL WHO KICKED THE HORNET’S NEST;by Stieg Larsson;4 weeks on the list,,,THE GIRL WHO KICKED THE HORNET’S NEST;by Stieg Larsson;,THE IRISH AMERICANS;by Jay P. Dolan;New this week,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;25 weeks on the list,THE VOW;by Kim and Krickitt Carpenter with Dana Wilkerson;6 weeks on the list,THE VOW;by Kim and Krickitt Carpenter with Dana Wilkerson;6 weeks on the list,THE BLOOD SUGAR SOLUTION;by Mark Hyman;3 weeks on the list,THE HUNGER GAMES TRIBUTE GUIDE;by Emily Seife;6 weeks on the list,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;,"WONDER WOMAN: ODYSSEY, VOL. 2;by  J. Michael Straczynski, Phil Hester and Don Kramer;New this week",NINJAGO: MASK OF THE SENSEI;by Greg Farshtey and Paulo Herique;3 weeks on the list,"NARUTO, VOL. 55;by Masashi Kishimoto;2 weeks on the list",THE FAULT IN OUR STARS;by John Green;10 weeks on the list,THE BOOK THIEF;by Markus Zusak;236 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;24 weeks on the list",DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;166 weeks on the list,,,
3,FIFTY SHADES FREED;by E. L. James;2 weeks on the list,THE THIEF;by Clive Cussler and Justin Scott;2 weeks on the list,THE HELP;by Kathryn Stockett;50 weeks on the list,,,FIFTY SHADES OF GREY;by E. L. James;,THE VOW;by Kim and Krickitt Carpenter with Dana Wilkerson;6 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;3 weeks on the list,BOSSYPANTS;by Tina Fey;11 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;60 weeks on the list,WISHES FULFILLED;by Wayne W. Dyer;3 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;242 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;,"THE WALKING DEAD, BOOK 2;by Robert Kirkman and Charlie Adlard;6 weeks on the list",CORTO MALTESE: THE BALLAD OF THE SALT SEA;by Hugo Pratt;New this week,"FAIRY TAIL, VOL. 18;by Hiro Mashima;New this week",MISS PEREGRINE'S HOME FOR PECULIAR CHILDREN;by Ransom Riggs and Cassandra Jean;41 weeks on the list,WAR HORSE;by Michael Morpurgo;19 weeks on the list,PRESS HERE;by Hervé Tullet;39 weeks on the list,GALLAGHER GIRLS;by Ally Carter;9 weeks on the list,,,
4,THE LUCKY ONE;by Nicholas Sparks;5 weeks on the list,KILL SHOT;by Vince Flynn;6 weeks on the list,THE LUCKY ONE;by Nicholas Sparks;16 weeks on the list,,,LONE WOLF;by Jodi Picoult;,STEVE JOBS;by Walter Isaacson;21 weeks on the list,STEVE JOBS;by Walter Isaacson;21 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;54 weeks on the list,STEVE JOBS;by Walter Isaacson;21 weeks on the list,THOUGHT REVOLUTION;by William A. Donius;New this week,THE HUNGER GAMES;by Kate Egan;6 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;,"THE WALKING DEAD, BOOK 3;by Robert Kirkman and Charlie Adlard;6 weeks on the list","THE WALKING DEAD, VOL. 1;by Robert Kirkman and Tony Moore;110 weeks on the list","MONSTER HUNTER ORAGE, VOL. 4;by  Hiro Mashima;New this week",THE SON OF NEPTUNE;by Rick Riordan;24 weeks on the list,THIRTEEN REASONS WHY;by Jay Asher;40 weeks on the list,THE BIPPOLO SEED AND OTHER LOST STORIES;by Dr. Seuss;21 weeks on the list,CHRONICLES OF NICK;by Sherrilyn Kenyon;New this week,,,
5,THE GIRL WHO KICKED THE HORNET’S NEST;by Stieg Larsson;30 weeks on the list,PRIVATE GAMES;by James Patterson and Mark Sullivan;5 weeks on the list,THE HARBINGER;by Jonathan Cahn;11 weeks on the list,,,FATE OF THE JEDI: APOCALYPSE;by Troy Denning;,THE POWER OF HABIT;by Charles Duhigg;3 weeks on the list,BETTER THAN NORMAL;by Dale Archer;New this week,MOONWALKING WITH EINSTEIN;by Joshua Foer;3 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;3 weeks on the list,DYING TO BE ME;by Anita Moorjani;2 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;553 weeks on the list,STEVE JOBS;by Walter Isaacson;,"THE WALKING DEAD, RISE OF THE GOVERNOR;by Robert Kirkman and Jay Bonansinga;9 weeks on the list","THE WALKING DEAD, VOL. 15;by Robert Kirkman and Charlie Adlard;12 weeks on the list","TWIN SPICA, VOL. 12;by  Kou Yaginuma;New this week",THE INVENTION OF HUGO CABRET;by Brian Selznick;105 weeks on the list,MATCHED;by Ally Condie;26 weeks on the list,THE EASTER EGG;by Jan Brett;16 weeks on the list,THE 39 CLUES;by various authors;98 weeks on the list,,,
6,DEFENDING JACOB;by William Landay;7 weeks on the list,DEFENDING JACOB;by William Landay;7 weeks on the list,THE TIGER'S WIFE;by Téa Obreht;20 weeks on the list,,,THE HELP;by Kathryn Stockett;,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;11 weeks on the list,THE RIGHTEOUS MIND;by Jonathan Haidt;New this week,LADY ALMINA AND THE REAL DOWNTON ABBEY;by The Countess of Carnarvon;9 weeks on the list,UNBROKEN;by Laura Hillenbrand;60 weeks on the list,THE 17 DAY DIET;by Mike Moreno;48 weeks on the list,"ACT LIKE A LADY, THINK LIKE A MAN;by Steve Harvey with Denene Millner;5 weeks on the list",BETTER THAN NORMAL;by Dale Archer;,"VAMPIRELLA ARCHIVES, VOL. 4;by  various;New this week","THE WALKING DEAD, VOL. 2;by Robert Kirkman and Charlie Adlard;25 weeks on the list","BLACK BIRD, VOL. 13;by Kanoko Sakurakoji;2 weeks on the list",THE LEGO IDEAS BOOK;by Daniel Lipkowitz;20 weeks on the list,DELIRIUM;by Lauren Oliver;3 weeks on the list,FANCY NANCY AND THE MERMAID BALLET;by Jane O'Connor. Illustrated by Robin Preiss Glasser;6 weeks on the list,MAGIC TREE HOUSE;by Mary Pope Osborne. Illustrated by Sal Murdocca;262 weeks on the list,,,
7,LONE WOLF;by Jodi Picoult;3 weeks on the list,VICTIMS;by Jonathan Kellerman;3 weeks on the list,THE GIRL WITH THE DRAGON TATTOO;by Stieg Larsson;143 weeks on the list,,,A GAME OF THRONES;by George R.R. Martin;,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;25 weeks on the list,UNBROKEN;by Laura Hillenbrand;70 weeks on the list,OUTLIERS;by Malcolm Gladwell;41 weeks on the list,AUSCHWITZ;by Miklos Nyiszli;31 weeks on the list,THE START-UP OF YOU;by Reid Hoffman and Ben Casnocha;5 weeks on the list,EAT TO LIVE;by Joel Fuhrman;36 weeks on the list,THE VOW;by Kim and Krickitt Carpenter with Dana Wilkerson;,"UNCANNY X-FORCE, VOL. 4;by Rick Remender and Jerome Opena;New this week","THE WALKING DEAD, VOL. 3;by Robert Kirkman and Cliff Rathburn;4 weeks on the list","NARUTO, VOL. 54;by Masashi Kishimoto;9 weeks on the list",WONDERSTRUCK;by Brian Selznick;25 weeks on the list,A WORLD WITHOUT HEROES;by Brandon Mull;5 weeks on the list,"IT'S A BIG WORLD, LITTLE PIG!;by Kristi Yamaguchi. Illustrated by Tim Bowers;2 weeks on the list",BIG NATE;written and illustrated by Lincoln Peirce;50 weeks on the list,,,
8,FATE OF THE JEDI: APOCALYPSE;by Troy Denning;New this week,A DANCE WITH DRAGONS;by George R. R. Martin;33 weeks on the list,A GAME OF THRONES;by George R.R. Martin;27 weeks on the list,,,THE SIXTH MAN;by David Baldacci;,UNBROKEN;by Laura Hillenbrand;60 weeks on the list,QUIET;by Susan Cain;8 weeks on the list,THE NEW JIM CROW;by Michelle Alexander;9 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;25 weeks on the list,USE YOUR BRAIN TO CHANGE YOUR AGE;by Daniel G. Amen;2 weeks on the list,THE HAPPINESS PROJECT;by Gretchen Rubin;54 weeks on the list,THE RIGHTEOUS MIND;by Jonathan Haidt;,SUPERIOR;by Mark Millar and Leinil Yu;2 weeks on the list,BATMAN VERSUS BANE;by Chuck Dixon and others;3 weeks on the list,"POKEMON BLACK AND WHITE, VOL. 5;by Hidenori Kusaka;3 weeks on the list",PANDEMONIUM;by Lauren Oliver;3 weeks on the list,TORN;by Amanda Hocking;2 weeks on the list,ISABELLA: GIRL ON THE GO;by Jennifer Fosberry. Illustrated by Mike Litwin;New this week,THE MAZE RUNNER;by James Dashner;14 weeks on the list,,,
9,PRIVATE GAMES;by James Patterson and Mark Sullivan;5 weeks on the list,THE EXPATS;by Chris Pavone;2 weeks on the list,EXTREMELY LOUD AND INCREDIBLY CLOSE;by Jonathan Safran Foer;13 weeks on the list,,,THE GIRL WITH THE DRAGON TATTOO;by Stieg Larsson;,BOSSYPANTS;by Tina Fey;41 weeks on the list,BRINGING UP BÉBÉ;by Pamela Druckerman;6 weeks on the list,THE GRAND DESIGN;by Stephen Hawking and Leonard Mlodinow;3 weeks on the list,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;11 weeks on the list,THE END OF ILLNESS;by David B. Agus with Kristin Loberg;9 weeks on the list,FORKS OVER KNIVES;edited by Gene Stone;28 weeks on the list,BOSSYPANTS;by Tina Fey;,X-MEN: AGE OF APOCALYPSE;by Scott Lobdell and others;2 weeks on the list,"UGLIES: SHAY'S STORY;by Scott Westerfeld, Devin Grayson and Steven Cummings;New this week","ONE PIECE, VOL. 61;by Eiichiro Oda;2 weeks on the list",THE THRONE OF FIRE;by Rick Riordan;30 weeks on the list,"THE RED PYRAMID: THE KANE CHRONICLES, BOOK ONE;by Rick Riordan and Orpheus Collar;31 weeks on the list",PENNY AND HER SONG;by Kevin Henkes;New this week,VAMPIRE DIARIES;by L. J. Smith;58 weeks on the list,,,
10,THE HELP;by Kathryn Stockett;57 weeks on the list,THE WOLF GIFT;by Anne Rice;5 weeks on the list,THE WEIRD SISTERS;by Eleanor Brown;6 weeks on the list,,,THE THIEF;by Clive Cussler and Justin Scott;,THE RIGHTEOUS MIND;by Jonathan Haidt;New this week,"THINKING, FAST AND SLOW;by Daniel Kahneman;21 weeks on the list",EMPIRE OF THE SUMMER MOON;by S.C. Gwynne;45 weeks on the list,A STOLEN LIFE;by Jaycee Dugard;31 weeks on the list,ONE THOUSAND GIFTS;by Ann Voskamp;15 weeks on the list,CRAZY LOVE;by Francis Chan with Danae Yankoski;71 weeks on the list,UNBROKEN;by Laura Hillenbrand;,"THE WALKING DEAD, BOOK 7;by Robert Kirkman and Charlie Adlard;10 weeks on the list",NINJAGO: THE CHALLENGE OF SAMUKAI;by Greg Farshtey and Paulo Herique;2 weeks on the list,"SOUL EATER, VOL. 8;by Atsushi Ohkubo;3 weeks on the list",CROSSED;by Ally Condie;8 weeks on the list,SWITCHED;by Amanda Hocking;11 weeks on the list,HEAVEN IS FOR REAL FOR KIDS;by Todd and Sonja Burpo. Illustrated by Wilson Ong;21 weeks on the list,INHERITANCE;by Christopher Paolini;40 weeks on the list,,,
