,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Audio Fiction,Audio Nonfiction,Business,Science,Sports and Fitness
1,NEON PREY;by John Sandford;New this week,WHERE THE CRAWDADS SING;by Delia Owens;34 weeks on the list,THE MISTER;by E L James;2 weeks on the list,THE MUELLER REPORT;with related materials by The Washington Post;New this week,BECOMING;by Michelle Obama;24 weeks on the list,THE MUELLER REPORT;with related materials by The Washington Post;New this week,THE LIFE-CHANGING MAGIC OF TIDYING UP;by Marie Kondo;161 weeks on the list,DIARY OF AN AWESOME FRIENDLY KID;by Jeff Kinney;3 weeks on the list,DEAR BOY;by Paris Rosenthal and Jason Rosenthal. Illustrated by Holly Hatam;New this week,DOG MAN;by Dav Pilkey;87 weeks on the list,FIVE FEET APART;by Rachael Lippincott with Mikki Daughtry and Tobias Iaconis;21 weeks on the list,WHERE THE CRAWDADS SING;by Delia Owens;,BECOMING;by Michelle Obama;,BAD BLOOD;by John Carreyrou;,SAPIENS;by Yuval Noah Harari;,WOLFPACK;by Abby Wambach;
2,WHERE THE CRAWDADS SING;by Delia Owens;33 weeks on the list,NEON PREY;by John Sandford;New this week,THE TATTOOIST OF AUSCHWITZ;by Heather Morris;34 weeks on the list,EDUCATED;by Tara Westover;62 weeks on the list,EDUCATED;by Tara Westover;62 weeks on the list,BORN A CRIME;by Trevor Noah;11 weeks on the list,"GIRL, STOP APOLOGIZING;by Rachel Hollis;8 weeks on the list",KATT VS. DOGG;by James Patterson and Chris Grabenstein. Illustrated by Anuki Lopez;4 weeks on the list,WE ARE THE GARDENERS;by Joanna Gaines and Kids. Illustrated by Julianna Swaney;5 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;528 weeks on the list,THE HATE U GIVE;by Angie Thomas;113 weeks on the list,REDEMPTION;by David Baldacci;,EDUCATED;by Tara Westover;,WOLFPACK;by Abby Wambach;,THE BODY KEEPS THE SCORE;by Bessel van der Kolk;,K;by Tyler Kepner;
3,REDEMPTION;by David Baldacci;2 weeks on the list,REDEMPTION;by David Baldacci;2 weeks on the list,THE WOMAN IN THE WINDOW;by A.J. Finn;8 weeks on the list,BECOMING;by Michelle Obama;24 weeks on the list,THE MOMENT OF LIFT;by Melinda Gates;New this week,SAPIENS;by Yuval Noah Harari;50 weeks on the list,"GIRL, WASH YOUR FACE;by Rachel Hollis;55 weeks on the list",WONDER;by R.J. Palacio;194 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;182 weeks on the list,HARRY POTTER;by J.K. Rowling;527 weeks on the list,ON THE COME UP;by Angie Thomas;12 weeks on the list,A GAME OF THRONES;by George R.R. Martin;,LIFE WILL BE THE DEATH OF ME;by Chelsea Handler;,DARE TO LEAD;by Brené Brown;,AMERICA BEFORE;by Graham Hancock;,THE COST OF THESE DREAMS;by Wright Thompson;
4,THE MISTER;by E L James;2 weeks on the list,LOST ROSES;by Martha Hall Kelly;3 weeks on the list,A GENTLEMAN IN MOSCOW;by Amor Towles;5 weeks on the list,THE MOMENT OF LIFT;by Melinda Gates;New this week,THE SECOND MOUNTAIN;by David Brooks;2 weeks on the list,WHITE FRAGILITY;by Robin DiAngelo;42 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;124 weeks on the list,REFUGEE;by Alan Gratz;53 weeks on the list,DEAR GIRL;by Amy Krouse Rosenthal and Paris Rosenthal. Illustrated by Holly Hatam;22 weeks on the list,WHO WAS/IS . . . ?;by Jim Gigliotti and others; various illustrators;74 weeks on the list,THE RED SCROLLS OF MAGIC;by Cassandra Clare and Wesley Chu;3 weeks on the list,THE SILENT PATIENT;by Alex Michaelides;,THE RIGHT SIDE OF HISTORY;by Ben Shapiro;,PRINCIPLES;by Ray Dalio;,THE UNINHABITABLE EARTH;by David Wallace-Wells;,FLY GIRLS;by Keith O'Brien;
5,THE TROUBLE WITH VAMPIRES;by Lynsay Sands;New this week,WAR OF THE SPARK: RAVNICA;by Greg Weisman;New this week,THE LOST GIRLS OF PARIS;by Pam Jenoff;13 weeks on the list,THE SECOND MOUNTAIN;by David Brooks;2 weeks on the list,LIFE WILL BE THE DEATH OF ME;by Chelsea Handler;3 weeks on the list,THE BODY KEEPS THE SCORE;by Bessel van der Kolk;27 weeks on the list,CRIBSHEET;by Emily Oster;New this week,RUMPLE BUTTERCUP;by Matthew Gray Gubler;4 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;269 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;168 weeks on the list,CHILDREN OF BLOOD AND BONE;by Tomi Adeyemi;60 weeks on the list,THE NIGHT TIGER;by Yangsze Choo;,MAYBE YOU SHOULD TALK TO SOMEONE;by Lori Gottlieb;,ATOMIC HABITS;by James Clear;,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;,108 STITCHES;by Ron Darling with Daniel Paisner;
6,THE TATTOOIST OF AUSCHWITZ;by Heather Morris;33 weeks on the list,NORMAL PEOPLE;by Sally Rooney;2 weeks on the list,ELEANOR OLIPHANT IS COMPLETELY FINE;by Gail Honeyman;47 weeks on the list,LIFE WILL BE THE DEATH OF ME;by Chelsea Handler;3 weeks on the list,AMERICA BEFORE;by Graham Hancock;New this week,WHY WE SLEEP;by Matthew Walker;13 weeks on the list,CRUSHING;by T.D. Jakes;2 weeks on the list,WARRIORS: THE BROKEN CODE: LOST STARS;by Erin Hunter;3 weeks on the list,DON'T LET THEM DISAPPEAR;by Chelsea Clinton. Illustrated by Gianna Marino;4 weeks on the list,BIG NATE;written and illustrated by Lincoln Peirce;148 weeks on the list,"THE FORK, THE WITCH, AND THE WORM;by Christopher Paolini with Angela Paolini;17 weeks on the list",STAR WARS: MASTER & APPRENTICE;by Claudia Gray;,SAPIENS;by Yuval Noah Harari;,"TRILLION DOLLAR COACH;by Eric Schmidt, Jonathan Rosenberg and Alan Eagle;",WHY WE SLEEP;by Matthew Walker;,SHOE DOG;by Phil Knight;
7,THE WOMAN IN THE WINDOW;by A.J. Finn;24 weeks on the list,SOMEONE KNOWS;by Lisa Scottoline;3 weeks on the list,THE OVERSTORY;by Richard Powers;3 weeks on the list,MAYBE YOU SHOULD TALK TO SOMEONE;by Lori Gottlieb;4 weeks on the list,MAYBE YOU SHOULD TALK TO SOMEONE;by Lori Gottlieb;4 weeks on the list,GRIT;by Angela Duckworth;35 weeks on the list,NEXT LEVEL BASIC;by Stassi Schroeder;2 weeks on the list,A BEAUTIFUL DAY IN THE NEIGHBORHOOD;by Fred Rogers. Illustrated by Luke Flowers;6 weeks on the list,I WISH YOU MORE;by Amy Krouse Rosenthal. Illustrated by Tom Lichtenheld;43 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;501 weeks on the list,"DEAR EVAN HANSEN: THE NOVEL;by Val Emmich with Steven Levenson, Benj Pasek & Justin Paul;29 weeks on the list",NEON PREY;by John Sandford;,BAD BLOOD;by John Carreyrou;,BEST SELF;by Mike Bayer;,FALTER;by Bill McKibben;,TIGER WOODS;by Jeff Benedict and Armen Keteyian;
8,LOST ROSES;by Martha Hall Kelly;3 weeks on the list,THE SILENT PATIENT;by Alex Michaelides;12 weeks on the list,THE 13-MINUTE MURDER;by James Patterson;2 weeks on the list,AMERICA BEFORE;by Graham Hancock;New this week,THE MATRIARCH;by Susan Page;4 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;212 weeks on the list",DARING GREATLY;by Brené Brown;71 weeks on the list,MAX AND THE MIDKNIGHTS;by Lincoln Peirce;15 weeks on the list,THE GOOD EGG;by Jory John. Illustrated by Pete Oswald;11 weeks on the list,TO ALL THE BOYS I'VE LOVED BEFORE;by Jenny Han;41 weeks on the list,THE FALL OF CRAZY HOUSE;by James Patterson and Gabrielle Charbonnet;3 weeks on the list,RENEGADES;by Craig Alanson;,BORN A CRIME;by Trevor Noah;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,INFINITE POWERS;by Steven Strogatz;,INSIDE THE EMPIRE;by Bob Klapisch and Paul Solotaroff;
9,A GAME OF THRONES;by George R.R. Martin;53 weeks on the list,FIRE AND BLOOD;by George R.R. Martin;18 weeks on the list,AFTER;by Anna Todd;4 weeks on the list,BAD BLOOD;by John Carreyrou;38 weeks on the list,NANAVILLE;by Anna Quindlen;New this week,JUST MERCY;by Bryan Stevenson;150 weeks on the list,THE PATH MADE CLEAR;by Oprah Winfrey;5 weeks on the list,WOMEN IN SCIENCE;by Rachel Ignotofsky;90 weeks on the list,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;268 weeks on the list,DORK DIARIES;by Rachel Renée Russell;287 weeks on the list,THE POET X;by Elizabeth Acevedo;11 weeks on the list,THE MISTER;by E L James;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,GRIT;by Angela Duckworth;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",ALL-AMERICAN MURDER;by James Patterson and Alex Abramovich with Mike Harvkey;
10,WAR OF THE SPARK: RAVNICA;by Greg Weisman;New this week,MACHINES LIKE ME;by Ian McEwan;New this week,SUPERMARKET;by Bobby Hall;5 weeks on the list,THE MATRIARCH;by Susan Page;4 weeks on the list,SHORTEST WAY HOME;by Pete Buttigieg;6 weeks on the list,I'LL BE GONE IN THE DARK;by Michelle McNamara;9 weeks on the list,YOU ARE A BADASS;by Jen Sincero;169 weeks on the list,DOG DIARIES;by James Patterson with Steven Butler. Illustrated by Richard Watson;20 weeks on the list,WE DON'T EAT OUR CLASSMATES!;by Ryan T. Higgins;12 weeks on the list,PHOEBE AND HER UNICORN;by Dana Simpson;New this week,SHOUT;by Laurie Halse Anderson;7 weeks on the list,A CLASH OF KINGS;by George R.R. Martin;,SHORTEST WAY HOME;by Pete Buttigieg;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",BEING MORTAL;by Atul Gawande;,"LEBRON, INC.;by Brian Windhorst;"
